barcode,Adj,price,list_price,link,tags
'643151057372,9.74,12.99,0,https://www.shopwss.com/products/07gxc000140_s?variant=41416222965815,BOGO-50
'193159141240,15,20,0,https://www.shopwss.com/products/43tb367678tb-m05?variant=41422775779383,BOGO-50
'193159141257,15,20,0,https://www.shopwss.com/products/43tb367678tb-m05?variant=41422775812151,BOGO-50
'197717541947,14.99,14.99,28,https://www.shopwss.com/products/95d929_001?variant=41473982693431,
'197717541954,14.99,14.99,28,https://www.shopwss.com/products/95d929_001?variant=41473982726199,
'197717541961,14.99,14.99,28,https://www.shopwss.com/products/95d929_001?variant=41473982758967,
'197717541978,14.99,14.99,28,https://www.shopwss.com/products/95d929_001?variant=41473982791735,
'086694714683,5.99,7.99,7.99,https://www.shopwss.com/products/41f90139h60_s?variant=41513161261111,BOGO-50
'086694731048,5.99,7.99,7.99,https://www.shopwss.com/products/41z72281h60_s?variant=41513161359415,BOGO-50
'193390771817,40.5,45,45,https://www.shopwss.com/products/vn0a4mphblk?variant=40950731767863,"eligible-discount, eligible-discount-clearance, eligible-discount-friends"
'197394894244,17.99,19.99,19.99,https://www.shopwss.com/products/b1b08jvmnces00?variant=40950851403831,"eligible-discount, eligible-discount-clearance, eligible-discount-friends"
'197615063299,67.49,74.99,74.99,https://www.shopwss.com/products/ih0924?variant=40951418781751,"eligible-discount, eligible-discount-clearance, eligible-discount-friends"
'197615063312,67.49,74.99,74.99,https://www.shopwss.com/products/ih0924?variant=40951418814519,"eligible-discount, eligible-discount-clearance, eligible-discount-friends"
'197615059636,67.49,74.99,74.99,https://www.shopwss.com/products/ih0924?variant=40951418847287,"eligible-discount, eligible-discount-clearance, eligible-discount-friends"
'197615059612,67.49,74.99,74.99,https://www.shopwss.com/products/ih0924?variant=40951418880055,"eligible-discount, eligible-discount-clearance, eligible-discount-friends"
'197615063268,67.49,74.99,74.99,https://www.shopwss.com/products/ih0924?variant=40951418912823,"eligible-discount, eligible-discount-clearance, eligible-discount-friends"
'197615063329,67.49,74.99,74.99,https://www.shopwss.com/products/ih0924?variant=40951418945591,"eligible-discount, eligible-discount-clearance, eligible-discount-friends"
'197862876673,23.4,26,0,https://www.shopwss.com/products/fb5625_412?variant=41047406673975,"eligible-discount, eligible-discount-clearance, eligible-discount-friends"
'197862884401,23.4,26,0,https://www.shopwss.com/products/fb5625_412?variant=41047406706743,"eligible-discount, eligible-discount-clearance, eligible-discount-friends"
'197298615013,89.99,99.99,0,https://www.shopwss.com/products/1011b962_400?variant=41180558032951,"eligible-discount, eligible-discount-clearance, eligible-discount-friends"
'197298615082,89.99,99.99,0,https://www.shopwss.com/products/1011b962_400?variant=41180558065719,"eligible-discount, eligible-discount-clearance, eligible-discount-friends"
'197298614993,89.99,99.99,0,https://www.shopwss.com/products/1011b962_400?variant=41180558098487,"eligible-discount, eligible-discount-clearance, eligible-discount-friends"
'197298615112,89.99,99.99,0,https://www.shopwss.com/products/1011b962_400?variant=41180558131255,"eligible-discount, eligible-discount-clearance, eligible-discount-friends"
