ASIN,Title,Cost,List,Profit,ROI,Offer,Rank,# Sold,30/90 BB,30/90 Profit,Rating,T Rating,%,Return,BB/SUP,CPT,CPT Profit,CPT ROI,Amz,Amz OOS,Tags,Source,Amazon
B0C53TL383,"Crocs Women's Getaway Strappy Sandals, Black, 9",$39.99,$63.39,$6.65,17%,4,906,"2,000",$39.95,$-13.27,239,"2,697",9%,,SUP, 39.99,$-13.24,-33%,,95 %,"$20 TO $40, 209587 001, BLACK, CROCS, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, full-price-eligible-discount, Life, md2-exclusion, Slides and Thongs, Womens, womens-shoes, womens-shoes-slides-and",https://www.shopwss.com/products/209587_001?variant=41186872950839,https://www.amazon.com/dp/B0C53TL383?th=1&psc=1
B0014C5S7S,"Crocs Unisex-Adult Classic Clogs, Black, 10 Men/12 Women",$49.99,$74.99,$6.11,12%,3,1,600,$37.72,$-25.57,"23,256","626,458",4%,,SUP, 49.95,$-15.17,-30%,,98 %,"$40 TO $60, 10001-001, BLACK, Classic Clog, Clogs, CROCS, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, full-family-holiday-2024, full-price-eligible-discount, Lifestyle, md2-exclusion, Mens, mens-sh",https://www.shopwss.com/products/10001-001?variant=40942213398583,https://www.amazon.com/dp/B0014C5S7S?th=1&psc=1
B00B3Z2TB4,"Nike Men's Benassi Just Do It Athletic Sandal, Black/White Noir/Blanc, 12.0 Regular US",$29.99,$44.97,$3.68,12%,13,"29,355",400,$40.83,$0.17,"2,192","21,671",10%,,BB,,,,,99 %,"$20 TO $40, 343880 090, BLACK, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, full-price-eligible-discount, Lifestyle, md2-exclusion, Mens, mens-shoes, mens-shoes-slides-and-thongs, NIKE, qty-limit-2,",https://www.shopwss.com/products/343880_090?variant=41203495206967,https://www.amazon.com/dp/B00B3Z2TB4?th=1&psc=1
B0BT19K6SB,"Crocs Crocband Cars Lightning McQueen Clogs, Light Up Shoes (Little Kid/Big Kid) Red 11 Little Kid M",$59.99,$99.95,$18.35,31%,1,"43,024",300,$58.79,$-16.64,137,930,15%,,SUP, 59.95,$-15.65,-26%,,100 %,"$40 TO $60, 209381 610, Boys, boys-shoes, boys-shoes-slides-and-thongs, cars, Clclog, CROCS, disable_pickup, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, full-price-eligible-discount, Kids, md2-excl",https://www.shopwss.com/products/209381_610?variant=41416411775031,https://www.amazon.com/dp/B0BT19K6SB?th=1&psc=1
B0CG6TC6BM,Crocs Classic Marbled Tie-Dye Clog (Little Kid/Big Kid) Navy/Multi 1 Little Kid M,$44.99,$79.00,$16.65,37%,2,388,300,$43.61,$-13.44,26,42,62%,,SUP, 44.95,$-12.30,-27%,,100 %,"$40 TO $60, 207464 4HQ, 4 - 7 yrs, BLUE, boys, boys-shoes, boys-shoes-slides-and-thongs, bts25, Classic Clog, Clogs, CROCS, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, full-price-eligible-discount,",https://www.shopwss.com/products/207464_4hq?variant=40943450062903,https://www.amazon.com/dp/B0CG6TC6BM?th=1&psc=1
B0CG6TR3ZD,Crocs Classic Marbled Tie-Dye Clog (Little Kid/Big Kid) Navy/Multi 11 Little Kid M,$44.99,$67.90,$5.57,12%,3,381,300,$42.20,$-16.28,22,42,52%,,SUP, 44.95,$-13.94,-31%,,100 %,"$40 TO $60, 207464 4HQ, 4 - 7 yrs, BLUE, boys, boys-shoes, boys-shoes-slides-and-thongs, bts25, Classic Clog, Clogs, CROCS, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, full-price-eligible-discount,",https://www.shopwss.com/products/207464_4hq?variant=40943449931831,https://www.amazon.com/dp/B0CG6TR3ZD?th=1&psc=1
B00B3Z2TW8,"Nike Men's Benassi JDI Slides Athletic Sandal, Black/White Noir/Blanc, 13",$29.99,$47.99,$3.70,12%,8,"22,553",100,$40.16,$-2.80,"1,693","35,139",5%,,SUP, 39.99,$-2.94,-10%,,99 %,"$20 TO $40, 343880 090, BLACK, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, full-price-eligible-discount, Lifestyle, md2-exclusion, Mens, mens-shoes, mens-shoes-slides-and-thongs, NIKE, qty-limit-2,",https://www.shopwss.com/products/343880_090?variant=41203495239735,https://www.amazon.com/dp/B00B3Z2TW8?th=1&psc=1
B0BFNMQDM8,Crocs Unisex-Adult Mellow Recovery Slides Black Men's 13 Women's 15 Medium,$39.99,$73.53,$15.90,40%,1,"1,232",100,$39.95,$-12.65,53,"4,929",1%,,SUP, 39.99,$-12.61,-32%,,100 %,"$20 TO $40, 208392 001, BLACK, CROCS, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, holiday-sale, md2-exclusion, Mens, on-sale, unisex-label",https://www.shopwss.com/products/208392_001?variant=40942593441847,https://www.amazon.com/dp/B0BFNMQDM8?th=1&psc=1
B0BT1423LB,Crocs Cars Mater™ Classic Clog (Little Kid/Big Kid) Cars Mater 11 Little Kid M,$54.99,$89.95,$13.87,25%,1,"19,174",100,$49.95,$-19.34,0,62,0%,,SUP,,,,,100 %,"$40 TO $60, 209376 0DA, boys-shoes-slides-and-thongs, BROWN, cars, Clclog, CROCS, disable_pickup, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, full-price-eligible-discount, Kids, kids-shoes, kids-sh",https://www.shopwss.com/products/209376_0da?variant=41327901179959,https://www.amazon.com/dp/B0BT1423LB?th=1&psc=1
B00AWRIRKQ,"Nike Men's Benassi JDI Slides Athletic Sandal, Black/White Noir/Blanc, 15",$29.99,$55.99,$10.34,34%,3,"22,553",50,$43.26,$-0.22,578,"35,139",2%,,SUP, 39.99,$-2.94,-10%,,100 %,"$20 TO $40, 343880 090, BLACK, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, full-price-eligible-discount, Lifestyle, md2-exclusion, Mens, mens-shoes, mens-shoes-slides-and-thongs, NIKE, qty-limit-2,",https://www.shopwss.com/products/343880_090?variant=41203495305271,https://www.amazon.com/dp/B00AWRIRKQ?th=1&psc=1
