UPC,ASIN,Title,Cost,Price,Profit,ROI,Offers,Sales Rank,Size,Color, Link, Tags
196265881864,B0D618V9CZ,"Crocs Unisex Classic Clog Mystic Purple Men's 4, Women's 6 Medium",49.99,49.9900016784668,-13.709998359680178,-27.4254818157235%,1,1,6 Women/4 Men,Mystic Purple,https://www.shopwss.com/products/10001_5bn?variant=41083645034551,"$40 TO $60, 10001 5BN, Classic Clog, Clogs, CROCS, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, festival2025, full-price-eligible-discount, Lifestyle, md2-exclusion, PURPLE, Slides, Slides and Thong"
196265881895,B0D61L67NL,"Crocs Unisex Classic Clog Mystic Purple Men's 7, Women's 9 Medium",49.99,49.9900016784668,-14.659998168945322,-29.32586151019268%,3,1,9 Women/7 Men,Mystic Purple,https://www.shopwss.com/products/10001_5bn?variant=41083645132855,"$40 TO $60, 10001 5BN, Classic Clog, Clogs, CROCS, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, festival2025, full-price-eligible-discount, Lifestyle, md2-exclusion, PURPLE, Slides, Slides and Thong"
196265881857,B0D619RMRY,"Crocs Unisex Classic Clog Mystic Purple Men's 3, Women's 5 M",49.99,0,0,,1,1,5 Women/3 Men,Mystic Purple,https://www.shopwss.com/products/10001_5bn?variant=41083645067319,"$40 TO $60, 10001 5BN, Classic Clog, Clogs, CROCS, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, festival2025, full-price-eligible-discount, Lifestyle, md2-exclusion, PURPLE, Slides, Slides and Thong"
196265881901,B0D61KWFPJ,"Crocs Unisex Classic Clog Mystic Purple Men's 8, Women's 10 Medium",49.99,49.9900016784668,-14.579998245239267,-29.165829656409812%,2,1,10 Women/8 Men,Mystic Purple,https://www.shopwss.com/products/10001_5bn?variant=41083645165623,"$40 TO $60, 10001 5BN, Classic Clog, Clogs, CROCS, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, festival2025, full-price-eligible-discount, Lifestyle, md2-exclusion, PURPLE, Slides, Slides and Thong"
196265881888,B0D613PJ1H,"Crocs Unisex Classic Clog Mystic Purple Men's 6, Women's 8 Medium",49.99,49.9900016784668,-14.499998321533212,-29.005797802626947%,4,1,8 Women/6 Men,Mystic Purple,https://www.shopwss.com/products/10001_5bn?variant=41083645100087,"$40 TO $60, 10001 5BN, Classic Clog, Clogs, CROCS, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, festival2025, full-price-eligible-discount, Lifestyle, md2-exclusion, PURPLE, Slides, Slides and Thong"
196265881871,B0D61GKX9R,"Crocs Unisex Classic Clog Mystic Purple Men's 5, Women's 7 Medium",49.99,49.9900016784668,-14.739998092651376,-29.485893363975546%,3,1,7 Women/5 Men,Mystic Purple,https://www.shopwss.com/products/10001_5bn?variant=41083645001783,"$40 TO $60, 10001 5BN, Classic Clog, Clogs, CROCS, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, festival2025, full-price-eligible-discount, Lifestyle, md2-exclusion, PURPLE, Slides, Slides and Thong"
841158003273,B004026UNK,"Crocs Unisex Classic Clog Emerald Mens 6, Womens 8 Medium",49.99,39.95000076293945,-23.109998931884768,-46.22924371251204%,2,1,8 Women/6 Men,Emerald,https://www.shopwss.com/products/10001_302?variant=40951277649975,"$40 TO $60, 10001 302, Classic Clog, Clogs, CROCS, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, festival2025, full-price-eligible-discount, GREEN, Lifestyle, md2-exclusion, mens, mens-shoes, mens-sh"
841158003327,B004026VO8,"Crocs Unisex Classic Clog Emerald Mens 11, Womens 13 Medium",49.99,0,0,,1,1,13 Women/11 Men,Emerald,https://www.shopwss.com/products/10001_302?variant=40951277813815,"$40 TO $60, 10001 302, Classic Clog, Clogs, CROCS, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, festival2025, full-price-eligible-discount, GREEN, Lifestyle, md2-exclusion, mens, mens-shoes, mens-sh"
841158003280,B00401ZK0U,"Crocs Unisex Classic Clog Emerald Mens 7, Womens 9 Medium",49.99,44.95000076293945,-16.769998779296877,-33.54670689997375%,1,1,9 Women/7 Men,Emerald,https://www.shopwss.com/products/10001_302?variant=40951277682743,"$40 TO $60, 10001 302, Classic Clog, Clogs, CROCS, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, festival2025, full-price-eligible-discount, GREEN, Lifestyle, md2-exclusion, mens, mens-shoes, mens-sh"
196265891818,B0CXFWN3ND,"Crocs Unisex Classic Clog Emerald Mens 8, Womens 10 Medium",49.99,39.970001220703125,-23.339998950958254,-46.689335769070325%,1,1,10 Women/8 Men,Emerald,https://www.shopwss.com/products/10001_302?variant=40951277715511,"$40 TO $60, 10001 302, Classic Clog, Clogs, CROCS, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, festival2025, full-price-eligible-discount, GREEN, Lifestyle, md2-exclusion, mens, mens-shoes, mens-sh"
196265891825,B0CXGHFY6Z,"Crocs Unisex Classic Clog Emerald Mens 9, Womens 11 Medium",49.99,39.970001220703125,-23.019998779296877,-46.04920740007377%,1,1,11 Women/9 Men,Emerald,https://www.shopwss.com/products/10001_302?variant=40951277748279,"$40 TO $60, 10001 302, Classic Clog, Clogs, CROCS, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, festival2025, full-price-eligible-discount, GREEN, Lifestyle, md2-exclusion, mens, mens-shoes, mens-sh"
196265891771,B0CXG7RT5L,"Crocs Unisex Classic Clog Emerald Mens 10, Womens 12 Medium",49.99,0,0,,2,1,12 Women/10 Men,Emerald,https://www.shopwss.com/products/10001_302?variant=40951277781047,"$40 TO $60, 10001 302, Classic Clog, Clogs, CROCS, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, festival2025, full-price-eligible-discount, GREEN, Lifestyle, md2-exclusion, mens, mens-shoes, mens-sh"
