Price,Quantity,UPC,Promo,Source
$11.99,2553,400601274280,,https://www.kohls.com/product/prd-3230958/the-big-one-quilted-side-sleeper-bed-pillow.jsp?skuid=60127428
$15.99,1751,022415249348,,https://www.kohls.com/product/prd-3230958/the-big-one-quilted-side-sleeper-bed-pillow.jsp?skuid=49916895
$3.99,8143,400949170398,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=94917039
$3.99,1706,400737037278,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=73703727
$3.99,7443,400949170367,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=94917036
$3.99,3752,400949170343,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=94917034
$3.99,5651,400949170329,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=94917032
$3.99,3577,400928045686,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=92804568
$3.99,19215,400928045693,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=92804569
$3.99,12806,400808631077,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=80863107
$3.99,7285,400878900769,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=87890076
$3.99,9914,400210342578,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=21034257
$3.99,737,400712474135,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=71247413
$3.99,15253,400833865782,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=83386578
$3.99,9928,400459995320,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=45999532
$3.99,1641,400515593637,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=51559363
$3.99,28430,400562651588,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=56265158
$3.99,25557,400765973593,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=76597359
$3.99,2125,400848092074,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=84809207
$3.99,3218,400848092081,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=84809208
$3.99,22112,400481303193,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=48130319
$8.99,2426,400673734200,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=67373420
$8.99,1584,400673734217,,https://www.kohls.com/product/prd-4569328/the-big-one-solid-bath-towel-bath-sheet-hand-towel-or-washcloth.jsp?skuid=67373421
