"Locale","Image","Title","Product Codes: PartNumber","Model","Product Codes: UPC","ASIN","New, 3rd Party FBA: Current","New: Current","Buy Box 🚚: Current","Buy Box 🚚: 30 days avg.","Buy Box 🚚: 90 days avg.","Reviews: Rating Count - Format Specific","Reviews: Rating Count","New Offer Count: Current","Competitive Price Threshold","Size","Item Form","Pattern","Style","Material","Item Type","Variation Attributes","Color","Bought in past month","List Price: 90 days avg.","Sales Rank: Current","Parent ASIN","Product Codes: EAN","Product Codes: GTIN","Amazon: Current","Amazon: Highest","Amazon: 90 days OOS","FBA Pick&Pack Fee","Referral Fee %","Referral Fee based on current Buy Box price","List Price: 30 days avg.","Total Offer Count","Listed since","Brand","Brand Store Name","Brand Store URL Name","Categories: Root","Manufacturer","Return Rate"
"com","https://m.media-amazon.com/images/I/71cO-sTUv+L.jpg;https://m.media-amazon.com/images/I/61L-EwXr+9L.jpg;https://m.media-amazon.com/images/I/61DwkwAhU7L.jpg;https://m.media-amazon.com/images/I/61mOqF8XmrL.jpg;https://m.media-amazon.com/images/I/61VldrlGqnL.jpg;https://m.media-amazon.com/images/I/61Pxg31hakL.jpg;https://m.media-amazon.com/images/I/71r1SGX57qL.jpg;https://m.media-amazon.com/images/I/61CHJo0Aj2L.jpg","Crocs Unisex Classic Clog Mystic Purple Men's 6, Women's 8 Medium","10001-5BN","10001-5BN","196265881888","B0D613PJ1H","$ 49.98","$ 49.98","$ 49.99","$ 49.97","$ 49.90","-","620490","5","$ 49.99","8 Women/6 Men","","Solid","Classic Clog","Ethylene Vinyl Acetate","clogs-and-mules-shoes","Color: Mystic Purple; Size: 8 Women/6 Men;","Mystic Purple","700","$ 49.97","1","B0C8BJL1D3","0196265881888","","","","100 %","$ 7.00","15 %","$ 7.50","$ 49.99","5","2025/05/18","Crocs","Crocs","Crocs","Clothing, Shoes & Jewelry","Crocs",""
"com","https://m.media-amazon.com/images/I/71cO-sTUv+L.jpg;https://m.media-amazon.com/images/I/61L-EwXr+9L.jpg;https://m.media-amazon.com/images/I/61DwkwAhU7L.jpg;https://m.media-amazon.com/images/I/61mOqF8XmrL.jpg;https://m.media-amazon.com/images/I/61VldrlGqnL.jpg;https://m.media-amazon.com/images/I/61Pxg31hakL.jpg;https://m.media-amazon.com/images/I/71r1SGX57qL.jpg;https://m.media-amazon.com/images/I/61CHJo0Aj2L.jpg","Crocs Unisex Classic Clog Mystic Purple Men's 4, Women's 6 Medium","10001-5BN","10001-5BN","196265881864","B0D618V9CZ","$ 49.99","$ 49.99","$ 49.99","$ 49.99","$ 49.84","1","10","1","$ 49.99","6 Women/4 Men","","Solid","Classic Clog","Ethylene Vinyl Acetate","clogs-and-mules-shoes","Color: Mystic Purple; Size: 6 Women/4 Men;","Mystic Purple","100","$ 49.97","1","B0C8BJL1D3","0196265881864","","","$ 49.99","88 %","$ 6.21","15 %","$ 7.50","$ 49.99","1","2025/05/18","Crocs","Crocs","Crocs","Clothing, Shoes & Jewelry","Crocs","High"
"com","https://m.media-amazon.com/images/I/71cO-sTUv+L.jpg;https://m.media-amazon.com/images/I/61L-EwXr+9L.jpg;https://m.media-amazon.com/images/I/61DwkwAhU7L.jpg;https://m.media-amazon.com/images/I/61mOqF8XmrL.jpg;https://m.media-amazon.com/images/I/61VldrlGqnL.jpg;https://m.media-amazon.com/images/I/61Pxg31hakL.jpg;https://m.media-amazon.com/images/I/71r1SGX57qL.jpg;https://m.media-amazon.com/images/I/61CHJo0Aj2L.jpg","Crocs Unisex Classic Clog Mystic Purple Men's 3, Women's 5 M","10001-5BN","10001-5BN","196265881857","B0D619RMRY","","$ 76.40","","","","-","2","1","$ 49.99","5 Women/3 Men","","Solid","Classic Clog","","clogs-and-mules-shoes","Color: Mystic Purple; Size: 5 Women/3 Men;","Mystic Purple","","$ 49.97","1","B0C8BJL1D3","0196265881857","","","","100 %","$ 6.21","15 %","-","$ 49.99","1","2024/06/03","Crocs","Crocs","Crocs","Clothing, Shoes & Jewelry","Crocs",""
"com","https://m.media-amazon.com/images/I/71cO-sTUv+L.jpg;https://m.media-amazon.com/images/I/61L-EwXr+9L.jpg;https://m.media-amazon.com/images/I/61DwkwAhU7L.jpg;https://m.media-amazon.com/images/I/61mOqF8XmrL.jpg;https://m.media-amazon.com/images/I/61VldrlGqnL.jpg;https://m.media-amazon.com/images/I/61Pxg31hakL.jpg;https://m.media-amazon.com/images/I/71r1SGX57qL.jpg;https://m.media-amazon.com/images/I/61CHJo0Aj2L.jpg","Crocs Unisex Classic Clog Mystic Purple Men's 5, Women's 7 Medium","10001-5BN","10001-5BN","196265881871","B0D61GKX9R","$ 49.06","$ 49.06","$ 49.06","$ 49.98","$ 49.89","1","620412","4","$ 49.99","7 Women/5 Men","","Solid","Classic Clog","","clogs-and-mules-shoes","Color: Mystic Purple; Size: 7 Women/5 Men;","Mystic Purple","300","$ 49.97","1","B0C8BJL1D3","0196265881871","","","$ 50.00","92 %","$ 7.08","15.01 %","$ 7.36","$ 49.99","4","2025/05/18","Crocs","Crocs","Crocs","Clothing, Shoes & Jewelry","Crocs",""
"com","https://m.media-amazon.com/images/I/71cO-sTUv+L.jpg;https://m.media-amazon.com/images/I/61L-EwXr+9L.jpg;https://m.media-amazon.com/images/I/61DwkwAhU7L.jpg;https://m.media-amazon.com/images/I/61mOqF8XmrL.jpg;https://m.media-amazon.com/images/I/61VldrlGqnL.jpg;https://m.media-amazon.com/images/I/61Pxg31hakL.jpg;https://m.media-amazon.com/images/I/71r1SGX57qL.jpg;https://m.media-amazon.com/images/I/61CHJo0Aj2L.jpg","Crocs Unisex Classic Clog Mystic Purple Men's 8, Women's 10 Medium","10001-5BN","10001-5BN","196265881901","B0D61KWFPJ","$ 49.18","$ 49.19","$ 49.98","$ 49.98","$ 49.88","1","21","3","$ 49.99","10 Women/8 Men","","Solid","Classic Clog","","clogs-and-mules-shoes","Color: Mystic Purple; Size: 10 Women/8 Men;","Mystic Purple","200","$ 49.97","1","B0C8BJL1D3","0196265881901","","","$ 49.99","98 %","$ 7.08","15.01 %","$ 7.50","$ 49.99","3","2024/06/03","Crocs","Crocs","Crocs","Clothing, Shoes & Jewelry","Crocs",""
"com","https://m.media-amazon.com/images/I/71cO-sTUv+L.jpg;https://m.media-amazon.com/images/I/61L-EwXr+9L.jpg;https://m.media-amazon.com/images/I/61DwkwAhU7L.jpg;https://m.media-amazon.com/images/I/61mOqF8XmrL.jpg;https://m.media-amazon.com/images/I/61VldrlGqnL.jpg;https://m.media-amazon.com/images/I/61Pxg31hakL.jpg;https://m.media-amazon.com/images/I/71r1SGX57qL.jpg;https://m.media-amazon.com/images/I/61CHJo0Aj2L.jpg","Crocs Unisex Classic Clog Mystic Purple Men's 7, Women's 9 Medium","10001-5BN","10001-5BN","196265881895","B0D61L67NL","$ 49.99","$ 49.99","$ 49.99","$ 49.99","$ 49.86","-","620490","2","$ 49.99","9 Women/7 Men","","Solid","Classic Clog","","clogs-and-mules-shoes","Color: Mystic Purple; Size: 9 Women/7 Men;","Mystic Purple","500","$ 49.97","1","B0C8BJL1D3","0196265881895","","","$ 50.00","99 %","$ 7.56","15 %","$ 7.50","$ 49.99","2","2025/05/18","Crocs","Crocs","Crocs","Clothing, Shoes & Jewelry","Crocs",""
"com","https://m.media-amazon.com/images/I/819x+Yq+taL.jpg;https://m.media-amazon.com/images/I/71ua3WgRPyL.jpg;https://m.media-amazon.com/images/I/81d5+TLq4QL.jpg;https://m.media-amazon.com/images/I/71IhENHI3VL.jpg;https://m.media-amazon.com/images/I/71Uu8zz8P6L.jpg;https://m.media-amazon.com/images/I/71eYOoq6ZRL.jpg","Crocs Unisex Classic Clog Emerald Mens 7, Womens 9 Medium","10001-302-M7W9","10001-302","841158003280","B00401ZK0U","$ 49.94","$ 49.94","$ 49.95","$ 41.07","$ 39.46","3","620490","2","$ 49.99","9 Women/7 Men","","Solid","Classic Clog","","clogs-and-mules-shoes","Color: Emerald; Size: 9 Women/7 Men;","Emerald","400","$ 49.95","1","B0C8BJL1D3","0841158003280","","","$ 49.96","99 %","$ 4.99","15 %","$ 7.49","$ 49.95","2","2022/10/21","Crocs","Crocs","Crocs","Clothing, Shoes & Jewelry","Crocs","Low"
"com","https://m.media-amazon.com/images/I/819x+Yq+taL.jpg;https://m.media-amazon.com/images/I/71ua3WgRPyL.jpg;https://m.media-amazon.com/images/I/81d5+TLq4QL.jpg;https://m.media-amazon.com/images/I/71IhENHI3VL.jpg;https://m.media-amazon.com/images/I/71Uu8zz8P6L.jpg;https://m.media-amazon.com/images/I/71eYOoq6ZRL.jpg","Crocs Unisex Classic Clog Emerald Mens 9, Womens 11 Medium","10001-302-M9W11","10001-302","196265891825","B0CXGHFY6Z","$ 42.95","$ 42.95","","$ 38.83","$ 38.28","-","620412","1","$ 32.32","11 Women/9 Men","","Solid","Classic Clog","","clogs-and-mules-shoes","Color: Emerald; Size: 11 Women/9 Men;","Emerald","300","$ 49.95","1","B0C8BJL1D3","0196265891825","","","$ 49.95","100 %","$ 7.00","14.99 %","-","$ 49.95","1","2024/03/07","Crocs","Crocs","Crocs","Clothing, Shoes & Jewelry","Crocs",""
"com","https://m.media-amazon.com/images/I/819x+Yq+taL.jpg;https://m.media-amazon.com/images/I/71ua3WgRPyL.jpg;https://m.media-amazon.com/images/I/81d5+TLq4QL.jpg;https://m.media-amazon.com/images/I/71IhENHI3VL.jpg;https://m.media-amazon.com/images/I/71Uu8zz8P6L.jpg;https://m.media-amazon.com/images/I/71eYOoq6ZRL.jpg","Crocs Unisex Classic Clog Emerald Mens 6, Womens 8 Medium","10001-302","10001-302","841158003273","B004026UNK","$ 42.95","$ 42.95","","$ 37.48","$ 38.59","1","620412","3","$ 32.47","8 Women/6 Men","","Solid","Classic Clog","Ethylene Vinyl Acetate","clogs-and-mules-shoes","Color: Emerald; Size: 8 Women/6 Men;","Emerald","500","$ 49.95","1","B0C8BJL1D3","0841158003273","","","$ 49.96","87 %","$ 7.08","14.99 %","-","$ 49.95","3","2022/10/21","Crocs","Crocs","Crocs","Clothing, Shoes & Jewelry","Crocs",""
"com","https://m.media-amazon.com/images/I/819x+Yq+taL.jpg;https://m.media-amazon.com/images/I/71ua3WgRPyL.jpg;https://m.media-amazon.com/images/I/81d5+TLq4QL.jpg;https://m.media-amazon.com/images/I/71IhENHI3VL.jpg;https://m.media-amazon.com/images/I/71Uu8zz8P6L.jpg;https://m.media-amazon.com/images/I/71eYOoq6ZRL.jpg","Crocs Unisex Classic Clog Emerald Mens 10, Womens 12 Medium","10001-302-M10W12","10001-302","196265891771","B0CXG7RT5L","$ 39.98","$ 39.98","","$ 38.47","$ 37.61","1","620490","2","$ 32.47","12 Women/10 Men","","Solid","Classic Clog","","clogs-and-mules-shoes","Color: Emerald; Size: 12 Women/10 Men;","Emerald","500","$ 49.95","1","B0C8BJL1D3","0196265891771","","","$ 49.95","85 %","$ 7.64","15.01 %","-","$ 49.95","2","2024/03/07","Crocs","Crocs","Crocs","Clothing, Shoes & Jewelry","Crocs",""
