Barcode,Cost,ADJ,Source,Tag
'196175851766,$27.99,$22.39,https://www.shopwss.com/products/60231710y?variant=41214643437623,eligible-discount
'197882729263,$38.39,$30.71,https://www.shopwss.com/products/60502999?variant=41080542691383,eligible-discount
'197882729270,$38.39,$30.71,https://www.shopwss.com/products/60502999?variant=41080542724151,eligible-discount
'197882729300,$38.39,$30.71,https://www.shopwss.com/products/60502999?variant=41080542756919,eligible-discount
'197882729294,$38.39,$30.71,https://www.shopwss.com/products/60502999?variant=41080542789687,eligible-discount
'197882729324,$38.39,$30.71,https://www.shopwss.com/products/60502999?variant=41080542822455,eligible-discount
'197882729287,$38.39,$30.71,https://www.shopwss.com/products/60502999?variant=41080542855223,eligible-discount
'197882729331,$38.39,$30.71,https://www.shopwss.com/products/60502999?variant=41080542887991,eligible-discount
'197882729317,$38.39,$30.71,https://www.shopwss.com/products/60502999?variant=41080542920759,eligible-discount
'197882729348,$38.39,$30.71,https://www.shopwss.com/products/60502999?variant=41080542953527,eligible-discount
'400000106878,$28.00,$22.40,https://www.shopwss.com/products/lld7314757-blk?variant=40971540365367,eligible-discount
'198582969904,$31.19,$24.95,https://www.shopwss.com/products/60666839?variant=41214504566839,eligible-discount
'198582969782,$31.19,$24.95,https://www.shopwss.com/products/60666840?variant=41214636523575,eligible-discount
'198582984372,$31.19,$24.95,https://www.shopwss.com/products/60666778?variant=41214636556343,eligible-discount
'198582979286,$31.19,$24.95,https://www.shopwss.com/products/60666747?variant=41214636589111,eligible-discount
'198582969713,$31.19,$24.95,https://www.shopwss.com/products/60666838?variant=41214636621879,eligible-discount
'197882728358,$38.39,$30.71,https://www.shopwss.com/products/60503005?variant=41214636654647,eligible-discount
'197882728365,$38.39,$30.71,https://www.shopwss.com/products/60503005?variant=41214636687415,eligible-discount
'197882728396,$38.39,$30.71,https://www.shopwss.com/products/60503005?variant=41214636720183,eligible-discount
'197882728389,$38.39,$30.71,https://www.shopwss.com/products/60503005?variant=41214636752951,eligible-discount
'197882728419,$38.39,$30.71,https://www.shopwss.com/products/60503005?variant=41214636785719,eligible-discount
'197882728372,$38.39,$30.71,https://www.shopwss.com/products/60503005?variant=41214636818487,eligible-discount
'197882728426,$38.39,$30.71,https://www.shopwss.com/products/60503005?variant=41214636851255,eligible-discount
'197882728402,$38.39,$30.71,https://www.shopwss.com/products/60503005?variant=41214636884023,eligible-discount
'197882728433,$38.39,$30.71,https://www.shopwss.com/products/60503005?variant=41214636916791,eligible-discount
'888254214585,$16.00,$12.80,https://www.shopwss.com/products/jk5433b?variant=41379516416055,eligible-discount
'196175850745,$27.19,$21.75,https://www.shopwss.com/products/60231675?variant=40942587281463,eligible-discount
'197882731501,$27.19,$21.75,https://www.shopwss.com/products/60503229?variant=41080543641655,eligible-discount
'196475310291,$24.00,$19.20,https://www.shopwss.com/products/is6934?variant=40951413604407,eligible-discount
'677838480597,$11.99,$9.59,https://www.shopwss.com/products/95a126_g1a?variant=40948913274935,eligible-discount
'677838480627,$11.99,$9.59,https://www.shopwss.com/products/95a126_g1a?variant=40948913307703,eligible-discount
'677838480610,$11.99,$9.59,https://www.shopwss.com/products/95a126_g1a?variant=40948913340471,eligible-discount
'677838480603,$11.99,$9.59,https://www.shopwss.com/products/95a126_g1a?variant=40948913373239,eligible-discount
'198445229473,$63.99,$51.19,https://www.shopwss.com/products/211481_90h?variant=41435779530807,eligible-discount
'198445229480,$63.99,$51.19,https://www.shopwss.com/products/211481_90h?variant=41435779563575,eligible-discount
'198445229497,$63.99,$51.19,https://www.shopwss.com/products/211481_90h?variant=41435779596343,eligible-discount
'198445229503,$63.99,$51.19,https://www.shopwss.com/products/211481_90h?variant=41435779629111,eligible-discount
'198445229510,$63.99,$51.19,https://www.shopwss.com/products/211481_90h?variant=41435779661879,eligible-discount
'198445229527,$63.99,$51.19,https://www.shopwss.com/products/211481_90h?variant=41435779694647,eligible-discount
'198445229374,$63.99,$51.19,https://www.shopwss.com/products/211481_90h?variant=41435779727415,eligible-discount
'198445229381,$63.99,$51.19,https://www.shopwss.com/products/211481_90h?variant=41435779760183,eligible-discount
'198445229398,$63.99,$51.19,https://www.shopwss.com/products/211481_90h?variant=41435779792951,eligible-discount
'197612870104,$20.00,$16.00,https://www.shopwss.com/products/jg8736?variant=41369071550519,eligible-discount
'197612870159,$20.00,$16.00,https://www.shopwss.com/products/jg8736?variant=41369071583287,eligible-discount
'197612870128,$20.00,$16.00,https://www.shopwss.com/products/jg8736?variant=41369071616055,eligible-discount
'197612870135,$20.00,$16.00,https://www.shopwss.com/products/jg8736?variant=41369071648823,eligible-discount
'197612870142,$20.00,$16.00,https://www.shopwss.com/products/jg8736?variant=41369071681591,eligible-discount
'197623483102,$20.00,$16.00,https://www.shopwss.com/products/jy3428?variant=41369071714359,eligible-discount
'197623486882,$20.00,$16.00,https://www.shopwss.com/products/jy3428?variant=41369071747127,eligible-discount
'197623483201,$20.00,$16.00,https://www.shopwss.com/products/jy3428?variant=41369071779895,eligible-discount
'197623483096,$20.00,$16.00,https://www.shopwss.com/products/jy3428?variant=41369071812663,eligible-discount
'197623486837,$20.00,$16.00,https://www.shopwss.com/products/jy3428?variant=41369071845431,eligible-discount
'888254218200,$22.40,$17.92,https://www.shopwss.com/products/jk5391?variant=41379516842039,eligible-discount
'198466165019,$36.00,$28.80,https://www.shopwss.com/products/ma5665_bfk?variant=41391030599735,eligible-discount
'198530393690,$36.00,$28.80,https://www.shopwss.com/products/ltr7314929-ryb?variant=41401838927927,eligible-discount
'198530932523,$36.00,$28.80,https://www.shopwss.com/products/bsa7516005-gry?variant=41401839091767,eligible-discount
'198481852987,$131.99,$105.59,https://www.shopwss.com/products/im7425_004?variant=41414774259767,eligible-discount
'198481801985,$131.99,$105.59,https://www.shopwss.com/products/im7425_004?variant=41414774292535,eligible-discount
'198481810444,$131.99,$105.59,https://www.shopwss.com/products/im7425_004?variant=41414774325303,eligible-discount
'198481827862,$131.99,$105.59,https://www.shopwss.com/products/im7425_004?variant=41414774358071,eligible-discount
'198481798148,$131.99,$105.59,https://www.shopwss.com/products/im7425_004?variant=41414774390839,eligible-discount
'198481819089,$131.99,$105.59,https://www.shopwss.com/products/im7425_004?variant=41414774423607,eligible-discount
'198481792719,$131.99,$105.59,https://www.shopwss.com/products/im7425_004?variant=41414774456375,eligible-discount
'198481796137,$131.99,$105.59,https://www.shopwss.com/products/im7425_004?variant=41414774489143,eligible-discount
'198481821907,$131.99,$105.59,https://www.shopwss.com/products/im7425_004?variant=41414774521911,eligible-discount
'198481864461,$131.99,$105.59,https://www.shopwss.com/products/im7425_004?variant=41414774554679,eligible-discount
'198481850778,$131.99,$105.59,https://www.shopwss.com/products/im7425_004?variant=41414774587447,eligible-discount
'198481785285,$131.99,$105.59,https://www.shopwss.com/products/im7425_004?variant=41414774620215,eligible-discount
'198481791330,$131.99,$105.59,https://www.shopwss.com/products/im7425_004?variant=41414774652983,eligible-discount
'198481800674,$131.99,$105.59,https://www.shopwss.com/products/im7425_004?variant=41414774685751,eligible-discount
'198482140311,$123.99,$99.19,https://www.shopwss.com/products/fq7939_061?variant=41414775144503,eligible-discount
'198482163778,$123.99,$99.19,https://www.shopwss.com/products/fq7939_061?variant=41414775177271,eligible-discount
'198482149277,$123.99,$99.19,https://www.shopwss.com/products/fq7939_061?variant=41414775210039,eligible-discount
'198482130121,$123.99,$99.19,https://www.shopwss.com/products/fq7939_061?variant=41414775242807,eligible-discount
'198482146412,$123.99,$99.19,https://www.shopwss.com/products/fq7939_061?variant=41414775275575,eligible-discount
'198482071455,$123.99,$99.19,https://www.shopwss.com/products/fq7939_061?variant=41414775308343,eligible-discount
'198482072964,$123.99,$99.19,https://www.shopwss.com/products/fq7939_061?variant=41414775341111,eligible-discount
'198482149123,$123.99,$99.19,https://www.shopwss.com/products/fq7939_061?variant=41414775373879,eligible-discount
'198482149581,$123.99,$99.19,https://www.shopwss.com/products/fq7939_061?variant=41414775406647,eligible-discount
'198482123307,$123.99,$99.19,https://www.shopwss.com/products/fq7939_061?variant=41414775439415,eligible-discount
'198482138622,$123.99,$99.19,https://www.shopwss.com/products/fq7939_061?variant=41414775472183,eligible-discount
'198482097820,$123.99,$99.19,https://www.shopwss.com/products/fq7939_061?variant=41414775504951,eligible-discount
'198482106386,$123.99,$99.19,https://www.shopwss.com/products/fq7939_061?variant=41414775537719,eligible-discount
