UPC,ASIN,Title,Cost,Price,Profit,ROI,Offers,Sales Rank,Size,Color, Source, Tag
196265881888,B0D613PJ1H,"Crocs Unisex Classic Clog Mystic Purple Men's 6, Women's 8 Medium",31.99,49.9900016784668,3.500001678466802,10.940924284047522%,5,1,8 Women/6 Men,Mystic Purple,https://www.shopwss.com/products/10001_5bn?variant=41083645100087,eligible-discount
196265881864,B0D618V9CZ,"Crocs Unisex Classic Clog Mystic Purple Men's 4, Women's 6 Medium",31.99,49.9900016784668,4.290001640319829,13.410445890340197%,1,1,6 Women/4 Men,Mystic Purple,https://www.shopwss.com/products/10001_5bn?variant=41083645034551,eligible-discount
196265881857,B0D619RMRY,"Crocs Unisex Classic Clog Mystic Purple Men's 3, Women's 5 M",31.99,0,0,,1,1,5 Women/3 Men,Mystic Purple,https://www.shopwss.com/products/10001_5bn?variant=41083645067319,eligible-discount
196265881871,B0D61GKX9R,"Crocs Unisex Classic Clog Mystic Purple Men's 5, Women's 7 Medium",31.99,49.029998779296875,2.609998950958257,8.158796345602555%,4,1,7 Women/5 Men,Mystic Purple,https://www.shopwss.com/products/10001_5bn?variant=41083645001783,eligible-discount
196265881901,B0D61KWFPJ,"Crocs Unisex Classic Clog Mystic Purple Men's 8, Women's 10 Medium",31.99,49.08000183105469,2.6500017738342336,8.283844244558406%,3,1,10 Women/8 Men,Mystic Purple,https://www.shopwss.com/products/10001_5bn?variant=41083645165623,eligible-discount
196265881895,B0D61L67NL,"Crocs Unisex Classic Clog Mystic Purple Men's 7, Women's 9 Medium",31.99,49.9900016784668,2.940001735687261,9.190377416965493%,2,1,9 Women/7 Men,Mystic Purple,https://www.shopwss.com/products/10001_5bn?variant=41083645132855,eligible-discount
841158003280,B00401ZK0U,"Crocs Unisex Classic Clog Emerald Mens 7, Womens 9 Medium",25.59,49.95000076293945,11.880001220703122,46.4243892954401%,2,1,9 Women/7 Men,Emerald,https://www.shopwss.com/products/10001_302?variant=40951277682743,eligible-discount
196265891825,B0CXGHFY6Z,"Crocs Unisex Classic Clog Emerald Mens 9, Womens 11 Medium",25.59,0,0,,1,1,11 Women/9 Men,Emerald,https://www.shopwss.com/products/10001_302?variant=40951277748279,eligible-discount
841158003273,B004026UNK,"Crocs Unisex Classic Clog Emerald Mens 6, Womens 8 Medium",25.59,0,0,,3,1,8 Women/6 Men,Emerald,https://www.shopwss.com/products/10001_302?variant=40951277649975,eligible-discount
196265891771,B0CXG7RT5L,"Crocs Unisex Classic Clog Emerald Mens 10, Womens 12 Medium",25.59,0,0,,2,1,12 Women/10 Men,Emerald,https://www.shopwss.com/products/10001_302?variant=40951277781047,eligible-discount
196265891818,B0CXFWN3ND,"Crocs Unisex Classic Clog Emerald Mens 8, Womens 10 Medium",25.59,0,0,,2,1,10 Women/8 Men,Emerald,https://www.shopwss.com/products/10001_302?variant=40951277715511,eligible-discount
196265891788,B0CXFY16XN,"Crocs Unisex Classic Clog Emerald Mens 12, Womens 14 Medium",25.59,0,0,,3,1,14 Women/12 Men,Emerald,https://www.shopwss.com/products/10001_302?variant=40951277846583,eligible-discount
841158003327,B004026VO8,"Crocs Unisex Classic Clog Emerald Mens 11, Womens 13 Medium",25.59,0,0,,1,1,13 Women/11 Men,Emerald,https://www.shopwss.com/products/10001_302?variant=40951277813815,eligible-discount
841158003266,B00401ZJS8,"Crocs Unisex Classic Clog Emerald Mens 5, Womens 7 Medium",25.59,49.95000076293945,10.250001106262204,40.05471319367801%,1,1,7 Women/5 Men,Emerald,https://www.shopwss.com/products/10001_302?variant=40951277944887,eligible-discount
196265891795,B0CXFW6YBG,"Crocs Unisex Classic Clog Emerald Mens 13, Womens 15 Medium",25.59,0,0,,1,1,15 Women/13 Men,Emerald,https://www.shopwss.com/products/10001_302?variant=40951277879351,eligible-discount
196265891801,B0CXG4BP9T,"Crocs Unisex Classic Clog Emerald Mens 4, Womens 6 Medium",25.59,0,0,,2,1,6 Women/4 Men,Emerald,https://www.shopwss.com/products/10001_302?variant=40951277912119,eligible-discount
191448101685,B0728CNXWK,"Crocs Unisex-Adult Classic Clogs, Slate Grey, 12 Men/14 Women",31.99,39.95000076293945,-5.26999877929687,-16.473894277264364%,3,1,14 Women/12 Men,Slate Grey,https://www.shopwss.com/products/10001_0da?variant=41419650531383,eligible-discount
191448101791,B0725RV7G2,"Crocs Unisex-Adult Classic Clogs, Slate Grey, 9 Men/11 Women",31.99,39.95000076293945,-5.749998798370356,-17.974363233417805%,2,1,11 Women/9 Men,Slate Grey,https://www.shopwss.com/products/10001_0da?variant=41419650662455,eligible-discount
191448101784,B071FBKTRC,"Crocs Unisex-Adult Classic Clogs, Slate Grey, 8 Men/10 Women",31.99,46.709999084472656,0.7099988555908254,2.21943999872093%,8,1,10 Women/8 Men,Slate Grey,https://www.shopwss.com/products/10001_0da?variant=41419650629687,eligible-discount
191448101661,B071LJ1Z1Z,"Crocs Unisex-Adult Classic Clogs, Slate Grey, 10 Men/12 Women",31.99,49.95000076293945,2.990000972747808,9.34667387542297%,1,1,12 Women/10 Men,Slate Grey,https://www.shopwss.com/products/10001_0da?variant=41419650465847,eligible-discount
191448101777,B0728CNYBJ,"Crocs Unisex-Adult Classic Clogs, Slate Grey, 7 Men/9 Women",31.99,49.95000076293945,2.990000972747808,9.34667387542297%,2,1,9 Women/7 Men,Slate Grey,https://www.shopwss.com/products/10001_0da?variant=41419650596919,eligible-discount
191448101760,B0728CNXVY,Crocs Women's Classic Mule Slate Grey - 6 US Men/ 8 US Women M US,31.99,49.95000076293945,3.470000991821294,10.847142831576411%,4,1,8 Women/6 Men,Slate Grey,https://www.shopwss.com/products/10001_0da?variant=41419650564151,eligible-discount
883503185654,B0015259Z8,"Crocs Classic Clog,White,Women's 11 M US/Men's 9 M US",31.99,40.779998779296875,-5.050000896453852,-15.786185984538456%,9,1,11 Women/9 Men,White,https://www.shopwss.com/products/10001_100?variant=40942228701239,eligible-discount
883503185630,B001526RFY,"Crocs Unisex-Adult Classic Clogs, White, 7 Men/9 Women",31.99,41,-4.299999942779536,-13.44170035254622%,6,1,9 Women/7 Men,White,https://www.shopwss.com/products/10001_100?variant=40942228635703,eligible-discount
883503185647,B00152AGEW,"Crocs Unisex-Adult Classic Clogs, White, 8 Men/10 Women",31.99,40.81999969482422,-2.810000171661372,-8.78399553504649%,11,1,10 Women/8 Men,White,https://www.shopwss.com/products/10001_100?variant=40942228668471,eligible-discount
883503185616,B00152AGCY,"Crocs Unisex-Adult Classic Clogs, White, 5 Men/7 Women",31.99,40.91999816894531,-4.210001697540278,-13.160367919788305%,7,1,7 Women/5 Men,White,https://www.shopwss.com/products/10001_100?variant=40942228799543,eligible-discount
883503185661,B00152CJ60,"Crocs Classic Clog,White,Women's 12 M US/Men's 10 M US",31.99,39.95000076293945,-5.589998950958247,-17.474207411560634%,14,1,12 Women/10 Men,White,https://www.shopwss.com/products/10001_100?variant=40942228734007,eligible-discount
883503185678,B00152AGGA,"Crocs Classic Clog,White,Women's 13 M US/Men's 11 M US",31.99,39.95000076293945,-6.309998741149897,-19.724910100499837%,8,1,13 Women/11 Men,White,https://www.shopwss.com/products/10001_100?variant=40942228832311,eligible-discount
883503185609,B001526REU,"Crocs Unisex-Adult Classic Clogs, White, 4 Men/6 Women",31.99,41.95000076293945,-2.949999084472651,-9.221628898007662%,6,1,6 Women/4 Men,White,https://www.shopwss.com/products/10001_100?variant=40942228766775,eligible-discount
883503185623,B001526RFO,"Crocs Unisex-Adult Classic Clogs, White, 6 Men/8 Women",31.99,32,-11.870000114440913,-37.10534577818353%,10,1,8 Women/6 Men,White,https://www.shopwss.com/products/10001_100?variant=40942228602935,eligible-discount
883503185685,B001526RHC,"Crocs Unisex-Adult Classic Clogs, White, 12 Men/14 Women",31.99,38.5,-7.320000400543208,-22.88215192417383%,10,1,14 Women/12 Men,White,https://www.shopwss.com/products/10001_100?variant=40942228865079,eligible-discount
883503185692,B001526RIG,"Crocs Unisex-Adult Classic Clogs, White, 13 Men/15 Women",31.99,37.97999954223633,-7.110000362396235,-22.22569666269533%,11,1,15 Women/13 Men,White,https://www.shopwss.com/products/10001_100?variant=40942228897847,eligible-discount
191448101746,B071FBKTRQ,"Crocs Unisex-Adult Classic Clogs, Slate Grey, 4 Men/6 Women",31.99,39,-5.049999942779536,-15.786183003374605%,8,1,6 Women/4 Men,Slate Grey,https://www.shopwss.com/products/10001_0da?variant=41419651022903,eligible-discount
191448101753,B071FBKV8B,"Crocs Unisex Classic Clog, Slate Grey, 7 Women/5 Men",31.99,49.95000076293945,3.850001106262212,12.035014399069123%,4,1,7 Women/5 Men,Slate Grey,https://www.shopwss.com/products/10001_0da?variant=41419650695223,eligible-discount
191448101692,B071HXB8GZ,"Crocs Unisex-Adult Classic Clogs, Slate Grey, 13 Men/15 Women",31.99,49.900001525878906,2.5400016403198293,7.939986371740636%,1,1,15 Women/13 Men,Slate Grey,https://www.shopwss.com/products/10001_0da?variant=41419650924599,eligible-discount
196265528370,B0C7K2CZ56,"Crocs Unisex-Adult Classic Clog, Clogs for Women and Men, Latte, 4 Men/6 Women",31.99,39.63999938964844,-4.350000610351557,-13.598001282749477%,6,1,6 Women/4 Men,Latte,https://www.shopwss.com/products/10001_2q9?variant=40943168061495,eligible-discount
196265528394,B0C7K64C9V,"Crocs Unisex-Adult Classic Clog, Clogs for Women and Men, Latte, 6 Men/8 Women",31.99,39.95000076293945,-4.649998893737788,-14.535788976985897%,4,1,8 Women/6 Men,Latte,https://www.shopwss.com/products/10001_2q9?variant=40943168258103,eligible-discount
196265528387,B0C7K64C9W,"Crocs Unisex-Adult Classic Clog, Clogs for Women and Men, Latte, 5 Men/7 Women",31.99,43.34000015258789,-1.359999885559077,-4.251328182429124%,5,1,7 Women/5 Men,Latte,https://www.shopwss.com/products/10001_2q9?variant=40943168028727,eligible-discount
196265528400,B0C7KD3GKY,"Crocs Unisex-Adult Classic Clog, Clogs for Women and Men, Latte, 7 Men/9 Women",31.99,39.95000076293945,-5.509999027252192,-17.22412950063205%,3,1,9 Women/7 Men,Latte,https://www.shopwss.com/products/10001_2q9?variant=40943168323639,eligible-discount
196265528417,B0C7JYLGL3,"Crocs Unisex-Adult Classic Clog, Clogs for Women and Men, Latte, 8 Men/10 Women",31.99,40.439998626708984,-4.8600013160705515,-15.192251691374029%,6,1,10 Women/8 Men,Latte,https://www.shopwss.com/products/10001_2q9?variant=40943168389175,eligible-discount
841158002771,B0014C2PZG,"Crocs Unisex-Adult Classic Clogs, Navy, 12 Men/14 Women",31.99,46.91999816894531,0.32999826431274926,1.0315669406462935%,6,1,14 Women/12 Men,Navy,https://www.shopwss.com/products/10001_410?variant=40942227750967,eligible-discount
841158002726,B0014C3X2K,"Crocs Unisex-Adult Classic Clogs, Navy, 7 Men/9 Women",31.99,49.77000045776367,3.230000743865972,10.09690760820873%,5,1,9 Women/7 Men,Navy,https://www.shopwss.com/products/10001_410?variant=40942227816503,eligible-discount
841158002702,B0014C5UKI,"Crocs Unisex-Adult Classic Clogs, Navy, 5 Men/7 Women",31.99,44.95000076293945,-1.0199987792968699,-3.188492589236855%,7,1,7 Women/5 Men,Navy,https://www.shopwss.com/products/10001_410?variant=40942227914807,eligible-discount
841158002757,B0014C5USU,"Crocs Unisex-Adult Classic Clogs, Navy, 12 Women/10 Men",31.99,49.709999084472656,2.4599988555908254,7.689899517320492%,3,1,12 Women/10 Men,Navy,https://www.shopwss.com/products/10001_410?variant=40942227685431,eligible-discount
841158002740,B0014C3X5C,"Crocs Unisex-Adult Classic Clogs, Navy, 9 Men/11 Women",31.99,48.93000030517578,2.3600003814697317,7.377306600405538%,3,1,11 Women/9 Men,Navy,https://www.shopwss.com/products/10001_410?variant=40942227882039,eligible-discount
841158002719,B0014C5ULM,"Crocs Unisex-Adult Classic Clogs, Navy, 6 Men/8 Women",31.99,48.189998626708984,1.9699986076355032,6.158170077010014%,7,1,8 Women/6 Men,Navy,https://www.shopwss.com/products/10001_410?variant=40942227783735,eligible-discount
841158002788,B0014C5UVM,"Crocs Men's and Women's Classic Clog, Navy, 15 Women/13 Men",31.99,43.029998779296875,-3.450000991821284,-10.784623294220957%,6,1,15 Women/13 Men,Navy,https://www.shopwss.com/products/10001_410?variant=40942227980343,eligible-discount
841158002481,B0014BYHJE,"Crocs Unisex-Adult Classic Clogs, Black, 11 Men/13 Women",31.99,34.34000015258789,-10.0399997138977,-31.38480685807346%,17,1,13 Women/11 Men,Black,https://www.shopwss.com/products/10001-001?variant=40942213431351,eligible-discount
