Price,UPC,Quantity,Source
$4.99,'035051526674,,https://shop.mgae.com/collections/all-1/products/cartuned-series-3-1957-chevy-bel-air-custom-red
$4.99,'035051526681,,https://shop.mgae.com/collections/all-1/products/cartuned-series-3-1987-chevy-c10-lowrider-kandy-blue
$4.99,'035051526698,,https://shop.mgae.com/collections/all-1/products/cartuned-series-3-1969-chevy-camaro-muscle-white
$4.99,'035051560142,,https://shop.mgae.com/collections/all-1/products/moj-moj-pop-series-1
$4.99,'035051526704,,https://shop.mgae.com/collections/all-1/products/cartuned-series-3-1969-chevy-k5-blazer-lowrider-kandy-purple
$4.99,'035051560029,,https://shop.mgae.com/collections/all-1/products/moj-moj-crunch-series-1
$4.99,'035051526711,,https://shop.mgae.com/collections/all-1/products/cartuned-series-3-1987-chevy-c10-custom-m-tan
$4.99,'035051526728,,https://shop.mgae.com/collections/all-1/products/cartuned-series-3-1957-chevy-bel-air-lowrider-kandy-green
$4.99,'035051526735,39,https://shop.mgae.com/collections/all-1/products/cartuned-series-3-1963-chevy-corvette-stingray-pro-street-m-orange
$5.99,'035051557760,19,https://shop.mgae.com/collections/all-1/products/lol-surprise-playing-cards-pets
$5.99,'035051542605,,https://shop.mgae.com/collections/all-1/products/lol-surprise-eye-spy-baby-sisters
$5.99,'035051557784,11,https://shop.mgae.com/collections/all-1/products/lol-surprise-playing-cards-lil-sisters
$5.99,'035051526476,,https://shop.mgae.com/collections/all-1/products/yummiland-num-nom-scent-roller
$6.99,'035051533283,,https://shop.mgae.com/collections/all-1/products/mgas-miniverse-make-it-mini-food-cafe-series-3-mini-collectibles
$5.99,'035051546689,,https://shop.mgae.com/collections/all-1/products/yummiland-num-noms-body-scent-series-2
$4.99,'035051526667,,https://shop.mgae.com/collections/all-1/products/cartuned-series-3-1964-chevy-impala-lowrider-yellow
$7.99,'035051521686,35,https://shop.mgae.com/collections/all-1/products/rainbow-high-fashion-pack-ballet-recital
$4.99,'035051565802,,https://shop.mgae.com/collections/all-1/products/l-ol-surprise-tiny-toys-1
$4.99,'035051515760,,https://shop.mgae.com/collections/all-1/products/lol-surprise-mermaids-baby-sisters
$6.99,'035051534167,,https://shop.mgae.com/collections/all-1/products/mgas-miniverse-make-it-mini-lifestyle-home-series-1
$4.99,'035051513674,,https://shop.mgae.com/collections/all-1/products/cartuned-series-1-1964-chevy-impala-lowrider-diecast-vehicle
$4.99,'035051593911,,https://shop.mgae.com/collections/all-1/products/cartuned-series-1-1957-chevy-bel-air-pro-street
$7.99,'035051514527,,https://shop.mgae.com/collections/all-1/products/mgas-miniverse-mini-uv-flashlight
$4.99,'035051513704,,https://shop.mgae.com/collections/all-1/products/cartuned-series-1-1956-chevy-nomad-lowrider-black
$4.99,'035051513681,,https://shop.mgae.com/collections/all-1/products/cartuned-series-1-1947-chevy-fleetline-black
$4.99,'035051513728,,https://shop.mgae.com/collections/all-1/products/cartuned-series-1-1969-chevy-camaro-custom-diecast-vehicle
$4.99,'035051513735,,https://shop.mgae.com/collections/all-1/products/cartuned-series-1-1987-chevy-c10-custom-diecast-vehicle
$4.99,'035051513346,43,https://shop.mgae.com/collections/all-1/products/cartuned-series-1-1969-chevy-k5-blazer-custom
$4.99,'035051592471,,https://shop.mgae.com/collections/all-1/products/cartuned-series-2-1964-chevy-impala-custom-diecast-vehicle
$4.99,'035051514824,,https://shop.mgae.com/collections/all-1/products/cartuned-series-2-1957-chevy-bel-air-kandy-purple-diecast-vehicle
$4.99,'035051514923,,https://shop.mgae.com/collections/all-1/products/cartuned-series-2-1956-chevy-nomad-kandy-pink-diecast-vehicle
$4.99,'035051593935,,https://shop.mgae.com/collections/all-1/products/cartuned-series-2-1969-chevy-camaro-stock-diecast-vehicle
$6.99,'035051513841,,https://shop.mgae.com/collections/all-1/products/mgas-miniverse-make-it-mini-happy-hour
$4.99,'035051593898,,https://shop.mgae.com/collections/all-1/products/cartuned-series-2-1969-chevy-k5-blazer-custom-diecast-vehicle
$4.99,'035051594024,,https://shop.mgae.com/collections/all-1/products/cartuned-series-2-1963-chevy-corvette-race-diecast-vehicle
$4.99,'035051515067,,https://shop.mgae.com/collections/all-1/products/cartuned-series-2-1987-chevy-c10-custom-diecast-vehicle
$4.99,'035051560005,,https://shop.mgae.com/collections/all-1/products/moj-moj-squish-series-1
$4.99,'035051514978,,https://shop.mgae.com/collections/all-1/products/cartuned-series-2-1953-chevy-troka-kandy-green-2-tone-diecast-vehicle
$4.99,'035051560012,3,https://shop.mgae.com/collections/all-1/products/moj-moj-bubble-series-1
$4.99,'035051513711,,https://shop.mgae.com/collections/all-1/products/cartuned-series-1-1963-chevy-corvette-muscle-diecast-vehicle
$7.99,'035051528166,,https://shop.mgae.com/collections/all-1/products/mgas-miniverse-make-it-mini-nature-series-2
$8.44,'035051555582,45,https://shop.mgae.com/collections/all-1/products/lol-surprise-pass-the-surprise-game-mc-hammy
$8.99,'035051564942,,https://shop.mgae.com/collections/all-1/products/l-o-l-surprise-furniture-backstage-with-independent-queen
$8.44,'035051555568,46,https://shop.mgae.com/collections/all-1/products/lol-surprise-pass-the-surprise-game-neon-qt
$8.99,'035051574750,,https://shop.mgae.com/collections/all-1/products/lol-surprise-lunar-new-year-doll-or-pet-with-7-surprises
$8.99,'035051569374,,https://shop.mgae.com/collections/all-1/products/l-o-l-surprise-boys-arcade-heroes-action-figure-doll-with-15-surprises
