Barcode,Cost,ADJ,Source,Tag
'197617747159,$32.00,$25.60,https://www.shopwss.com/products/jz9995?variant=41333389918263,eligible-discount
'197626881776,$12.00,$9.60,https://www.shopwss.com/products/jp1577?variant=41334558130231,eligible-discount
'197626874273,$32.00,$25.60,https://www.shopwss.com/products/jp1576?variant=41334558097463,eligible-discount
'197626881769,$12.00,$9.60,https://www.shopwss.com/products/jp1544?variant=41333389983799,eligible-discount
'197617712706,$20.00,$16.00,https://www.shopwss.com/products/jn7307?variant=41333390016567,eligible-discount
'197617507159,$12.00,$9.60,https://www.shopwss.com/products/jn7306?variant=41334559178807,eligible-discount
'197617685758,$32.00,$25.60,https://www.shopwss.com/products/jn7297?variant=41333389885495,eligible-discount
'198553867529,$12.00,$9.60,https://www.shopwss.com/products/8472101?variant=41321787457591,eligible-discount
'198553868519,$20.00,$16.00,https://www.shopwss.com/products/8471703?variant=41316224663607,eligible-discount
'198553867055,$36.00,$28.80,https://www.shopwss.com/products/8470401?variant=41316224532535,eligible-discount
'198975134438,$27.99,$22.39,https://www.shopwss.com/products/60725793?variant=41416910176311,eligible-discount
'198975137859,$27.99,$22.39,https://www.shopwss.com/products/60725739?variant=41416909881399,eligible-discount
'198759575747,$38.39,$30.71,https://www.shopwss.com/products/60691442?variant=41398703325239,eligible-discount
'198759575754,$38.39,$30.71,https://www.shopwss.com/products/60691442?variant=41398703358007,eligible-discount
'198759575785,$38.39,$30.71,https://www.shopwss.com/products/60691442?variant=41398703390775,eligible-discount
'198759575778,$38.39,$30.71,https://www.shopwss.com/products/60691442?variant=41398703423543,eligible-discount
'198759575808,$38.39,$30.71,https://www.shopwss.com/products/60691442?variant=41398703456311,eligible-discount
'198759575761,$38.39,$30.71,https://www.shopwss.com/products/60691442?variant=41398703489079,eligible-discount
'198759575815,$38.39,$30.71,https://www.shopwss.com/products/60691442?variant=41398703521847,eligible-discount
'198759575792,$38.39,$30.71,https://www.shopwss.com/products/60691442?variant=41398703554615,eligible-discount
'198759575822,$38.39,$30.71,https://www.shopwss.com/products/60691442?variant=41398703587383,eligible-discount
'198759576782,$38.39,$30.71,https://www.shopwss.com/products/60691435?variant=41398702440503,eligible-discount
'198759576799,$38.39,$30.71,https://www.shopwss.com/products/60691435?variant=41398702473271,eligible-discount
'198759576829,$38.39,$30.71,https://www.shopwss.com/products/60691435?variant=41398702506039,eligible-discount
'198759576812,$38.39,$30.71,https://www.shopwss.com/products/60691435?variant=41398702538807,eligible-discount
'198759576843,$38.39,$30.71,https://www.shopwss.com/products/60691435?variant=41398702571575,eligible-discount
'198759576805,$38.39,$30.71,https://www.shopwss.com/products/60691435?variant=41398702604343,eligible-discount
'198759576850,$38.39,$30.71,https://www.shopwss.com/products/60691435?variant=41398702637111,eligible-discount
'198759576836,$38.39,$30.71,https://www.shopwss.com/products/60691435?variant=41398702669879,eligible-discount
'198759576867,$38.39,$30.71,https://www.shopwss.com/products/60691435?variant=41398702702647,eligible-discount
'198759577567,$38.39,$30.71,https://www.shopwss.com/products/60691424?variant=41398701948983,eligible-discount
'198759577574,$38.39,$30.71,https://www.shopwss.com/products/60691424?variant=41398701981751,eligible-discount
'198759577604,$38.39,$30.71,https://www.shopwss.com/products/60691424?variant=41398702014519,eligible-discount
'198759577598,$38.39,$30.71,https://www.shopwss.com/products/60691424?variant=41398702047287,eligible-discount
'198759577628,$38.39,$30.71,https://www.shopwss.com/products/60691424?variant=41398702080055,eligible-discount
'198759577581,$38.39,$30.71,https://www.shopwss.com/products/60691424?variant=41398702112823,eligible-discount
'198759577635,$38.39,$30.71,https://www.shopwss.com/products/60691424?variant=41398702145591,eligible-discount
'198759577611,$38.39,$30.71,https://www.shopwss.com/products/60691424?variant=41398702178359,eligible-discount
'198759577642,$38.39,$30.71,https://www.shopwss.com/products/60691424?variant=41398702211127,eligible-discount
'400000106977,$38.00,$30.40,https://www.shopwss.com/products/ke1257_612?variant=41018699546679,eligible-discount
'400000106984,$38.00,$30.40,https://www.shopwss.com/products/ke1257_612?variant=41018699579447,eligible-discount
'400000106991,$38.00,$30.40,https://www.shopwss.com/products/ke1257_612?variant=41018699612215,eligible-discount
'400000107004,$38.00,$30.40,https://www.shopwss.com/products/ke1257_612?variant=41018699644983,eligible-discount
'198758798529,$99.99,$79.99,https://www.shopwss.com/products/14541956?variant=41330214961207,eligible-discount
'198758798512,$99.99,$79.99,https://www.shopwss.com/products/14541956?variant=41330214993975,eligible-discount
'198758798505,$99.99,$79.99,https://www.shopwss.com/products/14541956?variant=41330215026743,eligible-discount
'198758798536,$99.99,$79.99,https://www.shopwss.com/products/14541956?variant=41330215059511,eligible-discount
'198758798567,$99.99,$79.99,https://www.shopwss.com/products/14541956?variant=41330215092279,eligible-discount
'198555040692,$87.99,$70.39,https://www.shopwss.com/products/313081_01?variant=41379791503415,eligible-discount
'198555040760,$87.99,$70.39,https://www.shopwss.com/products/313081_01?variant=41379791536183,eligible-discount
'198555040708,$87.99,$70.39,https://www.shopwss.com/products/313081_01?variant=41379791568951,eligible-discount
'198555040777,$87.99,$70.39,https://www.shopwss.com/products/313081_01?variant=41379791601719,eligible-discount
'198555040715,$87.99,$70.39,https://www.shopwss.com/products/313081_01?variant=41379791634487,eligible-discount
'198555040784,$87.99,$70.39,https://www.shopwss.com/products/313081_01?variant=41379791667255,eligible-discount
'198555040722,$87.99,$70.39,https://www.shopwss.com/products/313081_01?variant=41379791700023,eligible-discount
'198555040791,$87.99,$70.39,https://www.shopwss.com/products/313081_01?variant=41379791732791,eligible-discount
'198555040739,$87.99,$70.39,https://www.shopwss.com/products/313081_01?variant=41379791765559,eligible-discount
'198555040807,$87.99,$70.39,https://www.shopwss.com/products/313081_01?variant=41379791798327,eligible-discount
'198555040746,$87.99,$70.39,https://www.shopwss.com/products/313081_01?variant=41379791831095,eligible-discount
