UPC,Price,Variant,Source Link
810957035075,179.99,Pro (Standard),https://acenrally.com/products/engage-pursuit-mx-6-0-pro-raw-t700?variant=44074941350085
810957035082,179.99,Pro Lite,https://acenrally.com/products/engage-pursuit-mx-6-0-pro-raw-t700?variant=44074941382853
,98.00,White/AmparoBlue/SafetyYellow / 8,https://acenrally.com/products/rush-pro-ace-mens?variant=44921628786885
,98.00,White/AmparoBlue/SafetyYellow / 8.5,https://acenrally.com/products/rush-pro-ace-mens?variant=44921628819653
097512909556,98.00,White/AmparoBlue/SafetyYellow / 9,https://acenrally.com/products/rush-pro-ace-mens?variant=44921628852421
097512909525,98.00,White/AmparoBlue/SafetyYellow / 9.5,https://acenrally.com/products/rush-pro-ace-mens?variant=44921628885189
810957035990,179.99,Pro (Standard),https://acenrally.com/products/engage-pursuit-pro1-raw-t700?variant=44074965827781
810957036003,179.99,Pro Lite,https://acenrally.com/products/engage-pursuit-pro1-raw-t700?variant=44074965860549
097512909457,98.00,White/AmparoBlue/SafetyYellow / 10,https://acenrally.com/products/rush-pro-ace-mens?variant=44921628917957
,109.00,White/Port Royale (Burgandy) / 7,https://acenrally.com/products/jet-tere-2-all-court-mens-shoes-2025?variant=44893200974021
,109.00,White/Port Royale (Burgandy) / 7.5,https://acenrally.com/products/jet-tere-2-all-court-mens-shoes-2025?variant=44893201006789
3324922274484,109.00,White/Port Royale (Burgandy) / 8,https://acenrally.com/products/jet-tere-2-all-court-mens-shoes-2025?variant=44893201039557
097512909426,98.00,White/AmparoBlue/SafetyYellow / 10.5,https://acenrally.com/products/rush-pro-ace-mens?variant=44921628950725
3324922274491,109.00,White/Port Royale (Burgandy) / 8.5,https://acenrally.com/products/jet-tere-2-all-court-mens-shoes-2025?variant=44893201072325
810957036010,259.99,Pro (Standard),https://acenrally.com/products/engage-pursuit-pro1-6-0-raw-t700?variant=44074957635781
097512909464,98.00,White/AmparoBlue/SafetyYellow / 11,https://acenrally.com/products/rush-pro-ace-mens?variant=44921628983493
840309305037,125.99,Purple,https://acenrally.com/products/selkirk-amped-pro-air-epic-2024?variant=44070899581125
,109.00,Terra Cotta / 6,https://acenrally.com/products/jet-tere-2-all-court-womens-shoe-2025?variant=44893172465861
810957036645,179.99,MX: Deep Magenta,https://acenrally.com/products/pursuit-pro-mx-6-0-raw-t700-carbon-fiber-elongated-8-1-8-5-oz-standard-deep-magenta?variant=44271040331973
810957032586,49.99,Default Title,https://acenrally.com/products/engage-trident?variant=44074971332805
3324922274507,109.00,White/Port Royale (Burgandy) / 9,https://acenrally.com/products/jet-tere-2-all-court-mens-shoes-2025?variant=44893201105093
810957036027,259.99,Pro Lite,https://acenrally.com/products/engage-pursuit-pro1-6-0-raw-t700?variant=44074957668549
097512909433,98.00,White/AmparoBlue/SafetyYellow / 11.5,https://acenrally.com/products/rush-pro-ace-mens?variant=44921629016261
840309305020,125.99,Red,https://acenrally.com/products/selkirk-amped-pro-air-epic-2024?variant=44070899679429
,109.00,Terra Cotta / 6.5,https://acenrally.com/products/jet-tere-2-all-court-womens-shoe-2025?variant=44893172498629
4002560170076,199.99,Default Title,https://acenrally.com/products/joola-tyson-mcguffin-magnus-3-14mm-pickleball-paddle?variant=44070896926917
810957035037,179.99,Pro (Standard),https://acenrally.com/products/engage-pursuit-mx-pro-raw-t700?variant=44074948133061
4002560170106,199.99,Default Title,https://acenrally.com/products/joola-simone-jardim-hyperion-3-16mm-pickleball-paddle?variant=44070896959685
810957036706,179.99,EX: Alpine Lime,https://acenrally.com/products/pursuit-pro-ex-6-0-raw-t700-carbon-fiber-standard-8-1-8-5-oz-standard-alpine-lime?variant=44271041609925
3324922143544,199.00,Default Title,https://acenrally.com/products/bablolat-wzrd-paddle?variant=44070897615045
3324922079164,169.00,Default Title,https://acenrally.com/products/babolat-rbel-paddle?variant=44070897647813
810957036720,179.99,MX: Alpine Lime,https://acenrally.com/products/pursuit-pro-mx-6-0-raw-t700-carbon-fiber-elongated-8-1-8-5-oz-standard-alpine-lime?variant=44271042986181
097512893183,219.00,Default Title,https://acenrally.com/products/cadence-edgeless-16mm-pickleball-paddle?variant=44495626338501
840309313728,179.99,Default Title,https://acenrally.com/products/amped-pro-air-invikta-holderness-2024?variant=44262455279813
726423381372,169.95,Default Title,https://acenrally.com/products/head-radical-tour-raw-2024-paddle?variant=44070897680581
810957036232,179.99,Pro1: Jessie-Irvine-Signature,https://acenrally.com/products/pursuit-pro1-6-0-power-series-raw-t700-carbon-fiber?variant=44271038333125
3324922079140,139.99,MNSTR,https://acenrally.com/products/babolat-mnstr-paddle?variant=44070901383365
810957035051,179.99,Pro (Standard),https://acenrally.com/products/engage-pursuit-ex-6-0-raw-t700?variant=44074923425989
840309305075,179.99,Red,https://acenrally.com/products/selkirk-amped-pro-air-invikta-2024?variant=44070899810501
,109.99,Default Title,https://acenrally.com/products/selkirk-labs-005-invikta-paddle?variant=44353882685637
4002560185155,169.95,Default Title,https://acenrally.com/products/joola-ben-johns-perseus-cfs-14-pickleball-paddle?variant=44070897320133
754806309347,79.99,Black,https://acenrally.com/products/onix-z5-paddle?variant=44151527407813
,149.00,FluoYellow/NavyBlue / 6,https://acenrally.com/products/jet-mach-pickleball-mens-shoes?variant=44696920490181
198772002121,169.95,Default Title,https://acenrally.com/products/gravity-tour-ex-pickleball-paddle?variant=44470113730757
4002560185179,169.95,Default Title,https://acenrally.com/products/joola-collin-johns-scorpeus-cfs-16-pickleball-paddle?variant=44070898565317
3324922274514,109.00,White/Port Royale (Burgandy) / 9.5,https://acenrally.com/products/jet-tere-2-all-court-mens-shoes-2025?variant=44893201137861
724794749968,169.95,Boom Tour EX - 4 1/8,https://acenrally.com/products/boom-tour-ex-pickleball-paddle?variant=44254119624901
4002560170663,219.00,Default Title,https://acenrally.com/products/tyson-mcguffin-magnus-3s-14mm?variant=44077625868485
3324922219621,109.00,White/EstateBlue / 6.5,https://acenrally.com/products/sfx4-all-court-mens-shoes?variant=44696924586181
097512893145,219.00,Default Title,https://acenrally.com/products/blaze-edgeless-13mm-pickleball-paddle?variant=44495600910533
,149.00,FluoYellow/White / 5,https://acenrally.com/products/jet-mach-pickleball-womens-shoe?variant=44696923832517
8436548246198,89.99,HD,https://acenrally.com/products/adidas-essnova-paddle?variant=44070901776581
