UPC,Price,Promo,Link
'092644702587,39.97,25KLEINUSA,https://www.acmetools.com/klein-tools-hybrid-pliers-with-crimper-j2158cr/092644702587.html
'092644327513,21.99,25KLEINUSA,https://www.acmetools.com/klein-tools-adjustable-screwdriver-2-phillips-1-4inch-slotted-32751/092644327513.html
'092644343353,34.97,25KLEINUSA,https://www.acmetools.com/klein-tools-kurve-heavy-duty-wire-stripper-8-20-awg-k12035/092644343353.html
'092644720222,34.99,25KLEINUSA,https://www.acmetools.com/klein-tools-diagonal-cutters-high-visibility-d2488glw/092644720222.html
'092644700422,34.98,25KLEINUSA,https://www.acmetools.com/klein-tools-high-lev-pliers-side-cut-ne-9in-d2139ne/092644700422.html
'092644650154,59.99,25KLEINUSA,https://www.acmetools.com/klein-tools-7-piece-nut-driver-set-3in-cushioned-631/092644650154.html
'092644853258,16.97,25KLEINUSA,https://www.acmetools.com/klein-tools-1-4inch-sl-2-phillips-screwdriver-set-2pc-85442/092644853258.html
'092644561108,45.99,25KLEINUSA,https://www.acmetools.com/klein-tools-pull-line-with-orange-tracer-6500-ft-56110/092644561108.html
'092644670176,49.99,25KLEINUSA,https://www.acmetools.com/klein-tools-10in-adjustable-spud-wrench-3227/092644670176.html
'092644850714,14.99,25KLEINUSA,https://www.acmetools.com/klein-tools-2-piece-stubby-screwdriver-set-85071/092644850714.html
'092644851117,39.97,25KLEINUSA,https://www.acmetools.com/klein-tools-screwdriver-set-1000v-insul-6-pc-85076ins/092644851117.html
'092644670954,79.99,25KLEINUSA,https://www.acmetools.com/klein-tools-16in-adj-head-construction-wrench-3239/092644670954.html
'092644720727,29.97,25KLEINUSA,https://www.acmetools.com/klein-tools-9-3-16-in-diagonal-cutting-pliers-d2489st/092644720727.html
'092644850745,54.99,25KLEINUSA,https://www.acmetools.com/klein-tools-cushion-grip-screwdriver-set-6-pc-85074/092644850745.html
'092644380037,44.97,25KLEINUSA,https://www.acmetools.com/klein-tools-high-leverage-pliers-side-cutting-d20009neglw/092644380037.html
'092644945083,60.99,25KLEINUSA,https://www.acmetools.com/klein-tools-ironworkers-pliers-kit-2pc-94508/092644945083.html
'092644322334,17.99,25KLEINUSA,https://www.acmetools.com/klein-tools-demolition-scratch-awl-650dd/092644322334.html
'092644710599,34.99,25KLEINUSA,https://www.acmetools.com/klein-tools-8-in-long-nose-insulated-pliers-2038rins/092644710599.html
'092644322211,15.99,25KLEINUSA,https://www.acmetools.com/klein-tools-4inch-demolition-driver-1-4inch-keystone-6024dd/092644322211.html
'092644340277,39.97,25KLEINUSA,https://www.acmetools.com/klein-tools-heavy-duty-wire-stripper-crimper-k12065cr/092644340277.html
'092644740015,39.99,25KLEINUSA,https://www.acmetools.com/klein-tools-journeyman-crimping-cutting-tool-j1005/092644740015.html
'092644800122,84.99,25KLEINUSA,https://www.acmetools.com/klein-tools-1000v-insulated-tool-kit-3pc-9416r/092644800122.html
'092644327537,24.99,25KLEINUSA,https://www.acmetools.com/klein-tools-9-16-power-nut-driver-10-length-pnd91610/092644327537.html
'092644384059,49.99,25KLEINUSA,https://www.acmetools.com/klein-tools-all-purpose-pliers-with-crimper-j2078cr/092644384059.html
'092644720383,29.99,25KLEINUSA,https://www.acmetools.com/klein-tools-high-leverage-diagonal-cutters-d2287/092644720383.html
'092644721243,59.99,25KLEINUSA,https://www.acmetools.com/klein-tools-high-leverage-side-cutting-pliers-j20009necrtp/092644721243.html
'092644740275,27.99,25KLEINUSA,https://www.acmetools.com/klein-tools-wire-stripper-with-glow-grips-11055glw/092644740275.html
'092644850769,49.97,25KLEINUSA,https://www.acmetools.com/klein-tools-cushion-grip-screwdriver-set-7-pc-85076/092644850769.html
'092644721106,39.99,25KLEINUSA,https://www.acmetools.com/klein-tools-8-journeyman-high-leverage-diagonal-cutting-angle-head-pliers-j200048/092644721106.html
'092644666568,25.99,25KLEINUSA,https://www.acmetools.com/klein-tools-broad-head-bull-pin-10-in-long-3256/092644666568.html
'092644740565,20.97,25KLEINUSA,https://www.acmetools.com/klein-tools-kurve-wire-stripper-and-cutter-11057/092644740565.html
'092644722493,38.99,25KLEINUSA,https://www.acmetools.com/klein-tools-pliers-diag-cut-9in-angled-head-d200049/092644722493.html
'S0000000016428,24.97,25KLEINUSA,https://www.acmetools.com/klein-tools-6-ft-18-m-hi-flex-glow-rod-56406/S0000000016428.html
'092644857034,9.99,25KLEINUSA,https://www.acmetools.com/klein-tools-conduit-reamer-blade-kit-19353/092644857034.html
'092644630507,32.99,25KLEINUSA,https://www.acmetools.com/klein-tools-cable-cutter-63050/092644630507.html
'S0000000095056,44.99,25KLEINUSA,https://www.acmetools.com/klein-tools-insulated-screwdriver-set%2C-7-pieces/S0000000095056.html
'092644329128,21.97,25KLEINUSA,https://www.acmetools.com/klein-tools-screwdriver-set-1000v-insul-3-pc-85073ins/092644329128.html
'092644854453,31.99,25KLEINUSA,https://www.acmetools.com/klein-tools-screwdriver-set-5-pc-85445/092644854453.html
'092644740466,15.97,25KLEINUSA,https://www.acmetools.com/klein-tools-wire-stripper-cutter-16-26-awg-strd-11046/092644740466.html
'092644680052,21.15,25KLEINUSA,https://www.acmetools.com/klein-tools-can-wrench-3-8in-and-7-16in-hex-nut-68005/092644680052.html
'092644380044,37.99,25KLEINUSA,https://www.acmetools.com/klein-tools-high-visibility-diagonal-cutters-d200028glw/092644380044.html
'092644340338,39.97,25KLEINUSA,https://www.acmetools.com/klein-tools-wire-crimper-cutter-stripper-tool-2005n/092644340338.html
'092644682988,19.99,25KLEINUSA,https://www.acmetools.com/klein-tools-ratcheting-refrig-wrench-5-1-2in-68310/092644682988.html
'092644920073,99.99,25KLEINUSA,https://www.acmetools.com/klein-tools-1000v-insulated-tool-kit-5-piece-94130/092644920073.html
'092644721014,39.99,25KLEINUSA,https://www.acmetools.com/klein-tools-journeyman-side-cutting-pliers-9in-j2139ne/092644721014.html
'092644380020,39.97,25KLEINUSA,https://www.acmetools.com/klein-tools-all-purpose-pliers-spring-loaded-j2068c/092644380020.html
'092644680236,31.35,25KLEINUSA,https://www.acmetools.com/klein-tools-ratcheting-4-in-1-box-wrench-kt223x4/092644680236.html
'092644761232,12.91,25KLEINUSA,https://www.acmetools.com/klein-tools-threadclip-4-1-2in-htc5/092644761232.html
'092644850721,22.99,25KLEINUSA,https://www.acmetools.com/klein-tools-10inch-l-blade-screwdriver-set-2pc-85072/092644850721.html
'092644663857,10.99,25KLEINUSA,https://www.acmetools.com/klein-tools-steel-scratch-awl-66385/092644663857.html
'092644665073,44.99,25KLEINUSA,https://www.acmetools.com/klein-tools-3-4in-x-24in-round-bar-3247/092644665073.html
'092644663437,15.99,25KLEINUSA,https://www.acmetools.com/klein-tools-11-inch-drift-punch-66343/092644663437.html
'092644460005,11.49,25KLEINUSA,https://www.acmetools.com/klein-tools-tool-tether-10-lbs-max-tt1/092644460005.html
'092644335327,39.99,25KLEINUSA,https://www.acmetools.com/klein-tools-2pc-4in-insulated-screwdriver-set-33532ins/092644335327.html
