UPC,Price,Variant,Source Link
196942117668,65.00,8,https://www.allbirds.com/products/mens-runner-protect-dark-grey?variant=40941946503248
196942117736,65.00,8.5,https://www.allbirds.com/products/mens-runner-protect-dark-grey?variant=40941946536016
196942117811,65.00,9,https://www.allbirds.com/products/mens-runner-protect-dark-grey?variant=40941946568784
196942117903,65.00,9.5,https://www.allbirds.com/products/mens-runner-protect-dark-grey?variant=40941946601552
196942117972,65.00,10,https://www.allbirds.com/products/mens-runner-protect-dark-grey?variant=40941946634320
196942118078,65.00,10.5,https://www.allbirds.com/products/mens-runner-protect-dark-grey?variant=40941946667088
196942118184,65.00,11,https://www.allbirds.com/products/mens-runner-protect-dark-grey?variant=40941946699856
196942118269,65.00,11.5,https://www.allbirds.com/products/mens-runner-protect-dark-grey?variant=40941946732624
196942118344,65.00,12,https://www.allbirds.com/products/mens-runner-protect-dark-grey?variant=40941946765392
196942118429,65.00,12.5,https://www.allbirds.com/products/mens-runner-protect-dark-grey?variant=40941946798160
196942118504,65.00,13,https://www.allbirds.com/products/mens-runner-protect-dark-grey?variant=40941946830928
196942118573,65.00,13.5,https://www.allbirds.com/products/mens-runner-protect-dark-grey?variant=40941946863696
196942118634,65.00,14,https://www.allbirds.com/products/mens-runner-protect-dark-grey?variant=40941946896464
196942126332,91.00,8,https://www.allbirds.com/products/mens-tree-dasher-relay-rugged-beige?variant=40444578660432
196942126424,91.00,8.5,https://www.allbirds.com/products/mens-tree-dasher-relay-rugged-beige?variant=40444578693200
196942126509,91.00,9,https://www.allbirds.com/products/mens-tree-dasher-relay-rugged-beige?variant=40444578725968
196942126615,91.00,9.5,https://www.allbirds.com/products/mens-tree-dasher-relay-rugged-beige?variant=40444578758736
196942126745,91.00,10,https://www.allbirds.com/products/mens-tree-dasher-relay-rugged-beige?variant=40444578791504
196942126837,91.00,10.5,https://www.allbirds.com/products/mens-tree-dasher-relay-rugged-beige?variant=40444578824272
196942126899,91.00,11,https://www.allbirds.com/products/mens-tree-dasher-relay-rugged-beige?variant=40444578857040
196942126974,91.00,11.5,https://www.allbirds.com/products/mens-tree-dasher-relay-rugged-beige?variant=40444578889808
196942127056,91.00,12,https://www.allbirds.com/products/mens-tree-dasher-relay-rugged-beige?variant=40444578922576
196942127094,91.00,12.5,https://www.allbirds.com/products/mens-tree-dasher-relay-rugged-beige?variant=40444578955344
196942127148,91.00,13,https://www.allbirds.com/products/mens-tree-dasher-relay-rugged-beige?variant=40444578988112
196942127179,91.00,13.5,https://www.allbirds.com/products/mens-tree-dasher-relay-rugged-beige?variant=40444579020880
196942127209,91.00,14,https://www.allbirds.com/products/mens-tree-dasher-relay-rugged-beige?variant=40444579053648
843416174695,94.00,8,https://www.allbirds.com/products/mens-wool-loungers-true-black?variant=32956162605136
843416174701,94.00,9,https://www.allbirds.com/products/mens-wool-loungers-true-black?variant=32956162637904
843416174718,94.00,10,https://www.allbirds.com/products/mens-wool-loungers-true-black?variant=32956162670672
843416174725,94.00,11,https://www.allbirds.com/products/mens-wool-loungers-true-black?variant=32956162703440
843416174732,94.00,12,https://www.allbirds.com/products/mens-wool-loungers-true-black?variant=32956162736208
843416174749,94.00,13,https://www.allbirds.com/products/mens-wool-loungers-true-black?variant=32956162768976
843416174756,94.00,14,https://www.allbirds.com/products/mens-wool-loungers-true-black?variant=32956162801744
196942105597,87.00,8,https://www.allbirds.com/products/mens-piper-go-luxe?variant=40941121077328
196942105603,87.00,8.5,https://www.allbirds.com/products/mens-piper-go-luxe?variant=40941121110096
196942105610,87.00,9,https://www.allbirds.com/products/mens-piper-go-luxe?variant=40941121142864
196942105627,87.00,9.5,https://www.allbirds.com/products/mens-piper-go-luxe?variant=40941121175632
196942105634,87.00,10,https://www.allbirds.com/products/mens-piper-go-luxe?variant=40941121208400
196942105641,87.00,10.5,https://www.allbirds.com/products/mens-piper-go-luxe?variant=40941121241168
196942105658,87.00,11,https://www.allbirds.com/products/mens-piper-go-luxe?variant=40941121273936
196942105665,87.00,11.5,https://www.allbirds.com/products/mens-piper-go-luxe?variant=40941121306704
