UPC,Price,Variant,Source Link
196942144794,56.00,5,https://www.allbirds.com/products/womens-wool-lounger-mule?variant=40940787007568
196942144800,56.00,6,https://www.allbirds.com/products/womens-wool-lounger-mule?variant=40940787040336
196942144817,56.00,7,https://www.allbirds.com/products/womens-wool-lounger-mule?variant=40940787073104
196942144824,56.00,8,https://www.allbirds.com/products/womens-wool-lounger-mule?variant=40940787105872
196942144831,56.00,9,https://www.allbirds.com/products/womens-wool-lounger-mule?variant=40940787138640
196942144848,56.00,10,https://www.allbirds.com/products/womens-wool-lounger-mule?variant=40940787171408
196942144855,56.00,11,https://www.allbirds.com/products/womens-wool-lounger-mule?variant=40940787204176
196942011911,80.00,5,https://www.allbirds.com/products/womens-superlight-tree-runners?variant=40124157296720
196942011928,80.00,6,https://www.allbirds.com/products/womens-superlight-tree-runners?variant=40124157329488
196942011935,80.00,7,https://www.allbirds.com/products/womens-superlight-tree-runners?variant=40124157362256
196942011942,80.00,8,https://www.allbirds.com/products/womens-superlight-tree-runners?variant=40124157395024
196942011959,80.00,9,https://www.allbirds.com/products/womens-superlight-tree-runners?variant=40124157427792
196942011966,80.00,10,https://www.allbirds.com/products/womens-superlight-tree-runners?variant=40124157460560
196942011973,80.00,11,https://www.allbirds.com/products/womens-superlight-tree-runners?variant=40124157493328
196942007853,9.00,S (W5-7),https://www.allbirds.com/products/anytime-no-show-sock?variant=40038661783632
196942007860,9.00,M (W8-10 / M8),https://www.allbirds.com/products/anytime-no-show-sock?variant=40038661816400
196942007877,9.00,L (W11 / M9-12),https://www.allbirds.com/products/anytime-no-show-sock?variant=40038661881936
196942007884,9.00,XL (M13-14),https://www.allbirds.com/products/anytime-no-show-sock?variant=40038661947472
196942149386,80.00,5,https://www.allbirds.com/products/womens-tree-breezer-twilight-teal-twilight-white-knit?variant=40832466780240
196942149393,80.00,5.5,https://www.allbirds.com/products/womens-tree-breezer-twilight-teal-twilight-white-knit?variant=40832466813008
196942149409,80.00,6,https://www.allbirds.com/products/womens-tree-breezer-twilight-teal-twilight-white-knit?variant=40832466845776
196942149416,80.00,6.5,https://www.allbirds.com/products/womens-tree-breezer-twilight-teal-twilight-white-knit?variant=40832466878544
196942149423,80.00,7,https://www.allbirds.com/products/womens-tree-breezer-twilight-teal-twilight-white-knit?variant=40832466911312
196942149430,80.00,7.5,https://www.allbirds.com/products/womens-tree-breezer-twilight-teal-twilight-white-knit?variant=40832466944080
196942149447,80.00,8,https://www.allbirds.com/products/womens-tree-breezer-twilight-teal-twilight-white-knit?variant=40832466976848
196942149454,80.00,8.5,https://www.allbirds.com/products/womens-tree-breezer-twilight-teal-twilight-white-knit?variant=40832467009616
196942149461,80.00,9,https://www.allbirds.com/products/womens-tree-breezer-twilight-teal-twilight-white-knit?variant=40832467042384
196942149478,80.00,9.5,https://www.allbirds.com/products/womens-tree-breezer-twilight-teal-twilight-white-knit?variant=40832467075152
196942149485,80.00,10,https://www.allbirds.com/products/womens-tree-breezer-twilight-teal-twilight-white-knit?variant=40832467107920
196942149492,80.00,10.5,https://www.allbirds.com/products/womens-tree-breezer-twilight-teal-twilight-white-knit?variant=40832467140688
196942149508,80.00,11,https://www.allbirds.com/products/womens-tree-breezer-twilight-teal-twilight-white-knit?variant=40832467173456
196942138403,101.00,5,https://www.allbirds.com/products/womens-wool-dasher-mizzles-stony-cream?variant=40675522412624
196942138410,101.00,5.5,https://www.allbirds.com/products/womens-wool-dasher-mizzles-stony-cream?variant=40675522445392
196942138427,101.00,6,https://www.allbirds.com/products/womens-wool-dasher-mizzles-stony-cream?variant=40675522478160
196942138434,101.00,6.5,https://www.allbirds.com/products/womens-wool-dasher-mizzles-stony-cream?variant=40675522510928
196942138441,101.00,7,https://www.allbirds.com/products/womens-wool-dasher-mizzles-stony-cream?variant=40675522543696
196942138458,101.00,7.5,https://www.allbirds.com/products/womens-wool-dasher-mizzles-stony-cream?variant=40675522576464
196942138465,101.00,8,https://www.allbirds.com/products/womens-wool-dasher-mizzles-stony-cream?variant=40675522609232
196942138472,101.00,8.5,https://www.allbirds.com/products/womens-wool-dasher-mizzles-stony-cream?variant=40675522642000
