UPC,Price,Variation,Source Link
'191448893818,29.99,Taffy Pink 1Y,https://www.als.com/crocs-classic-clog-youth-10451655/p?skuId=1247342
'191448893832,29.99,Taffy Pink 3Y,https://www.als.com/crocs-classic-clog-youth-10451655/p?skuId=1247347
'191448893863,29.99,Taffy Pink 6Y,https://www.als.com/crocs-classic-clog-youth-10451655/p?skuId=1247351
'191448893788,29.99,Taffy Pink 11C,https://www.als.com/crocs-classic-clog-youth-10451655/p?skuId=1249514
'196265550135,39.99,Quartz 11C,https://www.als.com/crocs-classic-clog-youth-10451655/p?skuId=1502169
'196265549955,39.99,Dreamscape 12C,https://www.als.com/crocs-classic-clog-youth-10451655/p?skuId=1502186
'196265800735,29.99,Pink Crush 6Y,https://www.als.com/crocs-classic-clog-youth-10451655/p?skuId=1887979
'196265800711,29.99,Pink Crush 4Y,https://www.als.com/crocs-classic-clog-youth-10451655/p?skuId=1887981
'196265800698,29.99,Pink Crush 2Y,https://www.als.com/crocs-classic-clog-youth-10451655/p?skuId=1887983
'196265800674,29.99,Pink Crush 13C,https://www.als.com/crocs-classic-clog-youth-10451655/p?skuId=1887985
'198445103261,39.99,Pink Milk 5Y,https://www.als.com/crocs-classic-clog-youth-10451655/p?skuId=1927558
'198445103247,39.99,Pink Milk 3Y,https://www.als.com/crocs-classic-clog-youth-10451655/p?skuId=1927560
'198445103223,39.99,Pink Milk 1Y,https://www.als.com/crocs-classic-clog-youth-10451655/p?skuId=1927562
'198445103209,39.99,Pink Milk 12C,https://www.als.com/crocs-classic-clog-youth-10451655/p?skuId=1927564
'196265395361,29.99,Blue Calcite 6Y,https://www.als.com/crocs-classic-clog-youth-10451655/p?skuId=1927599
'196265395347,29.99,Blue Calcite 4Y,https://www.als.com/crocs-classic-clog-youth-10451655/p?skuId=1927601
'196265395330,29.99,Blue Calcite 3Y,https://www.als.com/crocs-classic-clog-youth-10451655/p?skuId=1927602
'196265395316,29.99,Blue Calcite 1Y,https://www.als.com/crocs-classic-clog-youth-10451655/p?skuId=1927604
'196265395293,29.99,Blue Calcite 12C,https://www.als.com/crocs-classic-clog-youth-10451655/p?skuId=1927606
'198445103094,39.99,Mystic Purple 6Y,https://www.als.com/crocs-classic-clog-youth-10451655/p?skuId=1927685
'198445103070,39.99,Mystic Purple 4Y,https://www.als.com/crocs-classic-clog-youth-10451655/p?skuId=1927687
'198445103056,39.99,Mystic Purple 2Y,https://www.als.com/crocs-classic-clog-youth-10451655/p?skuId=1927689
'198445103032,39.99,Mystic Purple 13C,https://www.als.com/crocs-classic-clog-youth-10451655/p?skuId=1927691
'198445103018,39.99,Mystic Purple 11C,https://www.als.com/crocs-classic-clog-youth-10451655/p?skuId=1927693
'197065075538,130,TNF Black L,https://www.als.com/the-north-face-reversible-shasta-full-zip-hooded-jacket-boys-10609733/p?skuId=3065294
'197065075583,130,TNF Black M,https://www.als.com/the-north-face-reversible-shasta-full-zip-hooded-jacket-boys-10609733/p?skuId=3065295
'197065075729,130,TNF Black S,https://www.als.com/the-north-face-reversible-shasta-full-zip-hooded-jacket-boys-10609733/p?skuId=3065296
'197065075767,130,TNF Black XL,https://www.als.com/the-north-face-reversible-shasta-full-zip-hooded-jacket-boys-10609733/p?skuId=3065297
'197065075903,130,TNF Black XS,https://www.als.com/the-north-face-reversible-shasta-full-zip-hooded-jacket-boys-10609733/p?skuId=3065299
'196607030929,30,BLACK/BLACK/REFLECTIVE SILV XS,https://www.als.com/nike-drifit-challenger-training-short-boys-10499721/p?skuId=1485571
'196607030936,30,BLACK/BLACK/REFLECTIVE SILV S,https://www.als.com/nike-drifit-challenger-training-short-boys-10499721/p?skuId=1485572
'196607030943,30,BLACK/BLACK/REFLECTIVE SILV M,https://www.als.com/nike-drifit-challenger-training-short-boys-10499721/p?skuId=1485573
'196607030950,30,BLACK/BLACK/REFLECTIVE SILV L,https://www.als.com/nike-drifit-challenger-training-short-boys-10499721/p?skuId=1485574
'196607030967,30,BLACK/BLACK/REFLECTIVE SILV XL,https://www.als.com/nike-drifit-challenger-training-short-boys-10499721/p?skuId=1485575
'196607232217,30,SMOKE GREY/BLACK/REFLECTIVE SILV XS,https://www.als.com/nike-drifit-challenger-training-short-boys-10499721/p?skuId=1485576
'196607232224,30,SMOKE GREY/BLACK/REFLECTIVE SILV S,https://www.als.com/nike-drifit-challenger-training-short-boys-10499721/p?skuId=1485577
'196607232231,30,SMOKE GREY/BLACK/REFLECTIVE SILV M,https://www.als.com/nike-drifit-challenger-training-short-boys-10499721/p?skuId=1485578
'196607232255,30,SMOKE GREY/BLACK/REFLECTIVE SILV XL,https://www.als.com/nike-drifit-challenger-training-short-boys-10499721/p?skuId=1485580
'197862269475,24,Apricot Agate / Black / Reflective Silver XL,https://www.als.com/nike-drifit-challenger-training-short-boys-10499721/p?skuId=3039288
'197862275896,24,Apricot Agate / Black / Reflective Silver L,https://www.als.com/nike-drifit-challenger-training-short-boys-10499721/p?skuId=3039289
'197862289749,24,Apricot Agate / Black / Reflective Silver XS,https://www.als.com/nike-drifit-challenger-training-short-boys-10499721/p?skuId=3039290
'197862290974,24,Apricot Agate / Black / Reflective Silver M,https://www.als.com/nike-drifit-challenger-training-short-boys-10499721/p?skuId=3039291
'197862330199,24,Apricot Agate / Black / Reflective Silver S,https://www.als.com/nike-drifit-challenger-training-short-boys-10499721/p?skuId=3039292
'197862248722,24,Steam / Black / Reflective Silver XL,https://www.als.com/nike-drifit-challenger-training-short-boys-10499721/p?skuId=3039294
'197862251579,24,Steam / Black / Reflective Silver S,https://www.als.com/nike-drifit-challenger-training-short-boys-10499721/p?skuId=3039295
'197862281439,24,Steam / Black / Reflective Silver L,https://www.als.com/nike-drifit-challenger-training-short-boys-10499721/p?skuId=3039296
'197862324518,24,Steam / Black / Reflective Silver M,https://www.als.com/nike-drifit-challenger-training-short-boys-10499721/p?skuId=3039297
'197862331936,30,Steam / Black / Reflective Silver XS,https://www.als.com/nike-drifit-challenger-training-short-boys-10499721/p?skuId=3039298
'197778089839,35,Black/Pitch Gray L,https://www.als.com/under-armour-ua-vanish-short-boys-10602819/p?skuId=3003926
'197778089846,35,Black/Pitch Gray M,https://www.als.com/under-armour-ua-vanish-short-boys-10602819/p?skuId=3003927
'197859923984,36,Black / White XL,https://www.als.com/nike-sportswear-club-big-kids-woven-joggers-10607236/p?skuId=3039338
'195333893235,34.95,White / Tan 11C,https://www.als.com/reef-little-water-vista-sandal-youth-10479600/p?skuId=1280871
'190496878686,17.99,Black S,https://www.als.com/under-armour-hustle-fleece-hoodie-youth-10501487/p?skuId=1502729
'197859919017,42.99,Baroque Brown / Black / Black XS,https://www.als.com/nike-sportswear-tech-fleece-jogger-youth-10557581/p?skuId=1837980
'197859925001,36,Black / White M,https://www.als.com/nike-sportswear-club-big-kids-woven-joggers-10607236/p?skuId=3039339
'197778089853,35,Black/Pitch Gray S,https://www.als.com/under-armour-ua-vanish-short-boys-10602819/p?skuId=3003928
'659658426016,22,Black / White S,https://www.als.com/nike-everyday-cushioned-crew-sock-kids-6-pack-10480914/p?skuId=1219243
'197859911318,90,Black / Black / Black S,https://www.als.com/nike-sportswear-tech-fleece-jogger-youth-10557581/p?skuId=1837981
'195333893242,34.95,White / Tan 12C,https://www.als.com/reef-little-water-vista-sandal-youth-10479600/p?skuId=1280872
'197859933433,36,Smoke Grey / White XS,https://www.als.com/nike-sportswear-club-big-kids-woven-joggers-10607236/p?skuId=3039340
'659658426788,22,Black / White M,https://www.als.com/nike-everyday-cushioned-crew-sock-kids-6-pack-10480914/p?skuId=1219244
'190496878693,17.99,Black M,https://www.als.com/under-armour-hustle-fleece-hoodie-youth-10501487/p?skuId=1502730
'659658426818,22,White / Black S,https://www.als.com/nike-everyday-cushioned-crew-sock-kids-6-pack-10480914/p?skuId=1220039
'197859904877,90,Black / Black / Black XS,https://www.als.com/nike-sportswear-tech-fleece-jogger-youth-10557581/p?skuId=1837982
'197778089860,35,Black/Pitch Gray XL,https://www.als.com/under-armour-ua-vanish-short-boys-10602819/p?skuId=3003929
'196607061213,28,BLACK/WHITE XS,https://www.als.com/nike-drifit-elite-23-basketball-short-boys-10487690/p?skuId=1331250
'195333892191,34.95,White / Tan 13C,https://www.als.com/reef-little-water-vista-sandal-youth-10479600/p?skuId=1280873
'190496878709,17.99,Black L,https://www.als.com/under-armour-hustle-fleece-hoodie-youth-10501487/p?skuId=1502731
'197859935161,36,Black / White L,https://www.als.com/nike-sportswear-club-big-kids-woven-joggers-10607236/p?skuId=3039341
'196479133704,49.95,Core Black / Footwear White / Core Black 6Y,https://www.als.com/adidas-adizero-impact-2-football-cleat-kids-10603527/p?skuId=3007604
'196607061220,28,BLACK/WHITE S,https://www.als.com/nike-drifit-elite-23-basketball-short-boys-10487690/p?skuId=1331251
'197859901494,42.99,Baroque Brown / Black / Black M,https://www.als.com/nike-sportswear-tech-fleece-jogger-youth-10557581/p?skuId=1837983
'190496878716,17.99,Black XL,https://www.als.com/under-armour-hustle-fleece-hoodie-youth-10501487/p?skuId=1502732
'196974730224,21.6,Black / Black / White XS,https://www.als.com/nike-pro-drifit-short-boys-10510648/p?skuId=1658877
'197779359078,28,Stream/Black L,https://www.als.com/under-armour-ua-vanish-short-boys-10602819/p?skuId=3003946
'197859894260,90,Black / Black / Black L,https://www.als.com/nike-sportswear-tech-fleece-jogger-youth-10557581/p?skuId=1837984
'659658426825,22,White / Black M,https://www.als.com/nike-everyday-cushioned-crew-sock-kids-6-pack-10480914/p?skuId=1223147
'196607061237,28,BLACK/WHITE M,https://www.als.com/nike-drifit-elite-23-basketball-short-boys-10487690/p?skuId=1331252
'195333892153,34.95,White / Tan 1Y,https://www.als.com/reef-little-water-vista-sandal-youth-10479600/p?skuId=1280874
'197859891603,42.99,Baroque Brown / Black / Black XL,https://www.als.com/nike-sportswear-tech-fleece-jogger-youth-10557581/p?skuId=1837985
