UPC,Price,Variation,Source Link
'196607982037,90,Black / Black XS,https://www.als.com/nike-sportswear-tech-fleece-midrise-joggers-womens-10494337/p?skuId=1424942
'196607982068,90,Black / Black S,https://www.als.com/nike-sportswear-tech-fleece-midrise-joggers-womens-10494337/p?skuId=1424943
'196607982099,90,Black / Black M,https://www.als.com/nike-sportswear-tech-fleece-midrise-joggers-womens-10494337/p?skuId=1424944
'196607982129,90,Black / Black L,https://www.als.com/nike-sportswear-tech-fleece-midrise-joggers-womens-10494337/p?skuId=1424945
'196607982150,90,Black / Black XL,https://www.als.com/nike-sportswear-tech-fleece-midrise-joggers-womens-10494337/p?skuId=1424946
'198484921987,120,Burgundy Crush / Black L,https://www.als.com/nike-sportswear-tech-fleece-midrise-joggers-womens-10494337/p?skuId=3059831
'198484981851,120,Burgundy Crush / Black M,https://www.als.com/nike-sportswear-tech-fleece-midrise-joggers-womens-10494337/p?skuId=3059834
'198485010512,120,Burgundy Crush / Black S,https://www.als.com/nike-sportswear-tech-fleece-midrise-joggers-womens-10494337/p?skuId=3059835
'195871704154,15.4,White / Volt / Black 3,https://www.als.com/nike-pitch-soccer-ball-10317781/p?skuId=1073153
'196606764092,15.4,Barely Volt / Gridiron / Black 3,https://www.als.com/nike-pitch-soccer-ball-10317781/p?skuId=1306499
'197595696524,22,White / Blackened Blue / Hyper Crimson 5,https://www.als.com/nike-pitch-soccer-ball-10317781/p?skuId=3003705
'197595698962,22,White / Blackened Blue / Hyper Crimson 3,https://www.als.com/nike-pitch-soccer-ball-10317781/p?skuId=3003706
'197595699570,22,White / Blackened Blue / Hyper Crimson 4,https://www.als.com/nike-pitch-soccer-ball-10317781/p?skuId=3003707
'197861972062,22,White / Ocean Cube / Pink Blast 5,https://www.als.com/nike-pitch-soccer-ball-10317781/p?skuId=3003713
'197861972840,22,White / Ocean Cube / Pink Blast 3,https://www.als.com/nike-pitch-soccer-ball-10317781/p?skuId=3003714
'197861973281,22,White / Ocean Cube / Pink Blast 4,https://www.als.com/nike-pitch-soccer-ball-10317781/p?skuId=3003715
'197600219991,22,White / Volt / Metallic Silver 4,https://www.als.com/nike-pitch-soccer-ball-10317781/p?skuId=3015405
'197600268609,22,White / Volt / Metallic Silver 5,https://www.als.com/nike-pitch-soccer-ball-10317781/p?skuId=3015406
'198481576197,22,Bright Crimson / Black / White 3,https://www.als.com/nike-pitch-soccer-ball-10317781/p?skuId=3042087
'198481576470,22,White / Royal Tint / Black 4,https://www.als.com/nike-pitch-soccer-ball-10317781/p?skuId=3042088
'198481580750,22,White / Royal Tint / Black 3,https://www.als.com/nike-pitch-soccer-ball-10317781/p?skuId=3042089
'198481590124,22,Bright Crimson / Black / White 4,https://www.als.com/nike-pitch-soccer-ball-10317781/p?skuId=3042090
'198481610853,22,Bright Crimson / Black / White 5,https://www.als.com/nike-pitch-soccer-ball-10317781/p?skuId=3042091
'198481610921,22,White / Royal Tint / Black 5,https://www.als.com/nike-pitch-soccer-ball-10317781/p?skuId=3042092
'198481619900,24,White / Black / Black 3,https://www.als.com/nike-pitch-soccer-ball-10317781/p?skuId=3042093
'198481645466,24,White / Black / Black 5,https://www.als.com/nike-pitch-soccer-ball-10317781/p?skuId=3042094
'198481645718,24,White / Black / Black 4,https://www.als.com/nike-pitch-soccer-ball-10317781/p?skuId=3042095
'197602478723,22,White / Aurora Green / Ember Glow 3,https://www.als.com/nike-pitch-soccer-ball-10317781/p?skuId=3056702
'193658363624,28,Black / White XL,https://www.als.com/nike-everyday-plus-cushioned-training-crew-sock-3-pack-10503094/p?skuId=1232512
'888408257949,22,Black / White M,https://www.als.com/nike-everyday-plus-cushioned-training-crew-sock-3-pack-10503094/p?skuId=1514349
'888408257970,22,Black / White L,https://www.als.com/nike-everyday-plus-cushioned-training-crew-sock-3-pack-10503094/p?skuId=1514350
'888408257987,22,Black / White XL,https://www.als.com/nike-everyday-plus-cushioned-training-crew-sock-3-pack-10503094/p?skuId=1514351
'888408258052,22,White / Black M,https://www.als.com/nike-everyday-plus-cushioned-training-crew-sock-3-pack-10503094/p?skuId=1514352
'888408258069,22,White / Black L,https://www.als.com/nike-everyday-plus-cushioned-training-crew-sock-3-pack-10503094/p?skuId=1514353
'888408258076,22,White / Black XL,https://www.als.com/nike-everyday-plus-cushioned-training-crew-sock-3-pack-10503094/p?skuId=1514354
'194955548226,22,Multi-Color S,https://www.als.com/nike-everyday-plus-cushioned-training-crew-sock-3-pack-10503094/p?skuId=1942176
'194955548233,22,Multi-Color M,https://www.als.com/nike-everyday-plus-cushioned-training-crew-sock-3-pack-10503094/p?skuId=1942177
'194955548240,22,Multi-Color L,https://www.als.com/nike-everyday-plus-cushioned-training-crew-sock-3-pack-10503094/p?skuId=1942178
'888408258045,22,White / Black S,https://www.als.com/nike-everyday-plus-cushioned-training-crew-sock-3-pack-10503094/p?skuId=3010577
'197601366847,14.99,Multi Color S,https://www.als.com/nike-everyday-plus-cushioned-training-crew-sock-3-pack-10503094/p?skuId=3010579
'197601367271,14.99,Multi Color M,https://www.als.com/nike-everyday-plus-cushioned-training-crew-sock-3-pack-10503094/p?skuId=3010580
'197601367363,14.99,Multi Color L,https://www.als.com/nike-everyday-plus-cushioned-training-crew-sock-3-pack-10503094/p?skuId=3010581
'195244785940,22,Multi Color S,https://www.als.com/nike-everyday-plus-cushioned-training-crew-sock-3-pack-10503094/p?skuId=3010583
'195244785957,22,Multi Color M,https://www.als.com/nike-everyday-plus-cushioned-training-crew-sock-3-pack-10503094/p?skuId=3010584
'195244785964,22,Multi Color L,https://www.als.com/nike-everyday-plus-cushioned-training-crew-sock-3-pack-10503094/p?skuId=3010585
'197860521209,14.99,Multi Color M,https://www.als.com/nike-everyday-plus-cushioned-training-crew-sock-3-pack-10503094/p?skuId=3010587
'197860523852,14.99,Multi Color S,https://www.als.com/nike-everyday-plus-cushioned-training-crew-sock-3-pack-10503094/p?skuId=3010588
'197860542716,14.99,Multi Color L,https://www.als.com/nike-everyday-plus-cushioned-training-crew-sock-3-pack-10503094/p?skuId=3010589
'197860531406,14.99,Multi Color M,https://www.als.com/nike-everyday-plus-cushioned-training-crew-sock-3-pack-10503094/p?skuId=3010621
'197860535169,14.99,Multi Color L,https://www.als.com/nike-everyday-plus-cushioned-training-crew-sock-3-pack-10503094/p?skuId=3010622
'197860537576,14.99,Multi Color S,https://www.als.com/nike-everyday-plus-cushioned-training-crew-sock-3-pack-10503094/p?skuId=3010623
'197862561593,28,Multi-Color S,https://www.als.com/nike-everyday-plus-cushioned-training-crew-sock-3-pack-10503094/p?skuId=3074891
'197862559545,28,Multi-Color M,https://www.als.com/nike-everyday-plus-cushioned-training-crew-sock-3-pack-10503094/p?skuId=3074894
'197862560473,28,Multi-Color L,https://www.als.com/nike-everyday-plus-cushioned-training-crew-sock-3-pack-10503094/p?skuId=3074895
'198481578658,28,Multi-Color M,https://www.als.com/nike-everyday-plus-cushioned-training-crew-sock-3-pack-10503094/p?skuId=3074900
'198481590346,28,Multi-Color L,https://www.als.com/nike-everyday-plus-cushioned-training-crew-sock-3-pack-10503094/p?skuId=3074901
'196606922362,28,Multi-Color S,https://www.als.com/nike-everyday-plus-cushioned-training-crew-sock-3-pack-10503094/p?skuId=3074903
'196606922379,28,Multi-Color M,https://www.als.com/nike-everyday-plus-cushioned-training-crew-sock-3-pack-10503094/p?skuId=3074904
'196606922393,28,Multi-Color XL,https://www.als.com/nike-everyday-plus-cushioned-training-crew-sock-3-pack-10503094/p?skuId=3074906
'196975003303,32,Black / Black XS,https://www.als.com/nike-one-classic-drifit-tank-top-womens-10512441/p?skuId=1691715
'196975044184,32,Black / Black S,https://www.als.com/nike-one-classic-drifit-tank-top-womens-10512441/p?skuId=1691716
'196975091041,32,Black / Black M,https://www.als.com/nike-one-classic-drifit-tank-top-womens-10512441/p?skuId=1691717
'196975067817,32,Black / Black L,https://www.als.com/nike-one-classic-drifit-tank-top-womens-10512441/p?skuId=1691718
'196975042104,32,Black / Black XL,https://www.als.com/nike-one-classic-drifit-tank-top-womens-10512441/p?skuId=1691719
'196975037155,17.99,Smokey Mauve / Black L,https://www.als.com/nike-one-classic-drifit-tank-top-womens-10512441/p?skuId=1691723
'196975010356,32,White / Black XS,https://www.als.com/nike-one-classic-drifit-tank-top-womens-10512441/p?skuId=1783381
'196975097081,32,White / Black S,https://www.als.com/nike-one-classic-drifit-tank-top-womens-10512441/p?skuId=1783382
'196975075140,32,White / Black M,https://www.als.com/nike-one-classic-drifit-tank-top-womens-10512441/p?skuId=1783383
'196975092802,32,White / Black L,https://www.als.com/nike-one-classic-drifit-tank-top-womens-10512441/p?skuId=1783384
'196975089321,32,White / Black XL,https://www.als.com/nike-one-classic-drifit-tank-top-womens-10512441/p?skuId=1783385
'197596546583,18.99,Green Frost / Black S,https://www.als.com/nike-one-classic-drifit-tank-top-womens-10512441/p?skuId=1841751
'197596351200,18.99,Green Frost / Black XS,https://www.als.com/nike-one-classic-drifit-tank-top-womens-10512441/p?skuId=1841753
'197862469370,40,Lilac Ice / Black L,https://www.als.com/nike-one-classic-drifit-tank-top-womens-10512441/p?skuId=3049520
'197862476125,40,Lilac Ice / Black XL,https://www.als.com/nike-one-classic-drifit-tank-top-womens-10512441/p?skuId=3049521
'197862476330,40,Lilac Ice / Black XS,https://www.als.com/nike-one-classic-drifit-tank-top-womens-10512441/p?skuId=3049522
'197862478082,32,Smokey Blue / Black S,https://www.als.com/nike-one-classic-drifit-tank-top-womens-10512441/p?skuId=3049523
'197862479348,32,Smokey Blue / Black L,https://www.als.com/nike-one-classic-drifit-tank-top-womens-10512441/p?skuId=3049524
'197862486704,40,Lilac Ice / Black M,https://www.als.com/nike-one-classic-drifit-tank-top-womens-10512441/p?skuId=3049525
'197862495393,32,Smokey Blue / Black M,https://www.als.com/nike-one-classic-drifit-tank-top-womens-10512441/p?skuId=3049526
'197862503999,32,Smokey Blue / Black XL,https://www.als.com/nike-one-classic-drifit-tank-top-womens-10512441/p?skuId=3049527
'197862504187,40,Lilac Ice / Black S,https://www.als.com/nike-one-classic-drifit-tank-top-womens-10512441/p?skuId=3049528
'197862513875,32,Smokey Blue / Black XS,https://www.als.com/nike-one-classic-drifit-tank-top-womens-10512441/p?skuId=3049529
'198482994969,32,Burgundy Crush L,https://www.als.com/nike-one-classic-drifit-tank-top-womens-10512441/p?skuId=3060136
'198482995201,32,Burgundy Crush S,https://www.als.com/nike-one-classic-drifit-tank-top-womens-10512441/p?skuId=3060137
'198483044755,32,Burgundy Crush M,https://www.als.com/nike-one-classic-drifit-tank-top-womens-10512441/p?skuId=3060138
'198485464001,32,Rust Pink XS,https://www.als.com/nike-one-classic-drifit-tank-top-womens-10512441/p?skuId=3060140
'198485467880,32,Rust Pink M,https://www.als.com/nike-one-classic-drifit-tank-top-womens-10512441/p?skuId=3060141
'198485488922,32,Rust Pink L,https://www.als.com/nike-one-classic-drifit-tank-top-womens-10512441/p?skuId=3060142
'198485532465,32,Rust Pink S,https://www.als.com/nike-one-classic-drifit-tank-top-womens-10512441/p?skuId=3060143
'198485538627,32,Rust Pink XL,https://www.als.com/nike-one-classic-drifit-tank-top-womens-10512441/p?skuId=3060144
'196153885684,55,Black / Black S,https://www.als.com/nike-primary-drifit-shortsleeve-versatile-top-mens-10487082/p?skuId=1327519
'887791401960,17.49,"Amber / Black / Black Size 5 / 27.5""",https://www.als.com/nike-everyday-playground-8p-basketball-10392334/p?skuId=880217
'196153885691,55,Black / Black M,https://www.als.com/nike-primary-drifit-shortsleeve-versatile-top-mens-10487082/p?skuId=1327520
'887791401953,17.49,"Amber / Black / Black Size 6 / 28.5""",https://www.als.com/nike-everyday-playground-8p-basketball-10392334/p?skuId=880218
'196153885707,55,Black / Black L,https://www.als.com/nike-primary-drifit-shortsleeve-versatile-top-mens-10487082/p?skuId=1327521
'197596111811,28.99,Ironstone / Black XL,https://www.als.com/nike-one-highwaisted-78-leggings-with-pockets-womens-10559630/p?skuId=1841776
'887791401977,17.49,"Amber / Black / Black Size 7 / 29.5""",https://www.als.com/nike-everyday-playground-8p-basketball-10392334/p?skuId=880219
'196608744962,25.6,Black / White S,https://www.als.com/nike-pro-drifit-fitness-short-mens-10492139/p?skuId=1401626
'196153885714,55,Black / Black XL,https://www.als.com/nike-primary-drifit-shortsleeve-versatile-top-mens-10487082/p?skuId=1327522
'887791401724,17.49,"Black / Volt / Volt Size 7 / 29.5""",https://www.als.com/nike-everyday-playground-8p-basketball-10392334/p?skuId=880223
'196608744979,25.6,Black / White M,https://www.als.com/nike-pro-drifit-fitness-short-mens-10492139/p?skuId=1401627
'887791415967,25,"Multi / Amber / Black / White Size 5 / 27.5""",https://www.als.com/nike-everyday-playground-8p-basketball-10392334/p?skuId=976591
'196156078953,36,"Black / Reflective Silv 3"" Inseam XS",https://www.als.com/nike-one-drifit-ultra-highwaisted-short-womens-10493693/p?skuId=1412252
'196608738732,28,Black / White M,https://www.als.com/nike-pro-drifit-slim-longsleeve-top-mens-10391913/p?skuId=1401602
'195237031184,64,Black / White / Black 9 Regular,https://www.als.com/nike-court-vision-low-shoe-mens-10411859/p?skuId=1110249
'197593121462,48,Black / Black XL,https://www.als.com/nike-one-highwaisted-78-leggings-with-pockets-womens-10559630/p?skuId=1841777
'887791415981,25,"Multi / Amber / Black / White Size 6 / 28.5""",https://www.als.com/nike-everyday-playground-8p-basketball-10392334/p?skuId=976592
'196153885721,55,Black / Black XXL,https://www.als.com/nike-primary-drifit-shortsleeve-versatile-top-mens-10487082/p?skuId=1327523
'888408258120,22,Black / White S,https://www.als.com/nike-everyday-plus-cushion-training-noshow-sock-3-pack-10603753/p?skuId=3010591
'887791415974,25,"Multi / Amber / Black / White Size 7 / 29.5""",https://www.als.com/nike-everyday-playground-8p-basketball-10392334/p?skuId=976593
'196608738749,28,Black / White L,https://www.als.com/nike-pro-drifit-slim-longsleeve-top-mens-10391913/p?skuId=1401603
'196607869499,31.99,Platinum Violet / Sail M,https://www.als.com/nike-sportswear-phoenix-fleece-overoversized-crewneck-sweatshirt-womens-10487712/p?skuId=1424740
'196153885738,55,Dark Grey Heather / Heather / Smoke Grey S,https://www.als.com/nike-primary-drifit-shortsleeve-versatile-top-mens-10487082/p?skuId=1351848
'887791415929,25,"Multi / Black / Black / White Size 5 / 27.5""",https://www.als.com/nike-everyday-playground-8p-basketball-10392334/p?skuId=990490
'197593064073,48,Black / Black L,https://www.als.com/nike-one-highwaisted-78-leggings-with-pockets-womens-10559630/p?skuId=1841778
'196156078960,36,"Black / Reflective Silv 3"" Inseam S",https://www.als.com/nike-one-drifit-ultra-highwaisted-short-womens-10493693/p?skuId=1412253
'196608744986,25.6,Black / White L,https://www.als.com/nike-pro-drifit-fitness-short-mens-10492139/p?skuId=1401628
'888408258137,22,Black / White M,https://www.als.com/nike-everyday-plus-cushion-training-noshow-sock-3-pack-10603753/p?skuId=3010592
'195237031191,64,Black / White / Black 9.5 Regular,https://www.als.com/nike-court-vision-low-shoe-mens-10411859/p?skuId=1110250
'196153885882,24.99,Obsidian Heather / Heather / Obsidian S,https://www.als.com/nike-primary-drifit-shortsleeve-versatile-top-mens-10487082/p?skuId=1444038
38763,28,Black / White XXL,https://www.als.com/nike-pro-drifit-slim-longsleeve-top-mens-10391913/p?skuId=1401605
'196608744993,25.6,Black / White XL,https://www.als.com/nike-pro-drifit-fitness-short-mens-10492139/p?skuId=1401629
p?skuId=3010593
'195237031207,64,Black / White / Black 10 Regular,https://www.als.com/nike-court-vision-low-shoe-mens-10411859/p?skuId=1110251
693/p?skuId=1412254
