UPC,Price,Variation,Source Link
'194187950866,109,Black,https://www.als.com/patagonia-refugio-daypack-10410635/p?skuId=1025298
'197642254660,75,TNF Black / NPF,https://www.als.com/the-north-face-jester-backpack-10050350/p?skuId=1839276
'197642295922,75,Leather Brown / TNF Black,https://www.als.com/the-north-face-jester-backpack-10050350/p?skuId=1854398
'196924584976,109,Smolder Blue,https://www.als.com/patagonia-refugio-daypack-10410635/p?skuId=1615825
'197642295908,75,Shady Blue / TNF White,https://www.als.com/the-north-face-jester-backpack-10050350/p?skuId=1854399
'196924921672,109,Graze Green,https://www.als.com/patagonia-refugio-daypack-10410635/p?skuId=1912723
'198077046158,109,Robin Brown,https://www.als.com/patagonia-refugio-daypack-10410635/p?skuId=1912725
'196924922181,109,Solstice Purple,https://www.als.com/patagonia-refugio-daypack-10410635/p?skuId=1912726
'197642254967,109,Zinc Grey / Dark Heather / Powder Blue,https://www.als.com/the-north-face-recon-30-backpack-womens-10396885/p?skuId=3040174
'194958681180,42,Black / Black / White,https://www.als.com/nike-elemental-backpack-21l-10298385/p?skuId=838623
'196154120449,31.5,Wolf Grey / Wolf Grey / Black,https://www.als.com/nike-elemental-backpack-21l-10298385/p?skuId=1298613
'196154136150,32.9,Black / White All Over Print,https://www.als.com/nike-elemental-backpack-21l-10298385/p?skuId=1298661
'196604971294,31.5,Moss / Moss / Olive Flak,https://www.als.com/nike-elemental-backpack-21l-10298385/p?skuId=1306483
'323450719166,93.75,Charcoal Grey,https://www.als.com/fjallraven-treekanken-bag-10413485/p?skuId=1058772
'840177285493,39.99,Off White,https://www.als.com/thread-mini-backpack-10520109/p?skuId=1784735
'197804286638,75,Bark Mist / TNF Black,https://www.als.com/the-north-face-jester-backpack-10316360/p?skuId=3036784
'197642295915,75,Minimal Grey Dark Heather / Minimal Grey / NPF,https://www.als.com/the-north-face-jester-backpack-womens-10270275/p?skuId=1854184
'197642130780,59,TNF Black / TNF Black-NPF,https://www.als.com/the-north-face-borealis-mini-pack-10377628/p?skuId=1854392
'197642254752,75,TNF White Metallic Melange / Mid Grey,https://www.als.com/the-north-face-jester-backpack-womens-10270275/p?skuId=1854413
'197065421120,75,Pink Moss,https://www.als.com/the-north-face-jester-backpack-womens-10270275/p?skuId=1854414
'197804286669,75,Pale Amber / Mineral Salt,https://www.als.com/the-north-face-jester-backpack-womens-10270275/p?skuId=3036785
'323450737429,97.5,Foliage Green,https://www.als.com/fjallraven-greenland-top-backpack-10508246/p?skuId=3078184
'840177281501,39.99,Willow,https://www.als.com/thread-mini-backpack-10520106/p?skuId=1784737
'840177281228,39.99,Wylde,https://www.als.com/thread-mini-backpack-10520106/p?skuId=1784738
'323450857486,120,Khaki Dust,https://www.als.com/fjallraven-raven-28-backpack-10485735/p?skuId=1320621
'323450786212,120,Port,https://www.als.com/fjallraven-raven-28-backpack-10485735/p?skuId=1320622
'198481622061,42,Sweet Beet / Sweet Beet / Burgundy Crush,https://www.als.com/nike-futura-365-mini-swirl-backpack-10607444/p?skuId=3042122
'323450786236,120,Navy,https://www.als.com/fjallraven-raven-28-backpack-10485735/p?skuId=1570147
'198481635856,42,Sanddrift / Rose Gold / Rose Gold,https://www.als.com/nike-futura-365-mini-swirl-backpack-10607444/p?skuId=3042123
'323450786199,120,Basalt,https://www.als.com/fjallraven-raven-28-backpack-10485735/p?skuId=1570149
'323450925406,120,Deep Patina,https://www.als.com/fjallraven-raven-28-backpack-10485735/p?skuId=1635630
'197642295953,99,Gravel / TNF Black,https://www.als.com/the-north-face-borealis-backpack-10361705/p?skuId=1854384
'197642130629,99,TNF Black / TNF Black-NPF,https://www.als.com/the-north-face-borealis-backpack-10361705/p?skuId=1854385
'194187721930,129,Black,https://www.als.com/patagonia-refugio-30l-daypack-10410636/p?skuId=1025304
'197642130575,99,TNF Navy / TNF Black-NPF,https://www.als.com/the-north-face-borealis-backpack-10361705/p?skuId=1854386
'197804286768,99,Bark Mist / TNF Black,https://www.als.com/the-north-face-borealis-backpack-10361705/p?skuId=3036786
'196924769274,129,Smolder Blue,https://www.als.com/patagonia-refugio-30l-daypack-10410636/p?skuId=1615818
'196924923393,129,Graze Green,https://www.als.com/patagonia-refugio-30l-daypack-10410636/p?skuId=1913890
'198077046073,129,Mountain Breeze: Buttercup Yellow,https://www.als.com/patagonia-refugio-30l-daypack-10410636/p?skuId=1913891
'198077046134,129,Solstice Purple,https://www.als.com/patagonia-refugio-30l-daypack-10410636/p?skuId=1913892
'196924923485,129,Wetland Blue,https://www.als.com/patagonia-refugio-30l-daypack-10410636/p?skuId=1913893
'323450598174,75,Rowan Red,https://www.als.com/fjallraven-high-coast-foldsack-24l-backpack-10360229/p?skuId=621311
'323450752729,100,Patina Green,https://www.als.com/fjallraven-high-coast-foldsack-24l-backpack-10360229/p?skuId=1038449
'610934377552,19.99,Gravity Grey,https://www.als.com/dakine-365-backpack-21l-10298994/p?skuId=767312
'323450598181,100,Navy,https://www.als.com/fjallraven-high-coast-foldsack-24l-backpack-10360229/p?skuId=1320623
'610934305883,19.99,Grey Scale,https://www.als.com/dakine-365-backpack-21l-10298994/p?skuId=767313
'323450666743,71.25,Warm Yellow / Rainbow Pattern,https://www.als.com/fjallraven-kanken-rainbow-backpack-10514695/p?skuId=3078106
'323450598198,100,Green,https://www.als.com/fjallraven-high-coast-foldsack-24l-backpack-10360229/p?skuId=1635589
'323450737573,71.25,Pink / Rainbow Pattern,https://www.als.com/fjallraven-kanken-rainbow-backpack-10514695/p?skuId=3078185
'323450989842,100,Clay,https://www.als.com/fjallraven-high-coast-foldsack-24l-backpack-10360229/p?skuId=1635594
'194626391762,19.99,Sparrow,https://www.als.com/dakine-365-backpack-21l-10298994/p?skuId=826290
'323450971151,71.25,Ochre / Rainbow Pattern,https://www.als.com/fjallraven-kanken-rainbow-backpack-10514695/p?skuId=3078380
'323451088834,100,Blackberry,https://www.als.com/fjallraven-high-coast-foldsack-24l-backpack-10360229/p?skuId=1922011
'194626412351,19.99,Vintage Blue,https://www.als.com/dakine-365-backpack-21l-10298994/p?skuId=866339
'194626485973,19.99,Island Spring,https://www.als.com/dakine-365-backpack-21l-10298994/p?skuId=1856633
'194626473604,19.99,Grapevine,https://www.als.com/dakine-365-backpack-21l-10298994/p?skuId=1856634
'194626473550,19.99,Pipestone,https://www.als.com/dakine-365-backpack-21l-10298994/p?skuId=1856635
'196924043404,59.99,Golden Caramel,https://www.als.com/patagonia-fieldsmith-lid-pack-10480531/p?skuId=1544006
'196924365315,59.99,Black,https://www.als.com/patagonia-fieldsmith-lid-pack-10480531/p?skuId=1544007
'196924776425,139,Black,https://www.als.com/patagonia-fieldsmith-lid-pack-10480531/p?skuId=1615838
'198077046196,139,Classic Tan,https://www.als.com/patagonia-fieldsmith-lid-pack-10480531/p?skuId=1914353
'196924924710,139,Robin Brown,https://www.als.com/patagonia-fieldsmith-lid-pack-10480531/p?skuId=1914354
'194626552897,80,Black,https://www.als.com/dakine-method-backpack-32l-10602913/p?skuId=3004839
'196928082775,56,Del Dia,https://www.als.com/cotopaxi-chiquillo-backpack-26l-10505728/p?skuId=1573653
'196928082843,75,Live Oak,https://www.als.com/cotopaxi-chiquillo-backpack-26l-10505728/p?skuId=1573654
'193145975255,47,Gray,https://www.als.com/nike-brasilia-day-backpack-10481069/p?skuId=1189000
'196928082867,75,Rusty / Mauve,https://www.als.com/cotopaxi-chiquillo-backpack-26l-10505728/p?skuId=1573655
'195869258812,42.75,Black / White,https://www.als.com/nike-hayward-backpack-26l-10405927/p?skuId=1026311
'195250925972,33.75,Black / Silver,https://www.als.com/under-armour-hustle-sportbackpack-26l-10391588/p?skuId=873573
'193145975262,47,Game Royal / White,https://www.als.com/nike-brasilia-day-backpack-10481069/p?skuId=1310158
'888259022390,9.99,Grey / Black,https://www.als.com/neff-structure-backpack-10582807/p?skuId=1853860
'195250923527,33.75,Pitch Gray / Medium Heather / Black,https://www.als.com/under-armour-hustle-sportbackpack-26l-10391588/p?skuId=873579
'888259022383,9.99,Black / Green,https://www.als.com/neff-structure-backpack-10582807/p?skuId=1853861
'196154136259,43.4,Hyper Royal / Hyper Royal / White,https://www.als.com/nike-hayward-backpack-26l-10405927/p?skuId=1298671
'198480963325,42,Blue Force / Blue Force / Volt,https://www.als.com/nike-heritage-airbrush-backpack-10602794/p?skuId=3003742
'195250923183,33.75,Midnight Navy / Midnight Navy / Metallic Silver,https://www.als.com/under-armour-hustle-sportbackpack-26l-10391588/p?skuId=1304023
'194626553207,75,Black,https://www.als.com/dakine-campus-backpack-33l-10602910/p?skuId=3004841
