UPC,Price,Variation,Source Link
0196924525252,69.99,Dulse Mauve XL,https://www.als.com/patagonia-lightweight-synchilla-snapt-fleece-pullover-womens-10271617/p?skuId=1604037
0196924717145,69.99,Thermal Blue XS,https://www.als.com/patagonia-lightweight-synchilla-snapt-fleece-pullover-womens-10271617/p?skuId=1604075
0196924532052,69.99,Terra Pink XS,https://www.als.com/patagonia-lightweight-synchilla-snapt-fleece-pullover-womens-10271617/p?skuId=1604082
0196924532069,69.99,Terra Pink S,https://www.als.com/patagonia-lightweight-synchilla-snapt-fleece-pullover-womens-10271617/p?skuId=1604083
0196924532083,69.99,Terra Pink L,https://www.als.com/patagonia-lightweight-synchilla-snapt-fleece-pullover-womens-10271617/p?skuId=1604085
0196924532090,69.99,Terra Pink XL,https://www.als.com/patagonia-lightweight-synchilla-snapt-fleece-pullover-womens-10271617/p?skuId=1604086
0196924273474,69.99,Sienna Clay XS,https://www.als.com/patagonia-lightweight-synchilla-snapt-fleece-pullover-womens-10271617/p?skuId=1741226
0196924273481,69.99,Sienna Clay S,https://www.als.com/patagonia-lightweight-synchilla-snapt-fleece-pullover-womens-10271617/p?skuId=1741227
0196924273498,69.99,Sienna Clay M,https://www.als.com/patagonia-lightweight-synchilla-snapt-fleece-pullover-womens-10271617/p?skuId=1741228
0196924273504,69.99,Sienna Clay L,https://www.als.com/patagonia-lightweight-synchilla-snapt-fleece-pullover-womens-10271617/p?skuId=1741229
0196924273511,69.99,Sienna Clay XL,https://www.als.com/patagonia-lightweight-synchilla-snapt-fleece-pullover-womens-10271617/p?skuId=1741230
0198077021735,96.99,Oatmeal Heather / Heirloom Peach XL,https://www.als.com/patagonia-lightweight-synchilla-snapt-fleece-pullover-womens-10271617/p?skuId=1913977
0198077023227,96.99,Swallowtail Geo / Still Blue XS,https://www.als.com/patagonia-lightweight-synchilla-snapt-fleece-pullover-womens-10271617/p?skuId=1913980
0198077023067,96.99,Swallowtail Geo / Still Blue S,https://www.als.com/patagonia-lightweight-synchilla-snapt-fleece-pullover-womens-10271617/p?skuId=1913981
0198077023128,96.99,Swallowtail Geo / Still Blue M,https://www.als.com/patagonia-lightweight-synchilla-snapt-fleece-pullover-womens-10271617/p?skuId=1913982
0198077023074,96.99,Swallowtail Geo / Still Blue L,https://www.als.com/patagonia-lightweight-synchilla-snapt-fleece-pullover-womens-10271617/p?skuId=1913983
0198077023135,96.99,Swallowtail Geo / Still Blue XL,https://www.als.com/patagonia-lightweight-synchilla-snapt-fleece-pullover-womens-10271617/p?skuId=1913984
0198077354406,139,Barnacle Blue S,https://www.als.com/patagonia-lightweight-synchilla-snapt-fleece-pullover-womens-10271617/p?skuId=3043102
0198077354413,139,Barnacle Blue M,https://www.als.com/patagonia-lightweight-synchilla-snapt-fleece-pullover-womens-10271617/p?skuId=3043103
0198077354420,139,Barnacle Blue L,https://www.als.com/patagonia-lightweight-synchilla-snapt-fleece-pullover-womens-10271617/p?skuId=3043104
0198077354437,139,Barnacle Blue XL,https://www.als.com/patagonia-lightweight-synchilla-snapt-fleece-pullover-womens-10271617/p?skuId=3043105
0198077354543,139,Barnacle Blue XXL,https://www.als.com/patagonia-lightweight-synchilla-snapt-fleece-pullover-womens-10271617/p?skuId=3043106
0198077355748,139,Dark Ruby L,https://www.als.com/patagonia-lightweight-synchilla-snapt-fleece-pullover-womens-10271617/p?skuId=3043113
0198077355779,139,Dark Ruby M,https://www.als.com/patagonia-lightweight-synchilla-snapt-fleece-pullover-womens-10271617/p?skuId=3043114
0198077355809,139,Dark Ruby S,https://www.als.com/patagonia-lightweight-synchilla-snapt-fleece-pullover-womens-10271617/p?skuId=3043115
0198077355854,139,Dark Ruby XS,https://www.als.com/patagonia-lightweight-synchilla-snapt-fleece-pullover-womens-10271617/p?skuId=3043116
0198077355885,139,Dark Ruby XL,https://www.als.com/patagonia-lightweight-synchilla-snapt-fleece-pullover-womens-10271617/p?skuId=3043117
0198077355892,139,Dark Ruby XXL,https://www.als.com/patagonia-lightweight-synchilla-snapt-fleece-pullover-womens-10271617/p?skuId=3043118
0198077355977,139,Flow / Dyno White S,https://www.als.com/patagonia-lightweight-synchilla-snapt-fleece-pullover-womens-10271617/p?skuId=3043120
0198077355984,139,Flow / Dyno White M,https://www.als.com/patagonia-lightweight-synchilla-snapt-fleece-pullover-womens-10271617/p?skuId=3043121
