UPC,Price,Variant,Source Link
0729402074340,69.99,Case of 4 - 64oz Bottles,https://www.baristaunderground.com/collections/syrups/products/good-drinks-dark-chocolate-sauce?variant=44088331796654
0737384162016,144.83,Case of 6 - 1/2 Gallon Bottles,https://www.baristaunderground.com/collections/syrups/products/davinci-sugar-free-chocolate-sauce-with-splenda?variant=45127786528942
0738337888854,53.52,Case of 6 - 750ml Bottles,https://www.baristaunderground.com/collections/syrups/products/monin-tiramisu-syrup?variant=44211725861038
,139.99,Case of 6 64 oz bottles,https://www.baristaunderground.com/collections/syrups/products/holy-kakow-mexican-style-chocolate-sauce?variant=31526141821039
0612511061038,59.16,Case of 6 1L Plastic Bottles,https://www.baristaunderground.com/collections/syrups/products/routin-1883-pumpkin-pie-syrup?variant=44113687445678
6048578475336,53.52,Case of 6 750mL Bottles,https://www.baristaunderground.com/collections/syrups/products/monin-syrup-lime?variant=1267610560
,124.00,Case of 12: 750mL Bottles,https://www.baristaunderground.com/collections/syrups/products/holy-kakow-cherry-syrup?variant=43024286318766
0612511192305,59.16,Case of 6 1L Plastic Bottles,https://www.baristaunderground.com/collections/syrups/products/routin-1883-tiramisu-syrup?variant=46103756341422
,30.65,Case of 4 750mL Bottles,https://www.baristaunderground.com/collections/syrups/products/torani-vanilla-bean-syrup?variant=45244785197230
6048883226418,65.19,Case of 6 - 750mL Bottles,https://www.baristaunderground.com/collections/syrups/products/monin-organic-agave-syrup?variant=5269386500
6249214211947,59.16,Case of 6 - 1 Liter Plastic Bottles,https://www.baristaunderground.com/collections/syrups/products/routin-1883-syrup-warm-spices?variant=43350109225134
,91.80,Case of 12 - 750ml Bottles,https://www.baristaunderground.com/collections/syrups/products/monin-tiramisu-syrup?variant=44211725926574
,34.99,64oz Bottle,https://www.baristaunderground.com/collections/syrups/products/holy-kakow-mexican-style-chocolate-sauce?variant=45253733384366
,110.04,Case of 12 1L Plastic Bottles,https://www.baristaunderground.com/collections/syrups/products/routin-1883-pumpkin-pie-syrup?variant=44113687478446
6048619822112,91.80,Case of 12 750mL Bottles,https://www.baristaunderground.com/collections/syrups/products/monin-syrup-lime?variant=6535643396
,22.99,750mL Bottle,https://www.baristaunderground.com/collections/syrups/products/holy-kakow-cherry-syrup?variant=45253704646830
,110.04,Case of 12 1L Plastic Bottles,https://www.baristaunderground.com/collections/syrups/products/routin-1883-tiramisu-syrup?variant=46103756374190
0089036602815,49.95,Case of 6 750mL Bottles,https://www.baristaunderground.com/collections/syrups/products/torani-vanilla-bean-syrup?variant=43730815320238
6048953980561,110.50,Case of 12 - 750mL Bottles,https://www.baristaunderground.com/collections/syrups/products/monin-organic-agave-syrup?variant=11125582404
