UPC,Price,Variant,Source Link
9320688018823,649,Black,https://www.bestbuy.com/site/bromic-heating-outdoor-heater-tungsten-electric-3000w-220-240v-black/6505176.p?skuId=6505176
048231026468,289.99,Black Steel,https://www.bestbuy.com/site/lg-29-laundry-pedestal-with-storage-drawer-black-steel/6492257.p?skuId=6492257
708447913982,799.99,Gray,https://www.bestbuy.com/site/schwinn-ic4-indoor-cycling-exercise-bike-gray/6405082.p?skuId=6405082
048231606509,435.99,White,https://www.bestbuy.com/site/lg-330-sq-ft-7600-btu-window-mounted-air-conditioner-with-3850-btu-heater-white/6554577.p?skuId=6554577
840440486848,79.99,Black,https://www.bestbuy.com/site/elgato-wave-mic-arm-lp/6589844.p?skuId=6589844
845423002664,29.99,Red,https://www.bestbuy.com/site/razor-a-kick-scooter-for-kids-red/3230559.p?skuId=3230559
012505516672,2249.99,Stainless Steel,https://www.bestbuy.com/site/frigidaire-professional-36-induction-cooktop-stainless-steel/6619418.p?skuId=6619418
840080520704,399.99,White,https://www.bestbuy.com/site/eero-pro-6e-tri-band-mesh-wi-fi-6e-system-3-pack-white/6495778.p?skuId=6495778
400066020231,239.99,Pink,https://www.bestbuy.com/site/apple-cert-refurb-watch-series-9-gps-45mm-pink-aluminum-case-w-light-pink-sport-loop-pink-2023-pink-2023/6602023.p?skuId=6602023
033991081765,15.49,Black,https://www.bestbuy.com/site/scosche-magicmount-pro-dash-mount-black/6370356.p?skuId=6370356
084691954286,119.99,Stainless Steel,https://www.bestbuy.com/site/ge-1-1-cu-ft-countertop-microwave-with-convenience-cooking-controls-stainless-steel/6580727.p?skuId=6580727
194644210755,62.99,Black,https://www.bestbuy.com/site/anker-maggo-15w-wireless-charging-station-3-in-1-stand-for-iphone-airpods-qi-devices-black/6632694.p?skuId=6632694
097855046871,20.99,Black,https://www.bestbuy.com/site/logitech-h390-wired-usb-a-on-ear-stereo-headphones-with-noise-canceling-microphone-black/9618932.p?skuId=9618932
841821025328,174.99,Black,https://www.bestbuy.com/site/greenworks-10--80-volt-cultivator-tiller-2ah-battery-charger-included-black/6501622.p?skuId=6501622
4983164898613,4.99,Styles May Vary,https://www.bestbuy.com/site/bandai-one-piece-mini-figure-gear-5-luffy-2-8-world-collectable-figure-styles-may-vary/6613387.p?skuId=6613387
718037869872,124.99,Blue,https://www.bestbuy.com/site/wd-my-passport-for-mac-4tb-external-usb-3-0-portable-hard-drive-blue/6356883.p?skuId=6356883
829610007380,998.99,Black,https://www.bestbuy.com/site/roku-75-class-pro-series-mini-led-qled-4k-smart-rokutv/6578070.p?skuId=6578070
766907021035,244.99,Black,https://www.bestbuy.com/site/viewsonic-vx3267u-2k-32-ips-lcd-qhd-monitor-with-hdr-hdmi-display-port-black/6553124.p?skuId=6553124
887276816739,119.99,Blue,https://www.bestbuy.com/site/samsung-pro-plus-1-tb-microsdxc-memory-card/6588058.p?skuId=6588058
084691857624,69.99,Stainless Steel,https://www.bestbuy.com/site/ge-4-slice-toaster-stainless-steel/6421040.p?skuId=6421040
197105936690,2329.99,Eclipse Gray,https://www.bestbuy.com/site/asus-rog-zephyrus-g16-16-oled-2-5k-240hz-gaming-laptop-intel-core-ultra-9-32gb-ram-nvidia-rtx-5070-ti-1tb-ssd-eclipse-gray/6617485.p?skuId=6617485
195949590849,199.99,Jet Black,https://www.bestbuy.com/site/beats-powerbeats-pro-2-true-wireless-active-noise-canceling-earbuds-jet-black/6558860.p?skuId=6558860
084691900504,729.99,Black,https://www.bestbuy.com/site/ge-4-8-cu-ft-freestanding-gas-range-black/6488931.p?skuId=6488931
012505648588,1999.99,Stainless steel,https://www.bestbuy.com/site/frigidaire-gallery-22-1-cu-ft-counter-depth-4-door-french-door-refrigerator-with-internal-water-dispenser-stainless-steel/6517586.p?skuId=6517586
196388518111,54.99,Robot White,https://www.bestbuy.com/site/microsoft-xbox-wireless-controller-for-xbox-series-x-xbox-series-s-xbox-one-pcs-and-cloud-enabled-devices-robot-white/6430657.p?skuId=6430657
4983164195996,4.99,Styles May Vary,https://www.bestbuy.com/site/bandai-one-piece-wanokuni-onigashima-4-banpresto-world-2-8-collectable-figure-styles-may-vary/6613378.p?skuId=6613378
018208201075,1099.99,Black,https://www.bestbuy.com/site/nikon-nikkor-z-28-75mm-f-2-8-standard-zoom-lens-for-z-cameras-black/6492278.p?skuId=6492278
883049456959,799.99,White,https://www.bestbuy.com/site/maytag-4-5-cu-ft-high-efficiency-stackable-front-load-washer-with-steam-and-fresh-spin-white/6313671.p?skuId=6313671
619659165161,22.99,Black,https://www.bestbuy.com/site/sandisk-ultra-fit-256gb-usb-3-1-flash-drive-black/6182934.p?skuId=6182934
888255264848,304.99,Red,https://www.bestbuy.com/site/hover-1-my-1st-e-bike-with-7-5-miles-max-range-and-8-mph-max-speed-red/6508976.p?skuId=6508976
840006691242,114.99,Black,https://www.bestbuy.com/site/corsair-rme-series-rm850e-80-plus-gold-fully-modular-low-noise-atx-3-1-and-pcie-5-1-power-supply-black/6611986.p?skuId=6611986
027242925601,214.99,Black,https://www.bestbuy.com/site/sony-wf1000xm5-true-wireless-noise-cancelling-earbuds-black/6546812.p?skuId=6546812
027242930001,2499.99,Black,https://www.bestbuy.com/site/sony-85-class-bravia-7-mini-led-qled-4k-uhd-smart-google-tv-2024/6578570.p?skuId=6578570
195174113240,1549.99,Obsidian Black,https://www.bestbuy.com/site/lg-gram-17-touch-screen-laptop-copilot-pc-intel-core-ultra-9-series-2-with-32gb-memory-1tb-ssd-obsidian-black/6615260.p?skuId=6615260
027242925472,38,Blue,https://www.bestbuy.com/site/sony-wh-ch520-wireless-headphone-with-microphone-blue/6594427.p?skuId=6594427
084691818458,399.99,Fingerprint Resistant Slate,https://www.bestbuy.com/site/ge-1-9-cu-ft-over-the-range-microwave-with-sensor-cooking-and-steam-cleaning-fingerprint-resistant-slate/5268800.p?skuId=5268800
817096017603,117.99,Stainless Steel,https://www.bestbuy.com/site/cuisinart-outdoor-bbq-prep-cart-stainless-steel/6498210.p?skuId=6498210
050036391290,29.95,Black,https://www.bestbuy.com/site/jbl-vibe-beam-true-wireless-earbuds-black/6533939.p?skuId=6533939
846042088503,599.99,Black,https://www.bestbuy.com/site/tcl-85-class-s5-series-4k-uhd-hdr-led-smart-google-tv-2024/6579461.p?skuId=6579461
097855159625,99.99,White,https://www.bestbuy.com/site/logitech-pro-x-superlight-lightweight-wireless-optical-gaming-mouse-with-hero-25k-sensor-wireless-white/6440537.p?skuId=6440537
400064821106,199.99,Space Gray,https://www.bestbuy.com/site/apple-geek-squad-certified-refurbished-9-7-inch-ipad-pro-with-wifi-256gb-space-gray/6482110.p?skuId=6482110
400066153021,199.99,Starlight,https://www.bestbuy.com/site/refurbished-apple-watch-nike-series-7-gps-41mm-starlight-aluminum-case-with-pure-platinum-black-nike-sport-band-starlight-2021/6615302.p?skuId=6615302
195949583315,649,Black,https://www.bestbuy.com/site/apple-watch-ultra-2-gps-cellular-49mm-titanium-case-with-black-ocean-band-black-2024/6572918.p?skuId=6572918
097855133267,743.99,Black,https://www.bestbuy.com/site/logitech-meetup-4k-ultra-hd-video-conferencing-kit-with-expansion-microphone-for-huddle-rooms-black/6263611.p?skuId=6263611
198828898203,279.99,Natural Silver,https://www.bestbuy.com/site/hp-15-6-touch-screen-laptop-intel-core-i3-8gb-memory-256gb-ssd-natural-silver/6612251.p?skuId=6612251
195949688522,99.99,White,https://www.bestbuy.com/site/apple-airpods-4-white/6447384.p?skuId=6447384
843151144366,2279.99,Black,https://www.bestbuy.com/site/clx-set-gaming-desktop-intel-core-ultra-9-285k-64gb-ddr5-5600-memory-geforce-rtx-4070-super-2tb-nvme-ssd-4tb-hdd-black/6611584.p?skuId=6611584
850055049390,299.99,Metallic Bronze,https://www.bestbuy.com/site/solo-stove-bonfire-2-0-with-stand-metallic-bronze/6636849.p?skuId=6636849
660685255852,5799,Black,https://www.bestbuy.com/site/canon-eos-r5-c-8k-video-mirrorless-cinema-camera-with-rf24-70-f-2-8-l-is-usm-lens-black/6561640.p?skuId=6561640
198153733804,119,Artic Grey,https://www.bestbuy.com/site/lenovo-ideapad-3i-chromebook-15-6-full-hd-laptop-intel-celeron-4gb-memory-with-64gb-emmc-storage-artic-grey/6588651.p?skuId=6588651
818373026349,184.03,Midnight,https://www.bestbuy.com/site/peak-design-everyday-backpack-20l-zip-midnight/6598765.p?skuId=6598765
600603304613,469.99,Stainless Steel,https://www.bestbuy.com/site/insignia-14-2-cu-ft-top-freezer-refrigerator-with-energy-star-certification-stainless-steel/6562450.p?skuId=6562450
196803504613,169,Abyss Blue,https://www.bestbuy.com/site/lenovo-ideapad-slim-3-chromebook-laptop-14-full-hd-touchscreen-laptop-mediatek-kompanio-520-4gb-memory-64gb-emmc-abyss-blue/6531742.p?skuId=6531742
