UPC,Price,Variant,Source Link
197943407918,265.00,11.5 Medium (D) / New Camel Suede,http://bhfo.com/products/vince-mens-lakewood-suede-lifestyle-casual-and-fashion-sneakers?variant=46439812464810
196350261243,56.00,"6 Medium (B,M) / Black Crinkle Patent",http://bhfo.com/products/kenneth-cole-reaction-womens-leeann-comfort-insole-block-heels?variant=46673766645930
196350261250,56.00,"6.5 Medium (B,M) / Black Crinkle Patent",http://bhfo.com/products/kenneth-cole-reaction-womens-leeann-comfort-insole-block-heels?variant=46585669583018
196350261298,56.00,"8.5 Medium (B,M) / Black Crinkle Patent",http://bhfo.com/products/kenneth-cole-reaction-womens-leeann-comfort-insole-block-heels?variant=46653546365098
196350260420,70.00,"7 Medium (B,M) / Grey",http://bhfo.com/products/kenneth-cole-reaction-womens-shea-zipper-faux-suede-ankle-boots?variant=46647055974570
,70.99,"7 Medium (B,M) / Black",http://bhfo.com/products/kenneth-cole-reaction-womens-shea-zipper-faux-suede-ankle-boots?variant=46622160715946
196350260598,70.00,"7 Medium (B,M) / Chocolate Micro",http://bhfo.com/products/kenneth-cole-reaction-womens-shea-zipper-faux-suede-ankle-boots?variant=46655566348458
197943544095,244.95,"6 Medium (B,M) / Cafe",http://bhfo.com/products/naturalizer-womens-deesha-nc-zipper-leather-knee-high-boots?variant=46572414795946
197943544224,244.95,"6 Medium (B,M) / Mahogany",http://bhfo.com/products/naturalizer-womens-deesha-nc-zipper-leather-knee-high-boots?variant=46574181023914
196350260208,70.00,"7.5 Medium (B,M) / Chocolate Micro",http://bhfo.com/products/kenneth-cole-reaction-womens-shea-zipper-faux-suede-ankle-boots?variant=46588628304042
196350259868,70.00,"7.5 Medium (B,M) / Black Micro",http://bhfo.com/products/kenneth-cole-reaction-womens-shea-zipper-faux-suede-ankle-boots?variant=46662643613866
196350260437,70.00,"8 Medium (B,M) / Grey",http://bhfo.com/products/kenneth-cole-reaction-womens-shea-zipper-faux-suede-ankle-boots?variant=46673359372458
,244.99,"7 Medium (B,M) / Chocolate Leather",http://bhfo.com/products/naturalizer-womens-deesha-nc-zipper-leather-knee-high-boots?variant=46591876628650
197943544125,244.95,"7.5 Medium (B,M) / Cafe",http://bhfo.com/products/naturalizer-womens-deesha-nc-zipper-leather-knee-high-boots?variant=46613415067818
197540244930,244.95,"8.5 Medium (B,M) / Black",http://bhfo.com/products/naturalizer-womens-deesha-nc-zipper-leather-knee-high-boots?variant=46613415100586
196350260390,70.00,"8 Medium (B,M) / Black Micro",http://bhfo.com/products/kenneth-cole-reaction-womens-shea-zipper-faux-suede-ankle-boots?variant=46695647969450
