UPC,Price,Variant,Source Link
190069845206,59.99,RED MULTI / 5.5 M,https://blondo.com/collections/sale/products/kamari?variant=43178936533091
190069845220,59.99,RED MULTI / 6 M,https://blondo.com/collections/sale/products/kamari?variant=43178936565859
190069845244,59.99,RED MULTI / 6.5 M,https://blondo.com/collections/sale/products/kamari?variant=43178936598627
190069845268,59.99,RED MULTI / 7 M,https://blondo.com/collections/sale/products/kamari?variant=43178936631395
190069845282,59.99,RED MULTI / 7.5 M,https://blondo.com/collections/sale/products/kamari?variant=43178936664163
190069845305,59.99,RED MULTI / 8 M,https://blondo.com/collections/sale/products/kamari?variant=43178936696931
190069845329,59.99,RED MULTI / 8.5 M,https://blondo.com/collections/sale/products/kamari?variant=43178936729699
190069845343,59.99,RED MULTI / 9 M,https://blondo.com/collections/sale/products/kamari?variant=43178936762467
190069845367,59.99,RED MULTI / 9.5 M,https://blondo.com/collections/sale/products/kamari?variant=43178936795235
190069845381,59.99,RED MULTI / 10 M,https://blondo.com/collections/sale/products/kamari?variant=43178936828003
190069845404,59.99,RED MULTI / 11 M,https://blondo.com/collections/sale/products/kamari?variant=43178936860771
190069845190,59.99,TAUPE MULTI / 5.5 M,https://blondo.com/collections/sale/products/kamari?variant=43178936893539
190069845213,59.99,TAUPE MULTI / 6 M,https://blondo.com/collections/sale/products/kamari?variant=43178936926307
190069845237,59.99,TAUPE MULTI / 6.5 M,https://blondo.com/collections/sale/products/kamari?variant=43178936959075
190069845251,59.99,TAUPE MULTI / 7 M,https://blondo.com/collections/sale/products/kamari?variant=43178936991843
190069845275,59.99,TAUPE MULTI / 7.5 M,https://blondo.com/collections/sale/products/kamari?variant=43178937024611
190069845299,59.99,TAUPE MULTI / 8 M,https://blondo.com/collections/sale/products/kamari?variant=43178937057379
190069845312,59.99,TAUPE MULTI / 8.5 M,https://blondo.com/collections/sale/products/kamari?variant=43178937090147
190069845336,59.99,TAUPE MULTI / 9 M,https://blondo.com/collections/sale/products/kamari?variant=43178937122915
190069845350,59.99,TAUPE MULTI / 9.5 M,https://blondo.com/collections/sale/products/kamari?variant=43178937155683
190069845374,59.99,TAUPE MULTI / 10 M,https://blondo.com/collections/sale/products/kamari?variant=43178937188451
190069845398,59.99,TAUPE MULTI / 11 M,https://blondo.com/collections/sale/products/kamari?variant=43178937221219
190069842182,59.99,YELLOW SUEDE / 5 M,https://blondo.com/collections/sale/products/alex?variant=43165856890979
190069842205,59.99,YELLOW SUEDE / 5.5 M,https://blondo.com/collections/sale/products/alex?variant=43165856923747
190069842229,59.99,YELLOW SUEDE / 6 M,https://blondo.com/collections/sale/products/alex?variant=43165856956515
190069842243,59.99,YELLOW SUEDE / 6.5 M,https://blondo.com/collections/sale/products/alex?variant=43165856989283
190069842267,59.99,YELLOW SUEDE / 7 M,https://blondo.com/collections/sale/products/alex?variant=43165857022051
190069842281,59.99,YELLOW SUEDE / 7.5 M,https://blondo.com/collections/sale/products/alex?variant=43165857054819
190069842304,59.99,YELLOW SUEDE / 8 M,https://blondo.com/collections/sale/products/alex?variant=43165857087587
190069842328,59.99,YELLOW SUEDE / 8.5 M,https://blondo.com/collections/sale/products/alex?variant=43165857120355
190069842342,59.99,YELLOW SUEDE / 9 M,https://blondo.com/collections/sale/products/alex?variant=43165857153123
190069842366,59.99,YELLOW SUEDE / 9.5 M,https://blondo.com/collections/sale/products/alex?variant=43165857185891
190069842380,59.99,YELLOW SUEDE / 10 M,https://blondo.com/collections/sale/products/alex?variant=43165857218659
190069842403,59.99,YELLOW SUEDE / 11 M,https://blondo.com/collections/sale/products/alex?variant=43165857251427
190069842175,59.99,GREEN SUEDE / 5 M,https://blondo.com/collections/sale/products/alex?variant=43165858070627
190069842199,59.99,GREEN SUEDE / 5.5 M,https://blondo.com/collections/sale/products/alex?variant=43165858103395
190069842212,59.99,GREEN SUEDE / 6 M,https://blondo.com/collections/sale/products/alex?variant=43165858136163
190069842236,59.99,GREEN SUEDE / 6.5 M,https://blondo.com/collections/sale/products/alex?variant=43165858168931
190069842250,59.99,GREEN SUEDE / 7 M,https://blondo.com/collections/sale/products/alex?variant=43165858201699
190069842274,59.99,GREEN SUEDE / 7.5 M,https://blondo.com/collections/sale/products/alex?variant=43165858234467
190069842298,59.99,GREEN SUEDE / 8 M,https://blondo.com/collections/sale/products/alex?variant=43165858267235
190069842311,59.99,GREEN SUEDE / 8.5 M,https://blondo.com/collections/sale/products/alex?variant=43165858300003
190069842335,59.99,GREEN SUEDE / 9 M,https://blondo.com/collections/sale/products/alex?variant=43165858332771
190069842359,59.99,GREEN SUEDE / 9.5 M,https://blondo.com/collections/sale/products/alex?variant=43165858365539
190069842373,59.99,GREEN SUEDE / 10 M,https://blondo.com/collections/sale/products/alex?variant=43165858398307
190069842397,59.99,GREEN SUEDE / 11 M,https://blondo.com/collections/sale/products/alex?variant=43165858431075
190069839908,59.99,NAVY SUEDE / 5 M,https://blondo.com/collections/sale/products/alex?variant=43165856497763
190069839939,59.99,NAVY SUEDE / 5.5 M,https://blondo.com/collections/sale/products/alex?variant=43165856530531
190069839960,59.99,NAVY SUEDE / 6 M,https://blondo.com/collections/sale/products/alex?variant=43165856563299
190069839991,59.99,NAVY SUEDE / 6.5 M,https://blondo.com/collections/sale/products/alex?variant=43165856596067
190069840027,59.99,NAVY SUEDE / 7 M,https://blondo.com/collections/sale/products/alex?variant=43165856628835
190069840058,59.99,NAVY SUEDE / 7.5 M,https://blondo.com/collections/sale/products/alex?variant=43165856661603
190069840089,59.99,NAVY SUEDE / 8 M,https://blondo.com/collections/sale/products/alex?variant=43165856694371
190069840119,59.99,NAVY SUEDE / 8.5 M,https://blondo.com/collections/sale/products/alex?variant=43165856727139
190069840140,59.99,NAVY SUEDE / 9 M,https://blondo.com/collections/sale/products/alex?variant=43165856759907
