UPC,Price,Variant,Source Link
854814007010,0.00,,https://www.chewy.com/natures-diet-toothbrush-systemic/dp/344435
015958978868,4.99,30 count,https://www.chewy.com/premium-pork-chomps-bacon-flavor/dp/51167
027773028017,23.36,24-in,https://www.chewy.com/midwest-quiet-time-fleece-reversible/dp/102262
027773010159,50.65,54-in,https://www.chewy.com/midwest-quiet-time-fleece-reversible/dp/102262
027773009511,35.99,48-in,https://www.chewy.com/midwest-quiet-time-fleece-reversible/dp/102262
027773027997,14.98,18-in,https://www.chewy.com/midwest-quiet-time-fleece-reversible/dp/102262
027773009504,32.29,42-in,https://www.chewy.com/midwest-quiet-time-fleece-reversible/dp/102262
027773028031,41.19,36-in,https://www.chewy.com/midwest-quiet-time-fleece-reversible/dp/102262
027773009498,24.19,36-in,https://www.chewy.com/midwest-quiet-time-fleece-reversible/dp/102262
027773009481,18.79,30-in,https://www.chewy.com/midwest-quiet-time-fleece-reversible/dp/102262
027773028000,15.64,22-in,https://www.chewy.com/midwest-quiet-time-fleece-reversible/dp/102262
027773009474,13.79,24-in,https://www.chewy.com/midwest-quiet-time-fleece-reversible/dp/102262
027773009467,9.50,22-in,https://www.chewy.com/midwest-quiet-time-fleece-reversible/dp/102262
027773009450,9.89,18-in,https://www.chewy.com/midwest-quiet-time-fleece-reversible/dp/102262
027773028024,25.17,30-in,https://www.chewy.com/midwest-quiet-time-fleece-reversible/dp/102262
027773028062,64.42,54-in,https://www.chewy.com/midwest-quiet-time-fleece-reversible/dp/102262
027773028048,45.71,42-in,https://www.chewy.com/midwest-quiet-time-fleece-reversible/dp/102262
027773028055,61.15,48-in,https://www.chewy.com/midwest-quiet-time-fleece-reversible/dp/102262
724004607378,2.29,4-in,https://www.chewy.com/andover-healthcare-petflex-bitter-no/dp/153214
724004607408,1.99,2-in,https://www.chewy.com/andover-healthcare-petflex-bitter-no/dp/153214
,4.58,"4-in, bundle of 2",https://www.chewy.com/andover-healthcare-petflex-bitter-no/dp/153214
192268016432,6.21,,https://www.chewy.com/frisco-stainless-steel-bowl-medium-4/dp/201909
192268016449,11.99,,https://www.chewy.com/frisco-stainless-steel-bowl-medium-4/dp/201909
192268013868,13.99,,https://www.chewy.com/frisco-scratch-roll-scratcher-cat-toy/dp/193218
192268572617,0.00,,https://www.chewy.com/frisco-scratch-roll-scratcher-cat-toy/dp/193218
192268009052,31.99,Gray,https://www.chewy.com/frisco-335-in-sisal-cat-scratching/dp/155161
000001280791,31.99,Brown,https://www.chewy.com/frisco-335-in-sisal-cat-scratching/dp/155161
000001280753,31.99,Cream,https://www.chewy.com/frisco-335-in-sisal-cat-scratching/dp/155161
851614004416,0.00,,https://www.chewy.com/rileys-sweet-potato-recipe-biscuit/dp/727702
732109917513,0.00,,https://www.chewy.com/odoban-ready-to-use-fresh-linen/dp/819046
742797017969,0.00,,https://www.chewy.com/burts-bees-manuka-honey-itch-soothing/dp/864438
639725994747,70.00,200-mL,https://www.chewy.com/company-animals-pet-corrector-dog/dp/109080
886284313438,140.00,200-mL,https://www.chewy.com/company-animals-pet-corrector-dog/dp/109080
885631216378,26.58,50-mL,https://www.chewy.com/company-animals-pet-corrector-dog/dp/109080
886284311434,43.40,50-mL,https://www.chewy.com/company-animals-pet-corrector-dog/dp/109080
886284310406,11.99,30-mL,https://www.chewy.com/company-animals-pet-corrector-dog/dp/109080
886284311403,13.29,50-mL,https://www.chewy.com/company-animals-pet-corrector-dog/dp/109080
886284313407,29.99,200-mL,https://www.chewy.com/company-animals-pet-corrector-dog/dp/109080
886284310437,38.99,30-mL,https://www.chewy.com/company-animals-pet-corrector-dog/dp/109080
886284310444,48.18,30-mL,https://www.chewy.com/company-animals-pet-corrector-dog/dp/109080
886284310420,23.99,30-mL,https://www.chewy.com/company-animals-pet-corrector-dog/dp/109080
076484800412,0.00,,https://www.chewy.com/turbo-glitter-pom-pom-ball-cat-toy-4/dp/228786
076484800023,0.00,,https://www.chewy.com/turbo-lattice-ball-cat-toy/dp/228784
731236221470,2.99,,https://www.chewy.com/pet-house-pumpkin-spice-car-air/dp/143259
018214841593,0.00,,https://www.chewy.com/nylabone-healthy-edibles-bacon-roast/dp/182589
669125660225,0.00,,https://www.chewy.com/nutri-vet-pre-probiotics-soft-chews/dp/132163
710594011756,0.00,,https://www.chewy.com/goodgrowlies-allergy-itch-relief/dp/1475294
742797807096,0.00,,https://www.chewy.com/arm-hammer-kiwi-blossom-super/dp/254394
840134601687,13.99,,https://www.chewy.com/bark-super-chewer-sven-hedgie/dp/1180742
5000057845,3.52,"3-oz can, case of 4",https://www.chewy.com/fancy-feast-gravy-lovers-chicken/dp/103841
