UPC,Price,Variant,Source Link
0810139861379,132.00,Blush/Grey,https://www.the-citizenry.com/products/paloma-throw?variant=46051766730939
0810187755002,699.00,Grey / 6' x 9',https://www.the-citizenry.com/products/lata-hand-knotted-area-rug-grey?variant=46838052946107
0810187755019,1049.00,Grey / 8' x 10',https://www.the-citizenry.com/products/lata-hand-knotted-area-rug-grey?variant=46838052978875
0810187755026,1329.00,Grey / 9' x 12',https://www.the-citizenry.com/products/lata-hand-knotted-area-rug-grey?variant=46838053011643
,26.00,2 Face Towels / Mist,https://www.the-citizenry.com/products/mara-organic-waffle-towels?variant=44269318734011
,26.00,2 Face Towels / White,https://www.the-citizenry.com/products/mara-organic-waffle-towels?variant=44269318602939
,26.00,2 Face Towels / Midnight,https://www.the-citizenry.com/products/mara-organic-waffle-towels?variant=44269319061691
0810187755033,1749.00,Grey / 10' x 14',https://www.the-citizenry.com/products/lata-hand-knotted-area-rug-grey?variant=46838053044411
,26.00,2 Face Towels / Olive,https://www.the-citizenry.com/products/mara-organic-waffle-towels?variant=44269318897851
,26.00,2 Face Towels / Rose,https://www.the-citizenry.com/products/mara-organic-waffle-towels?variant=44269319389371
,26.00,2 Face Towels / Spice,https://www.the-citizenry.com/products/mara-organic-waffle-towels?variant=44269319225531
,40.00,2 Hand Towels / Mist,https://www.the-citizenry.com/products/mara-organic-waffle-towels?variant=44269318766779
,40.00,2 Hand Towels / White,https://www.the-citizenry.com/products/mara-organic-waffle-towels?variant=44269318635707
,40.00,2 Hand Towels / Midnight,https://www.the-citizenry.com/products/mara-organic-waffle-towels?variant=44269319094459
,40.00,2 Hand Towels / Olive,https://www.the-citizenry.com/products/mara-organic-waffle-towels?variant=44269318930619
,40.00,2 Hand Towels / Rose,https://www.the-citizenry.com/products/mara-organic-waffle-towels?variant=44269319422139
0810150063783,909.00,Stone Blue / 6' x 9',https://www.the-citizenry.com/products/atashi-hand-knotted-area-rug-stone-blue?variant=46838116352187
0810150064285,559.30,Flax / 5' x 8',https://www.the-citizenry.com/products/neena-area-rug?variant=31790313242697
,40.00,2 Hand Towels / Spice,https://www.the-citizenry.com/products/mara-organic-waffle-towels?variant=44269319258299
,68.00,2 Bath Towels / Mist,https://www.the-citizenry.com/products/mara-organic-waffle-towels?variant=44269318832315
