UPC,Price,Variant,Source Link
0810150064551,1279.20,6' x 9' / Desert,https://www.the-citizenry.com/products/saraja-hand-knotted-area-rug?variant=44553693757627
0810139867548,239.20,Stone Grey / Full/Queen,https://www.the-citizenry.com/products/organic-cotton-quilt?variant=41159998374075
0810139868811,799.20,Taupe / 6' x 9',https://www.the-citizenry.com/products/lata-hand-knotted-area-rug?variant=45579455660219
,1119.20,Natural Ash / Standard,https://www.the-citizenry.com/products/avon-nightstand?variant=46279148535995
,719.20,Medium / Caramel,https://www.the-citizenry.com/products/torres-square-leather-ottoman-medium-large?variant=31800161468489
,719.20,Ecru / 5' x 8',https://www.the-citizenry.com/products/suhana-wool-area-rug?variant=42740194017467
0810139861270,97.30,Small,https://www.the-citizenry.com/products/totora-floor-basket?variant=40940096422075
0810150068078,743.20,Cocoa,https://www.the-citizenry.com/products/leela-wood-coffee-table?variant=46287752593595
,559.20,Sage / 5' x 8',https://www.the-citizenry.com/products/artha-area-rug?variant=44767431622843
0810150063714,1039.20,Rust / 6' x 9',https://www.the-citizenry.com/products/atashi-hand-knotted-area-rug?variant=46287751479483
0810139861614,84.00,Aegean / 18'' x 18'',https://www.the-citizenry.com/products/naveta-velvet-pillow?variant=44725421408443
0810139860945,223.20,Full/Queen / Olive,https://www.the-citizenry.com/products/ayla-organic-cotton-quitled-bed-blanket?variant=44725419311291
0810187754845,719.20,Natural / 6' x 9',https://www.the-citizenry.com/products/shakha-hand-knotted-area-rug?variant=46531450273979
0810139861003,223.20,Full/Queen / Stone Blue,https://www.the-citizenry.com/products/naya-organic-cotton-quitled-bed-blanket?variant=44725419507899
0810150060546,719.20,Cocoa,https://www.the-citizenry.com/products/prina-woodcoffee-table?variant=45579872174267
0810139861294,127.20,Medium,https://www.the-citizenry.com/products/totora-storage-basket?variant=40939880480955
,2639.20,Twin / Cotton Linen / Maple,https://www.the-citizenry.com/products/ridge-bed?variant=44583257833659
,319.20,Solid / Medium,https://www.the-citizenry.com/products/sanjay-cotton-ottoman-medium-large?variant=41202860327099
,1119.20,Medium,https://www.the-citizenry.com/products/san-pedro-woven-bench?variant=39357607936187
