UPC,Price,Variation,Source Link
'198294272798,35.55,XS,https://www.calvinklein.us/en/sale/men/tops/cotton-stretch-slim-button-down-shirt/4LB147G-6XU.html?journey=Tier_0000010
'197499352380,35.55,XS,https://www.calvinklein.us/en/sale/men/tops/cotton-stretch-slim-button-down-shirt/4LB147G-6XU.html?journey=Tier_0000010
'197499352342,35.55,S,https://www.calvinklein.us/en/sale/men/tops/cotton-stretch-slim-button-down-shirt/4LB147G-6XU.html?journey=Tier_0000010
'198294272804,35.55,S,https://www.calvinklein.us/en/sale/men/tops/cotton-stretch-slim-button-down-shirt/4LB147G-6XU.html?journey=Tier_0000010
'198294272811,35.55,M,https://www.calvinklein.us/en/sale/men/tops/cotton-stretch-slim-button-down-shirt/4LB147G-6XU.html?journey=Tier_0000010
'197499352328,35.55,M,https://www.calvinklein.us/en/sale/men/tops/cotton-stretch-slim-button-down-shirt/4LB147G-6XU.html?journey=Tier_0000010
'198294075726,26.70,24W X SL,https://www.calvinklein.us/en/sale/women/pants/original-curvy-straight-fit-jeans/40WL806-N8C.html?journey=Tier_0000010
'197499743836,35.55,XS,https://www.calvinklein.us/en/sale/men/tops/cotton-stretch-slim-button-down-shirt/4LB147G-QJ3.html?journey=Tier_0000010
'198294272828,35.55,L,https://www.calvinklein.us/en/sale/men/tops/cotton-stretch-slim-button-down-shirt/4LB147G-6XU.html?journey=Tier_0000010
'198294075825,26.70,24W X RL,https://www.calvinklein.us/en/sale/women/pants/original-curvy-straight-fit-jeans/40WL806-N8C.html?journey=Tier_0000010
'198294075924,26.70,24W X LL,https://www.calvinklein.us/en/sale/women/pants/original-curvy-straight-fit-jeans/40WL806-N8C.html?journey=Tier_0000010
'197499352304,35.55,L,https://www.calvinklein.us/en/sale/men/tops/cotton-stretch-slim-button-down-shirt/4LB147G-6XU.html?journey=Tier_0000010
'198294272972,35.55,XS,https://www.calvinklein.us/en/sale/men/tops/cotton-stretch-slim-button-down-shirt/4LB147G-QJ3.html?journey=Tier_0000010
'198294075733,26.70,25W X SL,https://www.calvinklein.us/en/sale/women/pants/original-curvy-straight-fit-jeans/40WL806-N8C.html?journey=Tier_0000010
'196807913138,20.70,2XL,https://www.calvinklein.us/en/sale/men/underwear/cotton-classics-3-pack-knit-boxer/NB4005-VQI.html?journey=Tier_0000010
'198294272835,35.55,XL,https://www.calvinklein.us/en/sale/men/tops/cotton-stretch-slim-button-down-shirt/4LB147G-6XU.html?journey=Tier_0000010
'198294596320,40.05,3XS,https://www.calvinklein.us/en/sale/women/pants/matte-satin-midi-skirt/44B608G-UB1.html?journey=Tier_0000010
'198294272989,35.55,S,https://www.calvinklein.us/en/sale/men/tops/cotton-stretch-slim-button-down-shirt/4LB147G-QJ3.html?journey=Tier_0000010
'198294075832,26.70,25W X RL,https://www.calvinklein.us/en/sale/women/pants/original-curvy-straight-fit-jeans/40WL806-N8C.html?journey=Tier_0000010
'196807913114,20.70,L,https://www.calvinklein.us/en/sale/men/underwear/cotton-classics-3-pack-knit-boxer/NB4005-VQI.html?journey=Tier_0000010
'196807913107,20.70,M,https://www.calvinklein.us/en/sale/men/underwear/cotton-classics-3-pack-knit-boxer/NB4005-VQI.html?journey=Tier_0000010
'196807913091,20.70,S,https://www.calvinklein.us/en/sale/men/underwear/cotton-classics-3-pack-knit-boxer/NB4005-VQI.html?journey=Tier_0000010
'196807913121,20.70,XL,https://www.calvinklein.us/en/sale/men/underwear/cotton-classics-3-pack-knit-boxer/NB4005-VQI.html?journey=Tier_0000010
'198294075931,26.70,25W X LL,https://www.calvinklein.us/en/sale/women/pants/original-curvy-straight-fit-jeans/40WL806-N8C.html?journey=Tier_0000010
'197499352366,35.55,XL,https://www.calvinklein.us/en/sale/men/tops/cotton-stretch-slim-button-down-shirt/4LB147G-6XU.html?journey=Tier_0000010
