UPC,Price,Variation,Source Link
196807878932,22.05,XS,https://www.calvinklein.us/en/sale/women/lounge-sleep/woven-viscose-sleep-shorts/QS7258-T8O.html?journey=new-to-sale
196807878833,31.05,XS,https://www.calvinklein.us/en/sale/women/lounge-sleep/woven-viscose-sleep-pants/QS7257-T8O.html?journey=new-to-sale
198294265158,44.55,OS,https://www.calvinklein.us/en/sale/women/accessories/drawstring-crossbody-bag/4K3060G-PDE.html?journey=new-to-sale
196807878949,22.05,S,https://www.calvinklein.us/en/sale/women/lounge-sleep/woven-viscose-sleep-shorts/QS7258-T8O.html?journey=new-to-sale
198294442016,40.05,XS,https://www.calvinklein.us/en/women/apparel/tops/archive-logo-fleece-relaxed-sweatshirt/47B236G-UB1.html?journey=new-to-sale
198294329577,58.05,XS,https://www.calvinklein.us/en/men/apparel/tops/fine-knit-lyocell-blend-polo-shirt/4LB255G-RMG.html?journey=new-to-sale
198294717978,33.75,XS,https://www.calvinklein.us/en/sale/men/bottoms/archive-logo-fleece-joggers/40QM432-CKM.html?journey=new-to-sale
196807878383,22.50,XS,https://www.calvinklein.us/en/sale/women/lounge-sleep/cotton-stretch-rib-bike-shorts/QS7216-HGS.html?journey=new-to-sale
196807878437,22.50,XS,https://www.calvinklein.us/en/sale/women/lounge-sleep/cotton-stretch-rib-bike-shorts/QS7216-FCG.html?journey=new-to-sale
198294367432,31.05,OS,https://www.calvinklein.us/en/sale/men/accessories/workwear-belt-bag/4G3027G-PBF.html?journey=new-to-sale
198294445659,40.05,XS,https://www.calvinklein.us/en/sale/women/tops/open-knit-relaxed-polo-sweater/47B331G-FPU.html?journey=new-to-sale
198294479975,53.55,XS,https://www.calvinklein.us/en/sale/women/sale-womens-jackets-outerwear/cropped-collarless-denim-trucker-jacket/47B716G-UN6.html?journey=new-to-sale
196807878482,22.50,XS,https://www.calvinklein.us/en/sale/women/lounge-sleep/cotton-stretch-rib-bike-shorts/QS7216-QX6.html?journey=new-to-sale
