UPC,Price,Variant,Source Link
195982101491,27,Mountain Blue - XXL,https://www.columbia.com/p/mens-utilizer-ii-solid-short-sleeve-shirt-1577761.html?dwvar_1577761_color=433
195982101521,27,Mountain Blue - M,https://www.columbia.com/p/mens-utilizer-ii-solid-short-sleeve-shirt-1577761.html?dwvar_1577761_color=433
195982101507,27,Mountain Blue - XL,https://www.columbia.com/p/mens-utilizer-ii-solid-short-sleeve-shirt-1577761.html?dwvar_1577761_color=433
195982101514,27,Mountain Blue - S,https://www.columbia.com/p/mens-utilizer-ii-solid-short-sleeve-shirt-1577761.html?dwvar_1577761_color=433
195982101484,27,Mountain Blue - L,https://www.columbia.com/p/mens-utilizer-ii-solid-short-sleeve-shirt-1577761.html?dwvar_1577761_color=433
195982101606,27,Ripple Blue - XL,https://www.columbia.com/p/mens-utilizer-ii-solid-short-sleeve-shirt-1577761.html?dwvar_1577761_color=431
195982101620,27,Ripple Blue - S,https://www.columbia.com/p/mens-utilizer-ii-solid-short-sleeve-shirt-1577761.html?dwvar_1577761_color=431
195982101590,27,Ripple Blue - M,https://www.columbia.com/p/mens-utilizer-ii-solid-short-sleeve-shirt-1577761.html?dwvar_1577761_color=431
195982101583,27,Ripple Blue - XXL,https://www.columbia.com/p/mens-utilizer-ii-solid-short-sleeve-shirt-1577761.html?dwvar_1577761_color=431
195982101613,27,Ripple Blue - L,https://www.columbia.com/p/mens-utilizer-ii-solid-short-sleeve-shirt-1577761.html?dwvar_1577761_color=431
195982101651,27,Tuscan - L,https://www.columbia.com/p/mens-utilizer-ii-solid-short-sleeve-shirt-1577761.html?dwvar_1577761_color=851
195982101637,27,Tuscan - XL,https://www.columbia.com/p/mens-utilizer-ii-solid-short-sleeve-shirt-1577761.html?dwvar_1577761_color=851
195982101675,27,Tuscan - XXL,https://www.columbia.com/p/mens-utilizer-ii-solid-short-sleeve-shirt-1577761.html?dwvar_1577761_color=851
195982101668,27,Tuscan - M,https://www.columbia.com/p/mens-utilizer-ii-solid-short-sleeve-shirt-1577761.html?dwvar_1577761_color=851
195982101644,27,Tuscan - S,https://www.columbia.com/p/mens-utilizer-ii-solid-short-sleeve-shirt-1577761.html?dwvar_1577761_color=851
195982101538,27,Sand Dune - S,https://www.columbia.com/p/mens-utilizer-ii-solid-short-sleeve-shirt-1577761.html?dwvar_1577761_color=715
195982101569,27,Sand Dune - M,https://www.columbia.com/p/mens-utilizer-ii-solid-short-sleeve-shirt-1577761.html?dwvar_1577761_color=715
195982101552,27,Sand Dune - XL,https://www.columbia.com/p/mens-utilizer-ii-solid-short-sleeve-shirt-1577761.html?dwvar_1577761_color=715
195982101576,27,Sand Dune - XXL,https://www.columbia.com/p/mens-utilizer-ii-solid-short-sleeve-shirt-1577761.html?dwvar_1577761_color=715
195982101545,27,Sand Dune - L,https://www.columbia.com/p/mens-utilizer-ii-solid-short-sleeve-shirt-1577761.html?dwvar_1577761_color=715
194003577222,27,Black - M,https://www.columbia.com/p/mens-utilizer-ii-solid-short-sleeve-shirt-1577761.html?dwvar_1577761_color=011
194003577260,27,Black - L,https://www.columbia.com/p/mens-utilizer-ii-solid-short-sleeve-shirt-1577761.html?dwvar_1577761_color=011
194003577239,27,Black - XXL,https://www.columbia.com/p/mens-utilizer-ii-solid-short-sleeve-shirt-1577761.html?dwvar_1577761_color=011
194003577253,27,Black - S,https://www.columbia.com/p/mens-utilizer-ii-solid-short-sleeve-shirt-1577761.html?dwvar_1577761_color=011
194003577246,27,Black - XL,https://www.columbia.com/p/mens-utilizer-ii-solid-short-sleeve-shirt-1577761.html?dwvar_1577761_color=011
191455943094,27,Collegiate Navy - M,https://www.columbia.com/p/mens-utilizer-ii-solid-short-sleeve-shirt-1577761.html?dwvar_1577761_color=464
191455943117,27,Collegiate Navy - XL,https://www.columbia.com/p/mens-utilizer-ii-solid-short-sleeve-shirt-1577761.html?dwvar_1577761_color=464
191455943100,27,Collegiate Navy - S,https://www.columbia.com/p/mens-utilizer-ii-solid-short-sleeve-shirt-1577761.html?dwvar_1577761_color=464
191455943124,27,Collegiate Navy - XXL,https://www.columbia.com/p/mens-utilizer-ii-solid-short-sleeve-shirt-1577761.html?dwvar_1577761_color=464
191455943087,27,Collegiate Navy - L,https://www.columbia.com/p/mens-utilizer-ii-solid-short-sleeve-shirt-1577761.html?dwvar_1577761_color=464
888458761670,27,White - S,https://www.columbia.com/p/mens-utilizer-ii-solid-short-sleeve-shirt-1577761.html?dwvar_1577761_color=100
888458761694,27,White - L,https://www.columbia.com/p/mens-utilizer-ii-solid-short-sleeve-shirt-1577761.html?dwvar_1577761_color=100
888458761717,27,White - XXL,https://www.columbia.com/p/mens-utilizer-ii-solid-short-sleeve-shirt-1577761.html?dwvar_1577761_color=100
888458761700,27,White - XL,https://www.columbia.com/p/mens-utilizer-ii-solid-short-sleeve-shirt-1577761.html?dwvar_1577761_color=100
888458761687,27,White - M,https://www.columbia.com/p/mens-utilizer-ii-solid-short-sleeve-shirt-1577761.html?dwvar_1577761_color=100
194003577703,27,Stone Green - XXL,https://www.columbia.com/p/mens-utilizer-ii-solid-short-sleeve-shirt-1577761.html?dwvar_1577761_color=397
194003577710,27,Stone Green - M,https://www.columbia.com/p/mens-utilizer-ii-solid-short-sleeve-shirt-1577761.html?dwvar_1577761_color=397
194003577697,27,Stone Green - L,https://www.columbia.com/p/mens-utilizer-ii-solid-short-sleeve-shirt-1577761.html?dwvar_1577761_color=397
194003577673,27,Stone Green - XL,https://www.columbia.com/p/mens-utilizer-ii-solid-short-sleeve-shirt-1577761.html?dwvar_1577761_color=397
194003577680,27,Stone Green - S,https://www.columbia.com/p/mens-utilizer-ii-solid-short-sleeve-shirt-1577761.html?dwvar_1577761_color=397
193553333401,27,Columbia Grey - XXL,https://www.columbia.com/p/mens-utilizer-ii-solid-short-sleeve-shirt-1577761.html?dwvar_1577761_color=039
193553333371,27,Columbia Grey - M,https://www.columbia.com/p/mens-utilizer-ii-solid-short-sleeve-shirt-1577761.html?dwvar_1577761_color=039
193553333395,27,Columbia Grey - XL,https://www.columbia.com/p/mens-utilizer-ii-solid-short-sleeve-shirt-1577761.html?dwvar_1577761_color=039
193553333364,27,Columbia Grey - L,https://www.columbia.com/p/mens-utilizer-ii-solid-short-sleeve-shirt-1577761.html?dwvar_1577761_color=039
193553333388,27,Columbia Grey - S,https://www.columbia.com/p/mens-utilizer-ii-solid-short-sleeve-shirt-1577761.html?dwvar_1577761_color=039
195980826013,30,Dark Stone - S,https://www.columbia.com/p/womens-benton-springs-ii-long-fleece-hoodie-1556961.html?dwvar_1556961_color=278
195980826044,30,Dark Stone - XXL,https://www.columbia.com/p/womens-benton-springs-ii-long-fleece-hoodie-1556961.html?dwvar_1556961_color=278
195980826037,30,Dark Stone - XS,https://www.columbia.com/p/womens-benton-springs-ii-long-fleece-hoodie-1556961.html?dwvar_1556961_color=278
195980826020,30,Dark Stone - XL,https://www.columbia.com/p/womens-benton-springs-ii-long-fleece-hoodie-1556961.html?dwvar_1556961_color=278
195980825993,30,Dark Stone - L,https://www.columbia.com/p/womens-benton-springs-ii-long-fleece-hoodie-1556961.html?dwvar_1556961_color=278
195980826006,30,Dark Stone - M,https://www.columbia.com/p/womens-benton-springs-ii-long-fleece-hoodie-1556961.html?dwvar_1556961_color=278
195982807232,30,Eraser Pink - XXL,https://www.columbia.com/p/womens-benton-springs-ii-long-fleece-hoodie-1556961.html?dwvar_1556961_color=659
195982807218,30,Eraser Pink - XL,https://www.columbia.com/p/womens-benton-springs-ii-long-fleece-hoodie-1556961.html?dwvar_1556961_color=659
195982807188,30,Eraser Pink - L,https://www.columbia.com/p/womens-benton-springs-ii-long-fleece-hoodie-1556961.html?dwvar_1556961_color=659
195982807225,30,Eraser Pink - XS,https://www.columbia.com/p/womens-benton-springs-ii-long-fleece-hoodie-1556961.html?dwvar_1556961_color=659
195982807201,30,Eraser Pink - S,https://www.columbia.com/p/womens-benton-springs-ii-long-fleece-hoodie-1556961.html?dwvar_1556961_color=659
195982807195,30,Eraser Pink - M,https://www.columbia.com/p/womens-benton-springs-ii-long-fleece-hoodie-1556961.html?dwvar_1556961_color=659
195982807102,30,Nocturnal - XS,https://www.columbia.com/p/womens-benton-springs-ii-long-fleece-hoodie-1556961.html?dwvar_1556961_color=466
195982807072,30,Nocturnal - M,https://www.columbia.com/p/womens-benton-springs-ii-long-fleece-hoodie-1556961.html?dwvar_1556961_color=466
195982807089,30,Nocturnal - S,https://www.columbia.com/p/womens-benton-springs-ii-long-fleece-hoodie-1556961.html?dwvar_1556961_color=466
195982807119,30,Nocturnal - XXL,https://www.columbia.com/p/womens-benton-springs-ii-long-fleece-hoodie-1556961.html?dwvar_1556961_color=466
195982807065,30,Nocturnal - L,https://www.columbia.com/p/womens-benton-springs-ii-long-fleece-hoodie-1556961.html?dwvar_1556961_color=466
195982807096,30,Nocturnal - XL,https://www.columbia.com/p/womens-benton-springs-ii-long-fleece-hoodie-1556961.html?dwvar_1556961_color=466
195982807157,30,Teal - XL,https://www.columbia.com/p/womens-benton-springs-ii-long-fleece-hoodie-1556961.html?dwvar_1556961_color=330
195982807126,30,Teal - L,https://www.columbia.com/p/womens-benton-springs-ii-long-fleece-hoodie-1556961.html?dwvar_1556961_color=330
195982807140,30,Teal - S,https://www.columbia.com/p/womens-benton-springs-ii-long-fleece-hoodie-1556961.html?dwvar_1556961_color=330
195982807164,30,Teal - XS,https://www.columbia.com/p/womens-benton-springs-ii-long-fleece-hoodie-1556961.html?dwvar_1556961_color=330
195982807171,30,Teal - XXL,https://www.columbia.com/p/womens-benton-springs-ii-long-fleece-hoodie-1556961.html?dwvar_1556961_color=330
195982807133,30,Teal - M,https://www.columbia.com/p/womens-benton-springs-ii-long-fleece-hoodie-1556961.html?dwvar_1556961_color=330
195981983395,30,Snowdrift - XL,https://www.columbia.com/p/womens-benton-springs-ii-long-fleece-hoodie-1556961.html?dwvar_1556961_color=581
195981983401,30,Snowdrift - XS,https://www.columbia.com/p/womens-benton-springs-ii-long-fleece-hoodie-1556961.html?dwvar_1556961_color=581
195981983418,30,Snowdrift - XXL,https://www.columbia.com/p/womens-benton-springs-ii-long-fleece-hoodie-1556961.html?dwvar_1556961_color=581
195981983388,30,Snowdrift - S,https://www.columbia.com/p/womens-benton-springs-ii-long-fleece-hoodie-1556961.html?dwvar_1556961_color=581
195981983371,30,Snowdrift - M,https://www.columbia.com/p/womens-benton-springs-ii-long-fleece-hoodie-1556961.html?dwvar_1556961_color=581
195981983364,30,Snowdrift - L,https://www.columbia.com/p/womens-benton-springs-ii-long-fleece-hoodie-1556961.html?dwvar_1556961_color=581
195982825397,55,"Cordovan, Dark Banana - 8.5",https://www.columbia.com/p/mens-redmond-ii-mid-waterproof-shoe-2141931.html?dwvar_2141931_color=231
195982825335,55,"Cordovan, Dark Banana - 13",https://www.columbia.com/p/mens-redmond-ii-mid-waterproof-shoe-2141931.html?dwvar_2141931_color=231
195982825403,55,"Cordovan, Dark Banana - 9",https://www.columbia.com/p/mens-redmond-ii-mid-waterproof-shoe-2141931.html?dwvar_2141931_color=231
195982825281,55,"Cordovan, Dark Banana - 10",https://www.columbia.com/p/mens-redmond-ii-mid-waterproof-shoe-2141931.html?dwvar_2141931_color=231
195982825342,55,"Cordovan, Dark Banana - 14",https://www.columbia.com/p/mens-redmond-ii-mid-waterproof-shoe-2141931.html?dwvar_2141931_color=231
195982825359,55,"Cordovan, Dark Banana - 15",https://www.columbia.com/p/mens-redmond-ii-mid-waterproof-shoe-2141931.html?dwvar_2141931_color=231
195982825380,55,"Cordovan, Dark Banana - 8",https://www.columbia.com/p/mens-redmond-ii-mid-waterproof-shoe-2141931.html?dwvar_2141931_color=231
195982825298,55,"Cordovan, Dark Banana - 10.5",https://www.columbia.com/p/mens-redmond-ii-mid-waterproof-shoe-2141931.html?dwvar_2141931_color=231
