Color,URL
Carbon_Bright Nectar_Lemon Wash_Pear_Glaze Green_Key West,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1287051
Gulf Stream_Red Spark,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1011621
City Grey_Blue Echo_Glaze Green_Lemon Wash_Pear_Sail,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1577051
Dark Stone_Eraser Pink_Nocturnal_Teal_Snowdrift,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1556961
"Cordovan, Dark Banana",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2141931
"Nocturnal Outbacked_Teal Outbacked_Eraser Pink Outbacked_Black Outbacked_Dark Stone Outbacked_Dark Stone, Camel Brown Omblur",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2086631
Carbon_Blue Echo_Glaze Green_Key West_Red Spark_White_Black,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2103381
Tiki Pink Bellashore_Black Retropical_Lavender Pearl Ambrosial_Bluebell Retropical_Lemon Wash Ambrosial_Carbon Broadleaf_Spray Ambrosial_Collegiate Navy Kona Print,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1538021
River Blue,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1533891
Dark Stone_Ripple Blue_Shale Purple_Moonvista_City Grey_Rain Forest_River Blue_Canoe_Black_Nocturnal,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1955441
Dusty Crimson_Lemon Wash,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1011651
Key West,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1286061
City Grey,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2087081
Canoe_Black,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2086481
