UPC,Price,Variant,Source Link
196928100929,70.00,Cotopaxi Black / XS,https://cotopaxi.com/products/cambio-short-womens?variant=40945700175933
196928162767,125.00,Black / XS,https://cotopaxi.com/products/cambio-jumpsuit-womens?variant=41701847269437
196928162743,125.00,Black / S,https://cotopaxi.com/products/cambio-jumpsuit-womens?variant=41701847302205
196928100936,70.00,Cotopaxi Black / S,https://cotopaxi.com/products/cambio-short-womens?variant=40945700208701
196928064887,130.00,Woods,https://cotopaxi.com/products/viaje-35l-weekender-bag-cada-dia?variant=40577935048765
196928162736,125.00,Black / M,https://cotopaxi.com/products/cambio-jumpsuit-womens?variant=41701847334973
196928100943,70.00,Cotopaxi Black / M,https://cotopaxi.com/products/cambio-short-womens?variant=40945700241469
196928100950,70.00,Cotopaxi Black / L,https://cotopaxi.com/products/cambio-short-womens?variant=40945700274237
196928100967,70.00,Cotopaxi Black / XL,https://cotopaxi.com/products/cambio-short-womens?variant=40945700307005
196928208519,130.00,Cream,https://cotopaxi.com/products/viaje-35l-weekender-bag-cada-dia?variant=42469326651453
196928162729,125.00,Black / L,https://cotopaxi.com/products/cambio-jumpsuit-womens?variant=41701847367741
196928190401,60.00,Fig,https://cotopaxi.com/products/allpa-x-1-5l-hip-pack?variant=42469326061629
196928207185,125.00,Fatigue / S,https://cotopaxi.com/products/tempa-fleece-hooded-jacket-mens?variant=42450747031613
196928203200,120.00,Deep Sea / S,https://cotopaxi.com/products/otero-fleece-half-zip-pullover-mens?variant=42450744705085
196928082461,50.00,Graphite,https://cotopaxi.com/products/orilla-sun-hat?variant=40796453404733
196928208526,130.00,Fjord,https://cotopaxi.com/products/viaje-35l-weekender-bag-cada-dia?variant=42469326684221
196928174876,80.00,Bubble Bath / XXS,https://cotopaxi.com/products/teca-half-zip-windbreaker-womens?variant=41750735159357
196928202043,35.00,Jam,https://cotopaxi.com/products/lista-2l-lightweight-crossbody-bag-cada-dia?variant=42469326291005
196928192740,180.00,Bronze / S,https://cotopaxi.com/products/capa-hybrid-insulated-hooded-jacket-mens-4?variant=42517417394237
196928206010,110.00,Yard Sale / S,https://cotopaxi.com/products/teca-fleece-pullover-mens?variant=42450746081341
196928190432,75.00,Bronze,https://cotopaxi.com/products/allpa-x-3l-hip-pack?variant=42469326159933
196928194140,175.00,Jam / XXS,https://cotopaxi.com/products/capa-insulated-vest-womens?variant=42370285240381
196928143308,130.00,Heather Cream / XS,https://cotopaxi.com/products/envo-fleece-full-zip-jacket-womens?variant=41207034740797
196928162750,125.00,Black / XL,https://cotopaxi.com/products/cambio-jumpsuit-womens?variant=41701847400509
196928193471,250.00,Charcoal / XS,https://cotopaxi.com/products/capa-insulated-hooded-jacket-mens?variant=42450842517565
196928082553,30.00,Canyon,https://cotopaxi.com/products/seco-45l-rain-cover-1?variant=42505183985725
196928190418,60.00,Bronze,https://cotopaxi.com/products/allpa-x-1-5l-hip-pack?variant=42469326094397
196928207192,125.00,Fatigue / M,https://cotopaxi.com/products/tempa-fleece-hooded-jacket-mens?variant=42450747064381
196928203217,120.00,Deep Sea / M,https://cotopaxi.com/products/otero-fleece-half-zip-pullover-mens?variant=42450744737853
196928082454,50.00,Oatmeal,https://cotopaxi.com/products/orilla-sun-hat?variant=40796453437501
196928189139,120.00,Seed/Fatigue / XS,https://cotopaxi.com/products/abrazo-half-zip-fleece-jacket-mens?variant=42450743033917
196928174869,80.00,Bubble Bath / XS,https://cotopaxi.com/products/teca-half-zip-windbreaker-womens?variant=41750735192125
840125632935,95.00,Graphite,https://cotopaxi.com/products/chasqui-13l-sling-cada-dia?variant=39374040432701
196928162095,126.00,Apricot/Faded Brick / XXS,https://cotopaxi.com/products/capa-hybrid-insulated-hooded-jacket-womens?variant=41750729654333
196928202029,35.00,Cream,https://cotopaxi.com/products/lista-2l-lightweight-crossbody-bag-cada-dia?variant=42469326225469
196928142851,115.00,Heather Woods / XS,https://cotopaxi.com/products/envo-fleece-quarter-zip-pullover-womens?variant=41207035756605
196928189344,120.00,Woods/Fatigue / XXS,https://cotopaxi.com/products/abrazo-half-zip-fleece-jacket-womens?variant=42369028882493
196928193600,250.00,Fjord / XXS,https://cotopaxi.com/products/capa-insulated-hooded-jacket-womens?variant=42370282258493
