UPC,Price,Variant,Source Link
732465917462,41.40,Black / XS,https://www.dkny.com/collections/summer-essentials/products/dj5k9517c01?variant=43124908097635
732465917455,41.40,Black / S,https://www.dkny.com/collections/summer-essentials/products/dj5k9517c01?variant=43124908130403
732465917448,41.40,Black / M,https://www.dkny.com/collections/summer-essentials/products/dj5k9517c01?variant=43124908163171
732465917431,41.40,Black / L,https://www.dkny.com/collections/summer-essentials/products/dj5k9517c01?variant=43124908195939
732465917424,41.40,Black / XL,https://www.dkny.com/collections/summer-essentials/products/dj5k9517c01?variant=43124908228707
732465865350,20.70,IVORY/BLACK / XS,https://www.dkny.com/collections/summer-essentials/products/dj5r0656civoryblack?variant=43124902756451
732465865343,20.70,IVORY/BLACK / S,https://www.dkny.com/collections/summer-essentials/products/dj5r0656civoryblack?variant=43124902789219
732465865336,20.70,IVORY/BLACK / M,https://www.dkny.com/collections/summer-essentials/products/dj5r0656civoryblack?variant=43124902821987
732465865329,20.70,IVORY/BLACK / L,https://www.dkny.com/collections/summer-essentials/products/dj5r0656civoryblack?variant=43124902854755
732465865312,20.70,IVORY/BLACK / XL,https://www.dkny.com/collections/summer-essentials/products/dj5r0656civoryblack?variant=43124902887523
732465565250,80.00,CYPRESS SHIMMER / XS,https://www.dkny.com/collections/summer-essentials/products/di4ms691cawf?variant=43380434600035
732465565243,80.00,CYPRESS SHIMMER / S,https://www.dkny.com/collections/summer-essentials/products/di4ms691cawf?variant=43380434632803
732465565236,80.00,CYPRESS SHIMMER / M,https://www.dkny.com/collections/summer-essentials/products/di4ms691cawf?variant=43380434665571
732465565229,80.00,CYPRESS SHIMMER / L,https://www.dkny.com/collections/summer-essentials/products/di4ms691cawf?variant=43380434698339
732465925221,77.40,Pebble / XS,https://www.dkny.com/collections/summer-essentials/products/dj4d9004cpbl?variant=43274769989731
732465925214,77.40,Pebble / S,https://www.dkny.com/collections/summer-essentials/products/dj4d9004cpbl?variant=43274770022499
732465925207,77.40,Pebble / M,https://www.dkny.com/collections/summer-essentials/products/dj4d9004cpbl?variant=43274770055267
732465925191,77.40,Pebble / L,https://www.dkny.com/collections/summer-essentials/products/dj4d9004cpbl?variant=43274770088035
732465925184,77.40,Pebble / XL,https://www.dkny.com/collections/summer-essentials/products/dj4d9004cpbl?variant=43274770120803
732465565212,80.00,CYPRESS SHIMMER / XL,https://www.dkny.com/collections/summer-essentials/products/di4ms691cawf?variant=43380434731107
732465565205,80.00,CYPRESS SHIMMER / XXL,https://www.dkny.com/collections/summer-essentials/products/di4ms691cawf?variant=43380434763875
732465563218,80.00,PORT SHIMMER / XS,https://www.dkny.com/collections/summer-essentials/products/di4ms733c7hm?variant=43407758032995
732465563201,80.00,PORT SHIMMER / S,https://www.dkny.com/collections/summer-essentials/products/di4ms733c7hm?variant=43407758065763
732465563195,80.00,PORT SHIMMER / M,https://www.dkny.com/collections/summer-essentials/products/di4ms733c7hm?variant=43407758098531
732465563188,80.00,PORT SHIMMER / L,https://www.dkny.com/collections/summer-essentials/products/di4ms733c7hm?variant=43407758131299
732465563171,80.00,PORT SHIMMER / XL,https://www.dkny.com/collections/summer-essentials/products/di4ms733c7hm?variant=43407758164067
732465563164,80.00,PORT SHIMMER / XXL,https://www.dkny.com/collections/summer-essentials/products/di4ms733c7hm?variant=43407758196835
732465562679,80.00,WILDBERRY / XS,https://www.dkny.com/collections/summer-essentials/products/di5ms537cwbr?variant=43380426440803
732465562662,80.00,WILDBERRY / S,https://www.dkny.com/collections/summer-essentials/products/di5ms537cwbr?variant=43380426473571
732465562655,80.00,WILDBERRY / M,https://www.dkny.com/collections/summer-essentials/products/di5ms537cwbr?variant=43380426506339
732465563157,80.00,Boysenberry Shimmer / XS,https://www.dkny.com/collections/summer-essentials/products/di4ms733cajp?variant=43407759278179
732465563140,80.00,Boysenberry Shimmer / S,https://www.dkny.com/collections/summer-essentials/products/di4ms733cajp?variant=43407759310947
732465562648,80.00,WILDBERRY / L,https://www.dkny.com/collections/summer-essentials/products/di5ms537cwbr?variant=43380426539107
732465562631,80.00,WILDBERRY / XL,https://www.dkny.com/collections/summer-essentials/products/di5ms537cwbr?variant=43380426571875
732465562624,80.00,WILDBERRY / XXL,https://www.dkny.com/collections/summer-essentials/products/di5ms537cwbr?variant=43380426604643
732465563133,80.00,Boysenberry Shimmer / M,https://www.dkny.com/collections/summer-essentials/products/di4ms733cajp?variant=43407759343715
732465563126,80.00,Boysenberry Shimmer / L,https://www.dkny.com/collections/summer-essentials/products/di4ms733cajp?variant=43407759376483
732465563119,80.00,Boysenberry Shimmer / XL,https://www.dkny.com/collections/summer-essentials/products/di4ms733cajp?variant=43407759409251
732465563102,80.00,Boysenberry Shimmer / XXL,https://www.dkny.com/collections/summer-essentials/products/di4ms733cajp?variant=43407759442019
732465564833,80.00,WILDBERRY / XS,https://www.dkny.com/collections/summer-essentials/products/di4ms605cwbr?variant=43380452622435
732465564826,80.00,WILDBERRY / S,https://www.dkny.com/collections/summer-essentials/products/di4ms605cwbr?variant=43380452655203
732465564819,80.00,WILDBERRY / M,https://www.dkny.com/collections/summer-essentials/products/di4ms605cwbr?variant=43380452687971
732465564802,80.00,WILDBERRY / L,https://www.dkny.com/collections/summer-essentials/products/di4ms605cwbr?variant=43380452720739
732465564796,80.00,WILDBERRY / XL,https://www.dkny.com/collections/summer-essentials/products/di4ms605cwbr?variant=43380452753507
732465564789,80.00,WILDBERRY / XXL,https://www.dkny.com/collections/summer-essentials/products/di4ms605cwbr?variant=43380452786275
732465561795,70.00,Taxi Yellow / XS,https://www.dkny.com/collections/summer-essentials/products/di5ss142ctxy?variant=43380455440483
732465561788,70.00,Taxi Yellow / S,https://www.dkny.com/collections/summer-essentials/products/di5ss142ctxy?variant=43380455473251
732465561771,70.00,Taxi Yellow / M,https://www.dkny.com/collections/summer-essentials/products/di5ss142ctxy?variant=43380455506019
732465561764,70.00,Taxi Yellow / L,https://www.dkny.com/collections/summer-essentials/products/di5ss142ctxy?variant=43380455538787
732465561757,70.00,Taxi Yellow / XL,https://www.dkny.com/collections/summer-essentials/products/di5ss142ctxy?variant=43380455571555
732465561740,70.00,Taxi Yellow / XXL,https://www.dkny.com/collections/summer-essentials/products/di5ss142ctxy?variant=43380455604323
732465565373,80.00,HONEY / XS,https://www.dkny.com/collections/summer-essentials/products/di4ms691c16?variant=43380420542563
732465565366,80.00,HONEY / S,https://www.dkny.com/collections/summer-essentials/products/di4ms691c16?variant=43380420575331
732465565359,80.00,HONEY / M,https://www.dkny.com/collections/summer-essentials/products/di4ms691c16?variant=43380420608099
732465565342,80.00,HONEY / L,https://www.dkny.com/collections/summer-essentials/products/di4ms691c16?variant=43380420640867
732465565335,80.00,HONEY / XL,https://www.dkny.com/collections/summer-essentials/products/di4ms691c16?variant=43380420673635
732465565328,80.00,HONEY / XXL,https://www.dkny.com/collections/summer-essentials/products/di4ms691c16?variant=43380420706403
732465563935,80.00,MOCHA SHIMMER / XS,https://www.dkny.com/collections/summer-essentials/products/di5ms559cg0y?variant=43380425457763
732465563928,80.00,MOCHA SHIMMER / S,https://www.dkny.com/collections/summer-essentials/products/di5ms559cg0y?variant=43380425490531
732465563911,80.00,MOCHA SHIMMER / M,https://www.dkny.com/collections/summer-essentials/products/di5ms559cg0y?variant=43380425523299
732465563904,80.00,MOCHA SHIMMER / L,https://www.dkny.com/collections/summer-essentials/products/di5ms559cg0y?variant=43380425556067
732465563898,80.00,MOCHA SHIMMER / XL,https://www.dkny.com/collections/summer-essentials/products/di5ms559cg0y?variant=43380425588835
732465563881,80.00,MOCHA SHIMMER / XXL,https://www.dkny.com/collections/summer-essentials/products/di5ms559cg0y?variant=43380425621603
732465887710,40.00,Navy / S,https://www.dkny.com/collections/summer-essentials/products/dimcd925c48a?variant=43380417069155
732465887703,40.00,Navy / M,https://www.dkny.com/collections/summer-essentials/products/dimcd925c48a?variant=43380417101923
732465887697,40.00,Navy / L,https://www.dkny.com/collections/summer-essentials/products/dimcd925c48a?variant=43380417134691
732465887680,40.00,Navy / XL,https://www.dkny.com/collections/summer-essentials/products/dimcd925c48a?variant=43380417167459
732465565199,80.00,Pearl Shimmer / XS,https://www.dkny.com/collections/summer-essentials/products/di4ms691ca2g?variant=43380444495971
732465565182,80.00,Pearl Shimmer / S,https://www.dkny.com/collections/summer-essentials/products/di4ms691ca2g?variant=43380444528739
732465565175,80.00,Pearl Shimmer / M,https://www.dkny.com/collections/summer-essentials/products/di4ms691ca2g?variant=43380444561507
732465565168,80.00,Pearl Shimmer / L,https://www.dkny.com/collections/summer-essentials/products/di4ms691ca2g?variant=43380444594275
732465565151,80.00,Pearl Shimmer / XL,https://www.dkny.com/collections/summer-essentials/products/di4ms691ca2g?variant=43380444627043
732465565144,80.00,Pearl Shimmer / XXL,https://www.dkny.com/collections/summer-essentials/products/di4ms691ca2g?variant=43380444659811
755404005778,82.80,LIGHT CITY KHAKI/ BLACK / One Size,https://www.dkny.com/collections/summer-essentials/products/r41aor57cg6e?variant=41362868600931
732465563577,59.00,Snow Leopard / XS,https://www.dkny.com/collections/summer-essentials/products/di4ms731c4se?variant=43380432011363
732465562273,80.00,GRASS GREEN / XS,https://www.dkny.com/collections/summer-essentials/products/di5ms554cggn?variant=43380447477859
732465563560,59.00,Snow Leopard / S,https://www.dkny.com/collections/summer-essentials/products/di4ms731c4se?variant=43380432044131
732465562266,80.00,GRASS GREEN / S,https://www.dkny.com/collections/summer-essentials/products/di5ms554cggn?variant=43380447510627
732465562259,80.00,GRASS GREEN / M,https://www.dkny.com/collections/summer-essentials/products/di5ms554cggn?variant=43380447543395
732465562242,80.00,GRASS GREEN / L,https://www.dkny.com/collections/summer-essentials/products/di5ms554cggn?variant=43380447576163
732465562235,80.00,GRASS GREEN / XL,https://www.dkny.com/collections/summer-essentials/products/di5ms554cggn?variant=43380447608931
732465563553,59.00,Snow Leopard / M,https://www.dkny.com/collections/summer-essentials/products/di4ms731c4se?variant=43380432076899
732465563546,59.00,Snow Leopard / L,https://www.dkny.com/collections/summer-essentials/products/di4ms731c4se?variant=43380432109667
732465562228,80.00,GRASS GREEN / XXL,https://www.dkny.com/collections/summer-essentials/products/di5ms554cggn?variant=43380447641699
732465563539,59.00,Snow Leopard / XL,https://www.dkny.com/collections/summer-essentials/products/di4ms731c4se?variant=43380432142435
732465563522,59.00,Snow Leopard / XXL,https://www.dkny.com/collections/summer-essentials/products/di4ms731c4se?variant=43380432175203
732465650147,41.70,BONE / 6,https://www.dkny.com/collections/summer-essentials/products/k1533015cbne?variant=43154941050979
732465650130,41.70,BONE / 6.5,https://www.dkny.com/collections/summer-essentials/products/k1533015cbne?variant=43154941083747
732465650123,41.70,BONE / 7,https://www.dkny.com/collections/summer-essentials/products/k1533015cbne?variant=43154941116515
732465650116,41.70,BONE / 7.5,https://www.dkny.com/collections/summer-essentials/products/k1533015cbne?variant=43154941149283
732465650109,41.70,BONE / 8,https://www.dkny.com/collections/summer-essentials/products/k1533015cbne?variant=43154941182051
732465650093,41.70,BONE / 8.5,https://www.dkny.com/collections/summer-essentials/products/k1533015cbne?variant=43154941214819
