UPC,Price,Variant,Source Link
197516776090,29.98,SM,https://www.dtlr.com/products/true-religion-palm-tree-tee-wa-black-209198-1001
197516776106,29.98,MED,https://www.dtlr.com/products/true-religion-palm-tree-tee-wa-black-209198-1001
197516776113,29.98,LG,https://www.dtlr.com/products/true-religion-palm-tree-tee-wa-black-209198-1001
197516776120,29.98,XLG,https://www.dtlr.com/products/true-religion-palm-tree-tee-wa-black-209198-1001
197966537487,99.98,9.5,https://www.dtlr.com/products/new-balance-9060-mf-black-u9060blc
196478927991,19.98,11,https://www.dtlr.com/products/adidas-ozmillen-pre-school-yf-pink-if4453
196478928011,19.98,12,https://www.dtlr.com/products/adidas-ozmillen-pre-school-yf-pink-if4453
196478928028,19.98,13,https://www.dtlr.com/products/adidas-ozmillen-pre-school-yf-pink-if4453
194457856409,14.97,1 SIZE,https://www.dtlr.com/products/new-era-st-louis-cardinals-9fifty-snapback-am-red-12391681
198553913486,29.98,XS,https://www.dtlr.com/products/puma-a-ap-rocky-flacko-smile-baby-tee-wa-white-633419-02
198553913462,29.98,SM,https://www.dtlr.com/products/puma-a-ap-rocky-flacko-smile-baby-tee-wa-white-633419-02
198553913509,29.98,MED,https://www.dtlr.com/products/puma-a-ap-rocky-flacko-smile-baby-tee-wa-white-633419-02
198553913493,29.98,LG,https://www.dtlr.com/products/puma-a-ap-rocky-flacko-smile-baby-tee-wa-white-633419-02
400005970665,39.98,34,https://www.dtlr.com/products/waimea-stacked-flared-jeans-ma-blue-m8199d-bleach-wash
400005970597,39.98,32,https://www.dtlr.com/products/waimea-stacked-flared-cargo-jeans-ma-blue-m5988d-vintage-wash
197593627568,59.98,8,https://www.dtlr.com/products/nike-cortez-txt-mf-navy-hf0263-400
197593643872,59.98,8.5,https://www.dtlr.com/products/nike-cortez-txt-mf-navy-hf0263-400
197593620323,59.98,9,https://www.dtlr.com/products/nike-cortez-txt-mf-navy-hf0263-400
197593631688,59.98,9.5,https://www.dtlr.com/products/nike-cortez-txt-mf-navy-hf0263-400
197593666758,59.98,10,https://www.dtlr.com/products/nike-cortez-txt-mf-navy-hf0263-400
197593668875,59.98,10.5,https://www.dtlr.com/products/nike-cortez-txt-mf-navy-hf0263-400
197593645371,59.98,11,https://www.dtlr.com/products/nike-cortez-txt-mf-navy-hf0263-400
