UPC,Price,Variant,Source Link
197862946420,109.98,4,https://www.dtlr.com/products/jordan-spizike-low-gs-fq3950-103-white
197862951813,109.98,5,https://www.dtlr.com/products/jordan-spizike-low-gs-fq3950-103-white
197862949599,109.98,5.5,https://www.dtlr.com/products/jordan-spizike-low-gs-fq3950-103-white
197862951707,109.98,6,https://www.dtlr.com/products/jordan-spizike-low-gs-fq3950-103-white
197862951219,109.98,6.5,https://www.dtlr.com/products/jordan-spizike-low-gs-fq3950-103-white
197862947953,109.98,7,https://www.dtlr.com/products/jordan-spizike-low-gs-fq3950-103-white
211825554207,29.98,42,https://www.dtlr.com/products/mnml-contrast-bootcut-cargo-pants-m2021-p182-wdc-camo
197966079666,39.98,5,https://www.dtlr.com/products/new-balance-530-bungee-td-iz530ke-moonbeam
197966079680,39.98,6,https://www.dtlr.com/products/new-balance-530-bungee-td-iz530ke-moonbeam
400005957390,59.98,SM,https://www.dtlr.com/products/eptm-trippy-denim-shorts-ep12019-blue
400005957406,59.98,MED,https://www.dtlr.com/products/eptm-trippy-denim-shorts-ep12019-blue
400005957413,59.98,LG,https://www.dtlr.com/products/eptm-trippy-denim-shorts-ep12019-blue
400005957420,59.98,XLG,https://www.dtlr.com/products/eptm-trippy-denim-shorts-ep12019-blue
400005957437,59.98,2XLG,https://www.dtlr.com/products/eptm-trippy-denim-shorts-ep12019-blue
197611845257,14.98,SM,https://www.dtlr.com/products/adidas-3-stripes-basketball-shorts-jn4741-blue
197611847893,14.98,MED,https://www.dtlr.com/products/adidas-3-stripes-basketball-shorts-jn4741-blue
197611847800,14.98,LG,https://www.dtlr.com/products/adidas-3-stripes-basketball-shorts-jn4741-blue
197611847947,14.98,XLG,https://www.dtlr.com/products/adidas-3-stripes-basketball-shorts-jn4741-blue
197611845233,14.98,2XLG,https://www.dtlr.com/products/adidas-3-stripes-basketball-shorts-jn4741-blue
197863245454,29.98,SM,https://www.dtlr.com/products/nike-club-woven-flow-shorts-fn3307-814-orange
197863229416,29.98,MED,https://www.dtlr.com/products/nike-club-woven-flow-shorts-fn3307-814-orange
197863129211,29.98,LG,https://www.dtlr.com/products/nike-club-woven-flow-shorts-fn3307-814-orange
197863334097,29.98,XLG,https://www.dtlr.com/products/nike-club-woven-flow-shorts-fn3307-814-orange
197863233376,29.98,2XLG,https://www.dtlr.com/products/nike-club-woven-flow-shorts-fn3307-814-orange
197863245669,29.98,3XLG,https://www.dtlr.com/products/nike-club-woven-flow-shorts-fn3307-814-orange
193712614303,29.98,MED,https://www.dtlr.com/products/ed-hardy-rose-cap-sleeve-tee-ehdt1107-29rs-black
193712614310,29.98,LG,https://www.dtlr.com/products/ed-hardy-rose-cap-sleeve-tee-ehdt1107-29rs-black
