UPC,Price,Variant,Source Link
197555155078,39.98,42,https://www.dtlr.com/products/smoke-rise-flame-applique-shorts-js24149dtz-blue-flame
197555297655,29.98,34,https://www.dtlr.com/products/smoke-rise-rip-off-shorts-js24109dtz-brant-blue
197555297662,29.98,36,https://www.dtlr.com/products/smoke-rise-rip-off-shorts-js24109dtz-brant-blue
197555297679,29.98,38,https://www.dtlr.com/products/smoke-rise-rip-off-shorts-js24109dtz-brant-blue
197555297686,29.98,40,https://www.dtlr.com/products/smoke-rise-rip-off-shorts-js24109dtz-brant-blue
197555297693,29.98,42,https://www.dtlr.com/products/smoke-rise-rip-off-shorts-js24109dtz-brant-blue
197555304797,39.98,30,https://www.dtlr.com/products/smoke-rise-cargo-shorts-js25232dt-wood-camo
197555304803,39.98,32,https://www.dtlr.com/products/smoke-rise-cargo-shorts-js25232dt-wood-camo
197555304810,39.98,34,https://www.dtlr.com/products/smoke-rise-cargo-shorts-js25232dt-wood-camo
197555304827,39.98,36,https://www.dtlr.com/products/smoke-rise-cargo-shorts-js25232dt-wood-camo
197555304834,39.98,38,https://www.dtlr.com/products/smoke-rise-cargo-shorts-js25232dt-wood-camo
197555304841,39.98,40,https://www.dtlr.com/products/smoke-rise-cargo-shorts-js25232dt-wood-camo
197555304858,39.98,42,https://www.dtlr.com/products/smoke-rise-cargo-shorts-js25232dt-wood-camo
197555304391,39.98,40,https://www.dtlr.com/products/smoke-rise-flame-shorts-js24149dtz-eris-grey
197555304407,39.98,42,https://www.dtlr.com/products/smoke-rise-flame-shorts-js24149dtz-eris-grey
193712621677,39.98,32,https://www.dtlr.com/products/ed-hardy-sacred-heart-denim-shorts-mehd8002-9-blue
193712621684,39.98,34,https://www.dtlr.com/products/ed-hardy-sacred-heart-denim-shorts-mehd8002-9-blue
193712621691,39.98,36,https://www.dtlr.com/products/ed-hardy-sacred-heart-denim-shorts-mehd8002-9-blue
193712621707,39.98,38,https://www.dtlr.com/products/ed-hardy-sacred-heart-denim-shorts-mehd8002-9-blue
193712621714,39.98,40,https://www.dtlr.com/products/ed-hardy-sacred-heart-denim-shorts-mehd8002-9-blue
197555299345,29.98,32,https://www.dtlr.com/products/smoke-rise-rip-off-shorts-js24109dtz-jet-black
197555299352,29.98,34,https://www.dtlr.com/products/smoke-rise-rip-off-shorts-js24109dtz-jet-black
197555299369,29.98,36,https://www.dtlr.com/products/smoke-rise-rip-off-shorts-js24109dtz-jet-black
197555299376,29.98,38,https://www.dtlr.com/products/smoke-rise-rip-off-shorts-js24109dtz-jet-black
197555299383,29.98,40,https://www.dtlr.com/products/smoke-rise-rip-off-shorts-js24109dtz-jet-black
197555299390,29.98,42,https://www.dtlr.com/products/smoke-rise-rip-off-shorts-js24109dtz-jet-black
197555299406,29.98,44,https://www.dtlr.com/products/smoke-rise-rip-off-shorts-js24109dtz-jet-black
197555297730,29.98,32,https://www.dtlr.com/products/smoke-rise-rip-off-shorts-js24109dtz-apollo-grey
