UPC,Price,Variant,Source Link
5010792957333,25.27,Default Title,https://www.englishteastore.com/products/lesser-and-pavey-butterfly-blossom-tea-for-one?variant=49793643446550
190140286799,29.47,Default Title,https://www.englishteastore.com/products/poppy-field-fine-bone-china-cup-saucer-set-of-4?variant=49793723826454
5010024103910,2.48,Default Title,https://www.englishteastore.com/products/paxo-sage-onion-stuffing-170g?variant=50191458304278
190140323364,25.27,Default Title,https://www.englishteastore.com/products/botanical-pink-garden-porcelain-teacup-saucer-set?variant=49793913356566
990000501075,15.47,Default Title,https://www.englishteastore.com/products/metz-cucumber-melon-one-gallon-iced-tea-bags?variant=49793677459734
842094150328,47.17,Default Title,https://www.englishteastore.com/products/presley-light-blue-kettle-70fl?variant=49793985347862
190140100873,1.17,5 Teabag Sampler,https://www.englishteastore.com/products/peppermint-willamette-tea-bags?variant=49794031943958
190140100880,9.95,25 Teabag Pouch,https://www.englishteastore.com/products/peppermint-willamette-tea-bags?variant=49794120843542
5010792961484,25.27,Default Title,https://www.englishteastore.com/products/lesser-and-pavey-kilburn-tea-for-one?variant=49793641447702
190140276868,1.97,Default Title,https://www.englishteastore.com/products/sweet-bubblegum-matcha-sampler-size?variant=49799683899670
738294440126,1.57,Default Title,https://www.englishteastore.com/products/porcelain-saucer-imperial-white-single?variant=50286771503382
400000486123,4.97,Default Title,https://www.englishteastore.com/products/5043brn?variant=50191471739158
717964230205,4.97,Default Title,https://www.englishteastore.com/products/2302?variant=50191469969686
652383748361,34.97,Default Title,https://www.englishteastore.com/products/royal-doulton-china-signature-blue-creamer?variant=50286770553110
190140807369,26.47,Default Title,https://www.englishteastore.com/products/tea-chest-light-finish-usa-made?variant=50286770749718
098111350909,2.37,Default Title,https://www.englishteastore.com/products/teacher-christmas-ornaments-assorted?variant=50191470035222
039047001459,5.98,Default Title,https://www.englishteastore.com/products/walkers-highlanders-shortbread-cookies-200?variant=50192002154774
,4.97,Default Title,https://www.englishteastore.com/products/oval-bamboo-bun-bowl?variant=50191470002454
,3.97,Default Title,https://www.englishteastore.com/products/5216l?variant=50191470592278
400000486475,4.97,Default Title,https://www.englishteastore.com/products/4129-10?variant=50191470199062
,1.97,Default Title,https://www.englishteastore.com/products/giftbasket-oval?variant=50191468396822
098111176202,2.97,Default Title,https://www.englishteastore.com/products/plush-bears-just-dr-ordered-gift-basket?variant=50191467348246
691304218064,14.97,Default Title,https://www.englishteastore.com/products/large-rectangular-chipwood-weave-basket?variant=50191458566422
738294038309,3.67,Default Title,https://www.englishteastore.com/products/millicent-dessert-plates?variant=49913531466006
190140016471,4.97,Default Title,https://www.englishteastore.com/products/round-red-weaved-basket?variant=50191469510934
844560061817,3.67,Default Title,https://www.englishteastore.com/products/first-steps-girl-photo-frame-ebay?variant=50191460335894
755549404245,3.67,Default Title,https://www.englishteastore.com/products/rio-dessert-plates-citron?variant=49913223971094
5099589223936,12.38,Default Title,https://www.englishteastore.com/products/bewleys-gold-roast-medium-ground-coffee?variant=49793527841046
738294037364,3.27,Default Title,https://www.englishteastore.com/products/royal-rose-porcelain-dessert-plates?variant=49913224003862
788561243493,9.78,Default Title,https://www.englishteastore.com/products/fazer-milk-chocolate-bar?variant=49793932460310
844560066454,17.87,Default Title,https://www.englishteastore.com/products/rose-bouquet-bone-china-sugar-creamer-set?variant=49793521221910
190140253319,2.67,4oz,https://www.englishteastore.com/products/green-rooibos-herbal-tea-loose-leaf?variant=49796150624534
844560042502,0.77,Default Title,https://www.englishteastore.com/products/regular-earl-grey-tea-fine-loose-leaf-sampler-size-1oz?variant=49799719715094
755549408670,5.27,Default Title,https://www.englishteastore.com/products/teaz-cafe-infuser-mug-lid-11oz-orange?variant=49793861583126
850804008746,1.98,Default Title,https://www.englishteastore.com/products/keoghs-sea-salt-vinegar-crisps?variant=49793524039958
190140039692,2.27,1oz Sampler Pack,https://www.englishteastore.com/products/english-breakfast-matcha-black-tea-loose-leaf?variant=49796063199510
190140039678,5.97,2oz,https://www.englishteastore.com/products/english-breakfast-matcha-black-tea-loose-leaf?variant=49794718269718
755549408694,6.27,Default Title,https://www.englishteastore.com/products/teaz-cafe-infuser-mug-lid-11oz-green?variant=49793972764950
190140014682,1.07,Default Title,https://www.englishteastore.com/products/loose-leaf-tea-cold-bgone-1oz?variant=49799705755926
755549408656,7.17,Default Title,https://www.englishteastore.com/products/teaz-cafe-infuser-mug-lid-11oz-white?variant=49793965359382
738294038200,28.87,Default Title,https://www.englishteastore.com/products/philomena-porcelain-teacup-and-saucer-set-of-6?variant=49793929904406
771541812079,10.07,Default Title,https://www.englishteastore.com/products/amsterdam-2-cup-infuser-teapot-plum?variant=49793455030550
844560053041,3.58,Default Title,https://www.englishteastore.com/products/gunpowder-green-tea-pouch-sampler-size-5-teabags?variant=49794017919254
190140014675,3.07,4oz,https://www.englishteastore.com/products/loose-leaf-tea-cold-bgone?variant=49794708275478
190140246199,10.57,16oz,https://www.englishteastore.com/products/loose-leaf-tea-cold-bgone?variant=49794793046294
5060384262925,5.98,Default Title,https://www.englishteastore.com/products/candy-kittens-love-candy-140g?variant=49793692205334
844560066355,21.07,Default Title,https://www.englishteastore.com/products/sandras-rose-bone-china-dessert-plates-set-4?variant=49793570308374
844560044414,1.07,Default Title,https://www.englishteastore.com/products/loose-leaf-tea-yerba-mate-green-1oz?variant=49799736426774
844560053614,2.67,Default Title,https://www.englishteastore.com/products/loose-organic-tea-pai-mu-tan-white-1oz?variant=49799777583382
190140045679,3.27,2oz,https://www.englishteastore.com/products/sweet-fresh-strawberry-matcha-green-tea-loose-leaf?variant=49800134787350
190140453054,42.67,Default Title,https://www.englishteastore.com/products/chelsea-deluxe-tea-set?variant=50191459844374
190140002818,8.47,Default Title,https://www.englishteastore.com/products/mint-leaf-sugar-and-creamer-set?variant=49793953661206
771541848832,7.57,Default Title,https://www.englishteastore.com/products/metz-orange-pekoe-tea-25-count?variant=49793684046102
755549408809,5.27,Default Title,https://www.englishteastore.com/products/teaz-cafe-infuser-mug-lid-11oz-purple?variant=49793960476950
771541814486,3.67,Default Title,https://www.englishteastore.com/products/yellow-creamer-sugar-bowl-set-amsterdam?variant=49793391427862
844560042847,11.47,Default Title,https://www.englishteastore.com/products/peony-white-needle-white-tea-loose-leaf-sampler-size-1?variant=49799804715286
5000208038954,8.17,Default Title,https://www.englishteastore.com/products/tetley-redbush-rooibos-tea-bags-40-ct?variant=49793882849558
190140252954,5.97,4oz,https://www.englishteastore.com/products/irish-eyes-green-tea-loose-leaf?variant=49799025656086
190140295852,9.57,16oz,https://www.englishteastore.com/products/irish-eyes-green-tea-loose-leaf?variant=49799359758614
9417986934891,4.28,Default Title,https://www.englishteastore.com/products/auntys-strawberry-steamed-puddings?variant=49793517093142
190140045686,3.27,2oz,https://www.englishteastore.com/products/sweet-watermelon-matcha-green-tea-loose-leaf?variant=49800145338646
,7.97,Default Title,https://www.englishteastore.com/products/princes-rhubarb?variant=49793725825302
5060384261089,5.98,Default Title,https://www.englishteastore.com/products/candy-kittens-wild-strawberry?variant=49793698824470
190140253326,1.07,Default Title,https://www.englishteastore.com/products/green-rooibos-herbal-tea-loose-leaf-1oz?variant=49799732691222
190140276882,1.87,Default Title,https://www.englishteastore.com/products/sweet-watermelon-matcha-green-tea-loose-leaf-sampler-size?variant=49800011841814
190140485390,0.77,Default Title,https://www.englishteastore.com/products/peach-flavored-loose-leaf-sampler-size?variant=49799703363862
792851361569,6.18,Default Title,https://www.englishteastore.com/products/baileys-chocolate-caramels-a-frame-carton?variant=49793540686102
771541807792,8.99,Default Title,https://www.englishteastore.com/products/amsterdam-ceramic-teapot-warmer-sahara?variant=49794036203798
743819331087,7.68,Default Title,https://www.englishteastore.com/products/sticky-fingers-bakery-cinnamon-chip-scone-mix?variant=49793825898774
190140039739,2.27,1oz Sampler Pack,https://www.englishteastore.com/products/hibiscus-matcha-tea?variant=49799353008406
190140039722,4.97,2oz,https://www.englishteastore.com/products/hibiscus-matcha-tea?variant=49796179558678
844560043523,4.97,4oz,https://www.englishteastore.com/products/loose-leaf-tea-blue-lagoon-herbal?variant=49794259747094
844560043516,25.48,16oz,https://www.englishteastore.com/products/loose-leaf-tea-blue-lagoon-herbal?variant=49794170519830
190140496143,1.67,Default Title,https://www.englishteastore.com/products/cinnamon-sibu-green-loose-leaf-sampler-size?variant=49799708475670
755549408700,5.27,Default Title,https://www.englishteastore.com/products/teaz-cafe-infuser-mug-lid-11oz-blue?variant=49793863516438
771541852044,14.67,Default Title,https://www.englishteastore.com/products/metz-mediterranean-blue-one-gallon-iced-tea-bags?variant=49793695973654
190140042425,0.39,Default Title,https://www.englishteastore.com/products/bonne-maman-packets-apricot-preserve-05oz?variant=49793540129046
844560042427,0.97,Default Title,https://www.englishteastore.com/products/le-marche-spice-flavored-black-loose-leaf-tea-sampler-size?variant=49799695401238
190140274130,39.87,Black (US Made),https://www.englishteastore.com/products/tea-chests-taylors-harrogates-british-favorites-teabags?variant=50057168257302
844560097663,67.95,Black Cherry (Imported),https://www.englishteastore.com/products/tea-chests-taylors-harrogates-british-favorites-teabags?variant=50057228943638
844560097656,67.95,Cherry (Imported),https://www.englishteastore.com/products/tea-chests-taylors-harrogates-british-favorites-teabags?variant=50057226223894
844560097649,39.97,Cherry (US Made),https://www.englishteastore.com/products/tea-chests-taylors-harrogates-british-favorites-teabags?variant=50057229140246
844560097670,67.95,Dark Cherry (US Made),https://www.englishteastore.com/products/tea-chests-taylors-harrogates-british-favorites-teabags?variant=50057225044246
844560097632,67.95,Light (Imported),https://www.englishteastore.com/products/tea-chests-taylors-harrogates-british-favorites-teabags?variant=50057230582038
844560097625,32.97,Light (US Made),https://www.englishteastore.com/products/tea-chests-taylors-harrogates-british-favorites-teabags?variant=50057229926678
190140042852,39.87,Oak Finish (US Made),https://www.englishteastore.com/products/tea-chests-taylors-harrogates-british-favorites-teabags?variant=50057227829526
190140274147,49.97,Standard Cherry (US Made),https://www.englishteastore.com/products/tea-chests-taylors-harrogates-british-favorites-teabags?variant=50057230319894
