UPC,Price,Variant,Source Link
194622743985,149.00,Blue Mountain Plaid / XS,https://fahertybrand.com/products/legend-sweater-shirt-blue-mountain-plaid?variant=41765337071685
194622693310,149.00,Snowy Night Check / XS,https://fahertybrand.com/products/legend-sweater-shirt-snowy-night-check?variant=42016131186757
194622743978,149.00,Blue Mountain Plaid / S,https://fahertybrand.com/products/legend-sweater-shirt-blue-mountain-plaid?variant=41765337104453
194622693303,149.00,Snowy Night Check / S,https://fahertybrand.com/products/legend-sweater-shirt-snowy-night-check?variant=42016131219525
194622743961,149.00,Blue Mountain Plaid / M,https://fahertybrand.com/products/legend-sweater-shirt-blue-mountain-plaid?variant=41765337137221
194622815651,69.00,Dark Blue Nights / 28,https://fahertybrand.com/products/belt-loop-all-day-shorts-7-dark-blue-nights?variant=40611286810693
194622815644,69.00,Dark Blue Nights / 29,https://fahertybrand.com/products/belt-loop-all-day-shorts-7-dark-blue-nights?variant=40611286843461
194622593764,159.00,Shoreblue Wash / 28,https://fahertybrand.com/products/carpenter-denim-shoreblue-wash?variant=42331442118725
194622743954,149.00,Blue Mountain Plaid / L,https://fahertybrand.com/products/legend-sweater-shirt-blue-mountain-plaid?variant=41765337169989
194622693297,149.00,Snowy Night Check / M,https://fahertybrand.com/products/legend-sweater-shirt-snowy-night-check?variant=42016131252293
194622857255,149.00,Glacier Blue Twill / MT,https://fahertybrand.com/products/legend-sweater-shirt-tall-glacier-blue-twill-1?variant=40570538754117
194622815637,69.00,Dark Blue Nights / 30,https://fahertybrand.com/products/belt-loop-all-day-shorts-7-dark-blue-nights?variant=40611286876229
637318991555,69.00,Leary Plaid / OS,https://fahertybrand.com/products/leary-plaid-scarf-leary-plaid?variant=42016117719109
194622743688,149.00,Western Outpost Plaid / XS,https://fahertybrand.com/products/legend-sweater-shirt-western-outpost-plaid-2?variant=41782258073669
194622815774,69.00,Dark Blue Nights / 28,https://fahertybrand.com/products/belt-loop-all-day-shorts-9-dark-blue-nights?variant=40611286417477
194622593757,159.00,Shoreblue Wash / 29,https://fahertybrand.com/products/carpenter-denim-shoreblue-wash?variant=42331442151493
194622854001,69.00,Turquoise Sky / 28,https://fahertybrand.com/products/belt-loop-all-day-shorts-5-turquoise-sky?variant=40598935339077
