UPC,Price,Variant,Source Link
194622638823,149.00,Tide Line Stripe / XS/S,https://fahertybrand.com/products/dockside-cardigan-tide-line-stripe-3?variant=42305322451013
194622638816,149.00,Tide Line Stripe / M,https://fahertybrand.com/products/dockside-cardigan-tide-line-stripe-3?variant=42305322516549
194622606365,94.00,Sandy Mixed Stripe / XS/S,https://fahertybrand.com/products/rip-tide-cover-up-sandy-mixed-stripe?variant=42479554691141
637318035365,79.00,Salt / OS,https://fahertybrand.com/products/womens-straw-sun-hat-salt-1?variant=41969585094725
194622632951,119.00,Charcoal Woodstock Floral / XXS,https://fahertybrand.com/products/cabana-pant-charcoal-woodstock-floral?variant=42276523606085
194622592040,79.00,Lagoon Colorblock / XXS,https://fahertybrand.com/products/shorelite-short-lagoon-colorblock?variant=42479643361349
194622713605,89.00,Washed Black / XXS,https://fahertybrand.com/products/coastal-cloud-crew-washed-black?variant=41765351358533
194622631589,119.00,Charcoal Woodstock Floral / XXS,https://fahertybrand.com/products/cabana-ls-shirt-charcoal-woodstock-floral?variant=42276525670469
194622631213,64.00,Sandy Shoreline Stripe / XXS,https://fahertybrand.com/products/freestyle-henley-sandy-shoreline-stripe?variant=42276526129221
194622635822,109.00,White / XXS,https://fahertybrand.com/products/dune-cotton-gauze-drawstring-pant-white?variant=42276517806149
194622634214,99.00,Sunburst Dobby / XXS,https://fahertybrand.com/products/skylar-top-sunburst-dobby?variant=42276521771077
194622696076,34.00,Beetle / XXS,https://fahertybrand.com/products/freestyle-rib-knit-tee-beetle?variant=41758517297221
194622595775,54.00,Hot Pink Varsity / XXS,https://fahertybrand.com/products/sunwashed-slub-varsity-tee-hot-pink-varsity?variant=42275556065349
194622133502,289.00,Brown / 5.5,https://fahertybrand.com/products/redwing-clara-brown?variant=31938958327877
194622713254,29.00,Gingerbread / XXS,https://fahertybrand.com/products/pacific-pointelle-tank-gingerbread?variant=41765352276037
194622640062,139.00,Canyon Haze / XXS,https://fahertybrand.com/products/soleil-hoodie-canyon-haze?variant=42186453811269
194622881687,84.00,Neutral Colorblock / XXS,https://fahertybrand.com/products/mikki-henley-neutral-colorblock-1?variant=40492577849413
194622609953,119.00,Ibis Rose Stripe / XXS,https://fahertybrand.com/products/byron-bay-dress-ibis-rose-stripe?variant=42479613116485
194622591203,69.00,Mini Jungle Stripe / XXS,https://fahertybrand.com/products/shoreside-bottom-mini-jungle-stripe?variant=42479644770373
194622857927,69.00,Black / XS,https://fahertybrand.com/products/braided-leather-belt-black?variant=40566590668869
