UPC,Price,Variant,Source Link
810167495515,29.00,XS,https://www.fairharborclothing.com/collections/end-of-season-sale/products/cabana-bottom-rolling-waves?variant=42130586206289
810167495522,29.00,S,https://www.fairharborclothing.com/collections/end-of-season-sale/products/cabana-bottom-rolling-waves?variant=42130586239057
810167495539,29.00,M,https://www.fairharborclothing.com/collections/end-of-season-sale/products/cabana-bottom-rolling-waves?variant=42130586271825
810167495546,29.00,L,https://www.fairharborclothing.com/collections/end-of-season-sale/products/cabana-bottom-rolling-waves?variant=42130586304593
810167495553,29.00,XL,https://www.fairharborclothing.com/collections/end-of-season-sale/products/cabana-bottom-rolling-waves?variant=42130586337361
810167495614,32.00,XS,https://www.fairharborclothing.com/collections/end-of-season-sale/products/cabana-bottom-white-lotus?variant=42134922821713
810167497847,48.00,XS,https://www.fairharborclothing.com/collections/end-of-season-sale/products/kids-bayberry-trunk-blue-waves?variant=42275182248017
810167497861,48.00,XS,https://www.fairharborclothing.com/collections/end-of-season-sale/products/kids-bayberry-trunk-light-blue-seersucker?variant=42275166945361
810167497885,48.00,XS,https://www.fairharborclothing.com/collections/end-of-season-sale/products/kids-bayberry-trunk-red-waves?variant=42275184771153
810173960809,48.00,XS,https://www.fairharborclothing.com/collections/end-of-season-sale/products/kids-bayberry-trunk-red-ocean-patches?variant=42370656796753
810167497830,34.00,XS,https://www.fairharborclothing.com/collections/end-of-season-sale/products/kids-bayberry-trunk-blue-seas-tile?variant=42275176087633
810167497847,48.00,XS,https://www.fairharborclothing.com/collections/end-of-season-sale/products/kids-bayberry-trunk-blue-waves?variant=42275182248017
810167497830,34.00,XS,https://www.fairharborclothing.com/collections/end-of-season-sale/products/kids-bayberry-trunk-blue-seas-tile?variant=42275176087633
810167497861,48.00,XS,https://www.fairharborclothing.com/collections/end-of-season-sale/products/kids-bayberry-trunk-light-blue-seersucker?variant=42275166945361
810167495461,29.00,XS,https://www.fairharborclothing.com/collections/end-of-season-sale/products/cabana-bottom-coral?variant=42130577883217
810173960809,48.00,XS,https://www.fairharborclothing.com/collections/end-of-season-sale/products/kids-bayberry-trunk-red-ocean-patches?variant=42370656796753
810167497823,34.00,XS,https://www.fairharborclothing.com/collections/end-of-season-sale/products/kids-bayberry-trunk-blue-depths-block?variant=42275172319313
810167497878,34.00,XS,https://www.fairharborclothing.com/collections/end-of-season-sale/products/kids-bayberry-trunk-lime-delila?variant=42272123191377
810167495416,29.00,XS,https://www.fairharborclothing.com/collections/end-of-season-sale/products/cabana-bottom-black?variant=42130575523921
810167495621,32.00,S,https://www.fairharborclothing.com/collections/end-of-season-sale/products/cabana-bottom-white-lotus?variant=42134922854481
810173960854,48.00,XS,https://www.fairharborclothing.com/collections/end-of-season-sale/products/kids-bayberry-trunk-shark-week-teal-jawsome?variant=42370578186321
810167497823,34.00,XS,https://www.fairharborclothing.com/collections/end-of-season-sale/products/kids-bayberry-trunk-blue-depths-block?variant=42275172319313
810167497878,34.00,XS,https://www.fairharborclothing.com/collections/end-of-season-sale/products/kids-bayberry-trunk-lime-delila?variant=42272123191377
810167497854,34.00,XS,https://www.fairharborclothing.com/collections/end-of-season-sale/products/kids-bayberry-trunk-lagoon-angelfish?variant=42294895804497
810167497885,48.00,XS,https://www.fairharborclothing.com/collections/end-of-season-sale/products/kids-bayberry-trunk-red-waves?variant=42275184771153
810165990142,39.00,XS,https://www.fairharborclothing.com/collections/end-of-season-sale/products/saltaire-half-zip-black?variant=41726953717841
810167498059,34.00,XS,https://www.fairharborclothing.com/collections/end-of-season-sale/products/kids-bayberry-trunk-seersucker-sea-life?variant=42272123322449
810167498059,34.00,XS,https://www.fairharborclothing.com/collections/end-of-season-sale/products/kids-bayberry-trunk-seersucker-sea-life?variant=42272123322449
810165995321,39.00,XS,https://www.fairharborclothing.com/collections/end-of-season-sale/products/saltaire-half-zip-ivory?variant=42130653053009
810165990142,39.00,XS,https://www.fairharborclothing.com/collections/end-of-season-sale/products/saltaire-half-zip-black?variant=41726953717841
810130702589,34.00,S,https://www.fairharborclothing.com/collections/end-of-season-sale/products/kids-bayberry-trunk-tropical-twilight?variant=40773518557265
810165995321,39.00,XS,https://www.fairharborclothing.com/collections/end-of-season-sale/products/saltaire-half-zip-ivory?variant=42130653053009
810167497441,35.00,XS,https://www.fairharborclothing.com/collections/end-of-season-sale/products/saltaire-sweatpant-ivory?variant=42130654527569
810167497892,48.00,XS,https://www.fairharborclothing.com/collections/end-of-season-sale/products/kids-bayberry-trunk-wave-blue-seahorse?variant=42294905372753
810167497854,34.00,XS,https://www.fairharborclothing.com/collections/end-of-season-sale/products/kids-bayberry-trunk-lagoon-angelfish?variant=42294895804497
810165995222,39.00,XS,https://www.fairharborclothing.com/collections/end-of-season-sale/products/saltaire-half-zip-azure?variant=42130647711825
810173960854,48.00,XS,https://www.fairharborclothing.com/collections/end-of-season-sale/products/kids-bayberry-trunk-shark-week-teal-jawsome?variant=42370578186321
810165990142,39.00,XS,https://www.fairharborclothing.com/collections/end-of-season-sale/products/saltaire-half-zip-black?variant=41726953717841
810165995222,39.00,XS,https://www.fairharborclothing.com/collections/end-of-season-sale/products/saltaire-half-zip-azure?variant=42130647711825
810167494617,41.00,XS,https://www.fairharborclothing.com/collections/end-of-season-sale/products/corliss-rashguard-emerald?variant=42140313714769
810023490609,48.00,S,https://www.fairharborclothing.com/collections/end-of-season-sale/products/kids-bayberry-trunk-blue-waves?variant=40693638561873
810165995321,39.00,XS,https://www.fairharborclothing.com/collections/end-of-season-sale/products/saltaire-half-zip-ivory?variant=42130653053009
810165995277,39.00,XS,https://www.fairharborclothing.com/collections/end-of-season-sale/products/saltaire-half-zip-papaya?variant=42130652463185
810173962278,29.00,XS,https://www.fairharborclothing.com/collections/end-of-season-sale/products/seabreeze-hoodie-heather-black?variant=42189764034641
