UPC,Price,Variant,Source Link
0195394593129,109.95,Coconut Milk - Winter Sky / B / 5,https://www.fit2run.com/products/brooks-ghost-max-2-womens-coconut-milk-winter-sky?variant=49862861717813
0195394593136,109.95,Coconut Milk - Winter Sky / B / 5.5,https://www.fit2run.com/products/brooks-ghost-max-2-womens-coconut-milk-winter-sky?variant=49862861750581
0195394593143,109.95,Coconut Milk - Winter Sky / B / 6,https://www.fit2run.com/products/brooks-ghost-max-2-womens-coconut-milk-winter-sky?variant=49862861783349
0195394593150,109.95,Coconut Milk - Winter Sky / B / 6.5,https://www.fit2run.com/products/brooks-ghost-max-2-womens-coconut-milk-winter-sky?variant=49862861816117
0195394593167,109.95,Coconut Milk - Winter Sky / B / 7,https://www.fit2run.com/products/brooks-ghost-max-2-womens-coconut-milk-winter-sky?variant=49862861848885
0195394593174,109.95,Coconut Milk - Winter Sky / B / 7.5,https://www.fit2run.com/products/brooks-ghost-max-2-womens-coconut-milk-winter-sky?variant=49862861881653
0195394593181,109.95,Coconut Milk - Winter Sky / B / 8,https://www.fit2run.com/products/brooks-ghost-max-2-womens-coconut-milk-winter-sky?variant=49862861914421
0195394593198,109.95,Coconut Milk - Winter Sky / B / 8.5,https://www.fit2run.com/products/brooks-ghost-max-2-womens-coconut-milk-winter-sky?variant=49862861947189
0195394593204,109.95,Coconut Milk - Winter Sky / B / 9,https://www.fit2run.com/products/brooks-ghost-max-2-womens-coconut-milk-winter-sky?variant=49862861979957
0195394593211,109.95,Coconut Milk - Winter Sky / B / 9.5,https://www.fit2run.com/products/brooks-ghost-max-2-womens-coconut-milk-winter-sky?variant=49862862045493
0195394593228,109.95,Coconut Milk - Winter Sky / B / 10,https://www.fit2run.com/products/brooks-ghost-max-2-womens-coconut-milk-winter-sky?variant=49862862111029
0195394593235,109.95,Coconut Milk - Winter Sky / B / 10.5,https://www.fit2run.com/products/brooks-ghost-max-2-womens-coconut-milk-winter-sky?variant=49862862176565
