UPC,Price,Variant,Source Link
722947846311,271.98,Woodrose,https://www.thefryecompany.com/products/melissa-medium-satchel-woodrose?variant=44194385232063
722947834561,250.98,Shadow,https://www.thefryecompany.com/products/melissa-shopper-shadow?variant=44194388738239
722947846434,250.98,Willow,https://www.thefryecompany.com/products/melissa-shopper-willow?variant=44194386542783
198654041705,388.00,Light Bronze,https://www.thefryecompany.com/products/melissa-medium-satchel-light-bronze?variant=44481437827263
198654021486,358.00,Sky Blue,https://www.thefryecompany.com/products/melissa-shopper-sky-blue?variant=44206693351615
198654041682,388.00,Berry Lacquer,https://www.thefryecompany.com/products/melissa-medium-satchel-berry-lacquer?variant=44481436811455
198654010077,33.98,Black / S,https://www.thefryecompany.com/products/25-mm-belt-with-metal-loop-black?variant=44266432102591
722947793165,40.98,Black / S,https://www.thefryecompany.com/products/30mm-belt-with-covered-buckle-leather-lacing-black?variant=44194419540159
722947834271,271.98,Nude,https://www.thefryecompany.com/products/melissa-medium-satchel-nude?variant=44194419409087
722947834288,271.98,Eggplant,https://www.thefryecompany.com/products/melissa-medium-satchel-eggplant?variant=44194388115647
722947671814,98.00,Cognac,https://www.thefryecompany.com/products/melissa-coin-purse-cognac?variant=44194414297279
722947846328,271.98,Willow,https://www.thefryecompany.com/products/melissa-medium-satchel-willow?variant=44194386346175
722947834417,178.00,Cognac,https://www.thefryecompany.com/products/melissa-phone-crossbody-cognac?variant=44194385952959
198654010039,33.98,Woodrose / S,https://www.thefryecompany.com/products/38-mm-belt-woodrose?variant=44266434003135
7506465022074,298.98,Black / S,https://www.thefryecompany.com/products/durango-trucker-jacket-black?variant=44194574467263
722947791840,124.98,Burgundy,https://www.thefryecompany.com/products/nora-knotted-crossbody-burgundy?variant=44206691614911
198654010114,33.98,Tan / S,https://www.thefryecompany.com/products/25-mm-belt-with-metal-loop-tan?variant=44266434986175
7506465008924,228.98,Taupe / S,https://www.thefryecompany.com/products/trailblazer-trucker-jacket-taupe?variant=43642811941055
198654009453,33.98,Black / 30,https://www.thefryecompany.com/products/35-mm-pull-up-leather-belt-black?variant=44266432266431
198654009996,33.98,Oat / S,https://www.thefryecompany.com/products/38-mm-belt-oat?variant=44266433446079
722947747755,47.98,Tan / S/M,https://www.thefryecompany.com/products/35mm-tonal-woven-leather-belt-tan?variant=44194404761791
722947834585,250.98,Eggplant,https://www.thefryecompany.com/products/melissa-shopper-eggplant?variant=44194402238655
722947792182,250.98,Mushroom,https://www.thefryecompany.com/products/melissa-shopper-mushroom?variant=44206689779903
7506465028984,226.98,Medium Brown / XS,https://www.thefryecompany.com/products/nash-trucker-jacket-medium-brown?variant=44194572107967
7506465008245,286.98,Middle Brown / S,https://www.thefryecompany.com/products/judd-shacket-middle-brown?variant=44194570174655
7506465029226,226.98,Oxblood / XS,https://www.thefryecompany.com/products/oklahoma-biker-jacket-oxblood?variant=44194571157695
722947477591,178.00,Cream,https://www.thefryecompany.com/products/nora-knotted-crossbody-cream?variant=44206687060159
198654009859,40.98,Black / 30,https://www.thefryecompany.com/products/38-mm-belt-black-1?variant=44266435150015
722947846441,250.98,Woodrose,https://www.thefryecompany.com/products/melissa-shopper-woodrose?variant=44194415575231
722947792199,250.98,Steel,https://www.thefryecompany.com/products/melissa-shopper-steel?variant=44194397487295
198654041804,358.00,Light Bronze,https://www.thefryecompany.com/products/melissa-shopper-light-bronze?variant=44481437139135
198654010473,40.98,Black / S,https://www.thefryecompany.com/products/25-mm-horseshoe-buckle-belt-black?variant=44266434494655
7506465029141,226.98,Tobacco / XS,https://www.thefryecompany.com/products/missouri-cafe-racer-jacket-tobacco?variant=44194572796095
190918078533,199.98,Cognac / 5.5,https://www.thefryecompany.com/products/melissa-button-2-cognac?variant=44106744496319
722947846373,68.98,Beige,https://www.thefryecompany.com/products/melissa-coin-purse-beige?variant=44194407284927
7506465058639,478.98,Burnt copper / S,https://www.thefryecompany.com/products/clay-bomber-jacket-burnt-copper?variant=44194574794943
7506465048982,478.98,Tobacco / S,https://www.thefryecompany.com/products/gannon-racer-jacket-tobacco?variant=44194571747519
190918098098,358.00,Cognac,https://www.thefryecompany.com/products/melissa-shopper-cognac?variant=44206690730175
190918099804,358.00,Dark Brown,https://www.thefryecompany.com/products/melissa-shopper-dark-brown?variant=44206688207039
198654041811,358.00,Berry Lacquer,https://www.thefryecompany.com/products/melissa-shopper-berry-lacquer?variant=44481437401279
722947846410,124.98,Beige,https://www.thefryecompany.com/products/melissa-phone-crossbody-beige?variant=44194385625279
722947833663,278.00,Cognac,https://www.thefryecompany.com/products/alex-hobo-cognac?variant=44205267419327
190918077543,199.98,Black / 5.5,https://www.thefryecompany.com/products/melissa-button-2-black?variant=44106740760767
7506465048869,428.98,Taupe / S,https://www.thefryecompany.com/products/brock-shacket-taupe?variant=44194569879743
7506465040320,286.98,Navy Blue / S,https://www.thefryecompany.com/products/judd-shacket-navy-blue?variant=44194574270655
190918077765,199.98,Redwood / 5.5,https://www.thefryecompany.com/products/melissa-button-2-redwood?variant=44106763174079
196485016626,199.98,Mahogany / 5.5,https://www.thefryecompany.com/products/melissa-button-2-mahogany?variant=44106673782975
198654010060,33.98,Black / M,https://www.thefryecompany.com/products/25-mm-belt-with-metal-loop-black?variant=44266432135359
722947793158,40.98,Black / M,https://www.thefryecompany.com/products/30mm-belt-with-covered-buckle-leather-lacing-black?variant=44194419572927
722947834578,250.98,Nude,https://www.thefryecompany.com/products/melissa-shopper-nude?variant=44194416853183
198654010022,33.98,Woodrose / M,https://www.thefryecompany.com/products/38-mm-belt-woodrose?variant=44266434035903
7506465022081,298.98,Black / M,https://www.thefryecompany.com/products/durango-trucker-jacket-black?variant=44194574500031
198654010107,33.98,Tan / M,https://www.thefryecompany.com/products/25-mm-belt-with-metal-loop-tan?variant=44266435018943
7506465008931,228.98,Taupe / M,https://www.thefryecompany.com/products/trailblazer-trucker-jacket-taupe?variant=43642812039359
198654009460,33.98,Black / 32,https://www.thefryecompany.com/products/35-mm-pull-up-leather-belt-black?variant=44266432299199
198654009989,33.98,Oat / M,https://www.thefryecompany.com/products/38-mm-belt-oat?variant=44266433478847
722947747748,47.98,Tan / M/L,https://www.thefryecompany.com/products/35mm-tonal-woven-leather-belt-tan?variant=44194404794559
7506465028991,226.98,Medium Brown / S,https://www.thefryecompany.com/products/nash-trucker-jacket-medium-brown?variant=44194572140735
722947791925,68.98,Steel,https://www.thefryecompany.com/products/melissa-coin-purse-steel?variant=44206692860095
