UPC,Price,Variant,Source Link
196155297072,25.00,S,https://gazellesports.com/products/y-nike-strike-3-jsy-roy-nvy
196155297089,25.00,M,https://gazellesports.com/products/y-nike-strike-3-jsy-roy-nvy
196155297096,25.00,L,https://gazellesports.com/products/y-nike-strike-3-jsy-roy-nvy
196155297102,25.00,XL,https://gazellesports.com/products/y-nike-strike-3-jsy-roy-nvy
889833508644,51.99,28,https://gazellesports.com/products/lightweight-all-wear-hemp-shorts-6in-forge-grey
889833508668,51.99,30,https://gazellesports.com/products/lightweight-all-wear-hemp-shorts-6in-forge-grey
195019461246,45.95,7,https://gazellesports.com/products/kilkenny-xc9-d-slime
195019461253,45.95,7.5,https://gazellesports.com/products/kilkenny-xc9-d-slime
195019461260,45.95,8,https://gazellesports.com/products/kilkenny-xc9-d-slime
195019461277,45.95,8.5,https://gazellesports.com/products/kilkenny-xc9-d-slime
889833508675,51.99,31,https://gazellesports.com/products/lightweight-all-wear-hemp-shorts-6in-forge-grey
889833508699,51.99,32,https://gazellesports.com/products/lightweight-all-wear-hemp-shorts-6in-forge-grey
889833508712,51.99,33,https://gazellesports.com/products/lightweight-all-wear-hemp-shorts-6in-forge-grey
889833508736,51.99,34,https://gazellesports.com/products/lightweight-all-wear-hemp-shorts-6in-forge-grey
195019461284,45.95,9,https://gazellesports.com/products/kilkenny-xc9-d-slime
195019461291,45.95,9.5,https://gazellesports.com/products/kilkenny-xc9-d-slime
195019461307,45.95,10,https://gazellesports.com/products/kilkenny-xc9-d-slime
195019461314,45.95,10.5,https://gazellesports.com/products/kilkenny-xc9-d-slime
889833508750,51.99,35,https://gazellesports.com/products/lightweight-all-wear-hemp-shorts-6in-forge-grey
889833508774,51.99,36,https://gazellesports.com/products/lightweight-all-wear-hemp-shorts-6in-forge-grey
889833508781,51.99,38,https://gazellesports.com/products/lightweight-all-wear-hemp-shorts-6in-forge-grey
889833508804,51.99,40,https://gazellesports.com/products/lightweight-all-wear-hemp-shorts-6in-forge-grey
195019461321,45.95,11,https://gazellesports.com/products/kilkenny-xc9-d-slime
195019461338,45.95,11.5,https://gazellesports.com/products/kilkenny-xc9-d-slime
195019461345,45.95,12,https://gazellesports.com/products/kilkenny-xc9-d-slime
195019461352,45.95,12.5,https://gazellesports.com/products/kilkenny-xc9-d-slime
195019461369,45.95,13,https://gazellesports.com/products/kilkenny-xc9-d-slime
195019461376,45.95,14,https://gazellesports.com/products/kilkenny-xc9-d-slime
197598745809,48.97,1,https://gazellesports.com/products/zoom-rival-xc-6-d-bright-crimson-vapor-green-black
197598747193,48.97,1.5,https://gazellesports.com/products/zoom-rival-xc-6-d-bright-crimson-vapor-green-black
197598748213,48.97,2,https://gazellesports.com/products/zoom-rival-xc-6-d-bright-crimson-vapor-green-black
195020601662,54.95,3.5,https://gazellesports.com/products/spitfire-5-d-white-carbon
195020601679,54.95,4,https://gazellesports.com/products/spitfire-5-d-white-carbon
195020601686,54.95,4.5,https://gazellesports.com/products/spitfire-5-d-white-carbon
197598746233,48.97,2.5,https://gazellesports.com/products/zoom-rival-xc-6-d-bright-crimson-vapor-green-black
197598745229,48.97,M 3 / W 4.5,https://gazellesports.com/products/zoom-rival-xc-6-d-bright-crimson-vapor-green-black
195020601693,54.95,5,https://gazellesports.com/products/spitfire-5-d-white-carbon
195020601709,54.95,5.5,https://gazellesports.com/products/spitfire-5-d-white-carbon
195020601716,54.95,6,https://gazellesports.com/products/spitfire-5-d-white-carbon
195020601723,54.95,6.5,https://gazellesports.com/products/spitfire-5-d-white-carbon
197598747469,48.97,M 3.5 / W 5,https://gazellesports.com/products/zoom-rival-xc-6-d-bright-crimson-vapor-green-black
196924913097,26.99,Default Title,https://gazellesports.com/products/p-6-logo-trucker-hat-abundant-blue
195020601730,54.95,7,https://gazellesports.com/products/spitfire-5-d-white-carbon
197598748008,48.97,M 4 / W 5.5,https://gazellesports.com/products/zoom-rival-xc-6-d-bright-crimson-vapor-green-black
195020601747,54.95,7.5,https://gazellesports.com/products/spitfire-5-d-white-carbon
195020601754,54.95,8,https://gazellesports.com/products/spitfire-5-d-white-carbon
195020601761,54.95,8.5,https://gazellesports.com/products/spitfire-5-d-white-carbon
197598744949,48.97,M 4.5 / W 6,https://gazellesports.com/products/zoom-rival-xc-6-d-bright-crimson-vapor-green-black
197598745076,48.97,M 5 / W 6.5,https://gazellesports.com/products/zoom-rival-xc-6-d-bright-crimson-vapor-green-black
195020601778,54.95,9,https://gazellesports.com/products/spitfire-5-d-white-carbon
195020601785,54.95,9.5,https://gazellesports.com/products/spitfire-5-d-white-carbon
195020601792,54.95,10,https://gazellesports.com/products/spitfire-5-d-white-carbon
197598747094,48.97,M 5.5 / W 7,https://gazellesports.com/products/zoom-rival-xc-6-d-bright-crimson-vapor-green-black
195020601808,54.95,10.5,https://gazellesports.com/products/spitfire-5-d-white-carbon
195020601815,54.95,11,https://gazellesports.com/products/spitfire-5-d-white-carbon
195020601822,54.95,11.5,https://gazellesports.com/products/spitfire-5-d-white-carbon
195020601839,54.95,12,https://gazellesports.com/products/spitfire-5-d-white-carbon
197598747346,48.97,M 6 / W 7.5,https://gazellesports.com/products/zoom-rival-xc-6-d-bright-crimson-vapor-green-black
197598746578,48.97,M 6.5 / W 8,https://gazellesports.com/products/zoom-rival-xc-6-d-bright-crimson-vapor-green-black
197598745090,48.97,M 7 / W 8.5,https://gazellesports.com/products/zoom-rival-xc-6-d-bright-crimson-vapor-green-black
197598748466,48.97,M 7.5 / W 9,https://gazellesports.com/products/zoom-rival-xc-6-d-bright-crimson-vapor-green-black
195020601846,54.95,12.5,https://gazellesports.com/products/spitfire-5-d-white-carbon
195020601853,54.95,13,https://gazellesports.com/products/spitfire-5-d-white-carbon
195020601860,54.95,14,https://gazellesports.com/products/spitfire-5-d-white-carbon
197598746684,48.97,M 8 / W 9.5,https://gazellesports.com/products/zoom-rival-xc-6-d-bright-crimson-vapor-green-black
197598746110,48.97,M 8.5 / W 10,https://gazellesports.com/products/zoom-rival-xc-6-d-bright-crimson-vapor-green-black
197598745670,48.97,M 9 / W 10.5,https://gazellesports.com/products/zoom-rival-xc-6-d-bright-crimson-vapor-green-black
197598745724,48.97,M 9.5 / W 11,https://gazellesports.com/products/zoom-rival-xc-6-d-bright-crimson-vapor-green-black
197598747612,48.97,M 10 / W 11.5,https://gazellesports.com/products/zoom-rival-xc-6-d-bright-crimson-vapor-green-black
197598746639,48.97,M 10.5 / W 12,https://gazellesports.com/products/zoom-rival-xc-6-d-bright-crimson-vapor-green-black
197598746097,48.97,M 11 / W 12.5,https://gazellesports.com/products/zoom-rival-xc-6-d-bright-crimson-vapor-green-black
197598745014,48.97,M 11.5 / W 13,https://gazellesports.com/products/zoom-rival-xc-6-d-bright-crimson-vapor-green-black
197598747759,48.97,M 12 / W 13.5,https://gazellesports.com/products/zoom-rival-xc-6-d-bright-crimson-vapor-green-black
197598747131,48.97,M 12.5 / W 14,https://gazellesports.com/products/zoom-rival-xc-6-d-bright-crimson-vapor-green-black
197598745601,48.97,M 13 / W 14.5,https://gazellesports.com/products/zoom-rival-xc-6-d-bright-crimson-vapor-green-black
197598746066,48.97,M 14 / W 15.5,https://gazellesports.com/products/zoom-rival-xc-6-d-bright-crimson-vapor-green-black
197598747711,48.97,M 15 / W 16.5,https://gazellesports.com/products/zoom-rival-xc-6-d-bright-crimson-vapor-green-black
197598744932,48.97,M 16 / W 17.5,https://gazellesports.com/products/zoom-rival-xc-6-d-bright-crimson-vapor-green-black
