UPC,Price,Variant,Source Link
190388794896,30.97,"XXL, White",https://www.golfgalaxy.com/p/travis-mathew-mens-tentative-date-t-shirt-24tm1msstnttvdtn1mga/24tm1msstnttvdtn1mga
197674381068,19.97,"One Size, Pink",https://www.golfgalaxy.com/p/puma-x-dani-dazey-womens-golf-visor-24pumwwpmxdndzypnapa/24pumwwpmxdndzypnapa
197599975397,169.97,Black,https://www.golfgalaxy.com/p/air-jordan-i-high-g-mens-golf-shoes-24jdnmj1hghgblkglgsh/24jdnmj1hghgblkglgsh
196358726904,58,"L, Gray",https://www.golfgalaxy.com/p/vrst-mens-heather-mesh-golf-polo-23krmmhthrmshplxxmga/23krmmhthrmshplxxmga
196358572051,20,"XL, Blue",https://www.golfgalaxy.com/p/dsg-girls-shelf-bra-tank-top-21qyfgshlfbrtnkxxdsg/21qyfgshlfbrtnkxxdsg
196358726911,58,"XL, Gray",https://www.golfgalaxy.com/p/vrst-mens-heather-mesh-golf-polo-23krmmhthrmshplxxmga/23krmmhthrmshplxxmga
196358624934,12.97,"S, Blue",https://www.golfgalaxy.com/p/dsg-girls-shelf-bra-tank-top-21qyfgshlfbrtnkxxdsg/21qyfgshlfbrtnkxxdsg
198690122109,8.97,"S, Blue",https://www.golfgalaxy.com/p/walter-hagen-womens-clubhouse-short-sleeve-classic-polo-24whgwclbhsssclssapt/24whgwclbhsssclssapt
196358726997,58,"M, Blue",https://www.golfgalaxy.com/p/vrst-mens-heather-mesh-golf-polo-23krmmhthrmshplxxmga/23krmmhthrmshplxxmga
198690122161,8.97,"S, Orange",https://www.golfgalaxy.com/p/walter-hagen-womens-clubhouse-short-sleeve-classic-polo-24whgwclbhsssclssapt/24whgwclbhsssclssapt
198690122130,8.97,"XL, Blue",https://www.golfgalaxy.com/p/walter-hagen-womens-clubhouse-short-sleeve-classic-polo-24whgwclbhsssclssapt/24whgwclbhsssclssapt
198690122208,8.97,"XXL, Orange",https://www.golfgalaxy.com/p/walter-hagen-womens-clubhouse-short-sleeve-classic-polo-24whgwclbhsssclssapt/24whgwclbhsssclssapt
198690122185,8.97,"L, Orange",https://www.golfgalaxy.com/p/walter-hagen-womens-clubhouse-short-sleeve-classic-polo-24whgwclbhsssclssapt/24whgwclbhsssclssapt
198690122192,8.97,"XL, Orange",https://www.golfgalaxy.com/p/walter-hagen-womens-clubhouse-short-sleeve-classic-polo-24whgwclbhsssclssapt/24whgwclbhsssclssapt
196358726980,58,"S, Blue",https://www.golfgalaxy.com/p/vrst-mens-heather-mesh-golf-polo-23krmmhthrmshplxxmga/23krmmhthrmshplxxmga
196358727024,58,"XXL, Blue",https://www.golfgalaxy.com/p/vrst-mens-heather-mesh-golf-polo-23krmmhthrmshplxxmga/23krmmhthrmshplxxmga
196358727000,58,"L, Blue",https://www.golfgalaxy.com/p/vrst-mens-heather-mesh-golf-polo-23krmmhthrmshplxxmga/23krmmhthrmshplxxmga
196358726928,58,"XXL, Gray",https://www.golfgalaxy.com/p/vrst-mens-heather-mesh-golf-polo-23krmmhthrmshplxxmga/23krmmhthrmshplxxmga
196358726881,58,"S, Gray",https://www.golfgalaxy.com/p/vrst-mens-heather-mesh-golf-polo-23krmmhthrmshplxxmga/23krmmhthrmshplxxmga
198690122154,8.97,"XS, Orange",https://www.golfgalaxy.com/p/walter-hagen-womens-clubhouse-short-sleeve-classic-polo-24whgwclbhsssclssapt/24whgwclbhsssclssapt
198690122178,8.97,"M, Orange",https://www.golfgalaxy.com/p/walter-hagen-womens-clubhouse-short-sleeve-classic-polo-24whgwclbhsssclssapt/24whgwclbhsssclssapt
198690122123,8.97,"L, Blue",https://www.golfgalaxy.com/p/walter-hagen-womens-clubhouse-short-sleeve-classic-polo-24whgwclbhsssclssapt/24whgwclbhsssclssapt
198690121591,9.97,"XL, Blue",https://www.golfgalaxy.com/p/walter-hagen-womens-clubhouse-short-sleeve-classic-polo-24whgwclbhsssclssapt/24whgwclbhsssclssapt
198690121553,9.97,"XS, Blue",https://www.golfgalaxy.com/p/walter-hagen-womens-clubhouse-short-sleeve-classic-polo-24whgwclbhsssclssapt/24whgwclbhsssclssapt
196358726898,58,"M, Gray",https://www.golfgalaxy.com/p/vrst-mens-heather-mesh-golf-polo-23krmmhthrmshplxxmga/23krmmhthrmshplxxmga
196358727017,58,"XL, Blue",https://www.golfgalaxy.com/p/vrst-mens-heather-mesh-golf-polo-23krmmhthrmshplxxmga/23krmmhthrmshplxxmga
198690390843,58,"M, Green",https://www.golfgalaxy.com/p/vrst-mens-heather-mesh-golf-polo-23krmmhthrmshplxxmga/23krmmhthrmshplxxmga
198690390850,58,"L, Green",https://www.golfgalaxy.com/p/vrst-mens-heather-mesh-golf-polo-23krmmhthrmshplxxmga/23krmmhthrmshplxxmga
198690122147,8.97,"XXL, Blue",https://www.golfgalaxy.com/p/walter-hagen-womens-clubhouse-short-sleeve-classic-polo-24whgwclbhsssclssapt/24whgwclbhsssclssapt
198690121607,9.97,"XXL, Blue",https://www.golfgalaxy.com/p/walter-hagen-womens-clubhouse-short-sleeve-classic-polo-24whgwclbhsssclssapt/24whgwclbhsssclssapt
198690122093,8.97,"XS, Blue",https://www.golfgalaxy.com/p/walter-hagen-womens-clubhouse-short-sleeve-classic-polo-24whgwclbhsssclssapt/24whgwclbhsssclssapt
198690121560,9.97,"S, Blue",https://www.golfgalaxy.com/p/walter-hagen-womens-clubhouse-short-sleeve-classic-polo-24whgwclbhsssclssapt/24whgwclbhsssclssapt
198690121584,9.97,"L, Blue",https://www.golfgalaxy.com/p/walter-hagen-womens-clubhouse-short-sleeve-classic-polo-24whgwclbhsssclssapt/24whgwclbhsssclssapt
198690390836,58,"S, Green",https://www.golfgalaxy.com/p/vrst-mens-heather-mesh-golf-polo-23krmmhthrmshplxxmga/23krmmhthrmshplxxmga
