UPC,Price,Variant,Source Link
198690193499,65,"L, Blue",https://www.golfgalaxy.com/p/walter-hagen-womens-performance-11-knit-16-skort-24whgwp11knt16skrapb/24whgwp11knt16skrapb
198690193505,65,"XL, Blue",https://www.golfgalaxy.com/p/walter-hagen-womens-performance-11-knit-16-skort-24whgwp11knt16skrapb/24whgwp11knt16skrapb
198690193475,65,"S, Blue",https://www.golfgalaxy.com/p/walter-hagen-womens-performance-11-knit-16-skort-24whgwp11knt16skrapb/24whgwp11knt16skrapb
198690193512,65,"XXL, Blue",https://www.golfgalaxy.com/p/walter-hagen-womens-performance-11-knit-16-skort-24whgwp11knt16skrapb/24whgwp11knt16skrapb
198690193468,65,"XS, Blue",https://www.golfgalaxy.com/p/walter-hagen-womens-performance-11-knit-16-skort-24whgwp11knt16skrapb/24whgwp11knt16skrapb
198690193482,65,"M, Blue",https://www.golfgalaxy.com/p/walter-hagen-womens-performance-11-knit-16-skort-24whgwp11knt16skrapb/24whgwp11knt16skrapb
198690343474,65,"XXL, Blue",https://www.golfgalaxy.com/p/walter-hagen-womens-performance-11-knit-16-skort-24whgwp11knt16skrapb/24whgwp11knt16skrapb
198690343436,65,"S, Blue",https://www.golfgalaxy.com/p/walter-hagen-womens-performance-11-knit-16-skort-24whgwp11knt16skrapb/24whgwp11knt16skrapb
198690343443,65,"M, Blue",https://www.golfgalaxy.com/p/walter-hagen-womens-performance-11-knit-16-skort-24whgwp11knt16skrapb/24whgwp11knt16skrapb
198690343429,65,"XS, Blue",https://www.golfgalaxy.com/p/walter-hagen-womens-performance-11-knit-16-skort-24whgwp11knt16skrapb/24whgwp11knt16skrapb
198690343467,65,"XL, Blue",https://www.golfgalaxy.com/p/walter-hagen-womens-performance-11-knit-16-skort-24whgwp11knt16skrapb/24whgwp11knt16skrapb
198690343450,65,"L, Blue",https://www.golfgalaxy.com/p/walter-hagen-womens-performance-11-knit-16-skort-24whgwp11knt16skrapb/24whgwp11knt16skrapb
198690232884,65,"XS, White",https://www.golfgalaxy.com/p/walter-hagen-womens-performance-11-knit-16-skort-24whgwp11knt16skrapb/24whgwp11knt16skrapb
198690232990,65,"XXL, Black",https://www.golfgalaxy.com/p/walter-hagen-womens-performance-11-knit-16-skort-24whgwp11knt16skrapb/24whgwp11knt16skrapb
198690232907,65,"M, White",https://www.golfgalaxy.com/p/walter-hagen-womens-performance-11-knit-16-skort-24whgwp11knt16skrapb/24whgwp11knt16skrapb
198690232983,65,"XL, Black",https://www.golfgalaxy.com/p/walter-hagen-womens-performance-11-knit-16-skort-24whgwp11knt16skrapb/24whgwp11knt16skrapb
198690232914,65,"L, White",https://www.golfgalaxy.com/p/walter-hagen-womens-performance-11-knit-16-skort-24whgwp11knt16skrapb/24whgwp11knt16skrapb
198690232969,65,"M, Black",https://www.golfgalaxy.com/p/walter-hagen-womens-performance-11-knit-16-skort-24whgwp11knt16skrapb/24whgwp11knt16skrapb
198690232921,65,"XL, White",https://www.golfgalaxy.com/p/walter-hagen-womens-performance-11-knit-16-skort-24whgwp11knt16skrapb/24whgwp11knt16skrapb
198690232976,65,"L, Black",https://www.golfgalaxy.com/p/walter-hagen-womens-performance-11-knit-16-skort-24whgwp11knt16skrapb/24whgwp11knt16skrapb
198690232945,65,"XS, Black",https://www.golfgalaxy.com/p/walter-hagen-womens-performance-11-knit-16-skort-24whgwp11knt16skrapb/24whgwp11knt16skrapb
198690058392,65,"M, Black",https://www.golfgalaxy.com/p/walter-hagen-womens-performance-11-knit-16-skort-24whgwp11knt16skrapb/24whgwp11knt16skrapb
198690058408,65,"L, Black",https://www.golfgalaxy.com/p/walter-hagen-womens-performance-11-knit-16-skort-24whgwp11knt16skrapb/24whgwp11knt16skrapb
