UPC,Price,Variant,Source Link
848109036670,45.29,Default Title,https://goodearthproducts.com/collections/office-supplies/products/4-3-4-x-2-3-8-white-plastic-shipping-tags
841436053891,161.77,Default Title,https://goodearthproducts.com/collections/office-supplies/products/1-2-x-7200-8-x-8-core-hand-grade-polypropylene-strapping-embossed
841436040297,299.56,Default Title,https://goodearthproducts.com/collections/office-supplies/products/3-4-x-023-gauge-x-1-710-regular-duty-steel-strapping
841436040235,291.16,Default Title,https://goodearthproducts.com/collections/office-supplies/products/1-2-x-023-gauge-x-2-560-regular-duty-steel-strapping
848109033969,48.69,Default Title,https://goodearthproducts.com/collections/office-supplies/products/3-x-55-yds-clear-6-pack-tape-logic-r-1000-hot-melt-tape
848109057439,648.00,Default Title,https://goodearthproducts.com/collections/office-supplies/products/sc51-economy-strapping-cart
841436053983,237.87,Default Title,https://goodearthproducts.com/collections/office-supplies/products/1-2-x-6500-16-x-6-core-signode-r-comparable-polyester-strapping-smooth
841436040426,49.39,Default Title,https://goodearthproducts.com/collections/office-supplies/products/1-ply-210-lb-white-polypropylene-tying-twine
841436042741,494.71,Default Title,https://goodearthproducts.com/collections/office-supplies/products/24-x-75-gauge-x-2000-reynolon-r-5044-pvc-shrink-film
848109024776,44.03,Default Title,https://goodearthproducts.com/collections/office-supplies/products/2-3-4-x-1-3-8-yellow-tyvek-r-shipping-tag
848109036724,45.87,Default Title,https://goodearthproducts.com/collections/office-supplies/products/4-3-4-x-2-3-8-blue-plastic-shipping-tags
841436042949,256.94,Default Title,https://goodearthproducts.com/collections/office-supplies/products/16-x-100-gauge-x-1500-shrink-tubing
848109025186,54.10,Default Title,https://goodearthproducts.com/collections/office-supplies/products/3-3-4-x-1-7-8-green-tyvek-r-pre-wired-shipping-tag
841436042147,301.08,Default Title,https://goodearthproducts.com/collections/office-supplies/products/16-x-75-gauge-x-3500-polyolefin-shrink-film
841436053969,247.47,Default Title,https://goodearthproducts.com/collections/office-supplies/products/1-2-x-10500-16-x-6-core-signode-r-comparable-polyester-strapping-smooth
848109033549,28.26,Default Title,https://goodearthproducts.com/collections/office-supplies/products/3-x-110-yds-clear-6-pack-tape-logic-r-400-acrylic-tape
841436039789,183.97,Default Title,https://goodearthproducts.com/collections/office-supplies/products/1-2-x-6600-9-x-8-core-machine-grade-polypropylene-strapping-embossed
841436040082,332.29,Default Title,https://goodearthproducts.com/collections/office-supplies/products/1-2-x-023-gauge-x-2-560-high-tensile-steel-strapping
