UPC,Price,Variant,Source Link
071641301740,6.30,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-fine-tip-permanent-marker-fine-bullet-tip-assorted-colors-4-set-san30174pp
041540613749,18.77,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-liquid-paper-r-dryline-correction-tape-non-refillable-green-purple-applicators-0-17-x-472-10-pack-pap6137406
,6.73,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/parker-r-refill-cartridge-for-parker-washable-ink-fountain-pens-blue-ink-5-pack-par1950208
041540331117,2.25,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-write-bros-ballpoint-pen-stick-medium-1-mm-blue-ink-blue-barrel-dozen-pap3311131c
041540009351,20.34,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-flair-felt-tip-porous-point-pen-stick-extra-fine-0-4-mm-assorted-ink-colors-gray-barrel-16-pack-pap2027233
071641615076,4.28,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-comfortmate-ultra-pencil-starter-set-0-7-mm-hb-2-black-lead-assorted-barrel-colors-2-pack-pap1738796
070530705218,10.61,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-pink-pearl-eraser-for-pencil-marks-rectangular-block-large-pink-12-box-pap70521
071641179233,11.17,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-profile-mechanical-pencils-0-7-mm-hb-2-black-lead-black-barrel-dozen-pap2101972
041540968016,18.44,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-flexgrip-ultra-recycled-ballpoint-pen-stick-fine-0-8-mm-black-ink-gray-barrel-dozen-pap9680131
092980000934,298.66,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/dymo-r-by-pelouze-r-s400-portable-digital-usb-shipping-scale-400-lb-capacity-pel1776113
071641560475,7.09,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-clear-point-mechanical-pencils-with-tube-of-lead-erasers-0-7-mm-hb-2-black-lead-randomly-assorted-barrel-colors-2-pk-pap56047pp
071641818002,36.89,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/expo-r-white-board-care-dry-erase-surface-cleaner-1-gal-bottle-san81800
071641179226,8.28,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-profile-mechanical-pencils-0-7-mm-hb-2-black-lead-assorted-barrel-colors-8-pack-pap2105705
071641181748,24.39,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-s-note-creative-markers-assorted-ink-colors-chisel-tip-assorted-barrel-colors-24-pack-san2158059-pack-of-24
,20.08,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-flair-scented-felt-tip-porous-point-pen-stick-medium-0-7-mm-assorted-ink-and-barrel-colors-12-pack-pap2125359
041540012412,42.39,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-profile-gel-pen-retractable-medium-0-7-mm-black-ink-translucent-black-barrel-36-pack-pap2095473
041540012597,14.50,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-profile-ballpoint-pen-retractable-medium-1-mm-red-ink-translucent-red-barrel-dozen-pap2095454
071641115231,37.64,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-point-guard-flair-felt-tip-porous-point-pen-stick-medium-0-7-mm-assorted-tropical-vacation-ink-and-barrel-colors-24-pack-pap1978998
041540012450,16.63,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-profile-gel-pen-retractable-fine-0-5-mm-black-ink-translucent-black-barrel-dozen-pap2095468
041540462156,9.47,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-write-bros-ballpoint-pen-value-pack-stick-medium-1-mm-blue-ink-blue-barrel-60-pack-pap4621501c
,6.77,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/parker-r-refill-for-parker-ballpoint-pens-fine-conical-tip-blue-ink-par1950368
041540012610,38.38,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-profile-ballpoint-pen-retractable-medium-1-mm-black-ink-translucent-black-barrel-36-pack-pap2095459
041540012672,5.20,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-profile-ballpoint-pen-retractable-medium-1-mm-blue-ink-translucent-blue-barrel-4-pack-pap2113555
071641104006,2.61,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-inkjoy-100-ballpoint-pen-stick-medium-1-mm-eight-assorted-ink-and-barrel-colors-8-pack-pap1945932
041540012627,14.58,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-profile-ballpoint-pen-retractable-medium-1-mm-blue-ink-translucent-blue-barrel-dozen-pap2095462
071641102965,5.67,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-inkjoy-100-rt-ballpoint-pen-retractable-medium-1-mm-red-ink-translucent-red-barrel-dozen-pap1951252
071641102972,5.97,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-inkjoy-100-rt-ballpoint-pen-retractable-medium-1-mm-blue-ink-translucent-blue-barrel-dozen-pap1951253
041540332114,2.25,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-write-bros-ballpoint-pen-stick-medium-1-mm-red-ink-red-barrel-dozen-pap3321131c
041540333111,2.25,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-write-bros-ballpoint-pen-stick-medium-1-mm-black-ink-black-barrel-dozen-pap3331131c
071641103894,4.59,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-inkjoy-300-rt-ballpoint-pen-retractable-medium-1-mm-assorted-ink-and-barrel-colors-8-pack-pap1945921
071641189201,5.17,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-advanced-mechanical-pencils-0-5-mm-hb-2-black-lead-gun-metal-gray-barrel-pap2128197
041540013167,19.27,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-flair-felt-tip-porous-point-pen-stick-bold-1-2-mm-assorted-ink-colors-white-pearl-barrel-12-pack-pap2125414
041540953012,21.33,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-flexgrip-ultra-recycled-ballpoint-pen-retractable-medium-1-mm-black-ink-black-gray-barrel-dozen-pap9530131
041540012399,40.84,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-profile-gel-pen-retractable-medium-0-7-mm-blue-ink-translucent-blue-barrel-36-pack-pap2095449
071641100794,36.02,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-inkjoy-gel-pen-retractable-medium-0-7-mm-assorted-ink-and-barrel-colors-20-pack-pap1951718
071641103931,12.34,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-inkjoy-300-rt-ballpoint-pen-refillable-retractable-medium-1-mm-black-ink-black-barrel-24-pack-pap1945925
071641560437,35.31,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-clear-point-mechanical-pencil-0-7-mm-hb-2-black-lead-blue-barrel-pap56043
071641346666,7.22,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-clear-point-mechanical-pencils-with-tube-of-lead-erasers-0-5-mm-hb-2-black-lead-randomly-assorted-barrel-colors-2-pack-pap34666pp
071641172500,10.70,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-flair-felt-tip-porous-point-pen-stick-medium-0-7-mm-assorted-ink-and-barrel-colors-with-retro-accents-6-pack-pap2097888
041540393016,10.00,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-eraser-mate-ballpoint-pen-stick-medium-1-mm-black-ink-black-barrel-dozen-pap3930158
041540013433,26.02,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-flair-scented-felt-tip-porous-point-pen-stick-medium-0-7-mm-assorted-ink-and-barrel-colors-16-pack-pap2125408
041540704669,85.67,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-point-guard-flair-felt-tip-porous-point-pen-stick-bold-1-4-mm-assorted-ink-and-barrel-colors-48-pack-pap4651
071641099623,26.17,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/papermate-r-inkjoy-gel-pen-retractable-medium-0-7-mm-assorted-ink-and-barrel-colors-14-pack-pap1959302-pack-of-14
071641203051,32.22,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-clear-point-mechanical-pencil-0-7-mm-hb-2-black-lead-assorted-barrel-colors-10-pack-pap2164121
026000191685,3.66,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/elmers-r-scented-glue-sticks-0-21-oz-dries-in-assorted-colors-4-scents-epi2142958
071641209831,26.73,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-flair-scented-nature-escape-pens-pap2178701
071641229198,22.73,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-creative-markers-bullet-tip-assorted-earth-tones-12-pack-san2209910-pack-of-12
071641156678,5.41,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/papermate-r-everstrong-2-pencils-hb-2-black-lead-yellow-barrel-24-pack-pap2207846-pack-of-24
071641089488,14.12,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/expo-r-low-odor-dry-erase-marker-set-assorted-tip-types-assorted-colors-san1930717
071641189188,50.64,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-inkjoy-gel-pen-retractable-medium-0-7-mm-assorted-ink-and-barrel-colors-30-pack-pap2132015
071641212251,28.08,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sanford-fine-tip-permanent-marker-fine-bullet-tip-assorted-80s-glam-colors-24-pack-san2185229
071641202030,34.11,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sanford-sharpie-highlighter-san2157485
071641104860,19.94,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-inkjoy-gel-pen-retractable-medium-0-7-mm-black-ink-black-smoke-barrel-8-pack-pap1958856
071641188617,8.89,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-s-gel-s-gel-premium-metal-barrel-gel-pen-retractable-medium-0-7-mm-black-ink-black-barrel-2-pack-san2134918
071641188877,52.08,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/expo-r-low-odor-dry-erase-vibrant-color-markers-broad-chisel-tip-assorted-colors-36-pack-san2135174a-pack-of-36
026000005784,11.34,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/elmers-r-school-glue-stick-0-77-oz-applies-purple-dries-clear-6-pack-epie578
041540894650,13.44,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/papermate-r-profile-ballpoint-pen-retractable-bold-1-4-mm-black-ink-translucent-black-barrel-dozen-pap89465a-1-dozen
071641223707,51.73,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-sharpie-s-gel-gel-pen-retractable-medium-0-7-mm-blue-ink-black-barrel-36-pack-san2208552-each
041540303763,2.88,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/papermate-r-sharpwriter-mechanical-pencil-0-7-mm-hb-2-black-lead-classic-yellow-barrel-5-pack-pap30376bpp-pack-of-5
,6.77,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/parker-r-refill-for-parker-ballpoint-pens-medium-conical-tip-black-ink-par1950369
071641202108,11.59,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-tank-style-highlighters-assorted-ink-colors-chisel-tip-assorted-barrel-colors-dozen-san25145-12-st
071641818033,60.03,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/expo-r-white-board-care-dry-erase-surface-cleaner-8-oz-spray-bottle-12-carton-san81803act-case-of-12
071641097995,7.78,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-clearview-pen-style-highlighter-assorted-ink-colors-chisel-tip-assorted-barrel-colors-3-pack-san1950748
026000194938,3.75,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/elmers-r-glitter-glue-sticks-0-21-oz-applies-assorted-colors-dries-clear-glitter-4-pack-epi2197114
071641218642,22.97,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-creative-markers-medium-bullet-tip-assorted-colors-12-pack-san2196905
071641225138,25.59,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/papermate-r-inkjoy-metallic-gel-pen-retractable-medium-0-8-mm-assorted-ink-assorted-barrel-10-pack-san2208638-pack-of-10
026000060547,3.36,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/craftbond-less-mess-all-temp-glue-sticks-mini-0-27-x-4-dries-clear-10-pack-epie6054-pack-of-10
071641190962,8.36,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-s-gel-pens-0-38-mm-pen-point-size-black-gel-based-ink-san2141125
071641818507,68.89,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/expo-r-dry-erase-board-cleaning-wet-wipes-6-x-9-50-container-6-carton-san81850act-case-of-6
079946271737,32.14,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/x-acto-r-model-19501-mighty-mite-home-office-electric-pencil-sharpener-ac-powered-3-5-x-5-5-x-4-5-black-gray-smoke-epi19501x
079946266245,427.44,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/x-acto-r-square-commercial-grade-wood-base-guillotine-trimmer-20-sheets-24-cut-length-24-x-24-epi26624
071641172210,7.89,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-s-gel-pens-san2096134
079946020045,16.02,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/x-acto-r-bulldog-clips-jumbo-nickel-12-box-epi2004lmr
071641172272,7.92,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-s-gel-s-gel-high-performance-gel-pen-retractable-medium-0-7-mm-assorted-ink-colors-black-barrel-4-pack-san2096174
071641202085,12.64,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-accent-highlighters-w-smear-guard-san2157490
026000004510,54.47,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/elmers-products-inc-multi-purpose-spray-adhesive-11-oz-dries-clear-6-carton-epie451ct-case-of-6
026000182201,50.81,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/elmers-r-clear-glue-1-gal-dries-clear-epi2022931
071641074897,7.64,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-clearview-tank-style-highlighter-assorted-ink-colors-chisel-tip-assorted-barrel-colors-3-pack-san1912767
071641808355,22.99,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/expo-r-low-odor-dry-erase-10-color-marker-and-eraser-set-broad-chisel-tip-assorted-colors-10-set-san80835
070158005172,3.86,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/krazy-glue-r-all-purpose-krazy-glue-0-07-oz-dries-clear-2-pack-epikg517
026000015912,7.83,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/elmers-r-disappearing-purple-school-glue-stick-0-21-oz-dries-clear-8-pack-epie1591e1560
041540012566,9.97,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-profile-ballpoint-pen-retractable-medium-1-mm-black-ink-translucent-black-barrel-8-pack-pap2095460
041540009535,63.61,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-flair-candy-pop-porous-point-pen-stick-medium-0-7-mm-assorted-ink-and-barrel-colors-36-pack-pap1984556
071641172258,7.92,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-s-gel-high-performance-gel-pen-retractable-medium-0-7-mm-blue-ink-black-barrel-4-pack-san2096172-pack-of-4
071641084674,16.27,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-sharpwriter-mechanical-pencil-value-pack-0-7-mm-hb-2-black-lead-classic-yellow-barrel-36-box-pap1921221c
071641103351,19.25,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-inkjoy-300-rt-ballpoint-pen-refillable-retractable-medium-1-mm-black-ink-black-barrel-36-box-pap1951378
071641104211,12.34,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/papermate-r-inkjoy-300-rt-ballpoint-pen-retractable-medium-1-mm-assorted-ink-and-barrel-colors-24-set-pap1951398-1-st
071641131248,8.16,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-inkjoy-50st-ballpoint-pen-stick-medium-1-mm-black-ink-clear-barrel-60-pack-pap2013311
026000003094,6.47,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/elmers-r-school-glue-9-oz-dries-clear-epie309
071641218666,10.88,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-creative-markers-fine-brush-tip-assorted-colors-5-pack-san2196904
041540012443,16.25,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-profile-gel-pen-retractable-bold-1-mm-black-ink-translucent-black-barrel-dozen-pap2095465
071641131088,2.94,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-inkjoy-50st-ballpoint-pen-stick-medium-1-mm-black-ink-clear-barrel-dozen-pap2013154
071641173989,23.52,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-write-bros-ballpoint-pen-value-pack-stick-medium-1-mm-black-ink-black-barrel-120-pack-pap2096479
071641041745,22.19,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-pen-fine-point-12-pk-assorted-san1802226
071641190498,21.02,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-flair-metallic-porous-point-pen-stick-medium-0-7-mm-assorted-ink-and-barrel-colors-8-pack-pap2134319
071641171893,19.22,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-s-gel-s-gel-high-performance-gel-pen-retractable-bold-1-mm-blue-ink-black-barrel-dozen-san2096187
071641146853,7.73,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-inkjoy-gel-pen-retractable-medium-0-7-mm-black-ink-black-smoke-barrel-3-pack-pap1951637
071641084995,37.48,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-fine-tip-permanent-marker-value-pack-fine-bullet-tip-assorted-colors-36-pack-san1921559
071641198180,22.69,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-s-note-creative-markers-assorted-ink-colors-bullet-chisel-tip-white-barrel-16-pack-san2154174
071641200784,7.78,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/mr-sketch-r-scented-watercolor-marker-broad-chisel-tip-assorted-colors-8-set-san1905070
041540012603,9.64,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-profile-ballpoint-pen-retractable-medium-1-mm-assorted-ink-and-barrel-colors-8-pack-pap2097014
079946032048,13.27,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/x-acto-r-retract-a-blade-knife-11-blade-5-25-plastic-handle-blue-black-epix3204
041540012573,5.45,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-profile-ballpoint-pen-retractable-medium-1-mm-black-ink-translucent-black-barrel-4-pack-pap2113558
086876030556,1.66,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/expo-r-low-odor-dry-erase-marker-broad-chisel-tip-black-san80001ea
,26.03,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-inkjoy-gel-pens-0-7-mm-pen-point-assorted-ink-gel-based-assorted-barrel-10-pack-pap2173764-pack-of-10
071641099760,12.34,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-inkjoy-gel-pen-retractable-medium-0-7-mm-assorted-ink-and-barrel-colors-6-pack-pap1951713
071641079922,96.28,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/mr-sketch-r-scented-stix-watercolor-marker-set-school-pack-fine-bullet-tip-assorted-colors-216-set-san1905315
071641355545,2.83,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-permanent-paint-marker-medium-bullet-tip-yellow-san35554
071641129993,61.05,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-ultimate-collection-permanent-markers-san2199818
041540545491,8.91,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-profile-ballpoint-pen-retractable-bold-1-4-mm-assorted-ink-and-barrel-colors-8-pack-pap1960662
071641355514,2.83,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-permanent-paint-marker-medium-bullet-tip-blue-san35551
071641127586,62.91,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-inkjoy-gel-pen-retractable-medium-0-7-mm-black-ink-black-smoke-barrel-36-pack-pap2003996
071641177925,36.16,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-permanent-paint-marker-medium-bullet-tip-yellow-dozen-san2107619
071641100169,25.12,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-inkjoy-gel-pen-retractable-fine-0-5-mm-blue-ink-blue-barrel-dozen-pap1951722
071641109308,17.72,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-inkjoy-gel-pen-retractable-fine-0-5-mm-black-ink-black-smoke-barrel-8-pack-pap1968613
071641100114,24.89,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-inkjoy-gel-pen-retractable-fine-0-5-mm-black-ink-black-barrel-dozen-pap1951720
041540012580,38.38,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-profile-ballpoint-pen-retractable-medium-1-mm-blue-ink-translucent-blue-barrel-36-pack-pap2095447
071641038288,24.72,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-durable-metal-barrel-permanent-marker-broad-chisel-tip-black-san1794224
071641017573,7.14,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-clear-point-mechanical-pencils-with-tube-of-lead-erasers-0-9-mm-hb-2-black-lead-assorted-barrel-colors-2-pack-pap1759214
071641084612,36.30,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-profile-ballpoint-pen-value-pack-retractable-bold-1-4-mm-black-ink-translucent-black-barrel-36-box-pap1921067
071641165809,15.41,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-metallic-chisel-tip-permanent-marker-medium-chisel-tip-assorted-6-pack-san2089634
026000006057,57.14,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/disappearing-purple-all-purpose-glue-sticks-0-77-oz-dries-clear-30-box
071641150379,12.86,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-metallic-fine-point-permanent-markers-fine-bullet-tip-blue-green-red-6-pack-san2029678
071641103146,21.67,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-inkjoy-700-rt-ballpoint-pen-retractable-medium-1-mm-black-ink-white-gray-barrel-dozen-pap1951347
071641244153,14.86,Default Title,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-liquid-pen-style-highlighters-assorted-ink-colors-chisel-tip-assorted-barrel-colors-10-set-san24415pp
