UPC,Price,Variant,Promo,Source Link
041540894674,12.78,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-profile-ballpoint-pen-retractable-bold-1-4-mm-red-ink-translucent-red-barrel-dozen-pap89467
070530732016,9.279,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/prismacolor-r-magic-rub-eraser-for-pencil-ink-marks-rectangular-block-medium-off-white-dozen-san73201
071641099562,6.579,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/expo-r-2-in-1-dry-erase-markers-medium-chisel-tip-assorted-colors-2-pack-san1944654
041540878131,7.155,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-liquid-paper-r-dryline-grip-correction-tape-blue-purple-applicators-0-2-x-335-2-pack-pap87813
079946016758,76.248,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/x-acto-r-model-1675-teacherpro-classroom-electric-pencil-sharpener-ac-powered-4-x-7-5-x-8-black-silver-smoke-epi1675x
070735022547,2.232,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-mirado-black-warrior-pencil-hb-2-black-lead-black-matte-barrel-dozen-pap2254
071641162884,34.353,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-profile-ballpoint-pen-retractable-bold-1-4-mm-blue-ink-translucent-blue-barrel-36-pack-pap2083008
071641144231,23.499,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-brush-tip-pens-fine-brush-tip-black-dozen-san2011280
071701002440,75.105,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/dymo-r-lw-durable-multi-purpose-labels-1-x-3-5-white-700-labels-roll-dym1933081ea
,5.256,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/parker-r-refill-for-parker-roller-ball-pens-medium-conical-tip-blue-ink-par1950324
070735024565,11.268,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/prismacolor-r-verithin-dual-ended-two-color-pencils-2-mm-blue-red-lead-blue-red-barrel-dozen-san02456
,33.219,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/parker-r-im-premium-roller-ball-pen-stick-fine-0-7-mm-black-ink-black-chrome-barrel-par1931658
041540462149,8.082,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-write-bros-ballpoint-pen-value-pack-stick-medium-1-mm-black-ink-black-barrel-60-pack-pap4621401c
,6.093,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/parker-r-refill-for-parker-ballpoint-pens-medium-conical-tip-blue-ink-par1950371
041540012634,12.770999999999999,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-profile-ballpoint-pen-retractable-medium-1-mm-black-ink-translucent-black-barrel-dozen-pap2095470
,7.119000000000001,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/parker-r-refill-for-parker-retractable-gel-ink-roller-ball-pens-medium-conical-tip-blue-ink-2-pack-par1950364
071701058478,107.631,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/dymo-r-by-pelouze-r-m25-digital-usb-postal-scale-25-lb-capacity-pel1772059
041540012474,14.319,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-profile-gel-pen-retractable-medium-0-7-mm-black-ink-translucent-black-barrel-dozen-pap2095476
041540012436,14.328,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-profile-gel-pen-retractable-medium-0-7-mm-red-ink-translucent-red-barrel-dozen-pap2095463
026000005432,4.275,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/elmers-r-washable-school-glue-sticks-0-24-oz-applies-purple-dries-clear-4-pack-epie543
071641250536,9.279,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-tank-style-highlighters-with-open-stock-box-assorted-ink-colors-chisel-tip-assorted-barrel-colors-dozen-san25053
041540958017,19.467,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-flexgrip-ultra-recycled-ballpoint-pen-retractable-fine-0-8-mm-black-ink-gray-black-barrel-dozen-pap9580131
041540013198,23.175,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-flair-felt-tip-porous-point-pen-stick-bold-1-2-mm-assorted-ink-colors-white-pearl-barrel-16-pack-pap2125413
,27.306,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/parker-r-jotter-xl-retractable-ballpoint-pen-medium-point-blue-ink-stainless-steel-barrel-par2122760
071641185685,1.7009999999999998,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-write-bros-ballpoint-pen-stick-bold-1-2-mm-black-ink-black-barrel-dozen-pap2124520
,6.093,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/parker-r-refill-for-parker-roller-ball-pens-medium-conical-tip-black-ink-par1950323
041540843016,20.25,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-point-guard-flair-felt-tip-porous-point-pen-stick-medium-0-7-mm-black-ink-black-barrel-dozen-pap8430152
071912667049,42.318000000000005,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/rolodex-open-rotary-card-file-holds-500-2-25-x-4-cards-black-rol66704
041540956013,17.846999999999998,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-flexgrip-ultra-recycled-ballpoint-pen-retractable-fine-0-8-mm-blue-ink-black-blue-barrel-dozen-pap9560131
501179531864,16.101000000000003,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/parker-r-jotter-ballpoint-pen-retractable-medium-1-mm-blue-ink-royal-blue-chrome-barrel-par1953186
,28.224,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/parker-r-jotter-xl-retractable-ballpoint-pen-medium-point-blue-ink-rose-gold-barrel-par2122759
041540962014,13.383,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-flexgrip-ultra-recycled-ballpoint-pen-stick-medium-1-mm-red-ink-red-barrel-dozen-pap9620131
041540951018,17.901,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-flexgrip-ultra-recycled-ballpoint-pen-retractable-medium-1-mm-blue-ink-blue-barrel-dozen-pap9510131
070530205176,20.529,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/prismacolor-r-col-erase-pencil-with-eraser-0-7-mm-2b-assorted-lead-and-barrel-colors-24-pack-san20517
071641099579,9.801,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/expo-r-2-in-1-dry-erase-markers-fine-broad-chisel-tips-assorted-primary-colors-4-pack-san1944655
