UPC,Price,Variant,Source Link
840456502815,199.00,7 / Blanco,https://www.greats.com/products/the-royale-2-0-blanco-mens?variant=40896898760752
840456502938,199.00,7 / Nero,https://www.greats.com/products/the-royale-2-0-nero-mens?variant=40896891912240
195190146567,99.99,7 / Dark Brown,https://www.greats.com/products/the-royale-2-0-chocolate-mens?variant=41642989355056
840456503072,199.00,7 / Navy,https://www.greats.com/products/the-royale-2-0-navy-mens?variant=40896906887216
840456502792,199.00,8 / Blanco,https://www.greats.com/products/the-royale-2-0-blanco-mens?variant=40896898793520
195190187447,160.99,Cream / 7,https://www.greats.com/products/the-charlie-cream?variant=41716588118064
840456501443,128.97,7 / Blanco Green,https://www.greats.com/products/the-charlie-blanco-green-mens?variant=42006347218992
195190195169,159.99,Blanco / 7,https://www.greats.com/products/the-charlie-blanco?variant=40729617006640
195190187423,127.97,Dark Brown / 7,https://www.greats.com/products/the-charlie-dark-brown?variant=41716683210800
195190133116,199.00,7 / Cuoio,https://www.greats.com/products/the-royale-2-0-cuoio-mens?variant=40896905576496
195190187829,99.97,7 / Cuoio,https://www.greats.com/products/the-royale-2-0-slip-on-cuoio?variant=41698737913904
840456500293,118.97,7 / White White,https://www.greats.com/products/the-kingston-white-white-mens?variant=42006349873200
840456503218,199.00,7 / Dark Brown,https://www.greats.com/products/the-royale-2-0-dark-brown-mens?variant=40950479061040
195190141722,117.97,7 / Blanco,https://www.greats.com/products/the-kingston-blanco?variant=41212559687728
840456502945,199.00,8 / Nero,https://www.greats.com/products/the-royale-2-0-nero-mens?variant=40896891945008
195190144051,87.97,Black / Small,https://www.greats.com/products/the-greats-varsity-bomber-black?variant=40976498524208
195190196647,139.99,7 / Blanco Green,https://www.greats.com/products/the-royale-2-0-blanco-green-mens?variant=40873171681328
840456502013,124.99,7 / Tan,https://www.greats.com/products/the-reign-slip-on-tan-mens?variant=42006351806512
195190145997,117.97,7 / Blanco Grey,https://www.greats.com/products/the-kingston-blanco-grey?variant=41707334107184
195190144440,139.99,7 / Blanco Gum,https://www.greats.com/products/the-royale-2-0-blanco-gum?variant=41518051786800
840456500156,118.97,7 / Blanco Navy,https://www.greats.com/products/the-kingston-blanco-navy-mens?variant=42006349152304
840456502150,99.97,7 / Nero Gum,https://www.greats.com/products/the-reign-slip-on-nero-gum-mens?variant=42006351347760
840456503492,199.00,7 / Blanco,https://www.greats.com/products/the-royale-slip-on-2-0-blanco-mens?variant=42006355378224
195190145539,129.99,Blanco / 6,https://www.greats.com/products/the-reign-womens-blanco?variant=40777364013104
840456503638,124.99,7 / Sand,https://www.greats.com/products/the-royale-slip-on-2-0-sand-mens?variant=42006355902512
840456503775,199.00,7 / Nero,https://www.greats.com/products/the-royale-2-0-slip-on-nero?variant=41696088522800
840456503355,199.00,7 / Triple Black,https://www.greats.com/products/the-royale-2-0-triple-black-mens?variant=40950476046384
840456504192,189.00,Sand / 7,https://www.greats.com/products/the-paros-penny-loafer-sand?variant=40842533568560
840456502563,74.97,6 / Tan,https://www.greats.com/products/the-reign-slip-on-tan-womens?variant=42006353444912
195190146550,111.97,7 / Charcoal,https://www.greats.com/products/the-royale-2-0-charcoal-mens?variant=41642990469168
195190199686,109.97,Nero / 6,https://www.greats.com/products/the-reign-womens-nero?variant=40777358344240
195190146581,99.99,8 / Dark Brown,https://www.greats.com/products/the-royale-2-0-chocolate-mens?variant=41642989387824
840456503089,199.00,8 / Navy,https://www.greats.com/products/the-royale-2-0-navy-mens?variant=40896906919984
840456502808,199.00,8.5 / Blanco,https://www.greats.com/products/the-royale-2-0-blanco-mens?variant=40896898826288
195190187584,160.99,Cream / 8,https://www.greats.com/products/the-charlie-cream?variant=41716588150832
840456501467,128.97,8 / Blanco Green,https://www.greats.com/products/the-charlie-blanco-green-mens?variant=42006347251760
195190195183,159.99,Blanco / 8,https://www.greats.com/products/the-charlie-blanco?variant=40729617039408
195190187560,127.97,Dark Brown / 8,https://www.greats.com/products/the-charlie-dark-brown?variant=41716683243568
195190133123,199.00,8 / Cuoio,https://www.greats.com/products/the-royale-2-0-cuoio-mens?variant=40896905609264
195190187850,99.97,8 / Cuoio,https://www.greats.com/products/the-royale-2-0-slip-on-cuoio?variant=41698737946672
840456500309,118.97,8 / White White,https://www.greats.com/products/the-kingston-white-white-mens?variant=42006349905968
840456503225,199.00,8 / Dark Brown,https://www.greats.com/products/the-royale-2-0-dark-brown-mens?variant=40950479093808
195190141746,117.97,8 / Blanco,https://www.greats.com/products/the-kingston-blanco?variant=41212559720496
840456502952,199.00,8.5 / Nero,https://www.greats.com/products/the-royale-2-0-nero-mens?variant=40896891977776
195190144020,87.97,Black / Medium,https://www.greats.com/products/the-greats-varsity-bomber-black?variant=40976498556976
195190196678,139.99,8 / Blanco Green,https://www.greats.com/products/the-royale-2-0-blanco-green-mens?variant=40873171714096
840456502020,124.99,8 / Tan,https://www.greats.com/products/the-reign-slip-on-tan-mens?variant=42006351839280
195190146031,117.97,8 / Blanco Grey,https://www.greats.com/products/the-kingston-blanco-grey?variant=41707334139952
195190144457,139.99,8 / Blanco Gum,https://www.greats.com/products/the-royale-2-0-blanco-gum?variant=41518051819568
840456500163,118.97,8 / Blanco Navy,https://www.greats.com/products/the-kingston-blanco-navy-mens?variant=42006349185072
840456502167,99.97,8 / Nero Gum,https://www.greats.com/products/the-reign-slip-on-nero-gum-mens?variant=42006351380528
840456503508,199.00,8 / Blanco,https://www.greats.com/products/the-royale-slip-on-2-0-blanco-mens?variant=42006355410992
195190145546,129.99,Blanco / 6.5,https://www.greats.com/products/the-reign-womens-blanco?variant=41450767515696
840456503645,124.99,8 / Sand,https://www.greats.com/products/the-royale-slip-on-2-0-sand-mens?variant=42006355935280
840456503782,199.00,8 / Nero,https://www.greats.com/products/the-royale-2-0-slip-on-nero?variant=41696088555568
840456503362,199.00,8 / Triple Black,https://www.greats.com/products/the-royale-2-0-triple-black-mens?variant=40950476079152
840456504208,189.00,Sand / 8,https://www.greats.com/products/the-paros-penny-loafer-sand?variant=40842533601328
840456502570,74.97,6.5 / Tan,https://www.greats.com/products/the-reign-slip-on-tan-womens?variant=42006353477680
195190146574,111.97,8 / Charcoal,https://www.greats.com/products/the-royale-2-0-charcoal-mens?variant=41642990501936
195190199716,109.97,Nero / 7,https://www.greats.com/products/the-reign-womens-nero?variant=40777354215472
195190146604,99.99,8.5 / Dark Brown,https://www.greats.com/products/the-royale-2-0-chocolate-mens?variant=41642989420592
840456503096,199.00,8.5 / Navy,https://www.greats.com/products/the-royale-2-0-navy-mens?variant=40896906952752
840456502822,199.00,9 / Blanco,https://www.greats.com/products/the-royale-2-0-blanco-mens?variant=40896898859056
195190187720,160.99,Cream / 8.5,https://www.greats.com/products/the-charlie-cream?variant=41716588183600
840456501474,128.97,8.5 / Blanco Green,https://www.greats.com/products/the-charlie-blanco-green-mens?variant=42006347284528
195190195206,159.99,Blanco / 8.5,https://www.greats.com/products/the-charlie-blanco?variant=40729617072176
195190187706,127.97,Dark Brown / 8.5,https://www.greats.com/products/the-charlie-dark-brown?variant=41716683276336
195190133130,199.00,8.5 / Cuoio,https://www.greats.com/products/the-royale-2-0-cuoio-mens?variant=40896905642032
195190187881,99.97,8.5 / Cuoio,https://www.greats.com/products/the-royale-2-0-slip-on-cuoio?variant=41698737979440
840456500316,118.97,8.5 / White White,https://www.greats.com/products/the-kingston-white-white-mens?variant=42006349938736
840456503232,199.00,8.5 / Dark Brown,https://www.greats.com/products/the-royale-2-0-dark-brown-mens?variant=40950479126576
195190143184,117.97,8.5 / Blanco,https://www.greats.com/products/the-kingston-blanco?variant=41212559753264
840456502969,199.00,9 / Nero,https://www.greats.com/products/the-royale-2-0-nero-mens?variant=40896892010544
195190143993,87.97,Black / Large,https://www.greats.com/products/the-greats-varsity-bomber-black?variant=40976498589744
195190196708,139.99,8.5 / Blanco Green,https://www.greats.com/products/the-royale-2-0-blanco-green-mens?variant=40873171746864
840456502037,124.99,8.5 / Tan,https://www.greats.com/products/the-reign-slip-on-tan-mens?variant=42006351872048
195190146079,117.97,8.5 / Blanco Grey,https://www.greats.com/products/the-kingston-blanco-grey?variant=41707334172720
195190144464,139.99,8.5 / Blanco Gum,https://www.greats.com/products/the-royale-2-0-blanco-gum?variant=41518051852336
840456500170,118.97,8.5 / Blanco Navy,https://www.greats.com/products/the-kingston-blanco-navy-mens?variant=42006349217840
840456502174,99.97,8.5 / Nero Gum,https://www.greats.com/products/the-reign-slip-on-nero-gum-mens?variant=42006351413296
840456503515,199.00,8.5 / Blanco,https://www.greats.com/products/the-royale-slip-on-2-0-blanco-mens?variant=42006355443760
195190145553,129.99,Blanco / 7,https://www.greats.com/products/the-reign-womens-blanco?variant=40777364045872
840456503652,124.99,8.5 / Sand,https://www.greats.com/products/the-royale-slip-on-2-0-sand-mens?variant=42006355968048
840456503799,199.00,8.5 / Nero,https://www.greats.com/products/the-royale-2-0-slip-on-nero?variant=41696088588336
840456503379,199.00,8.5 / Triple Black,https://www.greats.com/products/the-royale-2-0-triple-black-mens?variant=40950476111920
840456504215,189.00,Sand / 8.5,https://www.greats.com/products/the-paros-penny-loafer-sand?variant=40842533634096
840456502587,74.97,7 / Tan,https://www.greats.com/products/the-reign-slip-on-tan-womens?variant=42006353510448
195190146598,111.97,8.5 / Charcoal,https://www.greats.com/products/the-royale-2-0-charcoal-mens?variant=41642990534704
195190199747,109.97,Nero / 7.5,https://www.greats.com/products/the-reign-womens-nero?variant=40777358377008
195190146628,99.99,9 / Dark Brown,https://www.greats.com/products/the-royale-2-0-chocolate-mens?variant=41642989453360
840456503102,199.00,9 / Navy,https://www.greats.com/products/the-royale-2-0-navy-mens?variant=40896906985520
840456502839,199.00,9.5 / Blanco,https://www.greats.com/products/the-royale-2-0-blanco-mens?variant=40896898891824
195190000760,160.99,Cream / 9,https://www.greats.com/products/the-charlie-cream?variant=41716588216368
840456501481,128.97,9 / Blanco Green,https://www.greats.com/products/the-charlie-blanco-green-mens?variant=42006347317296
195190195220,159.99,Blanco / 9,https://www.greats.com/products/the-charlie-blanco?variant=40729617104944
195190000500,127.97,Dark Brown / 9,https://www.greats.com/products/the-charlie-dark-brown?variant=41716683309104
