UPC,Price,Color,Source Link
885978762460,399.99,Natural,https://www.guitarcenter.com/Jackson/JS-Series-Dinky-Ziricote-JS42-DKM-HT-Limited-Edition-Electric-Guitar-Natural-1500000350091.gc
614252351225,99.97,,https://www.guitarcenter.com/Cordoba/15CM-Matiz-Concert-Ukulele-Chili-Red-1500000363697.gc
4959112145849,279.99,,https://www.guitarcenter.com/Vox/Valvetronix-VT20X-20W-1x8-Guitar-Modeling-Combo-Amp-1444787810312.gc
717669567132,279.99,Black,https://www.guitarcenter.com/Gretsch-Guitars/Deltoluxe-Parlor-Acoustic-Electric-Guitar-Black-Top-1500000412635.gc
674362000116,49.95,,https://www.guitarcenter.com/Boomwhackers/Boomophone-XTS-Whack-Pack-1274228065653.gc
717669536077,449.99,Black,https://www.guitarcenter.com/Squier/Classic-Vibe-Baritone-Custom-Telecaster-Electric-Guitar-Black-1500000365674.gc
6943050420401,395.99,,https://www.guitarcenter.com/XVive/In-Ear-Monitor-Wireless-System-With-T9-In-Ear-Monitors-and-CU4-Carry-Case-1500000397881.gc
885978872398,519.99,,https://www.guitarcenter.com/Gretsch-Guitars/G9210-Boxcar-Square-Neck-Resonator-Guitar-with-Padauk-Fingerboard-Natural-1500000206277.gc
885978064335,449.99,Black,https://www.guitarcenter.com/Squier/Classic-Vibe-70s-Stratocaster-HSS-Maple-Fingerboard-Electric-Guitar-Black-1500000264096.gc
717669815943,230.99,Red,https://www.guitarcenter.com/Squier/Sonic-Telecaster-Laurel-Fingerboard-Electric-Guitar-Torino-Red-1500000391942.gc
885978064564,449.99,Blue,https://www.guitarcenter.com/Squier/Classic-Vibe-60s-Mustang-Electric-Guitar-Sonic-Blue-1500000264106.gc
736211583048,289.0,,https://www.guitarcenter.com/Behringer/XENYX-X1222USB-USB-Mixer-With-Effects-1274115049908.gc
731201561983,39.25,Multi-Colored,https://www.guitarcenter.com/LP/LP617-Mountable-Double-Sambago-Bells-1274034483416.gc
885978986668,419.99,Black,https://www.guitarcenter.com/Jackson/Warrior-JS32-Electric-Guitar-Black-1500000240664.gc
885978976768,199.99,White,https://www.guitarcenter.com/Jackson/Dinky-JS11-Electric-Guitar-Snow-White-1500000240655.gc
810102933027,269.97,,https://www.guitarcenter.com/ddrum/NIO-Percussion-Pad-1500000407187.gc
717669815851,230.99,Red,https://www.guitarcenter.com/Squier/Sonic-Stratocaster-HT-Laurel-Fingerboard-Electric-Guitar-Torino-Red-1500000392034.gc
852956007691,349.99,Black,https://www.guitarcenter.com/Sterling-by-Music-Man/SUB-StingRay5-Maple-Fingerboard-5-String-Electric-Bass-Black-1500000189324.gc
605609106797,469.95,,https://www.guitarcenter.com/Fishman/Aura-Spectrum-DI-and-Acoustic-Guitar-Preamp-1273888004890.gc
711106490854,199.0,Blue,https://www.guitarcenter.com/Kramer/Baretta-Special-Maple-Fingerboard-Electric-Guitar-Candy-Blue-1500000306107.gc
717669815905,230.99,Pink,https://www.guitarcenter.com/Squier/Sonic-Stratocaster-HT-H-Maple-Fingerboard-Electric-Guitar-Flash-Pink-1500000392040.gc
885978247905,469.99,,https://www.guitarcenter.com/EVH/5150-112ST-1x12-Guitar-Speaker-Cabinet-Ivory-1337871393204.gc
885978304028,157.99,,https://www.guitarcenter.com/Fender/Acoustasonic-15-Acoustic-Combo-Amp-Tan-1351180466964.gc
885978429615,229.99,,https://www.guitarcenter.com/Fender/Telepath-Wireless-System-Blue-1500000437209.gc
3760033531632,499.0,,https://www.guitarcenter.com/Arturia/KeyStep-Pro-Controller-and-Sequencer-Black-1500000342454.gc
701963063001,149.99,,https://www.guitarcenter.com/Kustom-PA/KPX10-Passive-Monitor-Cabinet-1500000313404.gc
717669621520,579.99,Brown,https://www.guitarcenter.com/Fender/Kingman-Acoustic-Electric-Bass-Guitar-Shaded-Edge-Burst-1500000397832.gc
815301001294,399.99,,https://www.guitarcenter.com/Novation/Circuit-Tracks-Standalone-Groovebox-1500000333509.gc
6943050420395,377.99,,https://www.guitarcenter.com/XVive/U3D-Wireless-Microphone-System-1500000389091.gc
642388330104,379.95,Yellow,https://www.guitarcenter.com/Zildjian/Z-Custom-Crash-Cymbal-18-in-1500000423280.gc
663296421654,249.99,,https://www.guitarcenter.com/Hercules-DJ/DJ-Starter-Kit-with-Controller-Speakers-and-Headphones-1500000266112.gc
647139645360,152.99,Blue,https://www.guitarcenter.com/LP/Performer-String-Cajon-Blue-Fade-1500000405813.gc
4010118730092,449.99,Black,https://www.guitarcenter.com/beyerdynamic/beyerdynamic-M-88DYNAMIC-MOVING-COIL-MICROPHONE-HYPERCARDIOID-1500000412876.gc
885978134922,367.99,Red,https://www.guitarcenter.com/Squier/Affinity-Series-Telecaster-FMT-SH-Electric-Guitar-Transparent-Crimson-1500000432874.gc
656238058247,39.97,,https://www.guitarcenter.com/Simmons/Additional-Tom-Pad-and-Cymbal-Kit-for-Titan-50-1500000378236.gc
