UPC,Price,Variant,Source Link
843049155658,52.49,Realtree Edge / S,https://habitoutdoors.com/collections/discontinued-colors/products/youth-cedar-branch-insulated-waterproof-bib-realtree?variant=39478392750131
843049155665,52.49,Realtree Edge / M,https://habitoutdoors.com/collections/discontinued-colors/products/youth-cedar-branch-insulated-waterproof-bib-realtree?variant=39478392782899
843049155672,52.49,Realtree Edge / L,https://habitoutdoors.com/collections/discontinued-colors/products/youth-cedar-branch-insulated-waterproof-bib-realtree?variant=39478392815667
843049155689,52.49,Realtree Edge / XL,https://habitoutdoors.com/collections/discontinued-colors/products/youth-cedar-branch-insulated-waterproof-bib-realtree?variant=39478392848435
843049196477,75.00,Realtree Edge / S,https://habitoutdoors.com/collections/discontinued-colors/products/mens-country-trek-stretch-waterproof-insulated-jacket?variant=45909630877978
843049196484,75.00,Realtree Edge / M,https://habitoutdoors.com/collections/discontinued-colors/products/mens-country-trek-stretch-waterproof-insulated-jacket?variant=45909630910746
843049196491,75.00,Realtree Edge / L,https://habitoutdoors.com/collections/discontinued-colors/products/mens-country-trek-stretch-waterproof-insulated-jacket?variant=45909630976282
843049196507,75.00,Realtree Edge / XL,https://habitoutdoors.com/collections/discontinued-colors/products/mens-country-trek-stretch-waterproof-insulated-jacket?variant=45909631041818
843049196514,75.00,Realtree Edge / 2XL,https://habitoutdoors.com/collections/discontinued-colors/products/mens-country-trek-stretch-waterproof-insulated-jacket?variant=45909631107354
843049196521,75.00,Realtree Edge / 3XL,https://habitoutdoors.com/collections/discontinued-colors/products/mens-country-trek-stretch-waterproof-insulated-jacket?variant=45909631172890
843049149992,67.49,Realtree Edge / M,https://habitoutdoors.com/collections/discontinued-colors/products/mens-cedar-branch-insulated-waterproof-parka-realtree?variant=32754297176115
843049150004,67.49,Realtree Edge / L,https://habitoutdoors.com/collections/discontinued-colors/products/mens-cedar-branch-insulated-waterproof-parka-realtree?variant=32754297208883
843049150011,67.49,Realtree Edge / XL,https://habitoutdoors.com/collections/discontinued-colors/products/mens-cedar-branch-insulated-waterproof-parka-realtree?variant=32754297241651
