UPC,Price,Variant,Source Link
850018277198,13.992999999999999,Default Title,https://hardypaw.com/products/ready-pet-go-good-gut-probiotic-chews-dog
853568002180,56.0,Default Title,https://hardypaw.com/products/ocu-glo-human-vision-formula-eye-supplement
693804132246,12.592999999999998,Default Title,https://hardypaw.com/products/dogswell-soft-chewy-hip-joint-bacon-flavored-treats-for-dogs-14-oz
802682903781,9.282,Default Title,https://hardypaw.com/products/dentees-stars
850035752500,47.592999999999996,10-lb,https://hardypaw.com/products/badlands-ranch-superfood-complete-raw-coated-morsels-chicken-dog
196852473939,16.092999999999996,Default Title,https://hardypaw.com/products/pooph-skunk-odor-eliminator-for-pets-20-oz
840243136995,1.715,Default Title,https://hardypaw.com/products/bursts-crunch-creamy-savory-seafood-treats-for-cat-2oz
840243149933,13.292999999999997,Default Title,https://hardypaw.com/products/blue-buffalo-true-chews-chicken-apple-sausage-recipe-treats-for-dog-12-oz
850035752517,76.993,20-lb,https://hardypaw.com/products/badlands-ranch-superfood-complete-raw-coated-morsels-chicken-dog
,12.592999999999998,30 soft chews,https://hardypaw.com/products/glandex-anal-gland-support-soft-chews-peanut-butter
073893800088,6.293,Default Title,https://hardypaw.com/products/nutrisource-big-bites-with-chicken-treats-for-dog-14-oz
017030041460,22.043,Default Title,https://hardypaw.com/products/renal-k-powder-kidney-supplement-for-cats-dogs-100g
073893800187,6.293,Default Title,https://hardypaw.com/products/nutrisource-big-bites-with-beef-treats-for-dog-14-oz
632634431020,6.293,Default Title,https://hardypaw.com/products/ark-naturals-breath-bursts-brushless-toothpaste-peppermint-dog-treats-for-small-dogs-4-oz
,20.993,60 soft chews,https://hardypaw.com/products/glandex-anal-gland-support-soft-chews-peanut-butter
814514022355,45.282999999999994,Default Title,https://hardypaw.com/products/movoflex-advanced-joint-support-for-medium-dogs-60-soft-chews
685687218506,14.462,Default Title,https://hardypaw.com/products/duralactin-for-cats-60-soft-chews
,38.493,120 soft chews,https://hardypaw.com/products/glandex-anal-gland-support-soft-chews-peanut-butter
10850008522724,27.293,16 oz,https://hardypaw.com/products/ultimate-pet-nutrition-nutra-complete-plus-bone-broth-fish-dog-food
