UPC,Price,Variant,Source Link
196405279155,29.98,Navy Blue / 8,https://www.havaianas.com/products/mens-urban-print-flip-flops-navy-blue-4148359-0555
196405279162,29.98,Navy Blue / 9/10,https://www.havaianas.com/products/mens-urban-print-flip-flops-navy-blue-4148359-0555
196405279179,29.98,Navy Blue / 11/12,https://www.havaianas.com/products/mens-urban-print-flip-flops-navy-blue-4148359-0555
196405279186,29.98,Navy Blue / 13,https://www.havaianas.com/products/mens-urban-print-flip-flops-navy-blue-4148359-0555
196405256163,23.98,Navy Blue/Navy Blue/Navy Blue / 8,https://www.havaianas.com/products/mens-aloha-flip-flops-navy-blue-navy-blue-navy-blue-4111355-9380
196405256170,23.98,Navy Blue/Navy Blue/Navy Blue / 9/10,https://www.havaianas.com/products/mens-aloha-flip-flops-navy-blue-navy-blue-navy-blue-4111355-9380
196405256187,23.98,Navy Blue/Navy Blue/Navy Blue / 11/12,https://www.havaianas.com/products/mens-aloha-flip-flops-navy-blue-navy-blue-navy-blue-4111355-9380
196405256194,23.98,Navy Blue/Navy Blue/Navy Blue / 13,https://www.havaianas.com/products/mens-aloha-flip-flops-navy-blue-navy-blue-navy-blue-4111355-9380
196405262515,26.00,BUTTERCREAM / 9,https://www.havaianas.com/products/kids-athletic-flip-flop-buttercream-4127273-9256
196405262522,26.00,BUTTERCREAM / 10,https://www.havaianas.com/products/kids-athletic-flip-flop-buttercream-4127273-9256
196405262539,26.00,BUTTERCREAM / 11/12,https://www.havaianas.com/products/kids-athletic-flip-flop-buttercream-4127273-9256
196405262546,26.00,BUTTERCREAM / 13/1,https://www.havaianas.com/products/kids-athletic-flip-flop-buttercream-4127273-9256
196405262553,26.00,BUTTERCREAM / 2,https://www.havaianas.com/products/kids-athletic-flip-flop-buttercream-4127273-9256
196405262560,26.00,BUTTERCREAM / 3/4,https://www.havaianas.com/products/kids-athletic-flip-flop-buttercream-4127273-9256
196405104747,21.98,Indigo Blue / 6,https://www.havaianas.com/products/mens-urban-print-flip-flops-indigo-blue-4148359-0089
196405104754,21.98,Indigo Blue / 7,https://www.havaianas.com/products/mens-urban-print-flip-flops-indigo-blue-4148359-0089
196405104761,21.98,Indigo Blue / 8,https://www.havaianas.com/products/mens-urban-print-flip-flops-indigo-blue-4148359-0089
196405104778,21.98,Indigo Blue / 9/10,https://www.havaianas.com/products/mens-urban-print-flip-flops-indigo-blue-4148359-0089
196405104785,21.98,Indigo Blue / 11/12,https://www.havaianas.com/products/mens-urban-print-flip-flops-indigo-blue-4148359-0089
196405104792,21.98,Indigo Blue / 13,https://www.havaianas.com/products/mens-urban-print-flip-flops-indigo-blue-4148359-0089
196405272675,23.98,Black / 9,https://www.havaianas.com/products/kids-marvel-top-flip-flops-black-4148300-0090
196405272682,23.98,Black / 10,https://www.havaianas.com/products/kids-marvel-top-flip-flops-black-4148300-0090
196405272699,23.98,Black / 11/12,https://www.havaianas.com/products/kids-marvel-top-flip-flops-black-4148300-0090
196405272705,23.98,Black / 13/1,https://www.havaianas.com/products/kids-marvel-top-flip-flops-black-4148300-0090
196405154407,28.98,Pink Porcelain / 6,https://www.havaianas.com/products/womens-aqua-sandals-pink-porcelain-4148806-7600
196405154414,28.98,Pink Porcelain / 7/8,https://www.havaianas.com/products/womens-aqua-sandals-pink-porcelain-4148806-7600
196405154421,28.98,Pink Porcelain / 9/10,https://www.havaianas.com/products/womens-aqua-sandals-pink-porcelain-4148806-7600
196405154438,28.98,Pink Porcelain / 11/12,https://www.havaianas.com/products/womens-aqua-sandals-pink-porcelain-4148806-7600
196405272712,23.98,Black / 2,https://www.havaianas.com/products/kids-marvel-top-flip-flops-black-4148300-0090
196405272729,23.98,Black / 3/4,https://www.havaianas.com/products/kids-marvel-top-flip-flops-black-4148300-0090
196405259591,28.98,Black/Black / 8,https://www.havaianas.com/products/mens-hybrid-be-flip-flops-blackblack-4145752-1069
196405259607,28.98,Black/Black / 9/10,https://www.havaianas.com/products/mens-hybrid-be-flip-flops-blackblack-4145752-1069
196405259614,28.98,Black/Black / 11/12,https://www.havaianas.com/products/mens-hybrid-be-flip-flops-blackblack-4145752-1069
196405259621,28.98,Black/Black / 13,https://www.havaianas.com/products/mens-hybrid-be-flip-flops-blackblack-4145752-1069
196405025011,13.98,Virtual Green / 9,https://www.havaianas.com/products/kids-slim-flip-flops-virtual-green-4000030-1829
196405025028,13.98,Virtual Green / 10,https://www.havaianas.com/products/kids-slim-flip-flops-virtual-green-4000030-1829
196405025035,13.98,Virtual Green / 11/12,https://www.havaianas.com/products/kids-slim-flip-flops-virtual-green-4000030-1829
196405025042,13.98,Virtual Green / 13/1,https://www.havaianas.com/products/kids-slim-flip-flops-virtual-green-4000030-1829
196405025059,13.98,Virtual Green / 2,https://www.havaianas.com/products/kids-slim-flip-flops-virtual-green-4000030-1829
196405025066,13.98,Virtual Green / 3/4,https://www.havaianas.com/products/kids-slim-flip-flops-virtual-green-4000030-1829
196405290761,29.98,Black / 13/1,https://www.havaianas.com/products/kids-slim-crystal-charm-flip-flop-black-4150093-0090
196405290778,29.98,Black / 2,https://www.havaianas.com/products/kids-slim-crystal-charm-flip-flop-black-4150093-0090
196405290785,29.98,Black / 3/4,https://www.havaianas.com/products/kids-slim-crystal-charm-flip-flop-black-4150093-0090
887252645711,15.99,Ice Blue/Shocking Pink / 9,https://www.havaianas.com/products/kids-fantasy-flip-flops-ice-blue-shocking-pink-4103405-9548
887252645728,15.99,Ice Blue/Shocking Pink / 10,https://www.havaianas.com/products/kids-fantasy-flip-flops-ice-blue-shocking-pink-4103405-9548
887252645735,15.99,Ice Blue/Shocking Pink / 11/12,https://www.havaianas.com/products/kids-fantasy-flip-flops-ice-blue-shocking-pink-4103405-9548
887252645742,15.99,Ice Blue/Shocking Pink / 13/1,https://www.havaianas.com/products/kids-fantasy-flip-flops-ice-blue-shocking-pink-4103405-9548
887252645759,15.99,Ice Blue/Shocking Pink / 2,https://www.havaianas.com/products/kids-fantasy-flip-flops-ice-blue-shocking-pink-4103405-9548
887252645766,15.99,Ice Blue/Shocking Pink / 3/4,https://www.havaianas.com/products/kids-fantasy-flip-flops-ice-blue-shocking-pink-4103405-9548
887252829449,13.98,Steel Grey/Steel Grey / 9,https://www.havaianas.com/products/kids-top-mix-flip-flops-steel-grey-steel-grey-4115549-5002
887252829456,13.98,Steel Grey/Steel Grey / 10,https://www.havaianas.com/products/kids-top-mix-flip-flops-steel-grey-steel-grey-4115549-5002
887252829463,13.98,Steel Grey/Steel Grey / 11/12,https://www.havaianas.com/products/kids-top-mix-flip-flops-steel-grey-steel-grey-4115549-5002
887252829470,13.98,Steel Grey/Steel Grey / 13/1,https://www.havaianas.com/products/kids-top-mix-flip-flops-steel-grey-steel-grey-4115549-5002
887252829487,13.98,Steel Grey/Steel Grey / 2,https://www.havaianas.com/products/kids-top-mix-flip-flops-steel-grey-steel-grey-4115549-5002
887252829494,13.98,Steel Grey/Steel Grey / 3/4,https://www.havaianas.com/products/kids-top-mix-flip-flops-steel-grey-steel-grey-4115549-5002
196405166233,58.98,Black / 6,https://www.havaianas.com/products/womens-luna-square-luxury-sandals-black-4148925-0090
196405166240,58.98,Black / 7/8,https://www.havaianas.com/products/womens-luna-square-luxury-sandals-black-4148925-0090
196405166257,58.98,Black / 9/10,https://www.havaianas.com/products/womens-luna-square-luxury-sandals-black-4148925-0090
196405166264,58.98,Black / 11/12,https://www.havaianas.com/products/womens-luna-square-luxury-sandals-black-4148925-0090
196405116818,17.98,Sand Grey / 6,https://www.havaianas.com/products/mens-urban-basic-flip-flops-sand-grey-4148427-0154
196405116825,17.98,Sand Grey / 7,https://www.havaianas.com/products/mens-urban-basic-flip-flops-sand-grey-4148427-0154
196405116832,17.98,Sand Grey / 8,https://www.havaianas.com/products/mens-urban-basic-flip-flops-sand-grey-4148427-0154
196405116849,17.98,Sand Grey / 9/10,https://www.havaianas.com/products/mens-urban-basic-flip-flops-sand-grey-4148427-0154
196405116856,17.98,Sand Grey / 11/12,https://www.havaianas.com/products/mens-urban-basic-flip-flops-sand-grey-4148427-0154
196405116863,17.98,Sand Grey / 13,https://www.havaianas.com/products/mens-urban-basic-flip-flops-sand-grey-4148427-0154
196405251878,26.98,Black/Black / 6,https://www.havaianas.com/products/womens-slim-gloss-flip-flops-black-black-4145617-1069
196405267886,26.98,Marine Blue / 8,https://www.havaianas.com/products/mens-marvel-classics-top-flip-flops-marine-blue-4147012-2711
,26.98,Marine Blue / 7,https://www.havaianas.com/products/mens-marvel-classics-top-flip-flops-marine-blue-4147012-2711
196405267893,26.98,Marine Blue / 9/10,https://www.havaianas.com/products/mens-marvel-classics-top-flip-flops-marine-blue-4147012-2711
196405267909,26.98,Marine Blue / 11/12,https://www.havaianas.com/products/mens-marvel-classics-top-flip-flops-marine-blue-4147012-2711
196405251885,26.98,Black/Black / 7/8,https://www.havaianas.com/products/womens-slim-gloss-flip-flops-black-black-4145617-1069
196405251892,26.98,Black/Black / 9/10,https://www.havaianas.com/products/womens-slim-gloss-flip-flops-black-black-4145617-1069
196405251908,26.98,Black/Black / 11/12,https://www.havaianas.com/products/womens-slim-gloss-flip-flops-black-black-4145617-1069
887252979458,19.99,Ice Grey / 6,https://www.havaianas.com/products/womens-you-malta-metallic-sandals-ice-grey-4147312-3498
887252979465,19.99,Ice Grey / 7/8,https://www.havaianas.com/products/womens-you-malta-metallic-sandals-ice-grey-4147312-3498
887252979472,19.99,Ice Grey / 9/10,https://www.havaianas.com/products/womens-you-malta-metallic-sandals-ice-grey-4147312-3498
