UPC,Price,Promo,Link
'678829213118,45.35,Best Value 6 Bottles,https://www.healthydirections.com/products/vision-health/vision-essentials-ultra
'678829241845,34.55,Best Value 6 Bottles,https://www.healthydirections.com/products/mens-health/super-healthy-prostate-plus
'810047390190,33.83,Best Value 6 Bottles,https://www.healthydirections.com/products/digestive-health/cardiosense-probiotic
'678829203218,46.07,Best Value 6 Bottles,https://www.healthydirections.com/products/heart-health/omega-q-plus-max
'678829200842,17.27,Best Value 6 Bottles,https://www.healthydirections.com/products/heart-health/magnesium-broad-spectrum-complex
'810047390237,43.19,Best Value 6 Bottles,https://www.healthydirections.com/products/blood-sugar/berberine-glucogold-plus
'810047390633,48.95,Best Value 6 Boxes,https://www.healthydirections.com/products/daily-essentials/daily-advantage
'810047390701,56.15,Best Value 6 Bottles,https://www.healthydirections.com/products/heart-health/omega-q-plus-pro
'678829251271,43.19,Most Popular 3 Bottles,https://www.healthydirections.com/products/clean-beauty/dramatic-rescue-anti-aging-wrinkle-serum
'810047390985,45.35,Best Value 6 Bottles,https://www.healthydirections.com/products/joint-health/joint-advantage-gold-5x-turmeric
'678829213651,19.43,Best Value 6 Bottles,https://www.healthydirections.com/products/daily-essentials/BeyonD3
'810047391609,43.19,Most Popular 3 Bottles,https://www.healthydirections.com/products/clean-beauty/trilane-intensive-repair
'678829201429,30.23,Best Value 6 Bottles,https://www.healthydirections.com/products/heart-health/advanced-cholesterol-solutions
'810047390107,41.03,Best Value 6 Bottles,https://www.healthydirections.com/products/cognitive-health/focal-point-plus
'810047390572,46.79,Best Value 6 Boxes,https://www.healthydirections.com/products/daily-essentials/forward-gold
'678829251394,43.19,Most Popular 3 Bottles,https://www.healthydirections.com/products/clean-beauty/trilane-retinol-vitaminc
'810047390480,38.15,Best Value 6 Bottles,https://www.healthydirections.com/products/vision-health/vision-essentials-gold
'678829203287,51.83,Best Value 6 Bottles,https://www.healthydirections.com/products/heart-health/omega-q-plus-ultra
'810047390459,21.59,Best Value 6 Bottles,https://www.healthydirections.com/products/multivitamins/heart-health-multivitamin-complete
'810047391067,21.59,Best Value 6 Bottles,https://www.healthydirections.com/products/daily-essentials/restful-night-extended-release
'678829241227,23.03,Best Value 6 Bottles,https://www.healthydirections.com/products/digestive-health/probiotic-advantage
'678829203133,33.83,Best Value 6 Bottles,https://www.healthydirections.com/products/heart-health/omega-q-plus-resveratrol
'678829203195,38.87,Best Value 6 Bottles,https://www.healthydirections.com/products/heart-health/omega-q-plus-resveratrol-and-turmeric
'678829251370,32.39,Most Popular 3 Bottles,https://www.healthydirections.com/products/clean-beauty/trilane-unscented
'678829251363,32.39,Most Popular 3 Bottles,https://www.healthydirections.com/products/clean-beauty/trilane-moisturizer-lavender
'678829213071,30.23,Best Value 6 Bottles,https://www.healthydirections.com/products/digestive-health/probiotic-essentials-gold
'678829241456,30.23,Best Value 6 Bottles,https://www.healthydirections.com/products/heart-health/total-cardiocover
'678829251301,28.79,Most Popular 3 Bottles,https://www.healthydirections.com/products/clean-beauty/trilane-hyaluronic-acid-serum
'678829212975,25.91,Best Value 6 Bottles,https://www.healthydirections.com/products/womens-health/cranberry-bladder-control
'810047390411,43.19,Most Popular 3 Jars,https://www.healthydirections.com/products/clean-beauty/trilane-lifting-and-firming-cream
'678829202822,33.84,Best Value 6 Bottles,https://www.healthydirections.com/products/digestive-health/gut-restore-advanced
'810047390992,26.63,Best Value 6 Bottles,https://www.healthydirections.com/products/digestive-health/probiotic-advantage-daily-care
'810047390275,21.6,Best Value 6 Bottles,https://www.healthydirections.com/products/sleep-support/sleep-tight
'678829251288,21.59,Most Popular 3 Tubes,https://www.healthydirections.com/products/clean-beauty/trilane-rejuvenating-eye-cream
