UPC,Price,Variant,Promo,Source Link
0186011001172,23.99,Chicken,,https://healthyspot.com/products/stella-chewys-feline-dinner-morsels-chicken
0810027370204,31.99,Red Meat / 3.5 lbs,,https://healthyspot.com/products/stella-chewys-red-meat-recipe-raw-blend-baked-dog-kibble-with-grains
0852301008953,22.99,Beef,,https://healthyspot.com/products/stella-chewys-dinner-dust-beef-dog-food
0186011001219,23.99,Salmon/Chicken,,https://healthyspot.com/products/stella-chewys-feline-dinner-morsels-salmon-chicken
0186011001905,59.99,Small Breed / 10 lbs,,https://healthyspot.com/products/stella-chewys-small-breed-raw-blend-dog-kibble
0186011000458,47.992000000000004,Beef / 25 oz,Eligible For 20% Off With Code STELLA20,https://healthyspot.com/products/stella-chewys-beef-freeze-dried-dinner-patties
0186011000267,46.99,Salmon/Cod,,https://healthyspot.com/products/stella-chewys-meal-mixers-salmon-cod
0186011001639,49.99,Beef / 10 lbs,,https://healthyspot.com/products/stella-chewys-raw-coated-beef-dog-food
0810027371010,2.29,Chicken & Salmon,,https://healthyspot.com/products/stella-chewys-carnivore-cravings-purrfect-pate-chicken-salmon-cat-food
0186011000229,44.99,Turkey,,https://healthyspot.com/products/stella-chewys-meal-mixers-turkey
0186011001875,9.99,Lamb,,https://healthyspot.com/products/stella-chewys-lamb-raw-coated-biscuits-dog-treats
0810027370211,114.99,Red Meat / 22 lbs,,https://healthyspot.com/products/stella-chewys-red-meat-recipe-raw-blend-baked-dog-kibble-with-grains
0186011001899,31.99,Small Breed / 3.5 lbs,,https://healthyspot.com/products/stella-chewys-small-breed-raw-blend-dog-kibble
0186011000076,28.792,Beef / 14 oz,Eligible For 20% Off With Code STELLA20,https://healthyspot.com/products/stella-chewys-beef-freeze-dried-dinner-patties
0186011001585,26.99,Beef / 3.5 lbs,,https://healthyspot.com/products/stella-chewys-raw-coated-beef-dog-food
0186011001646,104.99,Beef / 22 lbs,,https://healthyspot.com/products/stella-chewys-raw-coated-beef-dog-food
0810027370044,2.29,Chicken & Duck,,https://healthyspot.com/products/stella-chewys-chicken-duck-canned-cat-food
0810027370990,2.29,Chicken and Chicken Liver,,https://healthyspot.com/products/stella-chewys-carnivore-cravings-purrfect-pate-chicken-and-chicken-liver-cat-food
