UPC,PRICE,SOURCE LINK
'724742004392,9.18,https://www.herbspro.com/collections/bogo-ca/products/maximum-sunscreen-clear-spray-broad-spectrum-spf70
'822383101996,66.43,https://www.herbspro.com/collections/bogo-ca/products/drive-splash-guard-commode
'752181383020,2.35,https://www.herbspro.com/collections/bogo-ca/products/male-external-catheter-natural-non-adhesive-reusable-strap-silicone-medium
'309042272605,3.42,https://www.herbspro.com/collections/bogo-ca/products/dietary-supplement-major-vitamin-b3-vitamin-b-500-mg-strength-tablet-100-per-bottle
'0888912028905,8.91,https://www.herbspro.com/collections/bogo-ca/products/heel-elbow-protector-sleeve-procare-one-size-fits-most-white
'070319021188,14.05,https://www.herbspro.com/collections/bogo-ca/products/unisex-adult-absorbent-underwear-tranquility-premium-overnight-pull-on-with-tear-away-seams-2x-larg
'071661001200,4.61,https://www.herbspro.com/collections/bogo-ca/products/fruit-of-the-earth-100-aloe-vera-gel-12-oz
'072140633820,4.56,https://www.herbspro.com/collections/bogo-ca/products/eucerin-plus-intensive-repair-hand-creme-96393
'704326425195,6.74,https://www.herbspro.com/collections/bogo-ca/products/henna-cream-17
'612479228917,0.60,https://www.herbspro.com/collections/bogo-ca/products/hot-cold-pack-mckesson-large-reusable-675-x-10-1-2-inch
'0311701022216,0.41,https://www.herbspro.com/collections/bogo-ca/products/hand-and-body-moisturizer-3
'187132005773,7.16,https://www.herbspro.com/collections/bogo-ca/products/bubble-bath-lavender-180924
'880681037003,17.06,https://www.herbspro.com/collections/bogo-ca/products/hand-and-body-moisturizer-dermabase-16-oz-jar-scented-cream
'764302130482,11.78,https://www.herbspro.com/collections/bogo-ca/products/body-lotion-94623
'840093101716,12.78,https://www.herbspro.com/collections/bogo-ca/products/natures-truth-100-pure-red-krill-oil-omega-3-quick-release-softgels
'752181330024,2.96,https://www.herbspro.com/collections/bogo-ca/products/male-external-catheter-ultraflex-self-adhesive-band-silicone-medium
'074312512391,14.72,https://www.herbspro.com/collections/bogo-ca/products/natures-bounty-red-krill-oil
'612479196506,0.80,https://www.herbspro.com/collections/bogo-ca/products/hand-sanitizer-with-aloe-mckesson-4-oz-ethyl-alcohol-gel-bottle-2
'074312121005,5.63,https://www.herbspro.com/collections/bogo-ca/products/vitamins-for-the-hair-224942
'025077001316,5.46,https://www.herbspro.com/collections/bogo-ca/products/chewable-probiotic-acidophilus-with-lactis-225010
'041100407887,7.78,https://www.herbspro.com/collections/bogo-ca/products/lotrimin-af-antifungal-liquid-spray-114051
'025077102228,17.02,https://www.herbspro.com/collections/bogo-ca/products/eye-guard-plus-with-zinc-224853
