UPC,Price,Variant,Source Link
859006007526,194.00,Default Title,https://hexclad.com/products/7qt-hybrid-saute-pan-with-lid?variant=39467314872454
,109.00,Default Title,https://hexclad.com/products/hybrid-fry-pan-with-lid-7?variant=40220709453958
810140340023,177.00,Default Title,https://hexclad.com/products/deep-saute-pan-with-lid?variant=40217936461958
,1399.00,Default Title,https://hexclad.com/products/sundown-sizzle-bundle?variant=41744483287174
859006007540,101.00,Default Title,https://hexclad.com/products/hexclad-hybrid-1-qt-pot-with-lid?variant=39557221187718
,859.00,Default Title,https://hexclad.com/products/17-piece-mega-cutlery-bundle?variant=41398209478790
859006007014,126.00,Default Title,https://hexclad.com/products/10-hexclad-pan?variant=13192810201206
,699.99,Default Title,https://hexclad.com/products/pots-and-pans-set?variant=40207319040134
,159.00,Default Title,https://hexclad.com/products/4-5qt-hybrid-deep-saute-pan-with-lid?variant=40459841142918
,3999.00,Default Title,https://hexclad.com/products/everything-under-the-sun-bundle?variant=42155779522694
,399.00,Default Title,https://hexclad.com/products/6pc-damascus-steel-knife-set-espresso?variant=42153378480262
859006007649,67.00,Default Title,https://hexclad.com/products/damascus-steel-3-5-paring-knife?variant=39806225219718
859006007809,169.00,Default Title,https://hexclad.com/products/5qt-dutch-oven?variant=40063312199814
859006007700,169.00,Default Title,https://hexclad.com/products/12-hexclad-pan-with-lid?variant=40206023524486
859006007816,152.00,Default Title,https://hexclad.com/products/5-qt-saucepan?variant=40096572375174
859006007779,118.00,Default Title,https://hexclad.com/products/hexclad-hybrid-2-qt-pot-with-lid?variant=39730585436294
859006007892,134.00,Default Title,https://hexclad.com/products/nakiri-knife?variant=40154693533830
,499.00,Default Title,https://hexclad.com/products/master-series-japanese-damascus-steel-knife-set-6pc?variant=41882002620550
859006007717,101.00,Default Title,https://hexclad.com/products/10-hybrid-wok?variant=39848693661830
,249.00,Default Title,https://hexclad.com/products/back-to-school-bundle?variant=41299905446022
859006007564,399.00,Default Title,https://hexclad.com/products/6pc-damascus-steel-knife-set?variant=39662828290182
,1199.00,Default Title,https://hexclad.com/products/sunset-sear-set?variant=42393229295750
859006007632,84.00,Default Title,https://hexclad.com/products/damascus-steel-5-utility-knife?variant=39806224760966
,80.00,Default Title,https://hexclad.com/products/walnut-medium-cutting-board?variant=41611975852166
859006007915,116.00,Default Title,https://hexclad.com/products/boning-knife?variant=40154697105542
,109.00,Default Title,https://hexclad.com/products/hexclad-magnetic-knife-block?variant=39798664364166
,999.00,Default Title,https://hexclad.com/products/kitchen-refresh-bundle?variant=41742555644038
859006007601,118.00,Default Title,https://hexclad.com/products/damascus-steel-8-chefs-knife?variant=39727578251398
859006007663,143.00,Default Title,https://hexclad.com/products/10-hexclad-pan-with-lid?variant=40206018379910
810140340122,169.00,Default Title,https://hexclad.com/products/hybrid-double-burner-griddle?variant=40264654815366
,92.00,Default Title,https://hexclad.com/products/beechwood-cutting-board-extra-large?variant=40220757262470
,152.00,Default Title,https://hexclad.com/products/3-3qt-hybrid-deep-saute-pan-with-lid?variant=40460214304902
859006007694,126.00,Default Title,https://hexclad.com/products/8-hexclad-pan-with-lid?variant=40206024441990
859006007106,399.99,Default Title,https://hexclad.com/products/6pc-hexclad-set-w-lids?variant=13193726034038
,135.00,Default Title,https://hexclad.com/products/hybrid-griddle-pan-13in?variant=40241566449798
859006007625,109.00,Default Title,https://hexclad.com/products/damascus-steel-7-santoku-knife?variant=39806222925958
859006007007,109.00,Default Title,https://hexclad.com/products/8-hexclad-pan?variant=39665104453766
,459.00,Default Title,https://hexclad.com/products/espresso-damascus-steel-knife-set-7-piece?variant=42134040641670
,459.00,Default Title,https://hexclad.com/products/7pc-japanese-damascus-steel-knife-set?variant=39833389957254
810140340009,92.00,Default Title,https://hexclad.com/products/7-hexclad-pan?variant=40217922797702
859006007656,58.00,Default Title,https://hexclad.com/products/honing-steel?variant=39830691348614
,659.00,Default Title,https://hexclad.com/products/10-piece-sous-chef-cutlery-bundle?variant=41398114222214
,179.00,Default Title,https://hexclad.com/products/damascus-steel-starter-knife-set?variant=41521211310214
810140341235,194.00,Default Title,https://hexclad.com/products/6-5qt-hybrid-oval-dutch-oven?variant=41359528099974
859006007823,152.00,Default Title,https://hexclad.com/products/hexclad-hybrid-8-qt-pot-with-lid?variant=39730584322182
859006007021,152.00,Default Title,https://hexclad.com/products/12-hexclad-pan?variant=39813420155014
,369.00,Default Title,https://hexclad.com/products/8pc-japanese-damascus-steel-steak-knife-set?variant=39833397690502
859006007670,84.00,Default Title,https://hexclad.com/products/4pc-bistecca-plate-set?variant=39834227802246
859006007618,118.00,Default Title,https://hexclad.com/products/damascus-steel-8-serrated-bread-knife?variant=39806222237830
859006007908,179.00,Default Title,https://hexclad.com/products/cleaver-knife?variant=40154697007238
,319.00,Default Title,https://hexclad.com/products/hexmill-collection-bundle?variant=40389409308806
,224.00,Default Title,https://hexclad.com/products/kitchen-utensil-set?variant=41679787065478
,35.00,Default Title,https://hexclad.com/products/splatter-screen?variant=40958482940038
859006007939,24.00,Default Title,https://hexclad.com/products/hexclad-silicone-trivet-set?variant=40201598632070
,75.00,Default Title,https://hexclad.com/products/hexgear-eco-modern-apron-onyx?variant=40843961139334
,189.00,Default Title,https://hexclad.com/products/hexmill-salt-and-pepper-grinder-set?variant=40117444640902
859006007533,89.00,Default Title,https://hexclad.com/products/3pc-stainless-steel-mixing-bowl-set?variant=39703717871750
859006007830,109.00,Default Title,https://hexclad.com/products/hexmill-salt-grinder?variant=40115934462086
,75.00,Default Title,https://hexclad.com/products/hexgear-eco-modern-apron-mustard?variant=40844159090822
859006007571,199.00,Default Title,https://hexclad.com/products/4pc-damascus-steel-steak-knife-set?variant=39662832550022
,75.00,Default Title,https://hexclad.com/products/hexgear-eco-modern-apron-slate?variant=40844159942790
,75.00,Default Title,https://hexclad.com/products/hexgear-eco-modern-apron-forest?variant=40844159058054
,105.00,Default Title,https://hexclad.com/products/salt-and-pepper-grinders?variant=40369357258886
859006007953,25.00,Default Title,https://hexclad.com/products/hexclad-hot-mitt-set?variant=40201577300102
,89.00,Default Title,https://hexclad.com/products/too-hot-to-handle-bundle-slate?variant=42393343328390
,59.00,Default Title,https://hexclad.com/products/steamer-basket-set?variant=41516442910854
810140341181,85.00,Default Title,https://hexclad.com/products/eco-modern-apron-hampton-azure-slate?variant=41636582588550
,75.00,Default Title,https://hexclad.com/products/hexgear-eco-modern-apron-azure?variant=40844155584646
,99.00,Default Title,https://hexclad.com/products/too-hot-to-handle-bundle-hampton-mustard?variant=42393771507846
810140341198,85.00,Default Title,https://hexclad.com/products/eco-modern-apron-hampton-azure-slate-copy?variant=41636582752390
