UPC,Price,Variant,Source Link
195751424585,159.95,7 / B - Medium,https://www.holabirdsports.com/products/salomon-thundercross-gtx-womens-black-black-pink-glo
195751424592,159.95,7.5 / B - Medium,https://www.holabirdsports.com/products/salomon-thundercross-gtx-womens-black-black-pink-glo
195751424608,159.95,8 / B - Medium,https://www.holabirdsports.com/products/salomon-thundercross-gtx-womens-black-black-pink-glo
195751424615,159.95,8.5 / B - Medium,https://www.holabirdsports.com/products/salomon-thundercross-gtx-womens-black-black-pink-glo
195751424639,159.95,9 / B - Medium,https://www.holabirdsports.com/products/salomon-thundercross-gtx-womens-black-black-pink-glo
195751424622,159.95,9.5 / B - Medium,https://www.holabirdsports.com/products/salomon-thundercross-gtx-womens-black-black-pink-glo
810911035660,149.95,Black / Small - Medium,https://www.holabirdsports.com/products/hydro-flask-hydration-pack-20l
810911035684,149.95,Graphite / Small - Medium,https://www.holabirdsports.com/products/hydro-flask-hydration-pack-20l
810911035677,149.95,Cobalt / Small - Medium,https://www.holabirdsports.com/products/hydro-flask-hydration-pack-20l
817318028806,149.95,Black / Medium - Large,https://www.holabirdsports.com/products/hydro-flask-hydration-pack-20l
817318028813,149.95,Graphite / Medium - Large,https://www.holabirdsports.com/products/hydro-flask-hydration-pack-20l
817318028820,149.95,Cobalt / Medium - Large,https://www.holabirdsports.com/products/hydro-flask-hydration-pack-20l
3611820920330,200.00,8.5 / D - Medium,https://www.holabirdsports.com/products/veja-condor-3-mens-full-black
3611820920347,200.00,9 / D - Medium,https://www.holabirdsports.com/products/veja-condor-3-mens-full-black
3611820920361,200.00,10 / D - Medium,https://www.holabirdsports.com/products/veja-condor-3-mens-full-black
3611820920385,200.00,11 / D - Medium,https://www.holabirdsports.com/products/veja-condor-3-mens-full-black
4061418920287,60.00,41,https://www.holabirdsports.com/products/birkenstock-boston-eva-regular-unisex-kahki
4061418920324,60.00,42,https://www.holabirdsports.com/products/birkenstock-boston-eva-regular-unisex-kahki
4061418922366,60.00,43,https://www.holabirdsports.com/products/birkenstock-boston-eva-regular-unisex-kahki
4061418922403,60.00,44,https://www.holabirdsports.com/products/birkenstock-boston-eva-regular-unisex-kahki
4061418922441,60.00,45,https://www.holabirdsports.com/products/birkenstock-boston-eva-regular-unisex-kahki
4061418922489,60.00,46,https://www.holabirdsports.com/products/birkenstock-boston-eva-regular-unisex-kahki
3490150191166,17.95,Default Title,https://www.holabirdsports.com/products/tecnifibre-dynamix-vp-17-1-20
889961722103,249.95,7 / B - Medium,https://www.holabirdsports.com/products/mizuno-wave-prophecy-14-womens-vintage-indigo-bay
889961722110,249.95,7.5 / B - Medium,https://www.holabirdsports.com/products/mizuno-wave-prophecy-14-womens-vintage-indigo-bay
889961722127,249.95,8 / B - Medium,https://www.holabirdsports.com/products/mizuno-wave-prophecy-14-womens-vintage-indigo-bay
889961722134,249.95,8.5 / B - Medium,https://www.holabirdsports.com/products/mizuno-wave-prophecy-14-womens-vintage-indigo-bay
889961722141,249.95,9 / B - Medium,https://www.holabirdsports.com/products/mizuno-wave-prophecy-14-womens-vintage-indigo-bay
889961722158,249.95,9.5 / B - Medium,https://www.holabirdsports.com/products/mizuno-wave-prophecy-14-womens-vintage-indigo-bay
889961722165,249.95,10 / B - Medium,https://www.holabirdsports.com/products/mizuno-wave-prophecy-14-womens-vintage-indigo-bay
840222830203,179.95,7 / B - Medium,https://www.holabirdsports.com/products/apl-techloom-defender-womens-sunshine-pristine-clear
840222830210,179.95,7.5 / B - Medium,https://www.holabirdsports.com/products/apl-techloom-defender-womens-sunshine-pristine-clear
840222830227,179.95,8 / B - Medium,https://www.holabirdsports.com/products/apl-techloom-defender-womens-sunshine-pristine-clear
840222830234,179.95,8.5 / B - Medium,https://www.holabirdsports.com/products/apl-techloom-defender-womens-sunshine-pristine-clear
840222830241,179.95,9 / B - Medium,https://www.holabirdsports.com/products/apl-techloom-defender-womens-sunshine-pristine-clear
840222830258,179.95,9.5 / B - Medium,https://www.holabirdsports.com/products/apl-techloom-defender-womens-sunshine-pristine-clear
883956501483,134.95,Lava Rock / 7 / B - Medium,https://www.holabirdsports.com/products/olukai-island-hopper-womens
883956501490,134.95,Lava Rock / 7.5 / B - Medium,https://www.holabirdsports.com/products/olukai-island-hopper-womens
883956501506,134.95,Lava Rock / 8 / B - Medium,https://www.holabirdsports.com/products/olukai-island-hopper-womens
883956501513,134.95,Lava Rock / 8.5 / B - Medium,https://www.holabirdsports.com/products/olukai-island-hopper-womens
883956501520,134.95,Lava Rock / 9 / B - Medium,https://www.holabirdsports.com/products/olukai-island-hopper-womens
883956501537,134.95,Lava Rock / 9.5 / B - Medium,https://www.holabirdsports.com/products/olukai-island-hopper-womens
196885056581,50.00,Purple Ace / XS,https://www.holabirdsports.com/products/under-armour-seamless-stride-short-sleeve-womens
196040289397,50.00,Black / Small,https://www.holabirdsports.com/products/under-armour-seamless-stride-short-sleeve-womens
,50.00,Still Water / Small,https://www.holabirdsports.com/products/under-armour-seamless-stride-short-sleeve-womens
