UPC,Price,Variant,Source URL
'810118948800,54.95,Pro-Pod™ / 30mL,https://www.hotelcollection.com/products/canyon-lodge?variant=45586933252262
'810118948435,19.97,Regular / 30mL,https://www.hotelcollection.com/products/canyon-lodge?variant=45581359349926
'810118948442,89.95,Regular / 120mL,https://www.hotelcollection.com/products/canyon-lodge?variant=45581359513766
'810118948459,119.95,Regular / 200mL,https://www.hotelcollection.com/products/canyon-lodge?variant=45586933153958
'810118948466,159.95,Regular / 500mL,https://www.hotelcollection.com/products/canyon-lodge?variant=45581359743142
'810118943171,89.97,Default Title,https://www.hotelcollection.com/products/cigar-travel-case?variant=45581285130406
'810118948510,54.95,Pro-Pod™ / 30mL,https://www.hotelcollection.com/products/the-dark-side?variant=45581443334310
'810118946127,19.97,Regular / 30mL,https://www.hotelcollection.com/products/the-dark-side?variant=45581289488550
'810118946134,159.95,Regular / 500mL,https://www.hotelcollection.com/products/the-dark-side?variant=45581443170470
'810118941856,14.97,Default Title,https://www.hotelcollection.com/products/wine-chiller-stick?variant=45581285097638
',54.95,Pro-Pod™ / 30mL,https://www.hotelcollection.com/products/vanilla-brulee?variant=45774508196006
'810118941276,19.97,Regular / 30mL,https://www.hotelcollection.com/products/vanilla-brulee?variant=45581284475046
'810118941320,89.95,Regular / 120mL,https://www.hotelcollection.com/products/vanilla-brulee?variant=45581433766054
'810118941375,159.95,Regular / 500mL,https://www.hotelcollection.com/products/vanilla-brulee?variant=45581433798822
'810118948084,54.95,Pro-Pod™ / 30mL,https://www.hotelcollection.com/products/midnight-in-paris?variant=45581429407910
'810118940354,19.97,Regular / 30mL,https://www.hotelcollection.com/products/midnight-in-paris?variant=45581280772262
'810118940460,89.95,Regular / 120mL,https://www.hotelcollection.com/products/midnight-in-paris?variant=45581429276838
'810118945533,119.95,Regular / 200mL,https://www.hotelcollection.com/products/midnight-in-paris?variant=45581429309606
'810118940576,159.95,Regular / 500mL,https://www.hotelcollection.com/products/midnight-in-paris?variant=45581429375142
'810118948909,29.97,My Way / 40 oz,https://www.hotelcollection.com/products/sand-wax-refill?variant=44829294854310
'810118948930,21.97,My Way / 20 oz,https://www.hotelcollection.com/products/sand-wax-refill?variant=44829302096038
'810118948916,29.97,Dream On / 40 oz,https://www.hotelcollection.com/products/sand-wax-refill?variant=44829294887078
