UPC,Price,Variant,Source Link
198708087697,39.99,"CASHEW RUSTIC CANOE, XS, Classic",https://factory.jcrew.com/m/womens/categories/clothing/shirts-and-tops/long-sleeve-blouses/MF631
191208003082,24.5,"LIGHT KHAKI, 3X, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208003860,34.5,"WHITE, XXL, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208003105,24.5,"LIGHT KHAKI, M, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208003792,34.5,"WHITE, 2X, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208003846,34.5,"WHITE, XL, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208003044,49.99,"FROSTY SEAWEED, XS, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208003822,34.5,"WHITE, M, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208003839,34.5,"WHITE, S, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208003150,24.5,"LIGHT KHAKI, XXS, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208002863,24.5,"REDWOOD BRANCH, XS, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208003075,24.5,"LIGHT KHAKI, 2X, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208003815,34.5,"WHITE, L, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208003099,24.5,"LIGHT KHAKI, L, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208003136,24.5,"LIGHT KHAKI, XS, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208003877,34.5,"WHITE, XXS, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208003129,24.5,"LIGHT KHAKI, XL, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208003037,49.99,"FROSTY SEAWEED, XL, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208003143,24.5,"LIGHT KHAKI, XXL, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208003112,24.5,"LIGHT KHAKI, S, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208003808,34.5,"WHITE, 3X, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208003013,49.99,"FROSTY SEAWEED, M, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208002856,24.5,"REDWOOD BRANCH, XL, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208003020,49.99,"FROSTY SEAWEED, S, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208003853,34.5,"WHITE, XS, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208002832,24.5,"REDWOOD BRANCH, M, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208002849,24.5,"REDWOOD BRANCH, S, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208003006,49.99,"FROSTY SEAWEED, L, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208002870,24.5,"REDWOOD BRANCH, XXL, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208002825,24.5,"REDWOOD BRANCH, L, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208002801,24.5,"REDWOOD BRANCH, 2X, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208003778,24.5,"COOL LILAC, XXL, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208002818,24.5,"REDWOOD BRANCH, 3X, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208002887,24.5,"REDWOOD BRANCH, XXS, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208003785,24.5,"COOL LILAC, XXS, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208002986,49.99,"FROSTY SEAWEED, 2X, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208003761,24.5,"COOL LILAC, XS, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208003556,49.99,"CRISP BERRY, M, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208003891,49.99,"PALE MUSTARD, 3X, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208003754,24.5,"COOL LILAC, XL, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208003747,24.5,"COOL LILAC, S, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208044436,24.5,"MAGENTA GRAPE, L, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208003709,24.5,"COOL LILAC, 2X, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208003716,24.5,"COOL LILAC, 3X, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208003969,49.99,"PALE MUSTARD, XXS, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208003587,49.99,"CRISP BERRY, XS, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208003914,49.99,"PALE MUSTARD, M, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208044498,24.5,"MAGENTA GRAPE, XXS, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208003723,24.5,"COOL LILAC, L, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208003884,49.99,"PALE MUSTARD, 2X, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208003549,49.99,"CRISP BERRY, L, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208044412,24.5,"MAGENTA GRAPE, 2X, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208003563,49.99,"CRISP BERRY, S, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191351004677,59.95,"NATURAL, 29, Classic",https://factory.jcrew.com/m/womens/categories/clothing/pants/lizzie/MF524
191208003945,49.99,"PALE MUSTARD, XS, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208003938,49.99,"PALE MUSTARD, XL, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208003921,49.99,"PALE MUSTARD, S, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191351004646,59.95,"NATURAL, 26, Classic",https://factory.jcrew.com/m/womens/categories/clothing/pants/lizzie/MF524
191208003907,49.99,"PALE MUSTARD, L, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191351004684,59.95,"NATURAL, 30, Classic",https://factory.jcrew.com/m/womens/categories/clothing/pants/lizzie/MF524
191351004738,59.95,"NATURAL, 35, Classic",https://factory.jcrew.com/m/womens/categories/clothing/pants/lizzie/MF524
191351004707,59.95,"NATURAL, 32, Classic",https://factory.jcrew.com/m/womens/categories/clothing/pants/lizzie/MF524
191351004660,59.95,"NATURAL, 28, Classic",https://factory.jcrew.com/m/womens/categories/clothing/pants/lizzie/MF524
191208044450,24.5,"MAGENTA GRAPE, S, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191351004639,59.95,"NATURAL, 25, Classic",https://factory.jcrew.com/m/womens/categories/clothing/pants/lizzie/MF524
191208003730,24.5,"COOL LILAC, M, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208044467,24.5,"MAGENTA GRAPE, XL, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191351004721,59.95,"NATURAL, 34, Classic",https://factory.jcrew.com/m/womens/categories/clothing/pants/lizzie/MF524
191208044474,24.5,"MAGENTA GRAPE, XS, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191351004714,59.95,"NATURAL, 33, Classic",https://factory.jcrew.com/m/womens/categories/clothing/pants/lizzie/MF524
191208044481,24.5,"MAGENTA GRAPE, XXL, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208044443,24.5,"MAGENTA GRAPE, M, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191351004691,59.95,"NATURAL, 31, Classic",https://factory.jcrew.com/m/womens/categories/clothing/pants/lizzie/MF524
191351004653,59.95,"NATURAL, 27, Classic",https://factory.jcrew.com/m/womens/categories/clothing/pants/lizzie/MF524
191208003570,49.99,"CRISP BERRY, XL, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191208044429,24.5,"MAGENTA GRAPE, 3X, Classic",https://factory.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/MF699
191351002925,59.95,"BLACK, 34, Classic",https://factory.jcrew.com/m/womens/categories/clothing/pants/lizzie/MF524
191351002932,59.95,"BLACK, 35, Classic",https://factory.jcrew.com/m/womens/categories/clothing/pants/lizzie/MF524
191351002918,59.95,"BLACK, 33, Classic",https://factory.jcrew.com/m/womens/categories/clothing/pants/lizzie/MF524
