UPC,Price,Variant,Promo,Source Link
885434977636,110.4,5 / PLATINUM/PLATINUM,END20,https://www.jackrogersusa.com/products/jack-flat-sandal-platinum?variant=39931375091825
885434977612,110.4,5.5 / PLATINUM/PLATINUM,END20,https://www.jackrogersusa.com/products/jack-flat-sandal-platinum?variant=39931375124593
885434977599,110.4,6 / PLATINUM/PLATINUM,END20,https://www.jackrogersusa.com/products/jack-flat-sandal-platinum?variant=39931375157361
885434977575,110.4,6.5 / PLATINUM/PLATINUM,END20,https://www.jackrogersusa.com/products/jack-flat-sandal-platinum?variant=39931375190129
885434977551,110.4,7 / PLATINUM/PLATINUM,END20,https://www.jackrogersusa.com/products/jack-flat-sandal-platinum?variant=39931375222897
885434991366,110.4,7.5 / PLATINUM/PLATINUM,END20,https://www.jackrogersusa.com/products/jack-flat-sandal-platinum?variant=39931375255665
885434882831,102.4,5 / PLATINUM/ PLATINUM,END20,https://www.jackrogersusa.com/products/collins-casual-sandal-platinum?variant=39931413168241
885434991342,110.4,8 / PLATINUM/PLATINUM,END20,https://www.jackrogersusa.com/products/jack-flat-sandal-platinum?variant=39931375288433
885434127482,27.992000000000004,5 / Platinum,END20,https://www.jackrogersusa.com/products/toddler-jacks-flat-sandal-platinum?variant=39645761110129
885434834687,23.992,0-3 / WHITE,END20,https://www.jackrogersusa.com/products/baby-lauren-sandal-white-1?variant=32256720732273
885434992172,110.4,5 / PLATINUM/SILVER,END20,https://www.jackrogersusa.com/products/jacks-flat-sandal-metallic-nappa-platinum-silver?variant=40154655981681
885434923664,118.4,5 / PLATINUM/PLATINUM,END20,https://www.jackrogersusa.com/products/jacks-mid-wedge-stackedplatinum-platinum?variant=39767415718001
885434971450,46.400000000000006,11 / GOLD,END20,https://www.jackrogersusa.com/products/girls-jacks-flat-sandal-gold?variant=39747637772401
885434872597,110.4,PLATINUM / 5,END20,https://www.jackrogersusa.com/products/lauren-ii-flat-sandal-leather-platinum?variant=40336892100721
885434882817,102.4,5.5 / PLATINUM/ PLATINUM,END20,https://www.jackrogersusa.com/products/collins-casual-sandal-platinum?variant=39931413201009
885434971412,46.400000000000006,11 / WHITE,END20,https://www.jackrogersusa.com/products/girls-jacks-flat-white?variant=39747637674097
885434789994,47.992000000000004,5 / WHITE/GOLD,END20,https://www.jackrogersusa.com/products/mia-platform-sneaker-white-gold?variant=31398800195697
885434924142,118.4,5 / PLATINUM/PLATINUM,END20,https://www.jackrogersusa.com/products/lauren-mid-heel-platinum-1?variant=39644497412209
885434921912,110.4,5 / WHITE/WHITE,END20,https://www.jackrogersusa.com/products/jacks-flat-sandal-wide-white?variant=39931379974257
885434907596,28.0,11 / GOLD,END20,https://www.jackrogersusa.com/products/girls-georgica-jelly-gold?variant=39931357790321
885434990987,110.4,5 / GOLD/GOLD,END20,https://www.jackrogersusa.com/products/jacks-flat-sandal-metallic-gold?variant=39931376042097
885434991229,110.4,5 / NATURAL CORK/GOLD,END20,https://www.jackrogersusa.com/products/jacks-flat-sandal-natural-cork-gold?variant=39931375517809
885434894223,110.4,5 / PLATINUM,END20,https://www.jackrogersusa.com/products/jacks-flat-sandal-wide-platinum?variant=39931378204785
885434893813,28.0,11 / WHITE,END20,https://www.jackrogersusa.com/products/girls-georgica-jelly-white?variant=39931358281841
885434991328,110.4,8.5 / PLATINUM/PLATINUM,END20,https://www.jackrogersusa.com/products/jack-flat-sandal-platinum?variant=39931375321201
023802062335,118.4,5 / JACKS PLATINUM,END20,https://www.jackrogersusa.com/products/jacks-sport-sandal-metallic-nappa-jacks-platinum?variant=41597040197745
885434977889,110.4,5 / FUCHSIA/FUCHSIA,END20,https://www.jackrogersusa.com/products/jacks-flat-sandal-fuchsia?variant=39931374567537
885434979562,94.4,5 / TOAST,END20,https://www.jackrogersusa.com/products/worth-flat-sandal-toast?variant=39931387019377
885434108900,110.4,5 / NATURAL CORK/GOLD,END20,https://www.jackrogersusa.com/products/jacks-flat-sandal-wide-natural-cork-gold?variant=39931378663537
885434989189,110.4,5 / WHITE/WHITE,END20,https://www.jackrogersusa.com/products/jacks-flat-sandal-white-1?variant=39931376861297
885434834649,27.992000000000004,0-3 / PLATINUM,END20,https://www.jackrogersusa.com/products/baby-lauren-sandal-platinum-1?variant=32256720273521
885434962717,78.4,5 / PLATINUM/PLATINUM,END20,https://www.jackrogersusa.com/products/roxy-flip-flop-platinum-platinum?variant=40154615021681
885434127239,27.992000000000004,5 / GOLD/GOLD,END20,https://www.jackrogersusa.com/products/toddler-jacks-flat-sandal-gold?variant=39644487123057
885434988731,46.400000000000006,11 / NATURAL CORK/GOLD,END20,https://www.jackrogersusa.com/products/girls-jacks-flat-sandal-corknatural-cork-gold?variant=39767436034161
885434108580,46.400000000000006,11 / SILVER,END20,https://www.jackrogersusa.com/products/girls-jacks-flat-sandal-silver?variant=39931365752945
885434873624,27.992000000000004,0-3 / WHITE,END20,https://www.jackrogersusa.com/products/baby-jacks-white?variant=39765020606577
885434847786,71.96000000000001,5 / LIGHT GOLD,END20,https://www.jackrogersusa.com/products/boating-jacks-light-gold?variant=32245079703665
885434014942,110.4,5 / CAFÉ AU LAIT,END20,https://www.jackrogersusa.com/products/jacks-flat-sandal-cafe-au-lait?variant=39931371749489
885434922391,110.4,5 / MIDNIGHT NAVY/MIDNIGHT NAVY,END20,https://www.jackrogersusa.com/products/jacks-flat-sandal-midnight-navy?variant=39931372929137
885434721666,118.4,5 / White/Platinum/Platinum,END20,https://www.jackrogersusa.com/products/embroidered-i-do-sandal-white-platinum?variant=39512747147377
885434987901,46.400000000000006,11 / WHITE,END20,https://www.jackrogersusa.com/products/girls-lauren-playground-white?variant=39931361001585
885434990390,51.2,11 / PLATINUM/PLATINUM,END20,https://www.jackrogersusa.com/products/girls-lauren-high-wedge-platinum?variant=39931359887473
885434964209,110.4,5 / FIRE RED,END20,https://www.jackrogersusa.com/products/jack-flat-sandal-fire-red?variant=39931451506801
885434110484,110.4,5 / SILVER/SILVER,END20,https://www.jackrogersusa.com/products/jack-flat-sandal-silver?variant=39931376468081
885434869429,110.4,5 / BLACK/BLACK,END20,https://www.jackrogersusa.com/products/jacks-flat-sandal-black?variant=39931373355121
885434989714,46.400000000000006,11 / WHITE,END20,https://www.jackrogersusa.com/products/girls-lauren-flat-sandal-white?variant=39931369390193
885434127468,27.992000000000004,6 / Platinum,END20,https://www.jackrogersusa.com/products/toddler-jacks-flat-sandal-platinum?variant=39645761142897
