UPC,Price,Variant,Source Link
810047628828,44.00,The Market Tote,https://www.jonesroadbeauty.com/products/the-market-tote?variant=45450281025686
,52.80,All About Cheeks Duo,https://www.jonesroadbeauty.com/products/all-about-cheeks-duo?variant=45353309307030
810047626701,34.00,Party,https://www.jonesroadbeauty.com/products/miracle-balm-palette-2025?variant=45153032831126
,44.80,The Lip Tint Duo,https://www.jonesroadbeauty.com/products/the-lip-tint-duo?variant=45224199159958
,57.60,The Lip And Cheek Duo,https://www.jonesroadbeauty.com/products/the-lip-and-cheek-duo?variant=45352915271830
,73.50,The Complexion Set,https://www.jonesroadbeauty.com/products/the-complexion-set?variant=45240762073238
810047626688,34.00,Chic,https://www.jonesroadbeauty.com/products/miracle-balm-palette-2025?variant=45153032896662
,52.80,All About Cheeks Duo,https://www.jonesroadbeauty.com/products/all-about-cheeks-duo?variant=45353309307030
,50.40,The Glossy Lips Trio,https://www.jonesroadbeauty.com/products/the-glossy-lips-trio?variant=45394658033814
810047620044,40.00,Au Naturel,https://www.jonesroadbeauty.com/products/miracle-balm?variant=40809260089494
,57.60,The Lip And Cheek Duo,https://www.jonesroadbeauty.com/products/the-lip-and-cheek-duo?variant=45352915271830
,73.50,The Complexion Set,https://www.jonesroadbeauty.com/products/the-complexion-set?variant=45240762073238
810047624516,46.00,Alabaster,https://www.jonesroadbeauty.com/products/what-the-foundation?variant=43577226461334
810047625865,44.00,Alabaster,https://www.jonesroadbeauty.com/products/just-enough-tinted-moisturizer?variant=44605505208470
810047620358,28.00,Shade 01,https://www.jonesroadbeauty.com/products/the-face-pencil?variant=37649103323286
810047625865,44.00,Alabaster,https://www.jonesroadbeauty.com/products/just-enough-tinted-moisturizer?variant=44605505208470
,44.80,The Lip Tint Duo,https://www.jonesroadbeauty.com/products/the-lip-tint-duo?variant=45224199159958
810047620136,24.00,Black,https://www.jonesroadbeauty.com/products/the-best-pencil?variant=36805472747670
810047626695,34.00,Pink Champagne,https://www.jonesroadbeauty.com/products/miracle-balm-palette-2025?variant=45153032929430
,64.00,Light,https://www.jonesroadbeauty.com/products/the-mystery-kit?variant=45243576352918
,50.40,The Glossy Lips Trio,https://www.jonesroadbeauty.com/products/the-glossy-lips-trio?variant=45394658033814
810047620938,36.00,Cool Rose,https://www.jonesroadbeauty.com/products/shimmer-face-oil?variant=41294490337430
,57.60,The Lip And Cheek Duo,https://www.jonesroadbeauty.com/products/the-lip-and-cheek-duo?variant=45352915271830
810047623847,30.00,Soft Skin Cream Cleanser,https://www.jonesroadbeauty.com/products/soft-skin-cream-cleanser?variant=45193425715350
810047624516,46.00,Alabaster,https://www.jonesroadbeauty.com/products/what-the-foundation?variant=43577226461334
810047620044,40.00,Au Naturel,https://www.jonesroadbeauty.com/products/miracle-balm?variant=40809260089494
810047620181,28.00,Golden Peach,https://www.jonesroadbeauty.com/products/just-a-sec?variant=36805486706838
810047626824,98.00,Light,https://www.jonesroadbeauty.com/products/the-makeup-travel-kit-2-0?variant=45009806885014
810047622796,38.00,Dusty Rose,https://www.jonesroadbeauty.com/products/the-bronzer?variant=42347618042006
810047623748,28.00,Fair Pink,https://www.jonesroadbeauty.com/products/the-neutralizer-pencil?variant=42923811635350
810047620044,40.00,Au Naturel,https://www.jonesroadbeauty.com/products/miracle-balm?variant=40809260089494
810047622352,36.00,Light,https://www.jonesroadbeauty.com/products/gel-bronzer?variant=42579929661590
810047620358,28.00,Shade 01,https://www.jonesroadbeauty.com/products/the-face-pencil?variant=37649103323286
810047621669,26.00,Barely Pink,https://www.jonesroadbeauty.com/products/sparkle-wash?variant=41537996947606
810047620846,28.00,Nude Rose,https://www.jonesroadbeauty.com/products/lip-tint?variant=41723367194774
810047623977,42.00,Untinted,https://www.jonesroadbeauty.com/products/everyday-sunscreen?variant=44294756630678
