UPC,Price,Variant,Source Link
0195208666438,120.00,5 / Regular,https://www.keenfootwear.com/products/womens-leiki-waterproof-skyway-star-white?variant=46201050759332
0195208725906,37.20,4 / Regular,https://www.keenfootwear.com/products/toddlers-knx-t-toe-ds-skyway-star-white?variant=50519221534884
0195208609701,40.20,8 / Regular,https://www.keenfootwear.com/products/little-kids-knx-lace-gold-flame-star-white?variant=45636855988388
0195208347825,65.00,5,https://www.keenfootwear.com/products/womens-elle-mule-suede-brindle-birch?variant=44684865798308
0195208636394,90.00,5 / Regular,https://www.keenfootwear.com/products/womens-uneek-wk-granite-green-birch?variant=50519247782052
0195208707209,120.00,5 / Regular,https://www.keenfootwear.com/products/womens-leiki-waterproof-black-steel-grey?variant=46201050235044
0195208632396,78.00,5 / Regular,https://www.keenfootwear.com/products/womens-versacore-speed-toadstool-birch?variant=46287025963172
0195208605529,78.00,7 / Regular,https://www.keenfootwear.com/products/mens-knx-knit-lace-martini-olive-plaza-taupe?variant=45636857626788
0195208215438,62.50,5 / Regular,https://www.keenfootwear.com/products/womens-arvada-esd-black-black?variant=44473721815204
0195208371790,39.00,1 / Regular,https://www.keenfootwear.com/products/big-kids-motozoa-sneaker-sea-moss-scarlet-ibis?variant=44684303794340
0195208124563,57.50,5 / Regular,https://www.keenfootwear.com/products/womens-sparta-2-aluminum-toe-steel-grey-peach-whip?variant=44153416188068
0195208666421,120.00,5.5 / Regular,https://www.keenfootwear.com/products/womens-leiki-waterproof-skyway-star-white?variant=46201050792100
0195208566196,102.00,7,https://www.keenfootwear.com/products/mens-450-dirt-star-white-magnet?variant=45680246849700
0195208604096,40.20,1 / Regular,https://www.keenfootwear.com/products/big-kids-knx-lace-gold-flame-star-white?variant=45636852842660
0195208666155,120.00,5 / Regular,https://www.keenfootwear.com/products/womens-leiki-waterproof-winter-moss-granite-green?variant=46201051283620
0195208605383,78.00,7 / Regular,https://www.keenfootwear.com/products/mens-knx-knit-lace-black-magnet?variant=45636856971428
0195208086274,85.00,5 / Regular,https://www.keenfootwear.com/products/womens-terradora-flex-waterproof-boot-magnet-cloud-blue?variant=44113603854500
0195208086137,85.00,5 / Regular,https://www.keenfootwear.com/products/womens-terradora-flex-waterproof-boot-black-steel-grey?variant=44113603330212
0195208153563,69.00,5 / Regular,https://www.keenfootwear.com/products/womens-newport-slide-drizzle-english-lavender?variant=44153399115940
0195208725913,37.20,5 / Regular,https://www.keenfootwear.com/products/toddlers-knx-t-toe-ds-skyway-star-white?variant=50519221567652
0195208705007,90.00,5 / Regular,https://www.keenfootwear.com/products/womens-uneek-wk-toadstool-birch?variant=50519248208036
0195208609343,39.00,8 / Regular,https://www.keenfootwear.com/products/little-kids-knx-knit-ds-beaujolais-raspberry?variant=45636853563556
