UPC,Price,Variation,Source Link
882256629194,94.99,Mermaid Embossed,https://us.kipling.com/product/seoul-lap-emb-spc-kpkia9p662h
882256629187,94.99,Pink Mermaid Embossed,https://us.kipling.com/product/seoul-lap-emb-spc-kpkia9p656j
882256628630,79.99,Sea Pink Met,https://us.kipling.com/product/seoul-s-bts-gm-kpki539752j
882256414516,109.99,Bridal Rose,https://us.kipling.com/product/seoul-xl-bts-kpki711946y
882256625813,109.99,Resort Navy,https://us.kipling.com/product/seoul-xl-bts-kpki71192dg
882256458459,109.99,Bridal Blue,https://us.kipling.com/product/seoul-xl-bts-kpki71193ea
882256561678,109.99,Bridal Lavender,https://us.kipling.com/product/seoul-xl-bts-kpki7119r3l
882256636253,109.99,Cosmo Blue C,https://us.kipling.com/product/seoul-xl-bts-kpki71192ft
882256625837,109.99,Poppy Aqua,https://us.kipling.com/product/seoul-xl-bts-kpki711927y
882256620498,109.99,Back to Grey,https://us.kipling.com/product/seoul-xl-bts-kpki71191dx
882256635096,94.99,Cosmic Metallic,https://us.kipling.com/product/seoul-bts-gm-kpki30408de
882256626896,94.99,Sea Pink Met,https://us.kipling.com/product/seoul-bts-gm-kpki304052j
882256620573,94.99,Silver Glow Metallic,https://us.kipling.com/product/seoul-bts-gm-kpki304054m
882256626889,94.99,Sea Blue Met,https://us.kipling.com/product/seoul-bts-gm-kpki304052d
882256629064,49.99,Mermaid Embossed,https://us.kipling.com/product/miyo-emb-spc-kpki695262h
882256629057,49.99,Pink Mermaid Embossed,https://us.kipling.com/product/miyo-emb-spc-kpki695256j
882256626056,39.99,Aqua Sea,https://us.kipling.com/product/new-kichirou-bts-prt-kpki57494es
882256626070,39.99,Neon Skate,https://us.kipling.com/product/new-kichirou-bts-prt-kpki574971m
882256626049,39.99,Geo Shell,https://us.kipling.com/product/new-kichirou-bts-prt-kpki574931n
882256626087,39.99,Undersea Party,https://us.kipling.com/product/new-kichirou-bts-prt-kpki574973l
882256605754,49.99,Rainbow Jungle,https://us.kipling.com/product/new-kichirou-bts-prt-kpki57490ja
882256637076,39.99,Space Game,https://us.kipling.com/product/new-kichirou-bts-prt-kpki57493hb
882256637069,39.99,Unicorn Star,https://us.kipling.com/product/new-kichirou-bts-prt-kpki57492dy
882256641370,39.99,Mermaid Sparkle,https://us.kipling.com/product/new-kichirou-bts-kpki57495de
882256626261,199.99,Neon Skate,https://us.kipling.com/product/new-zea-prt-kpki467471m
882256636659,199.99,Space Game,https://us.kipling.com/product/new-zea-prt-kpki46743hb
882256514728,129.99,Bridal Rose,https://us.kipling.com/product/class-room-kpki405346y
