UPC,Price,Variation,Source Link
882256631913,24.99,Black Tonal,https://us.kipling.com/products/libbie-kpkia5e60dh
882256631937,24.99,Light Sand,https://us.kipling.com/products/libbie-kpkia5e674o
882256631920,24.99,Electric Teal,https://us.kipling.com/products/libbie-kpkia5e63ju
882256630077,29.99,True Blue Tonal,https://us.kipling.com/products/isidora-kpki17564dx
882256631906,24.99,Vivid White,https://us.kipling.com/products/libbie-kpkia5e6j3c
882256534023,29.99,Black Tonal,https://us.kipling.com/products/isidora-kpki17560dh
882256630053,29.99,Purple Passion,https://us.kipling.com/products/isidora-kpki1756be7
882256402827,47.00,Black Tonal,https://us.kipling.com/products/brynne-kphb66330dh
882256630077,29.99,True Blue Tonal,https://us.kipling.com/products/isidora-kpki17564dx
882256604757,29.99,Light Aloe Tonal,https://us.kipling.com/products/callie-kphb64900fe
882256534023,29.99,Black Tonal,https://us.kipling.com/products/isidora-kpki17560dh
882256402827,47.00,Black Tonal,https://us.kipling.com/products/brynne-kphb66330dh
882256607147,29.99,Soft Blush,https://us.kipling.com/products/callie-kphb64900bh
882256630060,29.99,Cloudy Grey,https://us.kipling.com/products/isidora-kpki17560mo
882256630077,29.99,True Blue Tonal,https://us.kipling.com/products/isidora-kpki17564dx
882256630053,29.99,Purple Passion,https://us.kipling.com/products/isidora-kpki1756be7
882256592429,29.99,True Blue Tonal,https://us.kipling.com/products/brynne-kphb66334dx
882256437843,47.00,INK BLUE TONAL,https://us.kipling.com/products/callie-kphb64904ea
882256630060,29.99,Cloudy Grey,https://us.kipling.com/products/isidora-kpki17560mo
882256629705,29.99,Cloudy Grey,https://us.kipling.com/products/brynne-kphb66330mo
882256629705,29.99,Cloudy Grey,https://us.kipling.com/products/brynne-kphb66330mo
882256629712,29.99,Electric Teal,https://us.kipling.com/products/brynne-kphb66333ju
882256534023,29.99,Black Tonal,https://us.kipling.com/products/isidora-kpki17560dh
882256629712,29.99,Electric Teal,https://us.kipling.com/products/brynne-kphb66333ju
882256630077,29.99,True Blue Tonal,https://us.kipling.com/products/isidora-kpki17564dx
882256604757,29.99,Light Aloe Tonal,https://us.kipling.com/products/callie-kphb64900fe
882256630053,29.99,Purple Passion,https://us.kipling.com/products/isidora-kpki1756be7
882256607147,29.99,Soft Blush,https://us.kipling.com/products/callie-kphb64900bh
882256630060,29.99,Cloudy Grey,https://us.kipling.com/products/isidora-kpki17560mo
882256630510,39.99,Electric Teal,https://us.kipling.com/products/charnell-kpki92793ju
882256631913,24.99,Black Tonal,https://us.kipling.com/products/libbie-kpkia5e60dh
882256631913,24.99,Black Tonal,https://us.kipling.com/products/libbie-kpkia5e60dh
882256534023,29.99,Black Tonal,https://us.kipling.com/products/isidora-kpki17560dh
882256631937,24.99,Light Sand,https://us.kipling.com/products/libbie-kpkia5e674o
882256616682,39.99,Cloudy Grey,https://us.kipling.com/products/charnell-kpki92790mo
882256402827,47.00,Black Tonal,https://us.kipling.com/products/brynne-kphb66330dh
882256630510,39.99,Electric Teal,https://us.kipling.com/products/charnell-kpki92793ju
882256631937,24.99,Light Sand,https://us.kipling.com/products/libbie-kpkia5e674o
882256580402,49.60,Black Tonal,https://us.kipling.com/products/charnell-kpki92790dh
882256631920,24.99,Electric Teal,https://us.kipling.com/products/libbie-kpkia5e63ju
882256630053,29.99,Purple Passion,https://us.kipling.com/products/isidora-kpki1756be7
882256592429,29.99,True Blue Tonal,https://us.kipling.com/products/brynne-kphb66334dx
882256616682,39.99,Cloudy Grey,https://us.kipling.com/products/charnell-kpki92790mo
882256631937,24.99,Light Sand,https://us.kipling.com/products/libbie-kpkia5e674o
882256631920,24.99,Electric Teal,https://us.kipling.com/products/libbie-kpkia5e63ju
882256630060,29.99,Cloudy Grey,https://us.kipling.com/products/isidora-kpki17560mo
882256631906,24.99,Vivid White,https://us.kipling.com/products/libbie-kpkia5e6j3c
882256580402,49.60,Black Tonal,https://us.kipling.com/products/charnell-kpki92790dh
882256629705,29.99,Cloudy Grey,https://us.kipling.com/products/brynne-kphb66330mo
882256631920,24.99,Electric Teal,https://us.kipling.com/products/libbie-kpkia5e63ju
882256631906,24.99,Vivid White,https://us.kipling.com/products/libbie-kpkia5e6j3c
882256629712,29.99,Electric Teal,https://us.kipling.com/products/brynne-kphb66333ju
882256631906,24.99,Vivid White,https://us.kipling.com/products/libbie-kpkia5e6j3c
