SkuCode,Price,Quantity,UPC,Promo,Source
86661541,"FOR PRICE, ADD TO BAG",2,'194956862802,,https://www.kohls.com/product/prd-4961809/nike-air-max-sc-womens-shoes.jsp?skuid=86661541
86661543,"FOR PRICE, ADD TO BAG",2,'194956862826,,https://www.kohls.com/product/prd-4961809/nike-air-max-sc-womens-shoes.jsp?skuid=86661543
86661544,"FOR PRICE, ADD TO BAG",2,'194956862833,,https://www.kohls.com/product/prd-4961809/nike-air-max-sc-womens-shoes.jsp?skuid=86661544
86661549,"FOR PRICE, ADD TO BAG",7,'194956862888,,https://www.kohls.com/product/prd-4961809/nike-air-max-sc-womens-shoes.jsp?skuid=86661549
86661550,"FOR PRICE, ADD TO BAG",5,'194956862895,,https://www.kohls.com/product/prd-4961809/nike-air-max-sc-womens-shoes.jsp?skuid=86661550
86661551,"FOR PRICE, ADD TO BAG",3,'194956862901,,https://www.kohls.com/product/prd-4961809/nike-air-max-sc-womens-shoes.jsp?skuid=86661551
86661552,"FOR PRICE, ADD TO BAG",5,'194956862918,,https://www.kohls.com/product/prd-4961809/nike-air-max-sc-womens-shoes.jsp?skuid=86661552
86661554,"FOR PRICE, ADD TO BAG",1,'194956862932,,https://www.kohls.com/product/prd-4961809/nike-air-max-sc-womens-shoes.jsp?skuid=86661554
72511362,"FOR PRICE, ADD TO BAG",6,'195866288690,,https://www.kohls.com/product/prd-5171146/nike-waffle-debut-womens-shoes.jsp?skuid=72511362
72511369,"FOR PRICE, ADD TO BAG",9,'195866288706,,https://www.kohls.com/product/prd-5171146/nike-waffle-debut-womens-shoes.jsp?skuid=72511369
72511370,"FOR PRICE, ADD TO BAG",15,'195866288713,,https://www.kohls.com/product/prd-5171146/nike-waffle-debut-womens-shoes.jsp?skuid=72511370
72511371,"FOR PRICE, ADD TO BAG",28,'195866288720,,https://www.kohls.com/product/prd-5171146/nike-waffle-debut-womens-shoes.jsp?skuid=72511371
72511372,"FOR PRICE, ADD TO BAG",30,'195866288737,,https://www.kohls.com/product/prd-5171146/nike-waffle-debut-womens-shoes.jsp?skuid=72511372
72511379,"FOR PRICE, ADD TO BAG",37,'195866288744,,https://www.kohls.com/product/prd-5171146/nike-waffle-debut-womens-shoes.jsp?skuid=72511379
72511380,"FOR PRICE, ADD TO BAG",52,'195866288751,,https://www.kohls.com/product/prd-5171146/nike-waffle-debut-womens-shoes.jsp?skuid=72511380
72511381,"FOR PRICE, ADD TO BAG",28,'195866288768,,https://www.kohls.com/product/prd-5171146/nike-waffle-debut-womens-shoes.jsp?skuid=72511381
72511382,"FOR PRICE, ADD TO BAG",20,'195866288775,,https://www.kohls.com/product/prd-5171146/nike-waffle-debut-womens-shoes.jsp?skuid=72511382
72511389,"FOR PRICE, ADD TO BAG",26,'195866288782,,https://www.kohls.com/product/prd-5171146/nike-waffle-debut-womens-shoes.jsp?skuid=72511389
72511390,"FOR PRICE, ADD TO BAG",25,'195866288799,,https://www.kohls.com/product/prd-5171146/nike-waffle-debut-womens-shoes.jsp?skuid=72511390
72511391,"FOR PRICE, ADD TO BAG",9,'195866288805,,https://www.kohls.com/product/prd-5171146/nike-waffle-debut-womens-shoes.jsp?skuid=72511391
72511392,"FOR PRICE, ADD TO BAG",10,'195866288812,,https://www.kohls.com/product/prd-5171146/nike-waffle-debut-womens-shoes.jsp?skuid=72511392
72511400,"FOR PRICE, ADD TO BAG",1,'195866288836,,https://www.kohls.com/product/prd-5171146/nike-waffle-debut-womens-shoes.jsp?skuid=72511400
52837325,"FOR PRICE, ADD TO BAG",337,'191478073679,,https://www.kohls.com/product/prd-2958262/vans-ward-womens-canvas-skate-shoes.jsp?skuid=52837325
52837326,"FOR PRICE, ADD TO BAG",128,'191478073778,,https://www.kohls.com/product/prd-2958262/vans-ward-womens-canvas-skate-shoes.jsp?skuid=52837326
52837327,"FOR PRICE, ADD TO BAG",1870,'191478073877,,https://www.kohls.com/product/prd-2958262/vans-ward-womens-canvas-skate-shoes.jsp?skuid=52837327
52837333,"FOR PRICE, ADD TO BAG",1494,'191478073976,,https://www.kohls.com/product/prd-2958262/vans-ward-womens-canvas-skate-shoes.jsp?skuid=52837333
52837334,"FOR PRICE, ADD TO BAG",790,'191478074072,,https://www.kohls.com/product/prd-2958262/vans-ward-womens-canvas-skate-shoes.jsp?skuid=52837334
52837335,"FOR PRICE, ADD TO BAG",377,'191478074157,,https://www.kohls.com/product/prd-2958262/vans-ward-womens-canvas-skate-shoes.jsp?skuid=52837335
52837336,"FOR PRICE, ADD TO BAG",219,'191478074232,,https://www.kohls.com/product/prd-2958262/vans-ward-womens-canvas-skate-shoes.jsp?skuid=52837336
52837337,"FOR PRICE, ADD TO BAG",395,'191478074317,,https://www.kohls.com/product/prd-2958262/vans-ward-womens-canvas-skate-shoes.jsp?skuid=52837337
52837343,"FOR PRICE, ADD TO BAG",119,'191478074386,,https://www.kohls.com/product/prd-2958262/vans-ward-womens-canvas-skate-shoes.jsp?skuid=52837343
52837344,"FOR PRICE, ADD TO BAG",261,'191478074447,,https://www.kohls.com/product/prd-2958262/vans-ward-womens-canvas-skate-shoes.jsp?skuid=52837344
52837345,"FOR PRICE, ADD TO BAG",690,'191478074492,,https://www.kohls.com/product/prd-2958262/vans-ward-womens-canvas-skate-shoes.jsp?skuid=52837345
52837347,"FOR PRICE, ADD TO BAG",101,'191478073570,,https://www.kohls.com/product/prd-2958262/vans-ward-womens-canvas-skate-shoes.jsp?skuid=52837347
71551445,"FOR PRICE, ADD TO BAG",1,'194435357843,,https://www.kohls.com/product/prd-1529669/converse-chuck-taylor-shoreline-slip-on-shoes-for-women.jsp?skuid=71551445
71551453,"FOR PRICE, ADD TO BAG",9,'194435357874,,https://www.kohls.com/product/prd-1529669/converse-chuck-taylor-shoreline-slip-on-shoes-for-women.jsp?skuid=71551453
64706990,"FOR PRICE, ADD TO BAG",1067,'195438923134,,https://www.kohls.com/product/prd-7557216/jansport-cross-town-plus-backpack.jsp?skuid=64706990
19216268,"FOR PRICE, ADD TO BAG",59,'197863511733,,https://www.kohls.com/product/prd-4636089/nike-court-legacy-babytoddler-shoes.jsp?skuid=19216268
50217194,"FOR PRICE, ADD TO BAG",232,'197863487649,,https://www.kohls.com/product/prd-4636089/nike-court-legacy-babytoddler-shoes.jsp?skuid=50217194
66810462,"FOR PRICE, ADD TO BAG",18,'197859244805,,https://www.kohls.com/product/prd-4636089/nike-court-legacy-babytoddler-shoes.jsp?skuid=66810462
72538691,"FOR PRICE, ADD TO BAG",402,'194954532660,,https://www.kohls.com/product/prd-4636089/nike-court-legacy-babytoddler-shoes.jsp?skuid=72538691
72788743,"FOR PRICE, ADD TO BAG",26,'197597204567,,https://www.kohls.com/product/prd-4636089/nike-court-legacy-babytoddler-shoes.jsp?skuid=72788743
19216269,"FOR PRICE, ADD TO BAG",49,'197863539874,,https://www.kohls.com/product/prd-4636089/nike-court-legacy-babytoddler-shoes.jsp?skuid=19216269
50217195,"FOR PRICE, ADD TO BAG",243,'197863502298,,https://www.kohls.com/product/prd-4636089/nike-court-legacy-babytoddler-shoes.jsp?skuid=50217195
72538692,"FOR PRICE, ADD TO BAG",1713,'194954532677,,https://www.kohls.com/product/prd-4636089/nike-court-legacy-babytoddler-shoes.jsp?skuid=72538692
72788744,"FOR PRICE, ADD TO BAG",374,'197597211732,,https://www.kohls.com/product/prd-4636089/nike-court-legacy-babytoddler-shoes.jsp?skuid=72788744
19216270,"FOR PRICE, ADD TO BAG",77,'197863510071,,https://www.kohls.com/product/prd-4636089/nike-court-legacy-babytoddler-shoes.jsp?skuid=19216270
