UPC,Price,Variant,Source Link
,37.99,3-10 lbs,https://www.lcsupply.com/products/advantage-ii-for-dogs
,37.99,11-20 lbs,https://www.lcsupply.com/products/advantage-ii-for-dogs
,37.99,21-55 lbs,https://www.lcsupply.com/products/advantage-ii-for-dogs
,37.99,56 lbs+,https://www.lcsupply.com/products/advantage-ii-for-dogs
,44.50,Large,https://www.lcsupply.com/products/k-9-advantix-ii-flea-and-tick-treatment
,44.50,Medium,https://www.lcsupply.com/products/k-9-advantix-ii-flea-and-tick-treatment
,44.50,Small,https://www.lcsupply.com/products/k-9-advantix-ii-flea-and-tick-treatment
,44.50,X-Large,https://www.lcsupply.com/products/k-9-advantix-ii-flea-and-tick-treatment
753759068295,14.99,Default Title,https://www.lcsupply.com/products/astro-dc30-extra-collar-vehicle-charger
,49.99,"16"" Pointer with Hook Plaque",https://www.lcsupply.com/products/selmans-turkey-calls-cedar-plaque
,25.99,"20"" Welcome Plaque with Dog",https://www.lcsupply.com/products/selmans-turkey-calls-cedar-plaque
,25.99,"16"" Solders With Flag Plaque",https://www.lcsupply.com/products/selmans-turkey-calls-cedar-plaque
,25.99,"20"" Welcome Plaque with Dog & Pheasant",https://www.lcsupply.com/products/selmans-turkey-calls-cedar-plaque
,25.99,"16"" Wire Hair Plaque with Hook",https://www.lcsupply.com/products/selmans-turkey-calls-cedar-plaque
,574.99,Default Title,https://www.lcsupply.com/products/garmin-alpha-200-handheld
753759336448,449.99,Default Title,https://www.lcsupply.com/products/garmin-inreach-messenger-plus
,249.99,Default Title,https://www.lcsupply.com/products/petsafe-guardian-gps-tracking-dog-fence-collar
,924.99,Default Title,https://www.lcsupply.com/products/garmin-alpha-200-tt25-bundle
,109.95,Default Title,https://www.lcsupply.com/products/lcs-tip-up-bird-releaser-bundle
,89.95,Default Title,https://www.lcsupply.com/products/european-plastic-nest-bowl-10-pack
,349.99,Black,https://www.lcsupply.com/products/garmin-inreach-mini-2
,349.99,Flame Red,https://www.lcsupply.com/products/garmin-inreach-mini-2
,9.95,210 1/2 / Black,https://www.lcsupply.com/products/acme-english-whistle
,9.95,210 1/2 / Blue,https://www.lcsupply.com/products/acme-english-whistle
